Time,accX,accY,accZ,DT,Hour
1582925929866.0,-6.165388,6.3865870000000005,4.0039296,2020-02-28 15:38:49.866000-06:00,2020-02-28 15:00
1582925929887.0,-7.0637007,6.951925,4.312949,2020-02-28 15:38:49.887000-06:00,2020-02-28 15:00
1582925929907.0,-7.130774499999999,6.712375,3.7044919999999997,2020-02-28 15:38:49.907000-06:00,2020-02-28 15:00
1582925929927.0,-6.886433599999999,6.0152845,3.1894596,2020-02-28 15:38:49.927000-06:00,2020-02-28 15:00
1582925929947.0,-7.1451473,5.7517796,4.178801,2020-02-28 15:38:49.947000-06:00,2020-02-28 15:00
1582925929967.0,-6.620533,6.228484,5.1920977,2020-02-28 15:38:49.967000-06:00,2020-02-28 15:00
1582925929987.0,-5.8324137,6.556667299999999,5.3933196,2020-02-28 15:38:49.987000-06:00,2020-02-28 15:00
1582925930008.0,-6.886433599999999,7.426234,5.711921,2020-02-28 15:38:50.008000-06:00,2020-02-28 15:00
1582925930027.0,-6.232462,8.990496,3.613463,2020-02-28 15:38:50.027000-06:00,2020-02-28 15:00
1582925930046.0,-8.910631,8.724594999999999,4.025489,2020-02-28 15:38:50.046000-06:00,2020-02-28 15:00
1582925930066.0,-6.227671,8.063437,6.258095,2020-02-28 15:38:50.066000-06:00,2020-02-28 15:00
1582925930086.0,-6.548668,11.845931,3.3571446000000003,2020-02-28 15:38:50.086000-06:00,2020-02-28 15:00
1582925930106.0,-11.112096000000001,11.105722,1.8264200000000002,2020-02-28 15:38:50.106000-06:00,2020-02-28 15:00
1582925930126.0,-9.883204,10.602667,3.8386400000000003,2020-02-28 15:38:50.126000-06:00,2020-02-28 15:00
1582925930146.0,-6.4312887000000005,9.951091,0.8778020000000001,2020-02-28 15:38:50.146000-06:00,2020-02-28 15:00
1582925930166.0,-6.323491000000001,8.698244,0.767609,2020-02-28 15:38:50.166000-06:00,2020-02-28 15:00
1582925930185.0,-5.183233,9.915158,0.24059899999999998,2020-02-28 15:38:50.185000-06:00,2020-02-28 15:00
1582925930206.0,-5.6886835,9.335447,0.609506,2020-02-28 15:38:50.206000-06:00,2020-02-28 15:00
1582925930227.0,-5.3437314,7.752022,-0.430141,2020-02-28 15:38:50.227000-06:00,2020-02-28 15:00
1582925930246.0,-6.448057,7.637038,-1.1511865,2020-02-28 15:38:50.246000-06:00,2020-02-28 15:00
1582925930265.0,-5.686287999999999,6.54469,-1.3524085,2020-02-28 15:38:50.265000-06:00,2020-02-28 15:00
1582925930286.0,-6.476803,5.593676599999999,-0.0971665,2020-02-28 15:38:50.286000-06:00,2020-02-28 15:00
1582925930306.0,-4.900564,8.329336999999999,-0.3223435,2020-02-28 15:38:50.306000-06:00,2020-02-28 15:00
1582925930326.0,-4.426255,7.9604306,-0.6289675,2020-02-28 15:38:50.326000-06:00,2020-02-28 15:00
1582925930345.0,-5.4682975,7.371137599999999,-0.0588385,2020-02-28 15:38:50.345000-06:00,2020-02-28 15:00
1582925930366.0,-6.218089,7.3423915,-1.0889035,2020-02-28 15:38:50.366000-06:00,2020-02-28 15:00
1582925930386.0,-4.3759494000000005,9.256396,-0.9499645,2020-02-28 15:38:50.386000-06:00,2020-02-28 15:00
1582925930405.0,-3.9016404000000002,9.069547,-3.726349,2020-02-28 15:38:50.405000-06:00,2020-02-28 15:00
1582925930426.0,-5.0993905,6.8872466,-3.6041784,2020-02-28 15:38:50.426000-06:00,2020-02-28 15:00
1582925930445.0,-3.999856,6.089544999999999,-5.187604,2020-02-28 15:38:50.445000-06:00,2020-02-28 15:00
1582925930465.0,-4.0549526,8.554514999999999,-2.686702,2020-02-28 15:38:50.465000-06:00,2020-02-28 15:00
1582925930485.0,-2.490691,10.461332,-0.6337585,2020-02-28 15:38:50.485000-06:00,2020-02-28 15:00
1582925930505.0,-1.843906,9.539064999999999,-2.4974575,2020-02-28 15:38:50.505000-06:00,2020-02-28 15:00
1582925930525.0,-2.9721866,8.118533,-4.095256,2020-02-28 15:38:50.525000-06:00,2020-02-28 15:00
1582925930545.0,-1.604356,7.610687700000001,-5.714614,2020-02-28 15:38:50.545000-06:00,2020-02-28 15:00
1582925930565.0,-2.3589385,7.0453496,-5.340916,2020-02-28 15:38:50.565000-06:00,2020-02-28 15:00
1582925930585.0,-5.4778795,6.834545599999999,-2.753776,2020-02-28 15:38:50.585000-06:00,2020-02-28 15:00
1582925930604.0,-4.2418013,6.1158953,-0.8589355,2020-02-28 15:38:50.604000-06:00,2020-02-28 15:00
1582925930625.0,-2.893135,4.594753,1.184426,2020-02-28 15:38:50.625000-06:00,2020-02-28 15:00
1582925930645.0,-2.8811574,7.895752000000001,2.621726,2020-02-28 15:38:50.645000-06:00,2020-02-28 15:00
1582925930666.0,-2.4212215,5.818853400000001,5.108255000000001,2020-02-28 15:38:50.666000-06:00,2020-02-28 15:00
1582925930685.0,-5.140114,2.678353,3.555971,2020-02-28 15:38:50.685000-06:00,2020-02-28 15:00
1582925930704.0,-6.232462,1.6914069999999999,3.488897,2020-02-28 15:38:50.704000-06:00,2020-02-28 15:00
1582925930724.0,-5.7988763,1.1284645,6.3131914,2020-02-28 15:38:50.724000-06:00,2020-02-28 15:00
