Time,accX,accY,accZ
1582682704123,3.1459205,9.41929,0.753236
1582682704143,3.2129946,9.539065,0.6741845
1582682704163,3.253718,9.534274,0.7939595
1582682704182,3.3231876,9.644467,0.671789
1582682704203,3.272882,9.606139,0.652625
1582682704223,3.1986215,9.476782,0.6885575
1582682704243,3.1938305,9.3737755,0.5448275
1582682704262,3.325583,9.476782,0.523268
1582682704282,3.2656956,9.421685,0.6358565
1582682704303,3.3136055,10.044516,0.528059
1582682704323,3.5962746,9.0048685,0.1567565
1582682704343,3.349538,9.85048,0.5208725
1582682704363,3.5627375,9.091106,0.278927
1582682704383,3.421403,9.503133,0.2861135
1582682704403,3.4285896,9.512714,0.3579785
1582682704423,3.579506,9.63728,0.403493
1582682704442,3.565133,9.333052,0.178316
1582682704463,3.680117,9.318679,0.048959
1582682704482,3.5866926,9.70675,0.2525765
1582682704503,3.5771105,9.203695,-0.0444655
1582682704522,3.608252,9.225254,0.063332
1582682704542,3.55076,9.826525,0.3819335
1582682704562,3.6633484,9.186927,-0.1019575
1582682704581,3.6298115,9.3737755,-0.219337
1582682704602,3.636998,9.596557,0.139988
1582682704622,3.7016766,9.244418,0.111242
1582682704641,3.699281,9.500737,-0.003742
1582682704661,3.689699,9.498342,0.063332
1582682704682,3.704072,9.335447,-0.094771
1582682704702,3.6968856,9.476782,-0.066025
1582682704722,3.771146,9.361798,0.1615475
1582682704742,3.7112584,9.666026,0.087287
1582682704762,3.728027,8.973727,-0.2073595
1582682704782,3.7016766,9.277955,-0.0780025
1582682704802,3.771146,9.448036,0.0513545
1582682704822,3.8166604,9.397731,-0.0875845
1582682704841,3.7424,9.294724,-0.0636295
1582682704862,3.7974966,9.347425,-0.0780025
1582682704881,3.866966,9.30191,-0.0205105
1582682704901,3.8310335,9.546251,-0.0827935
1582682704922,3.88613,9.666026,-0.0780025
1582682704941,3.8789434,9.086315,-0.056443
1582682704962,3.9364355,9.402521,-0.1211215
1582682704982,3.8214514,9.194113,-0.128308
1582682705001,3.756773,9.242023,-0.128308
1582682705021,3.881339,9.2013,-0.0827935
1582682705041,3.890921,9.524692,0.039377
1582682705061,3.819056,9.32347,-0.0492565
1582682705081,3.9220624,9.261187,-0.1211215
1582682705100,3.8549886,9.433663,-0.1786135
1582682705121,3.8933165,9.239628,-0.0300925
1582682705141,3.9028986,9.254001,0.0561455
1582682705161,3.871757,9.261187,0.015422
1582682705181,3.8741524,9.328261,0.0705185
1582682705200,3.88613,9.400126,-0.032488
1582682705221,3.890921,9.330656,-0.0492565
1582682705240,3.8837345,9.263582,0.0034445
1582682705260,3.972368,9.287538,0.0609365
1582682705281,4.1280756,9.438454,-0.133099
1582682705300,4.494587,9.594161,-0.1498675
1582682705320,4.0322556,9.225254,-0.022906
1582682705340,3.905294,9.196508,-0.003742
1582682705360,4.130471,9.330656,0.178316
1582682705380,4.116098,8.887489,0.2238305
1582682705400,4.192754,9.002473,-0.0396745
1582682705420,4.4874005,9.148599,0.1950845
1582682705440,4.2382684,8.784483,0.3819335
1582682705460,4.3245063,8.983309,0.705326
1582682705480,4.5017734,8.971332,0.537641
1582682705500,4.489796,9.136621,0.4346345
1582682705520,4.341275,9.186927,0.379538
1582682705540,4.643108,8.947376,0.4585895
1582682705560,4.4299083,8.9881,0.566387
1582682705579,4.4826093,8.750945,0.681371
1582682705600,4.5353103,8.79646,0.815519
1582682705620,4.734137,9.074338,0.901757
1582682705638,4.370021,9.134226,0.7316765
1582682705660,4.164008,8.909048,0.7604225
1582682705679,4.5113554,9.026428,1.294619
1582682705699,4.480214,9.043197,1.390439
1582682705719,4.3772073,9.15818,1.2299405
1582682705738,4.2382684,9.043197,1.213172
1582682705759,4.259828,8.976123,1.275455
1582682705779,4.245455,8.954563,1.352111
1582682705798,4.1280756,9.086315,1.385648
1582682705819,4.346066,9.047988,1.002368
1582682705838,3.8645706,9.318679,1.34732
1582682705859,3.656162,9.586975,1.5461465
1582682705879,4.0418377,9.100689,1.3784615
1582682705898,4.015487,9.167763,1.4024165
1582682705918,3.9555995,9.016846,1.2634774
1582682705938,3.9939275,9.172553,1.4742815
1582682705958,4.0130916,9.342634,1.5030276
1582682705979,3.857384,9.08392,1.2730595
1582682705998,4.26941,8.736572,1.356902
1582682706018,3.8597796,9.148599,1.515005
1582682706038,3.316001,9.4672,1.332947
1582682706058,3.5100365,9.689981,1.5461465
1582682706078,3.6633484,9.4264765,1.4167895
1582682706098,3.651371,9.160576,1.438349
1582682706118,3.6058564,9.347425,1.462304
1582682706137,3.4717085,9.474386,1.4694905
1582682706158,3.4717085,9.177344,1.5892655
1582682706178,3.6298115,9.30191,1.7521595
1582682706197,3.464522,9.206091,1.6467575
1582682706218,3.3615155,9.354611,1.668317
1582682706237,3.4812906,9.39294,1.591661
1582682706258,3.4142165,9.440849,1.764137
1582682706277,3.498059,9.462409,1.9437995
1582682706298,3.569924,9.433663,1.711436
1582682706318,3.469313,9.495946,1.610825
1582682706337,3.292046,9.311493,1.783301
1582682706358,3.2848594,9.328261,1.677899
1582682706378,3.306419,9.352216,1.8575615
1582682706397,3.4094255,9.455222,1.9437995
1582682706417,3.2633,9.455222,1.697063
1582682706437,3.2225766,9.306702,1.701854
1582682706457,3.1794574,9.383357,1.8623525
1582682706478,3.157898,9.402521,1.950986
1582682706497,3.3040235,9.383357,1.9246355
1582682706517,3.440567,9.213277,2.0731566
1582682706537,3.35912,9.059965,1.907867
1582682706557,3.2609046,9.184531,1.903076
1582682706577,3.172271,9.414499,2.104298
1582682706596,3.196226,9.325866,2.1354394
1582682706616,3.191435,9.13183,2.056388
1582682706636,3.411821,9.438454,2.343848
1582682706657,3.579506,9.613325,2.588189
1582682706676,3.536387,9.522297,2.271983
1582682706696,4.226291,9.790592,2.8349254
1582682706716,3.038123,9.203695,1.8719345
1582682706736,3.1267564,8.705431,1.6946675
1582682706756,3.8166604,9.105479,3.0074015
1582682706776,3.5627375,8.937795,2.7151506
