Time,rotX,rotY,rotZosboxe
1582682761009,0.031934507,-0.05448983,0.141152
1582682761059,0.05697001,-0.23466828,0.15843315
1582682761109,-0.029104847,-0.0015737433,0.02861206
1582682761159,0.023865206,-0.036130905,0.063819796
1582682761209,0.03212682,0.013581859,0.056250796
1582682761259,-0.0359664,0.07196352,0.0045891646
1582682761309,-0.013563453,-0.024464823,0.034572497
1582682761359,-0.0011950296,0.011784451,0.032583937
1582682761409,-0.024661336,0.15627268,-0.01234076
1582682761459,-0.005593473,-0.012590254,0.04747299
1582682761509,-0.005743323,0.026944535,0.021341957
1582682761559,-0.011564156,0.029420678,0.039195076
1582682761609,-0.020267583,0.029102681,0.017284095
1582682761659,-0.034675058,0.051267743,0.01812231
1582682761709,-0.007962725,0.01409713,0.041593254
1582682761759,-9.007677E-4,-0.033740185,0.04997491
1582682761809,-0.0028313661,-0.025333919,0.05059725
1582682761859,-0.014535478,-0.009137192,0.03875269
1582682761909,0.01634884,-0.05916301,0.053596184
1582682761959,0.006450247,-0.03638275,0.06418262
1582682762009,0.01816538,-0.07772021,0.080275156
1582682762059,0.0045575164,-0.07587237,0.07932987
1582682762109,-0.04946919,0.010649264,0.07478554
1582682762159,-0.069512546,0.1416924,0.031545445
1582682762208,0.0045369854,0.019147703,0.02858944
1582682762259,-0.023886066,-0.016547475,0.019952837
1582682762308,-0.03336828,0.024185093,0.010102076
1582682762359,-0.008179846,0.027680557,0.024200723
1582682762409,-0.030394677,0.05648302,0.01787333
1582682762459,-0.01315049,0.035743937,0.024616992
1582682762509,-0.034687396,0.043221194,6.4633414E-4
1582682762559,-0.019372594,0.018179974,-0.0049219923
1582682762609,0.014823659,0.008619706,-0.0015952853
1582682762658,-0.018129462,0.008869067,0.004312694
1582682762709,-0.016428309,0.015673123,0.012264313
1582682762758,-0.009919424,0.02241952,0.0066918125
1582682762809,0.030924592,-0.012421329,0.043329276
1582682762859,0.038463812,-0.038881596,0.051735617
1582682762908,0.015411212,-0.016006574,0.030045478
1582682762959,0.025846532,-0.029852852,0.030562771
1582682763009,0.0057864897,-0.029641494,0.021239987
1582682763059,0.002714698,-0.008473992,0.014721813
1582682763109,-0.020447172,0.021604702,0.0022876495
1582682763159,-0.004748721,0.02317509,-0.005572532
1582682763209,-0.016324991,0.019916736,-0.0077679595
1582682763259,-0.04150355,0.06492974,-0.024324883
1582682763309,-0.006122214,0.021804951,-0.006907293
1582682763359,0.015494733,0.0074681696,0.032012075
1582682763409,0.0062038414,0.009274207,0.0108683985
1582682763459,0.01132783,0.0067610717,0.018324615
1582682763508,0.0052970303,0.012884394,0.014064552
1582682763559,-0.03248019,0.093223356,-0.030734772
1582682763609,-0.009969219,0.033279974,-0.010574208
1582682763659,-0.006889526,-0.013084255,-0.008489001
1582682763709,0.01516726,-0.023077575,0.0064252904
