Time,accX,accY,accZ
1582685630171,-3.9570122,-7.1197925,0.6775057
1582685630222,-4.4179688,-6.904345,0.5977285
1582685630272,-4.72896,-6.995215,0.67959446
1582685630321,-4.829098,-7.01191,0.7890903
1582685630371,-4.756558,-7.4658628,0.48852247
1582685630421,-4.7748823,-7.858511,0.6170987
1582685630471,-5.095527,-7.7585297,0.43511716
1582685630522,-5.4633145,-7.860915,0.01077202
1582685630572,-5.5745354,-8.2006855,0.1885041
1582685630622,-5.658022,-8.326887,0.22984605
1582685630672,-5.611131,-8.215868,-0.004353173
1582685630721,-5.51759,-7.95828,-0.30791393
1582685630771,-5.330338,-7.5561085,-0.43724996
1582685630822,-5.277906,-7.3825026,-0.35398427
1582685630871,-5.172078,-7.4987845,-0.3017116
1582685630921,-4.826655,-7.702209,-0.14159566
1582685630971,-4.789789,-8.016976,-1.1423405
1582685631021,-5.2568364,-8.149497,-1.3507385
1582685631071,-5.4507527,-8.150936,-1.3401052
1582685631121,-5.432671,-7.921311,-1.1900305
1582685631172,-5.3192244,-7.863163,-1.1828542
1582685631221,-5.37585,-7.4396744,-1.0121953
1582685631272,-5.3916273,-7.2430253,-0.83112866
1582685631322,-5.45632,-7.028998,-0.5916559
1582685631371,-5.1823983,-7.0527115,-0.15644199
1582685631421,-4.2203484,-7.265918,-0.35786983
1582685631471,-3.2865398,-6.757844,-1.1259983
1582685631522,-2.6389413,-5.439941,-1.484864
1582685631571,-2.9612536,-5.6710467,-2.5846057
1582685631622,-3.3151917,-5.9984455,-2.1730406
1582685631671,-4.3483734,-8.368764,-2.9737103
1582685631722,-5.059635,-9.816862,-2.672944
1582685631771,-4.986222,-10.725016,-2.679266
1582685631821,-7.9455514,-15.809106,0.9031116
1582685631871,-2.6030188,-12.9131565,0.38153195
1582685631921,-3.1418645,-7.423996,1.6828566
1582685631971,-0.9908665,-8.671103,2.3948748
1582685632021,-0.86934704,-8.795601,2.715424
1582685632071,-0.84075254,-9.064807,2.286427
1582685632121,-1.0452018,-9.511858,1.9265213
1582685632171,-1.0961674,-9.292848,1.5372448
1582685632221,-0.8795037,-9.544515,1.1632514
1582685632271,-0.7551434,-9.505303,1.1617719
1582685632321,-0.838071,-9.2940855,1.0295961
1582685632371,-1.1215491,-9.483727,1.0406251
1582685632421,-1.2096024,-9.446024,0.7289725
1582685632472,-1.2501115,-9.529723,0.41859177
1582685632521,-1.2936238,-9.435528,0.53638005
1582685632572,-1.2534989,-9.333815,0.45083287
1582685632622,-1.3397814,-9.487046,0.35585868
