Time,accX,accY,accZ
1582685880172,3.07104,-0.34386915,9.402016
1582685880222,3.3496284,-0.75234,9.405491
1582685880271,3.2821538,-0.45538932,9.379699
1582685880321,3.0248137,-0.09505677,9.671418
1582685880371,3.1293843,-0.25672507,9.511921
1582685880422,3.1976423,-0.40818793,9.389013
1582685880471,3.2299998,-0.67443836,9.4357395
1582685880521,3.2750006,-0.5680524,9.377716
1582685880572,3.2438567,-0.5691489,9.367859
1582685880621,3.171401,-0.6457433,9.509766
1582685880671,3.2376456,-0.7506464,9.366059
1582685880722,3.330336,-0.6535973,9.3989
1582685880771,3.2858741,-0.60475355,9.377348
1582685880822,3.3215988,-0.63789487,9.417625
1582685880872,3.3136055,-0.5641628,9.426351
1582685880921,3.266762,-0.52238387,9.365543
1582685880971,3.3015094,-0.63934255,9.423934
1582685881022,3.286377,-0.7127793,9.392134
1582685881071,3.2866185,-0.6061822,9.409396
1582685881122,3.3276582,-0.6901657,9.429904
1582685881171,3.2954712,-0.7464007,9.295777
1582685881222,3.493279,-1.0118071,9.261085
1582685881271,3.718496,-1.1604683,9.089923
1582685881322,3.7496617,-0.9138551,9.11338
1582685881371,3.455061,-0.36719638,9.33227
1582685881421,3.4140682,-0.61545295,9.535163
1582685881471,3.3292458,-1.0393802,9.525035
1582685881521,3.2220309,-1.1925544,9.271786
1582685881572,3.244193,-1.1933688,9.2863865
1582685881622,3.4003425,-1.0692282,9.260291
1582685881672,3.5794418,-1.0975379,9.328641
1582685881722,3.518692,-0.96467847,9.317349
1582685881771,3.4426682,-0.9697063,9.40446
1582685881821,3.4076247,-1.1900024,9.286384
1582685881872,3.3918405,-1.3401475,9.256687
1582685881921,3.421052,-1.3400365,9.302816
1582685881972,3.4334557,-1.3045795,9.227992
1582685882021,3.4433196,-1.3527158,9.290998
1582685882072,3.4226747,-1.4317932,9.247205
1582685882122,3.3226233,-1.607572,9.167229
1582685882171,3.3693228,-1.3591835,9.302268
1582685882221,3.47169,-1.4186138,9.23504
1582685882271,3.4786747,-1.467934,9.248825
1582685882322,3.4351647,-1.503043,9.212154
1582685882371,3.4429321,-1.5636628,9.161934
1582685882422,3.3682768,-1.5618796,9.16866
1582685882471,3.3929636,-1.3249034,9.139881
1582685882521,3.381708,-1.528379,9.42303
1582685882571,3.3281224,-1.1066891,9.44957
1582685882621,3.3974352,-1.1012696,9.278659
1582685882671,3.3446097,-1.1661282,9.340873
1582685882721,3.3633368,-1.1235353,9.316303
1582685882772,3.3370104,-1.2020392,9.32992
1582685882822,3.3733585,-1.0542394,9.524077
1582685882871,3.4742188,-0.8134253,9.517637
1582685882921,3.3600717,-1.6583875,8.96921
1582685882971,3.295191,-1.9727869,9.141464
1582685883021,3.4278705,-1.7128817,9.17095
1582685883071,3.4539056,-1.5923698,9.139839
1582685883121,3.4432275,-1.6968409,9.160238
1582685883171,3.4248157,-1.9926047,9.12511
1582685883222,3.3586724,-2.1824133,8.960523
1582685883271,3.358871,-1.8924335,9.257471
1582685883321,3.4521074,-1.953438,9.145508
1582685883371,3.363131,-2.1002567,8.9847
1582685883422,3.2685559,-1.9260602,9.230565
1582685883471,3.2657382,-1.7633741,9.171814
1582685883522,3.320779,-1.8229922,9.17845
1582685883571,3.278267,-1.7362267,9.299285
1582685883622,3.3117292,-1.4383731,9.377036
1582685883671,3.3405266,-1.3593477,9.287948
1582685883722,3.2771125,-1.3975756,9.319249
1582685883772,3.3375604,-1.3914893,9.337479
1582685883821,3.2809546,-1.3575572,9.295589
1582685883872,3.2894304,-1.3268454,9.340883
1582685883921,3.3072023,-1.259391,9.317215
1582685883972,3.2406945,-1.3226211,9.323314
1582685884021,3.2702177,-1.3265258,9.356412
1582685884071,3.2586756,-1.4204237,9.289561
1582685884122,3.24815,-1.4457922,9.315982
1582685884172,3.2313285,-1.4777921,9.249387
1582685884222,3.2520254,-1.4383849,9.298126
1582685884271,3.299854,-1.3791391,9.289161
1582685884321,3.2786322,-1.4341259,9.294994
1582685884371,3.3336053,-1.3850808,9.28523
1582685884422,3.3178473,-1.4269031,9.342634
1582685884471,3.287964,-1.5048414,9.222536
1582685884522,3.3183646,-1.413161,9.250862
1582685884571,3.325357,-1.4244928,9.252031
1582685884622,3.2921908,-1.4265537,9.268032
1582685884672,3.3078105,-1.3738271,9.312821
1582685884721,3.3594012,-1.2700278,9.293781
1582685884772,3.382372,-1.2751278,9.313848
1582685884821,3.3539498,-1.2584596,9.321437
1582685884871,3.379203,-1.2372768,9.2885895
1582685884921,3.3667836,-1.2060695,9.31095
