Time,rotX,rotY,rotZosboxe
1582684702921,-0.06818519,0.062193334,0.060079753
1582684702971,-0.08717416,0.01688131,0.0054781544
1582684703021,-0.096311785,0.010413891,-0.0013453076
1582684703071,-0.07733029,0.029077139,0.011850681
1582684703122,-0.06713535,0.02923563,0.04111696
1582684703172,-0.077291116,0.03665535,0.06666337
1582684703221,-0.075682595,0.0047080894,0.041967012
1582684703271,-0.061035033,-0.052971486,-0.011345841
1582684703322,-0.022362491,-0.06882033,-0.044159196
1582684703372,-0.02034725,-0.045068383,-0.03924981
1582684703422,-0.1138769,-0.012325037,-0.028219301
1582684703471,-0.11429353,0.02883697,-0.016067674
1582684703522,-0.16809206,0.055332076,-0.017150145
1582684703571,-0.20193896,0.09289059,0.021798875
1582684703621,-0.16102277,0.12947841,0.060586765
1582684703671,-0.14009987,0.14665884,0.015064139
1582684703721,-0.15332334,0.13673474,-0.023451308
1582684703772,-0.15326688,0.13870119,0.03240462
1582684703821,-0.20670873,0.17820425,0.042393655
1582684703871,-0.18631087,0.35501418,-0.08723667
1582684703921,-0.224314,0.66916287,-0.35309616
1582684703971,-0.92943925,1.0373434,-0.36064196
1582684704022,-1.7351747,1.3547213,-0.08839391
1582684704071,-2.9355352,1.5579726,0.38313434
1582684704121,-3.8021162,1.4986156,0.9647153
1582684704171,-1.7490481,1.231385,1.2788112
1582684704221,-1.325395,0.6629668,1.4046191
1582684704271,-1.4255482,-0.013815988,1.4926984
1582684704321,-2.3398173,-0.79658115,1.100951
1582684704372,-2.5885348,-2.4190907,0.07701206
1582684704421,-1.761503,-4.339342,-1.5983588
1582684704471,-1.69453,-4.5372696,-3.2564714
1582684704521,0.35212108,-3.1064365,-3.9200652
1582684704571,2.7007663,-1.2988145,-2.9469373
1582684704621,0.6822998,-0.5082752,-1.6661946
1582684704672,-2.1779034,-0.31464264,-0.98188853
1582684704721,0.24372897,-0.9098059,-1.3072139
1582684704772,0.034949336,-0.60446924,-0.82997286
1582684704821,-2.7709765,-0.2310824,-0.31104526
1582684704872,-3.8386843,-0.33512414,0.06604968
1582684704922,-1.979095,-0.45016006,0.12747851
1582684704971,-0.73444736,-0.38732514,-0.24040382
1582684705022,0.27096188,-0.13773732,-0.08004166
1582684705071,-0.26316395,0.43770102,0.26156965
1582684705121,0.5015426,0.41980112,0.05650611
1582684705171,0.44391352,0.17208762,0.16707492
1582684705221,1.5300517,-0.01775194,0.3748135
1582684705271,1.5870254,-0.36619738,0.05689031
1582684705322,0.7653636,-0.32682016,-0.12285872
1582684705372,0.3258696,-0.22759932,-0.14420307
1582684705421,-0.2584496,0.03779148,-0.2168708
1582684705472,-1.5882404,0.1697052,-0.16594514
1582684705521,-1.8207005,0.41855037,-0.07992837
1582684705571,-0.7993733,0.110024914,-0.02191678
1582684705621,-0.0059061027,0.07709088,0.081340894
1582684705672,-0.059770744,0.11064062,0.10113446
1582684705721,-0.13109572,0.14569482,0.025769252
1582684705771,-0.14155382,0.12886675,0.018327102
1582684705822,-0.13428059,0.11287155,0.044901542
1582684705871,-0.184306,0.06931713,0.045037676
1582684705922,-0.25487822,-0.026321787,0.0085465275
