Time,rotX,rotY,rotZosboxe
1582684432921,-2.6066637,-3.0556448,0.4762486
1582684432972,-2.8612864,-3.186838,-1.2618053
1582684433022,-1.2853682,-3.2439542,-2.6601186
1582684433071,-0.3897422,-3.2116778,-3.7287483
1582684433122,-0.2405511,-2.5574949,-4.604473
1582684433171,-1.4648722,-0.81349456,-4.7753763
1582684433221,-2.2904341,1.2722842,-4.2810464
1582684433272,-1.7087361,3.2071457,-3.3276598
1582684433321,-1.9334093,4.349442,-1.8128358
1582684433372,-2.7246635,4.8261104,0.21908686
1582684433422,-2.0681894,3.9044378,2.2908475
1582684433472,-2.481885,2.2750454,3.9564993
1582684433522,-2.3982565,0.25236687,5.1912
1582684433572,-1.8079534,-1.4347312,5.467694
1582684433621,-1.0443103,-2.1064787,4.858999
1582684433671,-0.29596093,-2.7328196,3.5064707
1582684433721,-0.38341224,-3.2961318,1.7538818
1582684433772,-0.6168756,-3.445253,-0.035772312
1582684433822,-1.3986434,-3.2642303,-1.6799594
1582684433871,-1.0725002,-3.0888088,-3.1197531
1582684433922,-0.5697477,-2.9968195,-4.2387547
1582684433971,-0.30122697,-2.132652,-4.906632
1582684434022,-1.7907323,-0.4606709,-5.0439873
1582684434071,-2.252701,1.321897,-4.8266597
1582684434121,-2.5162194,3.1020334,-3.8364
1582684434171,-2.733299,4.295453,-2.0056167
1582684434222,-2.2014003,4.6205044,0.2755887
1582684434271,-2.189004,3.621711,2.2554018
1582684434321,-2.629498,1.8433175,4.024906
1582684434372,-2.0892863,0.05607755,5.2835684
1582684434421,-1.1112486,-1.3159485,5.595652
1582684434472,-0.26785588,-1.7909919,5.0412946
1582684434522,-0.41294503,-2.079396,3.6654975
1582684434571,-0.6697473,-2.873998,2.008134
1582684434622,-1.1360985,-3.1921098,0.637214
1582684434671,-1.8992443,-2.952679,-0.79476404
1582684434722,-1.5976115,-2.8304784,-2.1855817
1582684434771,-1.1490988,-2.3761332,-3.227402
1582684434821,-1.4471664,-2.049544,-4.025668
1582684434872,-1.0184319,-0.8590801,-4.645681
1582684434921,-1.2329458,0.8216274,-4.6583724
1582684434972,-1.8943369,2.377944,-3.8549867
1582684435021,-1.9935349,3.7377713,-2.5320978
1582684435071,-2.014099,4.42689,-0.9450738
1582684435122,-1.7807518,4.5027857,0.63592684
1582684435172,-1.9532934,3.51267,2.235987
1582684435221,-1.8564024,2.0513346,3.4162383
1582684435272,-1.5873648,0.3411571,4.016218
1582684435322,-0.91326046,-1.167686,4.292092
1582684435372,-0.40522864,-1.9230182,4.3559856
1582684435421,-0.13206257,-2.2170057,3.6379278
1582684435472,0.4278576,-2.8803284,2.4833405
1582684435522,0.3928339,-3.2159567,1.3232006
1582684435572,-0.9368882,-3.3067546,0.16472536
1582684435622,-1.2105957,-3.5367706,-0.80765593
1582684435671,-1.2578385,-3.9554973,-1.6445844
1582684435721,-1.607382,-4.1395493,-2.1872938
1582684435771,-1.5219204,-3.8723795,-2.3609178
1582684435822,-0.39555198,-3.2486367,-2.1073015
1582684435871,0.12363623,-2.3865736,-1.672372
1582684435921,-0.19780482,-1.8359021,-1.4909947
1582684435971,0.017910082,-1.2891904,-1.2180252
1582684436022,-3.287838,-0.13542344,-0.6293626
1582684436072,-1.7739483,0.053022157,-0.41717026
1582684436121,1.243307,0.12073073,0.080168225
1582684436172,0.72536826,0.55121934,0.3986284
1582684436222,-0.19067356,0.38423896,0.46837848
1582684436271,0.027587492,0.22781314,0.48475793
1582684436322,0.27229506,0.17397906,0.46320838
1582684436372,-0.08114604,0.10012971,0.5422835
1582684436421,-0.6448692,-0.06939024,0.8518814
1582684436471,-0.7650537,-0.24128732,1.287198
1582684436521,0.028467108,-0.41721645,1.7841643
1582684436572,0.77605927,-0.50249416,2.2888432
1582684436622,1.3610758,-0.6020891,2.6174495
1582684436671,2.3037465,-0.58083737,2.6004148
1582684436721,4.5787673,-0.633318,1.9140509
1582684436771,3.2615664,-0.824981,1.7068787
1582684436821,2.6796665,-1.2270105,1.1597525
1582684436871,3.9426548,-1.3713777,0.26633474
1582684436921,3.559023,-0.5516093,0.12114396
1582684436971,-0.1948923,-0.031957407,-0.012966322
1582684437021,-0.62731165,-8.6761545E-4,-0.08489118
1582684437071,-0.40603623,0.050065376,-0.07138736
1582684437121,-0.50255615,0.13486059,-0.11028179
1582684437171,-0.18842968,0.105162315,-0.15646206
1582684437222,-0.14873211,0.1115748,-0.1356787
1582684437272,-0.22279647,0.103080735,-0.1045265
1582684437322,-0.16962564,0.033782646,-0.044031233
1582684437371,-0.14735234,-0.033479467,-0.0042203045
1582684437422,-0.020396117,-0.070733115,0.005061245
1582684437471,0.047271475,-0.029346079,-0.016104907
1582684437522,-0.019772438,0.03925646,-0.039601307
1582684437572,-0.06303346,0.06213684,-0.031934325
1582684437621,-0.06281406,0.035634257,-0.00990198
1582684437672,-0.050582334,0.007933374,0.005390598
1582684437721,-0.06673891,0.01449982,0.009189488
1582684437771,-0.03734083,0.0099238185,0.0038493345
1582684437822,0.015165059,-0.0053896904,0.007807527
1582684437872,0.009888118,0.0025217896,0.022125617
1582684437921,0.07201521,-1.7012656E-4,0.021908866
1582684437971,0.11557958,0.008136389,0.015589917
1582684438021,0.09259683,0.011945936,0.025922624
1582684438072,0.15217002,-0.009045519,0.057153717
1582684438121,0.24289912,-0.013211683,0.11360103
1582684438172,0.6336671,-0.098833814,0.28200766
1582684438221,0.9101855,-0.2542057,0.54738265
1582684438272,1.1630348,-0.43716475,0.83627355
1582684438321,1.5148512,-0.44042572,0.86268336
1582684438371,1.3370926,-0.28409702,0.7186415
1582684438421,1.3034526,-0.38485768,0.76153696
1582684438471,1.0761529,-0.61822546,0.85678923
1582684438521,0.06387072,-0.8598867,0.8223572
1582684438572,-1.0595948,-0.73981446,0.5738038
1582684438622,-0.95677096,-0.5808825,0.38525227
1582684438671,0.3501672,-0.03438561,-0.28051928
1582684438721,-0.8739014,0.41028523,-0.33369514
1582684438772,-0.51856124,0.49187896,-0.13848501
1582684438822,-0.101383455,0.26742783,-0.2058656
1582684438872,-0.6074159,0.1035171,-0.33809185
1582684438922,-0.9657923,0.10042511,-0.3240784
1582684438972,-0.6737074,0.064640135,-0.15381244
1582684439022,-0.50283736,0.10053534,-0.09814035
1582684439071,-0.3946795,0.12454635,-0.07345309
1582684439122,-0.03578264,0.110376835,-5.512242E-4
1582684439171,0.04855342,0.17240818,7.0636394E-4
1582684439221,-0.23445769,0.16832696,-0.08206608
1582684439272,-0.2190608,0.061992314,-0.09391398
1582684439321,-0.24694374,0.050165698,-0.10104231
1582684439372,-0.17093608,-0.039001897,-0.084467374
1582684439421,0.22213067,-0.2580315,-0.03273747
1582684439471,0.106785,-0.22955808,-0.018810414
1582684439521,-0.049664393,-0.058203336,-0.0030954757
1582684439572,0.08287977,-0.06055737,-0.036966573
1582684439621,-0.07633565,-0.022575334,-0.059012257
1582684439672,-0.44409925,-0.027021121,-0.010381669
1582684439722,-0.14072263,-0.1056348,0.07532185
1582684439771,-0.039445687,-0.06932498,0.034999028
1582684439821,-0.10514004,0.093189314,0.009016752
1582684439872,0.039677944,0.18350616,-0.0375535
1582684439921,0.07316867,0.36112854,-0.12176242
1582684439972,-0.12008832,0.44569996,-0.15207784
1582684440021,-0.055291858,0.07913096,0.040259566
1582684440071,0.36261204,-0.1808475,0.029711474
1582684440122,-0.020498436,-0.26428407,0.024795305
1582684440171,-0.019287374,-0.2597017,0.044223547
1582684440222,0.37025633,-0.23043808,-0.05753841
1582684440271,-0.046401065,-0.09365064,-0.1192931
1582684440321,-0.48620152,-0.03910999,-0.024512831
1582684440371,-0.025109466,-0.070141576,0.088239945
1582684440421,-0.007149603,0.02005658,0.086450465
1582684440472,-0.2808016,0.1735191,0.05983888
1582684440521,-0.040633503,0.13664724,-0.017664555
1582684440571,0.13497248,0.08089591,-0.09009839
1582684440621,-0.12269171,0.11104934,-0.050853964
1582684440672,-0.18673047,0.124086455,0.021225173
1582684440721,0.15134043,0.14625494,0.026098005
1582684440772,0.09199169,0.20983745,0.0051355935
1582684440822,0.052243385,0.07757178,-0.015603712
1582684440872,0.2948264,-0.07604519,-0.038567897
1582684440921,0.019716699,-0.1198315,-0.035545807
1582684440971,-0.34634086,-0.130759,0.01345709
1582684441021,-0.0878308,-0.1237808,0.05643694
1582684441072,0.13063042,-0.04102965,0.05111297
1582684441122,-0.100134775,0.041004393,0.06001885
1582684441171,0.041904796,0.121543705,0.017976295
1582684441221,0.1982272,0.09965417,0.022975828
1582684441271,0.17943418,-0.07405666,0.04995555
1582684441322,0.18049568,-0.07309382,0.01847405
1582684441371,-0.10225473,-0.027590908,0.04737248
1582684441422,-0.33715767,0.014057287,0.098010845
1582684441472,-0.42215392,-0.0073122466,0.11866547
1582684441522,-0.3119223,-0.07982168,0.07279122
1582684441572,-0.39430735,0.0038731853,0.04715714
1582684441621,-0.24428342,0.04852187,0.030569352
1582684441671,0.2433018,0.034877174,0.028010458
1582684441721,0.27763417,-0.016455133,-0.035594027
1582684441771,0.40062588,-0.07089839,-0.14050527
1582684441821,0.83414024,-0.07590533,-0.21666534
1582684441872,-0.07115933,0.12817018,-0.2913079
1582684441922,-0.464044,0.31727216,-0.093094066
1582684441972,0.21243949,0.19716199,0.058778185
1582684442021,-0.18488629,0.04070693,0.007974539
1582684442072,-0.32924598,-0.21067996,8.4019685E-4
1582684442121,0.011556294,-0.23601712,2.9463554E-4
1582684442172,0.23611484,-0.1261746,-0.06547214
1582684442221,-0.06963399,0.0015568109,-0.050713163
1582684442271,-0.1145221,0.07925255,0.0021763379
1582684442321,0.16339928,-0.013410476,0.04547933
1582684442372,0.2750763,0.04409324,0.0077017075
