Time,rotX,rotY,rotZosboxe
1582685482921,2.2686632,-0.44793257,0.8872978
1582685482971,1.387898,0.098149166,-0.08071092
1582685483021,0.74461716,0.8296837,-0.8108989
1582685483071,0.89827025,-0.037276343,-0.7266959
1582685483121,-0.22509897,-0.0056186114,-0.447876
1582685483171,-0.5251797,-0.42070866,-0.23675127
1582685483221,0.5075055,-0.3179373,-0.47915813
1582685483271,0.37372014,0.35067055,-0.34036666
1582685483321,0.83524406,0.11919219,-0.5095204
1582685483372,1.918627,0.42186785,-0.5014659
1582685483421,0.32899946,0.63179916,0.0419048
1582685483472,-1.080447,-0.92500013,1.1376591
1582685483522,0.45414066,-2.405876,1.7214636
1582685483571,-0.096607275,-0.3493425,0.11430666
1582685483621,-0.3009687,0.9000061,-0.946981
1582685483671,-0.2901812,-0.6111221,-0.4216094
1582685483722,0.040166236,-0.45731148,-0.5899984
1582685483772,0.37842226,-0.25048038,-0.45816866
1582685483822,0.6656808,-0.3265546,0.061948065
1582685483871,0.7096769,-0.044675365,0.27423552
1582685483921,0.63227534,0.01469422,0.44166034
1582685483971,-0.32812795,-0.11376889,0.3389801
1582685484021,-0.3099279,-0.19617437,0.1692101
1582685484071,-0.24392623,-0.2682591,-0.026455974
1582685484121,-0.20833933,-0.18877788,-0.23460257
1582685484172,3.678589E-4,-0.11028293,-0.22663549
1582685484221,-0.010169558,-0.46089444,0.1438859
1582685484272,-0.14932144,-0.6777151,0.54168934
1582685484321,-0.79149663,-0.49246207,0.716218
1582685484371,-2.0858593,-0.5411412,0.47816706
1582685484421,-1.2365524,-0.5222599,0.41040462
1582685484471,-0.34137732,-0.92322624,1.230523
1582685484521,-0.68137485,-0.6834454,1.1445568
1582685484571,-2.7104678,-0.13687323,-0.5965218
1582685484622,-1.2420835,0.14395057,-0.3443301
1582685484672,-1.160563E-4,0.2388211,0.5671193
1582685484722,-1.1800222,0.31307423,0.35429287
1582685484772,-0.74066967,0.7699002,-0.13707353
1582685484821,-0.5089636,1.0307943,-0.44415525
1582685484871,0.062251084,1.1047422,-0.43636566
1582685484922,0.6747493,1.3386941,-0.32530823
1582685484971,0.7655879,1.1981071,-0.26216498
1582685485022,0.8741072,1.1388375,-0.29586616
1582685485071,0.5207152,0.96672523,-0.18839374
1582685485122,-0.094861425,-0.15293969,0.04444876
1582685485171,-0.03872586,-0.69245636,0.13075936
1582685485222,-0.32582217,-0.40321591,0.12773998
1582685485271,-0.88184774,-0.88831306,-0.12932386
1582685485322,-1.0462404,-1.3216416,-0.24057525
1582685485372,-0.29475266,-1.8123575,0.5289187
1582685485421,-1.2712679,-2.147364,0.30590957
1582685485471,-0.9079535,-2.0177236,-0.27583894
1582685485522,-1.8569992,-2.4637108,-0.5225248
