Time,rotX,rotY,rotZosboxe
1582683302059,-0.21240234,0.07104131,-0.04319448
1582683302109,-0.04830338,0.068499476,0.035166238
1582683302159,0.101988725,0.015140157,0.11490061
1582683302209,0.028065044,-0.055437468,0.36873794
1582683302259,-0.72724694,-0.07066168,1.1368641
1582683302309,-2.5008016,-0.12131159,2.4346707
1582683302359,-3.361821,-0.4650541,3.64938
1582683302409,-2.2888737,-0.9060239,4.465865
1582683302458,-2.0815215,-1.1505113,4.595919
1582683302509,-1.395602,-1.1690108,3.6441793
1582683302559,-0.33005774,-0.622417,1.8777308
1582683302609,0.5116528,-0.064165935,0.32156643
1582683302659,0.64905053,0.05917623,-0.3998894
1582683302709,0.23025976,0.13866538,-0.631145
1582683302759,0.09070483,0.32196435,-0.8303349
1582683302809,0.6094847,0.6510505,-1.454771
1582683302859,0.28361154,1.1680468,-2.4744046
1582683302909,-0.7746003,1.2723416,-3.3448749
1582683302959,-1.3222276,0.7710431,-3.8869264
1582683303008,-2.7256896,-0.22283688,-4.357226
1582683303059,-2.4810605,0.23603204,-4.499215
1582683303109,-1.1819805,0.71029884,-3.9649594
1582683303159,-1.0670668,0.6439807,-3.8189564
1582683303209,-5.751194,1.5287907,-3.5451505
1582683303259,-0.09240884,0.5170763,-0.18417859
1582683303309,0.9332457,-0.80124754,-0.112487204
1582683303359,-0.93865794,0.034305,-0.2186456
1582683303409,-0.93910867,0.009439761,0.28629506
1582683303459,0.7164679,-0.040606357,0.70949376
1582683303509,0.19501492,0.04926672,0.62787193
1582683303559,0.2896657,-0.038819365,0.24818808
1582683303609,0.5221426,0.10704973,-0.13790989
1582683303659,0.003870991,0.093022466,-0.22888227
1582683303709,-0.16071545,0.08006385,-0.14447847
1582683303759,-0.020384938,0.039376967,-0.069216765
1582683303808,0.07260101,0.023252187,-0.023513217
1582683303859,0.04394145,-0.017265538,0.035707694
1582683303909,0.058030453,-0.020725066,0.025849987
1582683303959,0.01185199,0.0070766304,-0.013815964
1582683304009,-0.009301023,0.013860293,-0.020038754
1582683304059,-0.014824494,0.0041050315,-0.0044917706
1582683304109,-0.016863063,-3.4435932E-4,0.0057630334
1582683304159,-0.014023499,5.633328E-4,0.0076416535
1582683304209,0.001584376,-0.003847098,0.010036569
1582683304259,0.0012908035,-0.0023834417,0.001983862
1582683304309,0.08166551,-0.0131747965,0.01229044
1582683304359,1.2879235,-0.16163859,0.30657226
1582683304409,4.978081,-0.72917956,1.4071656
1582683304459,8.317534,-1.1595085,2.1193833
1582683304509,2.8980083,0.7831827,3.0787432
1582683304559,0.3533394,1.6355299,3.2476761
1582683304609,0.55558616,2.9604938,2.8608704
1582683304659,-2.076455,3.1575663,2.0586236
1582683304709,-0.51137406,2.2957408,0.8519237
1582683304759,2.7816114,1.5739671,-0.22864525
1582683304809,3.6737394,0.3368548,-1.0510637
1582683304859,1.3717493,-0.38143972,-0.73616475
1582683304909,0.8675253,-0.734313,0.7037207
1582683304959,-3.5083585,-0.022601493,2.4526265
1582683305009,-4.4467525,-0.08179106,3.529214
1582683305059,-3.1456535,-0.38416624,3.7781549
1582683305109,-1.593108,-0.6161264,3.3329513
1582683305159,-0.19220556,-0.59112036,2.4850874
1582683305209,0.6218187,-0.3748527,1.5063308
