Time,rotX,rotY,rotZosboxe
1582685152922,0.87564045,4.259721,-0.60375494
1582685152972,1.4068333,5.064523,-1.0699081
1582685153022,1.261147,5.6459656,-1.4259604
1582685153072,0.91880035,6.0128675,-1.8410983
1582685153121,0.3904148,6.27846,-2.1138387
1582685153171,-0.34827605,6.1322846,-2.041912
1582685153221,-0.95824134,5.1938214,-1.4378341
1582685153272,-0.12020138,3.0415761,-1.00408
1582685153322,0.6038552,-0.21439838,0.0076242927
1582685153371,1.2594469,-3.6240723,1.3922231
1582685153421,0.83267564,-6.1218324,2.2908535
1582685153471,0.39461714,-6.9698067,2.9275136
1582685153521,-0.3724127,-7.033189,3.1428707
1582685153571,-1.1600593,-6.521959,2.7035613
1582685153621,-2.5905404,-5.171069,1.7947028
1582685153671,-2.8042936,-4.015106,1.1204686
1582685153722,-0.8741494,-2.0973847,0.69527936
1582685153771,0.8607616,1.1830385,-0.0688251
1582685153821,1.5456128,3.4079325,-0.66278774
1582685153872,2.112877,4.713204,-1.2356153
1582685153922,2.2261472,5.202668,-1.7769998
1582685153971,1.7121841,5.188946,-2.3629546
1582685154021,0.21935824,5.553547,-2.4891214
1582685154072,0.53432363,5.4945307,-2.3975816
1582685154122,-0.011060387,4.705548,-1.6647813
1582685154171,0.17701575,2.879831,-0.75325626
1582685154221,0.5591305,0.07748676,0.0016047303
1582685154272,0.29170752,-3.162493,1.0671089
1582685154321,-0.032534376,-5.527075,2.1154695
1582685154372,-0.25799158,-6.4496903,2.779416
1582685154421,-0.4101444,-6.428892,3.1672986
1582685154471,-1.4730965,-5.6627054,3.015511
1582685154522,-2.2227006,-4.508975,1.9856603
1582685154571,-2.4149086,-3.6475685,1.0875163
1582685154622,-1.3871837,-2.662707,0.979831
1582685154672,-0.16864237,0.35072815,0.33051378
1582685154721,0.41561696,2.3264873,-0.5183723
1582685154771,2.0169842,3.8398774,-1.0023601
1582685154821,1.9577694,4.9531355,-1.4292209
1582685154871,2.0261803,5.405494,-2.0683775
1582685154922,1.7243187,6.2078886,-2.416693
1582685154971,1.2527229,6.33614,-2.61634
1582685155022,0.6547666,5.001872,-2.2504635
1582685155072,-0.3911392,2.3083282,-1.4956057
1582685155121,-0.29027784,-1.8768376,-0.744696
1582685155171,-0.114415646,-4.421371,0.5820329
1582685155222,0.08777597,-5.3159037,1.8304845
1582685155271,0.03613674,-5.5163703,2.7180648
1582685155321,0.022283405,-5.333851,3.2475462
1582685155371,-0.41192135,-4.8773437,3.0980515
1582685155422,-2.436877,-4.3937626,2.0809736
1582685155471,-1.7212192,-3.536346,0.5017571
1582685155522,-0.616102,-1.6843508,0.1661713
1582685155572,0.4301008,0.68275696,-4.913714E-4
1582685155621,0.74461997,2.313191,-0.3049129
1582685155671,0.9602092,3.4272916,-0.79361147
1582685155721,1.126037,3.9977274,-1.3033223
1582685155772,1.2184571,4.1619353,-2.0592015
1582685155821,1.3625822,4.164622,-3.0877786
1582685155871,1.4430379,3.7684643,-4.274951
1582685155922,-0.015739828,3.6913307,-5.07055
1582685155972,-1.3645492,4.061852,-5.1336403
1582685156021,-0.7598103,3.1565294,-4.664184
1582685156071,1.4407202,1.1808232,-3.847039
1582685156122,4.256492,-0.72521865,-3.2332215
1582685156171,8.314559,-2.3213856,-2.7858164
1582685156222,12.03,-3.7438598,-1.0136719
1582685156271,11.334968,-2.1863635,0.99022365
1582685156321,7.4406896,1.5091554,-0.07738791
1582685156371,4.522627,1.6714398,-1.3804113
1582685156421,0.57869667,2.0887165,-0.6420205
1582685156471,-3.3816493,1.4279715,0.13540685
1582685156522,-2.2242181,0.5073041,0.49158353
1582685156571,-0.16736636,0.3160358,0.6437314
1582685156622,-0.9957227,0.56524897,1.4085793
1582685156671,-3.6891248,0.36382693,2.5617058
1582685156721,-5.6609063,-1.0307904,2.997705
1582685156771,-5.712575,-1.8745567,1.8629489
1582685156821,-4.8199406,-0.040144227,-0.5737076
1582685156871,-3.8856332,0.2725458,-0.44307512
1582685156921,3.4759185,-0.17098242,-0.565001
1582685156971,2.5037112,-0.3065961,0.01658239
1582685157022,-0.30304846,0.15581739,0.15275265
1582685157071,0.42979303,0.08813388,0.018376285
1582685157121,0.99320394,0.014802356,-0.13601002
1582685157171,0.053714983,0.041510906,-0.076611795
1582685157221,-0.23344594,0.017352637,0.024508057
1582685157271,-0.07804749,-0.055273414,0.0046393164
1582685157321,0.024466027,-0.066822894,-0.02757046
1582685157372,0.030953772,-0.03602212,-0.009318715
1582685157421,-0.0653957,-0.01943804,0.0042324653
1582685157471,-0.06544216,-0.01700097,0.0017654779
1582685157521,0.0034013088,-0.027997173,-0.0068432814
1582685157572,0.004026841,-0.064502455,-0.007892462
1582685157621,-0.0638618,-0.039118383,0.0102839
1582685157672,-0.07878983,0.0029026521,0.018228762
1582685157722,-0.009589426,-0.029047288,5.7339855E-4
1582685157771,-0.0035712365,-0.05408103,-0.003694162
1582685157821,-0.037954137,-0.05766444,0.004011634
1582685157872,-0.058615662,-0.030392818,0.017290808
1582685157922,-0.06435584,0.0065562455,0.026976692
1582685157971,-0.03467392,-0.04258666,0.007116004
1582685158021,-0.0042353333,-0.0672306,-0.0022563215
1582685158071,-0.014648344,-0.06135588,-0.0027904585
1582685158121,-0.010952089,0.0068423874,0.0057168473
1582685158172,0.02094818,0.013606398,0.0033231545
1582685158222,0.02002946,0.008452391,0.0036273925
1582685158271,0.0020118994,0.017576978,0.004664541
1582685158321,0.011327557,0.015455791,0.0057510454
1582685158371,0.014626913,0.018095575,0.006211455
1582685158421,0.0050059813,0.0012276117,0.004664541
1582685158471,-0.013181154,0.008011339,0.0063277837
1582685158522,-0.0062402487,0.0067119454,0.002461223
1582685158571,0.0072544566,0.002201673,9.784242E-5
1582685158621,-0.014714951,-0.007901899,4.93017E-4
1582685158671,-0.027508788,-0.015553619,6.227647E-4
1582685158721,-0.019125605,0.016606698,0.0033923993
1582685158772,-0.013490561,-0.0024957303,-0.0016241237
1582685158821,-0.022720935,-0.003277124,-0.002081675
1582685158872,-0.010576561,0.017824959,0.0027847402
1582685158921,0.019958748,7.371744E-4,-0.012375459
1582685158971,0.023286425,-0.0132236695,-0.011715695
1582685159021,0.011279428,-0.017412666,-0.007211622
1582685159072,0.0016565421,-0.011197454,-0.003167546
1582685159121,0.0017435937,-0.018693238,2.4155015E-4
1582685159172,-0.00584005,-0.013491326,-0.0013739243
1582685159221,0.012666719,-0.0030650152,-3.8885046E-5
1582685159271,0.002820916,-0.009759243,4.0454138E-4
1582685159321,-0.042976804,-0.0152952885,0.0016628443
1582685159371,-0.024040626,0.01553167,0.0010327087
1582685159421,0.01909075,-0.0036108587,-0.0032187295
1582685159471,-0.008463895,-0.0049723545,8.366164E-4
1582685159522,-0.025705589,0.01727133,0.0053943777
1582685159571,9.82014E-4,0.006023201,0.0013914471
1582685159621,0.006680555,0.013125669,0.0012942506
1582685159671,-8.1955455E-4,0.012972948,0.0025345418
1582685159721,0.0024140142,0.009294,0.0017220322
1582685159771,0.009239342,0.013700663,0.0020091422
1582685159822,0.012578825,0.013695702,-0.0013290991
1582685159871,0.019942304,0.010232904,0.0010905825
1582685159922,0.01645602,0.015651673,-0.0047177686
1582685159971,-0.020456258,2.8755702E-4,-0.012314248
1582685160021,-0.05546826,-0.02348794,-0.0203607
1582685160071,-0.078349024,-0.0015388755,-0.028748984
1582685160122,-0.025003456,1.7176475E-4,-0.019895082
1582685160172,-0.021355879,0.0217681,-0.007686545
1582685160221,-0.12351784,0.0460577,-0.0042546466
1582685160271,-0.1256205,0.024367299,-0.0076206373
