Time,accX,accY,accZ
1582685079147,2.5393538,-9.616645,-1.3072383
1582685079196,2.9271333,-9.069169,-0.29549667
1582685079247,2.6104562,-8.384586,0.75279653
1582685079297,2.5823004,-8.80462,0.5722571
1582685079347,3.0695395,-9.9872875,-0.88514805
1582685079396,2.8801825,-9.541288,-1.1504431
1582685079447,2.9931607,-8.975837,-0.19500679
1582685079497,2.694774,-8.439819,0.83282596
1582685079546,2.7440295,-8.82063,0.556014
1582685079596,2.97522,-9.813566,-0.85330254
1582685079646,2.72803,-9.492969,-1.226169
1582685079697,2.956219,-9.103675,-0.34129885
1582685079746,2.767651,-8.592079,0.62303096
1582685079797,2.8099945,-8.950375,0.4648539
1582685079846,2.9768,-9.806461,-0.9816268
1582685079896,2.6073513,-9.318722,-1.3685863
1582685079947,2.9454944,-9.120738,-0.44273013
1582685079996,2.9065251,-8.692219,0.5490554
1582685080046,2.8972702,-8.994375,0.50179994
1582685080097,3.2429197,-10.243588,-1.0920385
1582685080146,3.6638196,-13.271546,-1.4008389
1582685080196,3.052502,-16.214815,0.25072896
1582685080247,1.5381644,-13.072483,3.242147
1582685080296,-1.8254552,-9.504657,3.3323696
1582685080346,-2.358344,-7.3645697,3.7590919
1582685080397,-2.5009446,-5.3514023,4.6417694
1582685080447,-3.523324,-4.6005406,3.9383814
1582685080497,-3.599082,-5.1043353,3.9057264
1582685080546,-3.8556235,-4.9301043,3.225586
1582685080596,-3.887145,-4.950839,2.467155
1582685080646,-4.10126,-5.228195,2.5022469
1582685080696,-4.9768667,-5.39977,2.6474934
1582685080747,-5.7020206,-6.5375214,2.8193371
1582685080797,-6.506483,-7.132935,3.1897016
1582685080846,-6.527201,-7.1294923,2.5845852
1582685080897,-5.6334977,-7.297639,2.669465
1582685080946,-5.800313,-7.3941197,2.4758089
1582685080996,-6.4763975,-7.3097634,1.2264228
1582685081046,-6.3178205,-6.6630883,0.48052984
1582685081096,-6.541999,-7.080983,0.5768603
1582685081147,-6.857605,-7.483094,0.54859626
1582685081197,-6.45585,-7.2438197,0.8384407
1582685081246,-6.275009,-7.1599417,1.0490502
1582685081296,-6.4165664,-6.9359283,1.0794424
1582685081347,-6.349089,-6.9948006,1.0960733
1582685081396,-6.153336,-7.38347,1.1176391
1582685081446,-6.049856,-6.9825583,1.3986623
1582685081496,-6.078494,-6.5171328,1.9164728
1582685081547,-6.035495,-6.862145,2.0767376
1582685081596,-5.595021,-7.184498,2.3309538
1582685081646,-5.469506,-7.251251,2.6904678
1582685081697,-6.0516415,-7.4680614,2.6183174
1582685081746,-6.066382,-7.251146,2.3185594
1582685081796,-6.0849066,-7.1320596,2.6960564
1582685081846,-5.9942455,-6.8513155,3.5451078
1582685081897,-5.642946,-6.6203938,4.4357204
1582685081946,-5.3885727,-6.6265664,4.668786
1582685081997,-5.489112,-6.882391,4.523119
1582685082046,-5.439874,-6.627633,3.9683607
1582685082096,-5.630012,-6.841398,3.730609
1582685082147,-5.876186,-7.0720487,3.3873527
1582685082196,-5.8888054,-6.7834296,3.4155774
1582685082246,-5.821567,-6.781429,3.7213643
1582685082296,-5.8737845,-6.652175,3.6481838
1582685082347,-5.7731805,-6.618455,3.7574453
1582685082396,-5.6741657,-6.382672,4.1374907
1582685082446,-5.6469345,-6.1921325,3.916303
1582685082496,-5.705928,-6.65174,3.8476431
1582685082546,-5.822443,-6.718999,4.277535
