Time,rotX,rotY,rotZosboxe
1582683852822,-0.36377677,0.38154826,-0.82442325
1582683852871,-0.04486558,0.2557034,-0.36028868
1582683852921,0.04206643,0.047131542,-0.20695083
1582683852971,-0.13219556,-0.023323,-0.21308656
1582683853021,-0.15221706,-0.050593767,-0.15259492
1582683853072,0.23253807,-0.12642848,-0.09093801
1582683853122,0.14115503,-0.07036693,-0.08541673
1582683853172,-0.29447594,0.007072251,-0.19288836
1582683853221,-0.054330345,-0.062936895,-0.16277383
1582683853271,0.0031025375,0.023227658,0.023708878
1582683853321,-0.14389631,0.0026075426,0.10099719
1582683853371,-0.6496407,-0.21959358,-0.0300245
1582683853421,-0.32885957,-0.3835979,-0.11386583
1582683853471,-0.3194146,-0.4278365,-0.08631546
1582683853522,-0.091757126,-0.34136447,-0.107547484
1582683853572,0.35375515,-0.18122026,-0.20984681
1582683853621,-0.09744906,-0.022592185,-0.19644302
1582683853671,-0.49393636,0.021863664,-0.20721103
1582683853721,-0.19557989,0.06360084,-0.28160307
1582683853772,-0.4414628,0.19555873,-0.13665628
1582683853821,-0.81131303,0.2146738,-0.031193944
1582683853872,0.23293488,0.28952742,-0.15558721
1582683853921,0.5020853,0.41236532,-0.18943393
1582683853972,-0.4675592,0.26647177,0.031961136
1582683854022,-0.7804407,0.09268645,0.10894307
1582683854071,-0.67941636,0.00378075,0.2724966
1582683854122,-0.16282436,0.021445101,0.3871653
1582683854172,0.1306708,0.084330685,0.2823246
1582683854221,0.3528833,0.12247517,0.07629003
1582683854271,0.3794608,0.07935985,-0.08518984
1582683854322,0.42162997,0.00913265,-0.083455764
1582683854371,0.35219103,-0.06478401,0.1640182
1582683854421,0.3007336,-0.10601026,0.2562472
1582683854471,0.181611,-0.1348943,0.28771544
1582683854522,0.21744436,-0.18205751,0.18031867
1582683854572,-0.012129203,-0.09383928,-0.0316293
1582683854621,0.016392443,0.040761333,-0.12236419
1582683854672,0.264026,0.14360598,-0.16755004
1582683854721,-0.055938486,0.15448032,-0.0040753274
1582683854771,-0.5186684,0.008124069,0.18430118
1582683854821,-0.08036499,-0.032045472,0.29406652
1582683854871,0.02946902,0.04373899,0.28516153
1582683854922,-0.050219372,0.06519207,0.14627154
1582683854971,-0.2047529,0.03902442,-0.006516058
1582683855022,-0.06686524,0.06732929,-0.026473189
1582683855072,1.7046037,0.2848158,0.44892263
1582683855121,6.7462306,-0.13058361,1.3872309
1582683855172,5.9922285,0.04639365,1.9266223
1582683855222,-0.5939682,2.1668916,2.1925464
1582683855271,-3.8138735,3.0075383,1.3893967
1582683855321,-4.333653,3.2580857,0.69823587
1582683855371,0.466931,2.8649592,0.021356607
1582683855421,2.7445645,1.3411127,-0.588986
1582683855472,-0.81852585,0.20408377,-0.21302997
1582683855522,-0.76371205,-0.1116204,0.15793689
1582683855572,-0.04815226,0.17901754,0.14886676
1582683855622,-0.3232779,0.23443751,-0.034868
1582683855672,-0.48423705,0.18909076,0.034902766
1582683855721,-0.28528497,0.117337786,-0.06670493
1582683855772,-0.5677698,0.10216101,-0.23033668
1582683855822,-0.66527665,0.19132134,0.11813664
1582683855871,-0.63109815,0.1969521,0.20903458
1582683855922,-0.49626386,0.064421326,0.047237925
1582683855971,-0.13786066,0.060414527,-0.007585993
1582683856021,-0.056289922,0.13547766,0.040250022
1582683856071,0.07840489,0.25366956,0.089578144
1582683856122,-0.13703775,0.34921262,0.082085304
1582683856172,-0.12228629,0.3962038,0.08823602
1582683856222,-0.21398404,0.3586141,0.07863403
1582683856271,-0.1379761,0.25937724,0.076282136
1582683856321,-0.15689436,0.14456387,0.07622911
1582683856371,-0.06683676,-7.421635E-4,0.08475895
1582683856422,0.07210206,0.0042161667,0.084970884
1582683856472,-0.087885045,-0.016737912,0.02350285
1582683856522,-0.12482162,-0.029974803,-0.011474425
1582683856572,-0.124307945,-0.06742764,-0.008440649
1582683856622,-0.12819909,-0.07817551,-0.01286242
1582683856671,0.009930204,-0.05787458,0.006518288
1582683856721,-0.04073136,0.027411643,0.01097035
1582683856771,-0.027342834,-0.012463782,0.016265035
1582683856821,-0.049555153,-0.064094506,-4.6057487E-4
1582683856871,-0.052745942,-0.0992127,-0.013689501
1582683856921,-0.12787336,-0.113915086,-0.03179028
1582683856971,-0.084758304,-0.13024613,-0.024860436
1582683857021,-0.08605238,-0.10268069,-0.03287652
1582683857071,-0.014921692,-0.06801816,-0.039254814
1582683857122,0.2399999,0.048881177,-0.054904
1582683857171,0.94767725,0.28818554,0.093766846
1582683857221,1.1626374,0.78146255,0.4005866
1582683857272,1.4463108,0.9690497,0.46441272
1582683857322,1.0183822,0.5430201,0.24400364
1582683857372,0.8866681,-0.5159539,-0.053477746
1582683857421,-0.034880105,-2.1173809,-0.58086455
1582683857471,-1.0095582,-3.269474,-1.3547552
1582683857521,-0.8885414,-3.2045288,-1.8157804
1582683857571,0.48302886,-2.0846403,-1.420744
1582683857621,0.048947986,-0.940065,-0.88401663
1582683857671,-1.4610885,-0.73091453,-0.6694349
1582683857721,-2.173072,-0.6426324,-0.74069667
1582683857771,-0.9429141,-1.05091,-1.4560599
1582683857822,-0.9812305,-0.031007353,-1.7052745
1582683857872,-4.135035,1.074222,-0.38550413
1582683857922,-3.0290458,0.5730012,0.2687295
1582683857971,-0.20471057,0.18251827,0.14860275
1582683858022,1.1794972,-0.044767953,0.19016607
1582683858072,0.7619737,-0.07456768,0.26850295
1582683858121,-0.2109446,-0.027508646,0.16472496
1582683858171,-0.070099555,0.06721409,-0.01409791
1582683858221,0.022735383,0.13351282,-0.14567585
1582683858271,-0.09180917,0.1262903,-0.1313235
1582683858321,-0.01602346,0.020672131,-0.014248259
1582683858372,0.071027346,-0.03109118,0.03539112
1582683858421,0.13033628,-0.018893894,0.026995616
1582683858472,0.07022476,0.0042630103,0.008305078
1582683858521,0.02913693,0.018508852,-0.008829343
1582683858571,0.056157615,0.006023146,0.0053556454
1582683858621,0.041932054,0.0017022854,0.008025723
1582683858671,0.055107094,0.001887443,0.014837338
1582683858722,0.067580186,0.0063014147,0.0042257463
1582683858772,0.13176818,0.01929752,-0.013932582
1582683858822,0.12941253,0.019673903,-0.009721573
1582683858871,0.009092714,0.006882272,2.5496446E-4
1582683858921,-0.037353896,-2.367394E-4,-0.007758301
