Time,rotX,rotY,rotZosboxe
1582685942922,2.0735583,0.22468415,5.706628
1582685942971,5.3767653,1.201155,5.8607306
1582685943021,5.753965,1.9933639,6.0341177
1582685943072,5.2845464,2.337303,5.876784
1582685943121,4.496664,2.0906181,5.544284
1582685943172,3.438613,1.2161453,5.0401263
1582685943221,1.9684775,0.091842495,4.186522
1582685943272,0.70670396,-0.6970253,3.1166928
1582685943321,-1.7806882,-1.2514178,1.9160194
1582685943371,-2.223731,-0.83209765,1.0604426
1582685943421,-2.358085,-0.17996235,0.7617661
1582685943472,-2.9951792,-0.058124904,0.58921987
1582685943522,-2.4511478,0.14205222,0.42965668
1582685943571,-0.8615641,0.02614845,0.06997073
1582685943622,-1.4998853,0.09058458,0.20176981
1582685943672,-1.372447,0.3217096,-0.037735607
1582685943722,-0.58162016,0.40144727,-0.02463685
1582685943771,-0.7932,0.36538485,-0.4152423
1582685943822,-0.843975,0.7026647,-0.50241584
1582685943871,0.17871703,0.9562968,-0.3493923
1582685943922,0.12095999,1.2033628,-0.18281904
1582685943972,-0.83568615,1.8487313,0.26752242
1582685944021,-0.19854204,2.2349324,0.1401299
1582685944071,-1.7738181,2.4901078,-0.30185297
1582685944121,-1.4420263,2.9274867,-1.0860951
1582685944171,-1.4792511,3.4869936,-2.0720854
1582685944222,-1.8939829,3.6356597,-2.7374365
1582685944272,-1.7895578,3.007769,-3.1919155
1582685944322,-1.6367364,2.4855344,-3.598827
1582685944372,-1.8033428,2.3030767,-3.630168
1582685944421,-2.1280057,1.7240103,-3.258008
1582685944471,-1.6709102,1.2328196,-2.8091266
1582685944521,0.016521119,1.1018598,-2.6481602
1582685944571,0.10685742,1.0182692,-2.765067
1582685944621,-0.28058812,1.1024218,-2.9985704
1582685944671,-0.3357683,1.179554,-3.0562675
1582685944722,-0.23255235,1.0971624,-3.1833549
1582685944771,0.113974266,1.0095315,-3.2985065
1582685944822,1.1086272,0.85546136,-2.6711056
1582685944872,1.4092555,0.12594101,-0.793177
1582685944921,0.44850117,-0.46647182,0.012239467
1582685944972,-0.051626854,-0.08615612,-0.24212642
1582685945021,-0.32560116,0.21187629,0.0082123615
1582685945071,-0.2072718,0.15749435,0.35719782
1582685945122,-0.1523302,0.028919172,0.22760125
1582685945171,0.07257184,-0.029835995,-0.09378213
1582685945221,0.052552767,-5.319258E-4,-0.1304885
1582685945271,-0.10299416,0.015873747,0.024221232
1582685945321,-0.14238015,-0.0014821589,0.010874532
1582685945372,-0.11397002,-0.014449923,-0.03351314
1582685945421,-0.041716896,-0.037935313,0.041786138
1582685945472,0.042561088,-0.033860214,0.12386213
1582685945522,0.02872752,0.0066408953,0.08325384
1582685945571,-0.075743504,-0.0070974045,-0.03998461
1582685945621,-0.023781858,0.01583687,-0.14468266
1582685945672,0.046366632,0.030465253,-0.16213961
1582685945721,0.06068422,0.011413713,-0.04190439
1582685945772,0.041774817,-0.0035635177,0.079759136
1582685945821,0.038803484,-0.0066011995,0.07892977
1582685945872,0.02401284,-2.1496881E-4,0.009355098
1582685945921,0.018901074,0.012006935,-0.054291833
1582685945972,0.042242933,0.014243997,-0.069098525
1582685946021,0.051613797,0.007071357,-0.035512194
1582685946072,0.016375974,-2.1119975E-4,0.024492558
1582685946121,0.010921089,0.0017453912,0.036967598
1582685946172,0.04615791,0.0044524423,9.3385344E-4
1582685946221,0.051250957,-0.0024709725,8.086236E-4
1582685946272,-0.01630165,-0.0033797156,-0.0050655976
1582685946321,-0.023029193,-0.0032677418,-0.04586281
1582685946371,-0.0030883711,-0.023922607,0.07248812
1582685946422,-0.052261278,0.005139039,0.20871946
1582685946472,-0.06873297,0.058512524,-0.095784985
1582685946522,-0.020450922,0.025031254,-0.23847556
1582685946572,0.06463528,-0.012538704,0.09617171
1582685946622,0.053044647,-0.008358423,0.19249909
1582685946671,0.060678557,-0.008218532,0.015548855
1582685946722,0.15625854,-0.0072957855,-0.024375098
1582685946771,0.25433028,0.0044229515,0.057175707
1582685946821,0.09548398,0.02915312,0.15756656
1582685946871,-0.03950721,0.15055436,0.5597474
1582685946921,0.6067596,0.3513229,0.9225565
1582685946971,3.207828,0.30990592,0.9621298
1582685947021,4.6449065,-0.20097314,0.9796018
1582685947072,3.4575782,-0.53035223,0.9308371
1582685947122,3.6196315,-0.3696179,0.59819543
1582685947171,2.8848205,-0.13181552,0.31022975
1582685947222,0.44934493,-0.20099832,0.4058661
1582685947271,-0.684183,-0.6106146,0.53342474
1582685947321,-0.22204624,-1.0768027,0.64608496
1582685947371,0.071504086,-0.9856165,0.3779181
1582685947422,-1.1983302,-0.34886113,0.12499201
1582685947471,-1.0615623,0.023010757,-0.055649333
1582685947522,-0.0436228,0.0553974,-0.16304627
1582685947572,0.20391117,0.013572657,-0.16662575
1582685947622,-0.17611893,-0.071908735,-0.13792361
1582685947671,-0.04740579,-0.118449725,-0.0992734
1582685947722,-0.17955291,-0.23903292,-0.069507964
1582685947772,-0.10261046,-0.27342236,-0.07149524
1582685947821,-0.030532207,-0.1656075,-0.084819116
1582685947872,-0.075584054,-0.0930173,0.012730423
1582685947922,-0.043046314,-0.0022464385,0.008620795
1582685947971,0.022195412,0.07103055,-0.011732841
1582685948022,0.040139776,0.103058465,0.101471
1582685948072,-0.012119761,0.0403207,0.10171902
1582685948122,-0.011822875,-0.03916832,0.040432192
1582685948172,-0.13534032,-0.060926985,0.0064080334
1582685948222,-0.073906764,-0.10356714,-0.02632615
1582685948272,-0.010712233,-0.10412802,-0.025852168
1582685948321,0.0718001,-0.0809715,-0.007911082
1582685948371,0.17207618,-9.0050977E-4,0.037161086
1582685948422,0.108750924,0.09635478,0.0073878462
1582685948471,0.05267414,0.034289118,-0.038360305
1582685948521,0.046761386,-0.011671702,-0.025962193
1582685948571,-0.0040739514,0.013050391,0.0069148517
1582685948622,-0.081502974,-0.024828754,-0.00874664
