Time,accX,accY,accZ
1582684352272,2.1523268,-7.2882915,6.1881566
1582684352321,2.1784244,-7.2128572,6.1588907
1582684352372,2.2069356,-7.183563,6.137103
1582684352422,2.1883087,-7.2276106,6.156904
1582684352471,2.1733563,-7.1959863,6.155071
1582684352521,2.1775918,-7.217388,6.1509137
1582684352571,2.193942,-7.2017055,6.151469
1582684352621,2.202658,-7.228292,6.1594524
1582684352671,2.1856253,-7.21301,6.152092
1582684352721,2.2001426,-7.2214255,6.1302114
1582684352772,2.187323,-7.2099338,6.1535597
1582684352821,2.1749032,-7.226521,6.1535325
1582684352872,2.1744118,-7.201309,6.127585
1582684352921,2.2228863,-7.2728095,6.0996757
1582684352971,2.2387562,-7.2362285,6.121732
1582684353022,2.1959105,-7.269511,6.093906
1582684353072,2.221984,-7.2557592,6.108995
1582684353121,2.2312562,-7.210271,6.137279
1582684353171,2.2199197,-7.255753,6.0958548
1582684353221,2.238313,-7.256706,6.083367
1582684353272,2.20064,-7.2274704,6.0961432
1582684353321,2.2148354,-7.273114,6.1088095
1582684353372,2.220582,-7.2694416,6.119525
1582684353421,2.2454076,-7.260159,6.1129165
1582684353471,2.2874806,-7.213239,6.0643373
1582684353521,2.2388504,-7.2349896,6.096794
1582684353571,2.2248974,-7.2667727,6.0859404
1582684353621,2.2167573,-7.211434,6.124319
1582684353671,2.2276237,-7.2804813,6.120492
1582684353721,2.2511246,-7.226459,6.0740285
1582684353771,2.2610195,-7.219866,6.099996
1582684353821,2.224929,-7.2277737,6.106934
1582684353871,2.1773894,-7.2605863,6.0984936
1582684353922,2.1949513,-7.2692814,6.102194
1582684353972,2.2371743,-7.21891,6.112798
1582684354022,2.2010782,-7.2869487,6.076622
1582684354071,2.1763783,-7.230661,6.1318946
1582684354121,2.2230003,-7.2244287,6.121915
1582684354172,2.2107446,-7.228981,6.12565
1582684354221,2.2247314,-7.279173,6.0863514
1582684354271,2.1988132,-7.210315,6.11798
1582684354321,2.2033002,-7.2845316,6.1110244
1582684354372,2.1975079,-7.2265606,6.0876036
1582684354421,2.224063,-7.2550044,6.1182294
1582684354472,2.1958776,-7.248083,6.1139107
1582684354521,2.1955283,-7.2577906,6.108882
1582684354572,2.197024,-7.248599,6.12014
1582684354621,2.2086904,-7.2440042,6.0985794
1582684354671,2.2077527,-7.2547674,6.1275697
1582684354721,2.196511,-7.243179,6.1177144
1582684354772,2.1987357,-7.2480173,6.1198273
1582684354822,2.2067368,-7.2394595,6.1121907
1582684354872,2.2031603,-7.232364,6.109303
1582684354921,2.1966178,-7.2490554,6.1182437
1582684354971,2.1905694,-7.2968335,6.108602
1582684355022,2.2207778,-7.174222,6.095241
1582684355071,2.2084584,-7.245259,6.127477
1582684355122,2.1682353,-7.2524443,6.1276093
1582684355172,2.2477024,-7.2461457,6.090085
1582684355221,2.1472971,-7.2318716,6.150121
1582684355272,2.198505,-7.2563787,6.1119666
1582684355322,2.189967,-7.2401867,6.1277175
1582684355371,2.205427,-7.2456937,6.114008
1582684355421,2.180534,-7.2060337,6.124
1582684355471,2.1881392,-7.251349,6.126203
1582684355522,2.2030742,-7.229088,6.125362
1582684355571,2.1917567,-7.24943,6.1089506
1582684355621,2.1843576,-7.2317324,6.1289797
1582684355671,2.1583507,-7.287739,6.1323094
1582684355721,2.2106752,-7.205635,6.115485
1582684355772,2.195069,-7.2530594,6.135074
1582684355821,2.1736977,-7.244438,6.1197863
1582684355871,2.17521,-7.247269,6.1159635
1582684355921,2.1691167,-7.2518063,6.14711
1582684355971,2.3034859,-7.4019566,6.2501407
1582684356021,2.9557037,-8.64149,7.330007
1582684356072,3.6421692,-11.786203,12.334538
1582684356121,2.3366194,-12.504488,14.111248
1582684356171,-2.510682,-10.381277,7.9719467
1582684356222,-5.821986,-1.7982316,3.5263312
1582684356271,-7.891285,-2.6931286,0.6801104
1582684356321,-8.265313,1.027421,3.313047
1582684356371,-5.3043356,-0.90065765,4.203325
1582684356421,-2.1290371,-2.3763685,3.0399182
