Time,accX,accY,accZ
1582685049146,0.2152355,10.060726,-0.6342934
1582685049196,0.2546902,9.971417,-0.7070014
1582685049247,0.17597765,10.275689,-0.8795884
1582685049296,0.079325296,10.165206,-0.79907703
1582685049346,0.15077882,10.033653,-0.63858426
1582685049396,0.1906291,9.992586,-0.6743533
1582685049446,0.1947736,10.186106,-0.71101457
1582685049496,0.18167484,10.193581,-0.76788116
1582685049547,0.28282833,10.107538,-0.67883855
1582685049596,0.33620408,9.932026,-0.73939013
1582685049646,0.3355488,10.135973,-0.7926126
1582685049696,0.2749378,10.231738,-0.7231149
1582685049746,0.29485995,10.05477,-0.6504589
1582685049797,0.35110652,9.9299555,-0.63488346
1582685049846,0.35569972,10.093067,-0.71003634
1582685049897,0.23703289,10.210356,-0.76436913
1582685049947,0.261104,10.101773,-0.63762534
1582685049996,0.27160367,9.947156,-0.6598145
1582685050046,0.25959206,10.075131,-0.68720675
1582685050096,0.1749861,10.215218,-0.7261081
1582685050147,0.15690114,10.112844,-0.69455045
1582685050196,0.20010273,9.974632,-0.67512923
1582685050247,0.20800881,10.083048,-0.69895136
1582685050296,0.10921263,10.2140255,-0.74359775
1582685050346,0.10481098,10.198086,-0.63605607
1582685050396,0.15145159,9.978814,-0.58817095
1582685050446,0.21268988,10.001134,-0.6776597
1582685050496,0.13971236,10.211941,-0.6502527
1582685050546,0.163523,10.146696,-0.6050125
1582685050596,0.18441992,9.989422,-0.586574
1582685050647,0.24097908,9.994453,-0.6076492
1582685050696,0.139568,10.27335,-0.68418765
1582685050746,0.15401235,10.125774,-0.65761596
1582685050796,0.20207697,10.005163,-0.5822627
1582685050847,0.20350906,10.023331,-0.66914135
1582685050896,0.13668013,10.176705,-0.7064872
1582685050946,0.120909855,10.171596,-0.62439233
1582685050996,0.1309685,10.0279455,-0.6483412
1582685051047,0.1313443,10.070374,-0.668604
1582685051096,0.10390189,10.170678,-0.5912632
1582685051146,0.10594862,10.137386,-0.662729
1582685051196,0.09796429,10.055959,-0.6131461
1582685051246,0.124171905,10.011463,-0.62980133
1582685051296,0.028942298,10.299544,-0.6973933
1582685051346,-0.09224177,10.235285,-0.71654975
1582685051396,-0.016514244,10.00734,-0.6403568
1582685051447,0.15564169,9.868967,-0.63926655
1582685051496,0.38999042,10.132282,-0.7843894
1582685051546,0.52997994,10.160728,-1.0331928
1582685051596,0.6242572,10.086918,-1.0131692
1582685051647,0.64636993,9.933157,-1.0436069
1582685051697,0.65136486,9.968592,-1.1035025
