Time,accX,accY,accZ
1582684639147,1.3883963,-8.879459,-3.2742507
1582684639197,1.3827347,-8.865626,-3.2906942
1582684639246,1.422218,-8.871503,-3.2789347
1582684639296,1.4475007,-8.824851,-3.2424638
1582684639346,1.4103253,-8.872214,-3.2604058
1582684639396,1.4238929,-8.85679,-3.2483287
1582684639446,1.4948593,-8.813239,-3.2437046
1582684639497,1.5019147,-8.832552,-3.2691715
1582684639546,1.4478194,-8.86459,-3.3002822
1582684639597,1.4255513,-8.842554,-3.296854
1582684639646,1.4125973,-8.840588,-3.297761
1582684639696,1.4422942,-8.868969,-3.3159735
1582684639747,1.4195418,-8.845652,-3.2942252
1582684639796,1.3783625,-8.876646,-3.288724
1582684639847,1.4036716,-8.847049,-3.2932286
1582684639897,1.4359604,-8.844855,-3.275449
1582684639946,1.4487175,-8.860623,-3.2987435
1582684639997,1.4510274,-8.854705,-3.2774346
1582684640046,1.4211273,-8.858175,-3.3065376
1582684640097,1.3989509,-8.902223,-3.3224125
1582684640147,1.427416,-8.822393,-3.241676
1582684640196,1.4417139,-8.846684,-3.2636812
1582684640246,1.4187592,-8.858773,-3.2688055
1582684640296,1.3848108,-8.882539,-3.2694345
1582684640347,1.3894134,-8.871669,-3.2621224
1582684640396,1.4181749,-8.852092,-3.2281544
1582684640447,1.4259515,-8.876287,-3.2476637
1582684640497,1.4072412,-8.895975,-3.2538867
1582684640546,1.3883188,-8.892918,-3.2209775
1582684640596,1.4056332,-8.904929,-3.1175296
1582684640646,1.4661766,-8.931355,-2.982515
1582684640696,1.48737,-8.911026,-3.0892196
1582684640747,1.4733288,-8.907759,-2.9858334
1582684640796,1.4915329,-8.979808,-3.062703
1582684640846,1.5659803,-8.895964,-2.9803786
1582684640897,1.5459431,-8.921966,-2.9029996
1582684640946,1.5173221,-8.959215,-3.0291505
1582684640996,1.5324098,-8.918365,-2.9922185
1582684641046,1.5193956,-8.967168,-3.0382645
1582684641096,1.5592886,-8.959392,-2.9663196
1582684641147,1.6529039,-8.922995,-2.938347
1582684641196,1.6423233,-8.931793,-2.898995
1582684641246,1.614206,-8.904539,-2.8790448
1582684641296,1.5741593,-8.911726,-3.0437882
1582684641347,1.6180383,-8.957137,-3.035576
1582684641396,1.6161898,-8.90426,-3.0428228
1582684641447,1.578888,-8.938755,-3.0129223
1582684641497,1.6115474,-8.911555,-3.060474
1582684641547,1.6128796,-8.923247,-3.04992
1582684641596,1.6294298,-8.879587,-2.986706
1582684641646,1.6113749,-8.932738,-3.0169284
1582684641696,1.5945289,-8.92249,-2.9855287
1582684641747,1.592106,-8.919117,-2.9996476
1582684641796,1.5491736,-8.924681,-2.9163444
1582684641846,1.5949955,-8.94082,-2.9961712
1582684641896,1.5830584,-8.970934,-3.0636966
1582684641946,1.5435252,-8.911089,-2.9195576
1582684641996,1.5289996,-8.959421,-2.7957594
1582684642046,1.6664556,-8.980731,-3.0330272
1582684642096,1.8889519,-8.753351,-3.3757155
1582684642147,1.9579694,-8.699213,-3.370853
1582684642197,2.004049,-8.744842,-3.2843547
1582684642247,1.8819821,-8.834568,-3.4024355
1582684642296,1.816015,-8.806446,-3.1284869
1582684642347,1.6999476,-8.867048,-3.0027337
1582684642396,1.7174975,-8.875919,-2.9609187
1582684642447,1.8175865,-8.908521,-3.1474333
1582684642497,1.8526409,-8.895251,-2.972202
1582684642547,1.8941851,-8.87978,-2.9452813
1582684642596,1.8978695,-8.908075,-2.9208875
1582684642646,1.8739445,-8.88233,-2.947777
1582684642696,1.8979307,-8.890599,-2.9265473
1582684642746,1.916634,-8.902,-2.915966
1582684642796,1.9046223,-8.884788,-2.8890944
1582684642846,1.8957012,-8.922938,-2.947269
1582684642896,1.9053229,-8.898962,-2.9511993
1582684642947,1.9063841,-8.875405,-2.8732853
1582684642996,1.9249971,-8.929649,-2.9583657
1582684643046,1.9077438,-8.876792,-2.8858285
1582684643096,1.8763055,-8.907553,-2.908495
1582684643146,1.8722115,-8.901552,-2.9232469
1582684643197,1.9125051,-8.902898,-2.8987763
1582684643246,1.887179,-8.923058,-2.9163022
1582684643297,1.8810326,-8.90143,-2.9174187
1582684643346,1.8856854,-8.8976965,-2.9104772
1582684643396,1.8486127,-8.892749,-2.8714294
1582684643447,1.8178414,-8.943365,-2.9621844
1582684643496,1.8867688,-8.9103365,-2.9605637
1582684643547,1.8692145,-8.91683,-2.9402032
1582684643597,1.868301,-8.891406,-2.8960323
1582684643646,1.8422823,-8.890489,-2.9128397
1582684643696,1.8497062,-8.930113,-2.9252439
1582684643746,1.9095331,-8.894333,-2.9211519
1582684643797,1.8114935,-8.889094,-2.902016
1582684643846,1.812737,-8.939819,-2.947627
1582684643896,1.8650405,-8.907116,-2.9485836
1582684643947,1.878891,-8.900497,-2.9340086
1582684643997,1.8478231,-8.889454,-2.9451525
1582684644046,1.844287,-8.903673,-2.9665415
1582684644096,1.8636638,-8.89324,-2.9547563
1582684644146,1.8571991,-8.891854,-2.9234464
1582684644196,1.8903774,-8.913728,-3.0138261
1582684644246,1.9015397,-8.86871,-3.020592
1582684644297,1.8749475,-8.87686,-2.9789908
1582684644347,1.903081,-8.8784685,-3.006375
1582684644396,1.8776413,-8.852662,-2.981072
1582684644447,1.8847477,-8.8977375,-3.0407822
1582684644497,1.8995061,-8.848698,-3.018784
1582684644547,1.9460871,-8.866749,-3.0532746
1582684644597,1.8978878,-8.848416,-3.0157735
1582684644647,1.845036,-8.87401,-2.9928827
1582684644696,1.8167155,-8.890416,-2.9966238
1582684644747,1.8484143,-8.899375,-3.0686579
1582684644796,1.9484007,-8.862908,-3.0701368
1582684644846,1.8723482,-8.844916,-3.0112631
1582684644896,1.8098981,-8.906948,-3.044295
1582684644946,1.8150375,-8.879968,-2.9849985
1582684644996,1.8536514,-8.881734,-2.9365819
1582684645047,1.9174116,-8.906803,-3.0211334
1582684645096,1.8507015,-8.857054,-2.982742
1582684645146,1.8076587,-8.894091,-2.991464
1582684645196,1.8373601,-8.899314,-3.004873
1582684645246,1.8467327,-8.863347,-2.9698055
1582684645296,1.854746,-8.918452,-2.9907763
1582684645347,1.8435057,-8.863719,-2.9922998
1582684645396,1.8335524,-8.881433,-2.9872544
1582684645446,1.8540543,-8.900216,-3.0014699
1582684645496,1.8567733,-8.888116,-2.977553
1582684645547,1.8466765,-8.876656,-2.9595356
1582684645597,1.8316841,-8.906597,-3.017904
1582684645647,1.8170267,-8.898537,-3.0061731
1582684645696,1.8788741,-8.891291,-3.0122142
1582684645746,1.8758824,-8.844106,-2.9809494
1582684645796,1.779309,-8.916837,-2.9293704
1582684645847,1.790568,-8.918645,-3.0061867
1582684645897,1.8628527,-8.866251,-2.9827282
1582684645946,1.8734343,-8.871449,-2.975936
1582684645996,1.8270377,-8.926392,-2.99298
1582684646047,1.8575374,-8.946113,-2.9799528
1582684646097,1.9078717,-8.88089,-2.9215906
1582684646146,1.8137847,-8.970482,-2.9586349
1582684646196,1.8111839,-9.025839,-2.9743097
1582684646246,1.8079696,-8.877885,-2.8785717
1582684646296,1.6813307,-8.950303,-2.958835
1582684646346,1.6815689,-9.039979,-3.2261577
1582684646396,1.687061,-9.212733,-3.6397061
1582684646446,2.2330139,-10.059297,-4.467891
1582684646496,2.3351414,-12.477046,-5.2043433
1582684646547,0.47839916,-11.295755,-2.9710138
1582684646596,-1.7723594,-8.907845,-2.678126
1582684646647,-2.9499733,-6.3065696,-3.8560221
1582684646696,-1.9522921,-5.0652876,-3.525167
1582684646747,-0.8822248,-4.120663,-2.7331204
1582684646796,-0.44015074,-8.587334,-1.0315081
1582684646847,0.40443033,-8.654862,-1.4023416
1582684646897,2.0053828,-7.7954435,-1.9500313
1582684646946,2.3773656,-10.378887,-0.9254734
1582684646996,2.5268881,-15.210248,-2.9168892
1582684647047,2.2347162,-10.030848,-1.9084295
1582684647097,2.786659,-7.8444357,-0.65941596
1582684647146,2.1796446,-8.565321,-0.870167
1582684647196,2.420443,-10.552792,-0.64299214
1582684647246,2.4812932,-9.870264,-0.22405763
1582684647296,2.5812905,-8.95045,0.8496407
1582684647347,2.4092631,-9.605359,1.7765117
1582684647397,1.1978143,-10.03954,1.385233
1582684647447,0.7653412,-11.702397,1.4319656
1582684647496,3.1619601,-3.8740516,4.6648703
1582684647547,0.8311701,-6.138963,6.962395
1582684647596,-1.2023481,-6.459237,3.4646351
1582684647646,1.3489656,-8.682035,4.4238143
1582684647696,2.672424,-9.990078,3.591828
1582684647747,2.603296,-9.379621,2.795255
1582684647797,1.7484325,-9.47863,2.9068625
