Time,rotX,rotY,rotZosboxe
1582683732609,-0.06417008,0.026819982,0.021393996
1582683732659,-0.06793987,0.029385813,0.019878669
1582683732709,-0.07045408,0.022319134,0.02000638
1582683732759,-0.06536865,0.029625438,0.021962324
1582683732809,-0.08508492,0.029603103,0.027253436
1582683732859,-0.065870464,0.019316912,0.015514767
1582683732909,0.032847825,0.011523876,-0.002638789
1582683732959,-0.015529147,0.015482167,0.008909058
1582683733009,0.008152169,0.0071115107,0.010692911
1582683733059,0.012413538,0.0044588433,0.004123028
1582683733109,-0.02396859,0.014982779,0.0042188955
1582683733159,2.8035394E-4,0.0071916045,0.0011949106
1582683733209,-0.02719262,0.00830788,0.007272011
1582683733259,-0.00975209,0.004967672,0.013219751
1582683733309,-0.02102445,0.0060517783,0.011671701
1582683733359,-0.03521427,0.012114637,4.9386173E-4
1582683733409,0.0012876561,0.009878816,-0.0037307492
1582683733459,-0.017869946,0.009956086,-0.004862775
1582683733509,-0.054397963,0.0021794913,-0.0035412204
1582683733559,0.013734407,-0.012992073,-0.017010696
1582683733609,0.014477571,-0.0019502188,-0.012738066
1582683733659,-0.0573061,-0.0044269753,0.005489645
1582683733709,-0.07884095,0.008839865,0.015306141
1582683733759,0.17897141,-0.0054524266,-0.07118619
1582683733809,0.55756724,-0.03869802,-0.11709904
1582683733859,0.8686396,-0.015779253,-0.06860914
1582683733908,0.9153882,0.0064411107,-0.057980828
1582683733958,0.73076105,0.0051728706,-0.034542643
1582683734009,0.064056866,0.110915996,-0.008371498
1582683734046,-0.22704533,0.1017805,0.023742644
1582683734147,-0.39050123,-0.03918258,0.05214395
1582683734197,-0.22221851,-0.026831709,0.047578357
1582683734246,-0.07873814,-0.028835516,0.010214783
1582683734297,0.1515508,-0.038597327,-0.030893737
1582683734347,0.24225739,-0.039187305,-0.035135217
1582683734396,0.13096836,-0.013309311,-0.01141503
1582683734447,0.08728401,0.0018602698,-2.4900446E-4
1582683734497,0.036790155,-0.0028788843,-0.0023349416
1582683734546,-0.01978643,-0.024000809,-0.0049317954
1582683734596,-0.035214115,-0.046918128,0.008196941
1582683734646,-0.05721319,-0.03455316,-0.0067808717
1582683734697,0.04128706,1.5787175E-4,-0.08941084
1582683734747,0.35240665,0.023774005,-0.10231299
1582683734797,0.3866022,0.038901124,-0.025634877
1582683734846,0.24084738,0.04424554,-0.0062240744
1582683734897,0.24876928,0.02060491,-0.037287634
1582683734947,-0.041219626,-0.06227054,-0.09131903
1582683734997,-0.26643893,-0.14312112,-0.17491907
1582683735046,-0.5531988,-0.26109722,-0.19000052
1582683735097,-0.7256977,-0.1617322,-0.1183734
1582683735146,-0.8155127,-0.07261383,0.07046918
1582683735197,-1.2750235,-0.044218287,0.17129038
1582683735247,-0.7937871,0.0065302732,-0.09353664
1582683735296,-0.87713003,0.26541674,-0.08603694
1582683735346,-0.6908646,0.40531194,-0.089710936
1582683735396,-0.49998656,0.31778425,-0.112521715
1582683735447,-0.31956017,0.26569602,0.03410833
1582683735496,-0.2207279,0.27003077,0.11160538
1582683735546,-0.29385853,0.20215665,0.1786597
1582683735596,-0.12023317,0.13475472,0.27963674
1582683735646,0.18036216,0.10316019,0.2654889
1582683735697,0.34244117,0.052941218,0.09158968
1582683735746,0.12859236,-0.121889256,-0.1184947
1582683735796,0.55514145,-0.10148752,-0.22205824
1582683735847,0.91261005,-0.08548121,-0.18794133
1582683735896,0.33254805,-0.20761214,0.012483481
1582683735946,-0.777693,-0.25719565,0.36494726
1582683735996,-0.58705294,-0.2928982,0.31358188
1582683736046,-0.22675122,-0.3087982,0.03270655
1582683736097,-0.41124436,-0.26126242,1.8098718E-4
1582683736147,-0.06163385,-0.26381934,0.044845786
1582683736196,0.047867786,-0.26713744,0.03221725
1582683736246,-0.2894717,-0.21763608,-0.016619576
1582683736296,-0.05562157,-0.2056753,-0.081407286
1582683736347,0.52018493,-0.13615173,-0.1411484
1582683736396,0.88964295,-0.03852161,-0.22328615
1582683736446,0.9308881,-0.051149227,-0.14060687
1582683736496,1.0305046,-0.16568208,-0.08911828
1582683736546,0.38510966,-0.23320004,0.29511672
1582683736596,-0.31807712,-0.62061703,0.83146894
1582683736647,2.5941617,-1.0834292,0.95174026
1582683736697,6.7358522,-1.4989204,1.3290098
1582683736746,4.407178,-0.3042051,2.2731614
1582683736796,2.0391748,0.7344609,3.0715404
1582683736847,1.3008356,1.7567185,3.2711985
1582683736896,2.3410728,2.853155,3.0319502
1582683736947,3.70962,2.6047747,3.0629296
1582683736996,2.4216373,2.0244784,3.020445
1582683737046,-0.067400105,1.4394094,3.0789611
1582683737096,-0.5968392,0.6138684,3.3080242
1582683737147,-0.7431481,-0.15482223,3.2557082
1582683737196,-0.65980524,-1.048461,2.8456936
1582683737246,-1.1447295,-1.1703492,1.6974843
1582683737297,-0.30088237,0.37047347,0.52552485
1582683737347,1.0124414,-0.48487544,0.017428061
1582683737396,1.3727483,-0.65004086,0.03147749
1582683737446,1.8117207,-0.7613839,0.23719652
1582683737497,1.2887759,-0.7111091,0.2378964
1582683737546,1.0511905,-0.5371414,0.31640387
1582683737597,0.6645602,-0.36994082,0.46670747
1582683737647,1.0977955,-0.22617954,0.6522844
1582683737697,1.3627106,-0.14680389,0.7586177
1582683737746,1.3635466,-0.19643925,0.88597107
1582683737796,1.4262311,-0.17174667,0.97620213
1582683737846,1.2827026,-0.14970763,0.988835
1582683737959,1.192057,-0.05457999,1.0875207
1582683738009,1.0942554,-0.12907359,1.0746696
1582683738058,0.8139165,-0.18103933,1.0406158
1582683738109,0.800149,-0.19560736,0.77736145
1582683738159,0.6093946,-0.15580696,0.57234883
1582683738209,0.44059208,-0.1743114,0.42845923
1582683738258,0.19790412,-0.15856114,0.21496582
1582683738309,-0.2548024,-0.13056388,-0.07666815
1582683738359,-0.91041017,0.008753646,-0.23028196
1582683738409,-1.2679362,0.10148611,-0.20672864
1582683738459,-1.9893833,0.49792358,-0.082871646
1582683738509,-2.0320303,1.0735167,-0.15484478
1582683738559,-1.2484885,1.6212634,-0.7405741
1582683738609,0.42121112,1.5640622,-1.6144269
1582683738659,-0.112771645,0.42163604,-2.116135
1582683738709,-0.86348313,-0.51225233,-2.16699
1582683738759,-1.5127336,-1.0054686,-1.3815231
1582683738809,-2.0802794,-1.494511,-0.94520855
1582683738859,-3.818064,-1.4488239,-0.8612964
1582683738909,-0.85594547,0.24655749,-0.36196825
1582683738959,0.33270502,-0.30940285,-0.2773242
1582683739009,0.22183932,-0.16433144,-0.074022494
1582683739059,0.32235858,0.035159264,-0.055322204
1582683739108,0.47107035,0.03594887,0.045618832
1582683739159,0.71729004,0.31517166,0.38115603
1582683739208,-0.12991464,0.6711232,0.7484216
1582683739259,-0.70695007,1.0606273,0.98826957
1582683739309,-2.442568,1.2555963,0.9529826
1582683739359,-3.3423054,1.408199,0.076965295
1582683739409,-1.7285427,2.468363,-2.3949049
1582683739459,-0.24454716,3.167825,-4.935393
1582683739509,0.45381913,2.4393208,-7.1260977
1582683739559,2.8301423,0.009303626,-8.477977
1582683739609,5.252474,-3.1604936,-8.363058
1582683739659,9.322296,-7.239723,-5.5689034
1582683739709,-0.57081115,-4.966304,-1.0648282
1582683739759,-2.610602,1.6207691,-0.17485996
1582683739809,0.76300883,0.2302613,0.20192349
1582683739859,-0.41912168,-1.1833397,-0.01359052
1582683739909,-0.357371,-0.6300063,0.11220367
1582683739959,0.15464467,-0.80461836,0.42775193
1582683740009,0.7494998,-1.1405994,0.46598765
1582683740059,0.83494604,-1.094086,0.31561667
1582683740109,0.8543335,-1.1575161,0.257251
1582683740159,0.6269832,-0.85196626,0.22482227
1582683740209,0.54654926,-0.5738925,-0.07473305
1582683740259,0.34058446,-0.5264853,-0.33661598
1582683740309,0.32293558,-0.50573075,-0.4472903
1582683740359,0.3532324,-0.39768553,-0.5609345
1582683740409,0.5702709,-0.3039475,0.07280476
1582683740459,0.03936206,-0.26041186,0.2940361
1582683740509,-0.39888126,-0.05082139,0.21786748
1582683740559,-0.5189396,0.15314421,0.086098455
1582683740609,-0.32768205,0.01924477,0.071708634
1582683740659,0.024124224,-0.112318315,0.065569796
1582683740709,-0.041934755,-0.08541216,-0.050971664
1582683740759,-0.08745081,0.020835718,-0.22168548
1582683740809,0.027343538,0.05718113,-0.34817111
1582683740859,0.0659894,0.049868915,-0.47421882
1582683740909,-0.11534129,0.034010876,-0.61565906
1582683740959,-0.19129819,0.019647846,-0.7743256
1582683741009,-0.5346046,0.055976808,-0.95678157
1582683741059,-1.6862977,0.13932136,-1.3212131
1582683741109,-2.6708634,0.553591,-1.3433518
1582683741159,-4.8086157,0.974544,-1.3770025
1582683741209,-6.7202673,0.834566,-1.3756089
1582683741259,-4.7385716,0.97345686,-1.3812258
1582683741309,-4.280917,0.6913262,-1.4861329
1582683741359,-2.4371204,0.4602654,-1.5450537
1582683741409,-0.6215337,0.067191295,-1.5904096
1582683741459,-1.171716,0.25709018,-1.0889263
1582683741509,0.5046509,0.084570765,-1.0571196
1582683741559,-0.4275909,-0.02984187,-0.7043083
1582683741608,0.5053034,-0.1310283,-0.7017107
1582683741659,1.6370162,-0.15364689,-0.94167215
1582683741709,0.9213835,-0.16036515,-1.180762
1582683741759,-1.645603,0.23752701,-1.3221682
1582683741809,-0.9332831,0.32975328,-1.4025903
1582683741859,0.03558873,0.33177295,-1.0582519
1582683741909,0.012389411,0.2201649,-0.7386652
1582683741958,-0.12934937,0.15783441,-0.40754756
1582683742009,-0.1383882,0.10841977,-0.10338669
1582683742059,-0.18050408,0.13777004,0.2264369
1582683742109,-0.123609,0.12859558,0.5679164
1582683742159,-0.034464892,0.15908733,0.85007966
1582683742209,-0.02974702,0.16696943,1.0109726
1582683742259,0.034703758,0.17263162,1.0250981
1582683742309,0.09522896,0.1752531,0.9374789
1582683742358,0.15961045,0.14615692,0.8047092
1582683742409,0.15574428,0.11540138,0.6420444
1582683742459,0.14836705,0.04803744,0.42639458
1582683742509,0.103254594,0.0012918022,0.14914761
1582683742559,0.046918657,-0.044064242,-0.12789857
1582683742609,0.029996183,-0.0918014,-0.36651868
1582683742659,0.029119197,-0.123176284,-0.53048533
