Time,accX,accY,accZ
1582683731159,0.42345726,-6.8475,5.57848
1582683731209,1.0814794,-10.472408,4.872859
1582683731259,1.7091427,-10.430053,3.5241442
1582683731309,2.058021,-9.778767,2.4439147
1582683731359,2.0587764,-9.469681,1.8281381
1582683731409,1.2612641,-8.36377,1.8792179
1582683731459,2.4014416,-9.381603,2.462678
1582683731509,2.5261605,-10.145412,2.016394
1582683731559,2.6277666,-9.849821,1.8192174
1582683731609,2.600818,-9.319065,1.6221375
1582683731659,2.3491154,-9.117826,1.8699096
1582683731709,2.1040041,-8.906784,2.165319
1582683731759,2.019286,-9.027058,2.1413484
1582683731809,2.1591353,-8.867664,2.0159538
1582683731859,2.1712933,-8.927366,1.9087105
1582683731909,2.059139,-8.607498,1.9725138
1582683731958,2.077135,-8.609667,1.6537137
1582683732009,2.2562306,-8.83029,1.378047
1582683732059,2.372666,-8.712936,0.6523956
1582683732109,2.6361609,-9.356982,-0.40383008
1582683732159,2.5658586,-9.990347,-1.0822161
1582683732209,2.5648012,-9.890884,-1.6778922
1582683732259,2.7486882,-10.229483,-2.382717
1582683732308,2.8407419,-9.137869,-1.5767196
1582683732359,2.6766832,-8.797119,-1.2848678
1582683732409,2.5762525,-9.341721,-1.7254133
1582683732459,2.6467557,-9.044525,-1.5602999
1582683732508,2.6565537,-9.075865,-1.6375798
1582683732559,2.642486,-9.051401,-1.6559284
1582683732609,2.6190634,-9.084913,-1.634477
1582683732659,2.62441,-9.060526,-1.684197
1582683732709,2.631802,-9.109678,-1.777982
1582683732758,2.6299956,-9.026431,-1.7105464
1582683732809,2.5717258,-9.0519085,-1.7890012
1582683732859,2.562924,-9.176317,-1.8939822
1582683732909,2.6031947,-9.016684,-1.7985206
1582683732959,2.6283405,-9.037629,-1.7983655
1582683733009,2.590913,-9.14769,-1.8793967
1582683733059,2.5919087,-8.978408,-1.7247164
1582683733108,2.5728362,-9.116605,-1.8432046
1582683733159,2.5811298,-9.039975,-1.8073118
1582683733208,2.616734,-9.034007,-1.7970643
1582683733259,2.5972118,-9.079275,-1.8425761
1582683733309,2.5526536,-9.015467,-1.774965
1582683733359,2.5640812,-9.100159,-1.8705369
1582683733409,2.5860567,-9.05418,-1.8497134
1582683733459,2.5703962,-8.94013,-1.8042054
1582683733509,2.5538492,-9.149647,-1.9489564
1582683733559,2.6522284,-9.068792,-1.8826013
1582683733609,2.6382475,-9.013626,-1.8136263
1582683733659,2.5867586,-8.9175005,-1.8099593
1582683733709,2.5302994,-9.080516,-1.948003
1582683733759,2.5039701,-9.429697,-2.190178
1582683733809,2.6546483,-9.450053,-1.7734976
1582683733859,2.7653623,-9.29859,-1.5611796
1582683733909,2.6964374,-9.071455,-0.77691483
1582683734022,2.7760792,-8.507774,-0.25539097
1582683734222,2.61886,-9.334658,-1.0648867
1582683734272,2.6742582,-9.356811,-1.1994042
1582683734321,2.8003259,-9.167952,-0.933542
1582683734372,2.8119147,-9.078306,-0.7813093
1582683734422,2.7258642,-9.158343,-0.8051406
1582683734471,2.6562936,-9.181328,-0.72749066
1582683734521,2.656669,-9.1438265,-0.76149315
1582683734571,2.719802,-9.143754,-0.7687632
1582683734621,2.7165377,-9.207898,-0.68687475
1582683734671,2.7177677,-9.196098,-0.865784
1582683734721,2.8245444,-9.400708,-0.90988386
1582683734771,2.8642673,-9.227482,-0.54241514
1582683734821,2.790591,-8.9735155,-0.28670087
1582683734871,2.7870665,-9.161035,-0.35788313
1582683734922,2.8947737,-8.668231,-0.1952074
1582683734972,2.6376505,-8.983807,-0.13763492
1582683735021,3.1569188,-8.618288,-0.333071
1582683735072,3.711819,-9.335737,-0.7386934
1582683735121,3.6602588,-8.638531,-0.8808178
1582683735171,3.1400282,-8.913757,-1.2083508
1582683735222,3.1924336,-9.163399,-2.5798917
1582683735271,3.843407,-8.844182,-1.921756
1582683735322,3.6129699,-9.024089,-2.9700594
1582683735371,3.175298,-8.190108,-2.5326455
1582683735422,3.484514,-8.611504,-3.5034509
1582683735471,3.7552862,-8.351129,-3.8294609
1582683735521,3.5017996,-7.950771,-3.3815534
1582683735571,3.5110335,-8.219273,-3.0706792
1582683735622,3.5843136,-8.999861,-4.349744
1582683735672,2.558664,-8.199582,-3.4714446
1582683735721,2.087257,-8.123467,-3.056193
1582683735771,2.689108,-9.122756,-3.842878
1582683735822,2.9684865,-9.358555,-3.0305068
1582683735872,2.573997,-7.8261704,-2.1172998
1582683735921,2.5616858,-8.308005,-2.3124511
1582683735971,2.2585306,-9.623812,-4.35328
1582683736021,2.136655,-8.561893,-3.7813995
1582683736071,2.145377,-8.493261,-3.128844
1582683736122,2.24798,-8.888925,-4.194634
1582683736172,2.1571875,-8.304542,-3.5197864
1582683736221,2.304869,-8.264679,-3.0239282
1582683736271,2.6645901,-9.0121155,-3.975084
1582683736321,2.253415,-8.572686,-3.8853595
1582683736371,2.205037,-8.560873,-2.530964
1582683736421,2.6130848,-9.611461,-2.812465
1582683736472,2.727147,-9.317919,-2.5536213
1582683736522,3.6021645,-8.880832,-1.4386759
1582683736571,5.441489,-11.523698,-1.992032
1582683736622,6.50381,-15.2265215,-5.114638
1582683736671,1.4326887,-14.416254,-4.692368
1582683736721,1.2597898,-9.440543,6.403784
1582683736771,-1.0197315,-6.3816395,11.482486
1582683736821,-2.5927777,-7.645773,7.934222
1582683736871,-4.3757124,-9.434916,5.5441856
1582683736921,-6.6669226,-6.567953,1.5490203
1582683736972,-7.3951383,-2.018761,1.0827816
1582683737021,-7.9167824,-3.883803,1.5535096
1582683737072,-7.020413,-3.5807214,1.446387
1582683737121,-5.718203,-2.0682628,0.7559444
1582683737171,-5.3384657,0.23744237,1.3332772
1582683737222,-3.341085,4.239498,4.5627165
1582683737271,-2.2620692,4.651114,9.962496
1582683737321,-7.672357,2.0769768,3.831017
1582683737371,-8.2756815,1.3519652,5.997226
1582683737421,-8.656592,4.0248604,5.598401
1582683737471,-8.107426,4.3386407,5.4056883
1582683737522,-7.4814095,4.6440206,5.29814
1582683737572,-7.478304,3.6113496,5.421862
1582683737622,-6.7345457,3.6848352,6.074369
1582683737672,-6.7010093,5.581027,5.3819637
1582683737722,-6.343841,6.287217,4.717335
1582683737771,-5.656661,6.984644,4.2054067
1582683737934,-4.3319664,7.765482,1.9395375
1582683737984,-3.190533,8.80038,0.8447215
1582683738034,-2.33922,9.8963585,0.5450633
1582683738083,-1.2072158,9.921091,0.33224446
1582683738134,-0.7467557,9.9650135,-0.2285168
1582683738183,-1.0779674,9.16634,-0.30456036
1582683738234,-1.3357632,10.242039,-0.3841803
1582683738284,-1.4411236,10.901614,0.31241933
1582683738334,-1.5784559,10.3972435,0.9040165
1582683738384,-1.395308,9.042002,1.665459
1582683738434,-1.0356863,9.291246,2.9979463
1582683738484,-1.9399462,9.52288,3.313354
1582683738534,-2.311987,11.934005,4.1099987
1582683738584,-3.2615294,13.874902,2.4893205
1582683738634,-3.6853378,11.261137,0.30211046
1582683738684,-4.23072,8.087315,1.1115227
1582683738734,-4.941975,5.6388683,2.0407553
1582683738784,-6.302253,5.5414343,2.8656435
1582683738834,-5.6470003,6.1184254,2.0126848
1582683738884,-0.4709555,0.7925261,13.32026
1582683738934,-6.351107,2.7828326,5.348441
1582683738984,-5.8675327,4.318761,7.1792507
1582683739034,-5.7999916,5.588004,7.564015
1582683739084,-4.9083557,3.8933113,7.1522436
1582683739134,-4.2229223,3.0735812,7.43277
1582683739184,-3.1301746,3.7192986,7.5509768
1582683739234,-2.1038747,3.301458,6.602564
1582683739284,-2.867803,5.9125843,6.021227
1582683739334,-2.8917503,7.105138,3.99457
1582683739384,-1.2584645,8.547042,4.9531183
1582683739434,-1.5688283,6.324238,5.257944
1582683739484,-1.6072203,1.8263202,-3.0241609
1582683739534,-3.5744696,-3.490069,-5.7971425
1582683739584,-2.619437,-4.423502,-3.1420608
1582683739634,4.656225,-2.7360277,1.7294741
1582683739684,18.692896,4.6556997,27.424307
1582683739734,13.240021,-16.89655,41.170223
1582683739784,-1.2557743,1.115132,3.2933042
1582683739834,0.13461673,-1.7576246,2.9878764
1582683739884,4.5961266,-4.59508,10.132795
1582683739934,5.224103,-4.8604603,8.306556
1582683739984,6.341875,-4.1801567,6.1505766
1582683740034,6.1848927,-0.7300233,6.6660786
1582683740084,4.9307623,-3.8835754,7.517247
1582683740134,5.4034495,-3.8798594,7.952361
1582683740184,5.6235247,-1.5671455,8.113047
1582683740234,4.852079,-1.029609,8.009179
1582683740284,5.6746187,-2.1192946,7.730768
1582683740334,6.047563,-0.8203702,7.5406237
1582683740384,7.9486666,-4.977781,7.9558516
1582683740434,8.249954,-3.9226377,6.6452694
1582683740484,7.5690975,-2.3862255,6.5083103
1582683740534,7.1509514,-1.7710414,6.939075
1582683740583,6.987796,-1.4572393,6.9151726
1582683740634,7.142255,-1.7353885,7.335902
1582683740684,7.6015196,-2.578854,6.8738337
1582683740734,7.3147507,-2.2083912,6.892994
1582683740784,7.1668887,-2.1929684,7.2267203
1582683740834,6.9410987,-1.9531274,7.0819416
1582683740884,6.889018,-1.685215,6.9917207
1582683740934,6.85322,-1.178329,7.20716
1582683740984,7.0146594,-1.2727451,7.0883636
1582683741034,6.929612,-0.34899598,7.360764
1582683741084,6.85436,-1.2939824,7.202767
1582683741134,7.361974,-0.3302309,7.7015123
1582683741184,6.2465487,0.17764154,4.9479704
1582683741234,6.722928,-2.8782003,1.005857
1582683741284,7.984245,-2.1278996,0.7797119
1582683741334,8.957958,-5.8772917,0.9776574
1582683741383,9.345592,-4.9289026,1.9089878
1582683741434,9.916898,-4.434896,4.01897
