Time,rotX,rotY,rotZosboxe
1582685002922,-0.7410099,-0.53882205,-0.959726
1582685002971,-2.5220985,-0.63391995,-1.7358565
1582685003022,-4.8534803,-0.66567934,-2.4550369
1582685003071,-5.067286,-0.29016265,-2.7444909
1582685003121,-3.20121,-0.08931703,-2.7824495
1582685003171,-1.733683,-0.32900777,-3.005141
1582685003221,-0.768847,-0.5468776,-3.2360058
1582685003271,-0.12314324,-0.46131402,-3.3543105
1582685003322,0.13095151,0.18206954,-2.9216022
1582685003372,-0.29506823,0.655608,-2.1217663
1582685003421,-0.20762846,0.8173901,-1.2644913
1582685003471,-0.58546937,0.43101355,-0.63602287
1582685003522,-1.0924004,0.07603269,-0.07510588
1582685003572,-1.1104407,-0.24803635,0.067835465
1582685003621,-0.6345231,-1.1192812,-0.29518458
1582685003671,0.9997129,-1.4156971,-0.42256927
1582685003721,1.9557049,-0.83828634,-0.34437886
1582685003771,0.54502165,0.38331643,0.12162916
1582685003821,-0.80545694,0.8900675,0.058666404
1582685003871,-1.9602555,0.58555967,-0.28292596
1582685003922,-1.6663742,0.32338762,-0.10217091
1582685003972,-0.62346905,0.2836828,-0.11498052
1582685004022,-0.4831026,0.19618693,-0.13237168
1582685004071,0.1052618,0.19572866,0.045390744
1582685004121,0.42910805,0.19898708,0.17818128
1582685004172,-1.2636767E-5,0.20325714,0.080437884
1582685004222,-0.5618185,0.08449627,-0.24419369
1582685004271,-0.57039934,-0.047093883,-0.1940016
1582685004322,-0.2605417,-0.070041515,0.036793932
1582685004371,-0.13027683,-0.08206503,0.10623413
1582685004422,0.1658355,-0.08768542,0.011739548
1582685004471,0.19816324,-0.028202642,-0.093559325
1582685004521,0.031553783,1.0392256E-4,-0.08725148
1582685004571,-0.08962396,-9.5190294E-4,-0.056058716
1582685004621,-0.0034980183,-0.018058516,-0.04942652
1582685004671,0.264618,-0.06602227,0.017755784
1582685004721,0.31070855,-0.06976345,0.028522756
1582685004771,-0.059847087,0.011021803,-0.06338959
1582685004821,-0.32959864,0.12905875,-0.049595546
1582685004871,0.10447864,0.06979662,0.05863749
1582685004921,0.48947188,-0.08239136,0.1104293
1582685004971,0.7642364,-0.14940004,0.2786952
1582685005022,1.0277785,-0.15670118,0.6531842
1582685005071,2.1512015,-0.28072497,1.5908068
1582685005122,1.9510202,0.2169189,2.8269055
1582685005172,1.2823856,-0.038224343,4.1902595
1582685005221,1.768288,0.13570476,4.6272984
1582685005271,2.5927742,0.37063387,4.6490793
1582685005321,3.5143201,0.2567943,4.3768306
1582685005372,3.5157537,0.32602394,3.777669
1582685005421,2.3343377,0.2767441,2.7625809
1582685005472,1.7811974,0.22272027,1.7658284
1582685005521,1.2362126,0.15394102,1.0324744
1582685005571,0.7501792,0.12766111,0.51083064
1582685005621,0.65506244,0.0071190987,0.2209467
1582685005672,0.4126818,-0.07088365,-0.011946643
1582685005721,-0.08458915,-0.007570033,-0.077649996
1582685005771,-0.4692439,0.10861669,-0.107317775
1582685005821,-0.5407383,0.2951292,-0.33887094
1582685005871,-0.55537903,0.21979149,-0.70126545
1582685005921,-0.6609872,-0.26492488,-1.1254456
1582685005971,-0.6656056,-1.4362086,-1.4462359
1582685006021,-1.3057212,-2.6031055,-2.0090625
1582685006071,-2.214274,-2.9914904,-2.7740285
1582685006122,-1.5885011,-2.604821,-3.5673454
1582685006171,-0.7021632,-1.7440428,-4.2389894
1582685006222,-0.78916186,-0.7926389,-4.2546387
1582685006271,-1.3848739,-0.8029097,-3.2521725
1582685006321,-2.8968582,-1.0957432,-1.7256969
1582685006371,-3.5704627,-1.3553275,-0.3223621
1582685006421,-2.1640584,-0.71022356,0.13981214
1582685006471,-0.7404472,0.6289486,-0.028221462
1582685006521,-2.497067,1.5997394,-0.7695659
1582685006571,-1.0993602,1.7798976,-1.0912888
1582685006621,-0.925883,0.86273193,-0.4295704
1582685006671,1.3579005,-0.07909673,0.51663595
1582685006722,1.6294601,-0.8402867,0.27235135
1582685006771,0.38416445,-1.1548679,-0.07842037
1582685006821,1.8221875,-0.50403476,0.25827858
1582685006871,0.35158467,-0.19589292,0.7540047
1582685006922,0.5775736,-0.14907007,0.9753895
1582685006971,-0.8444015,-0.17356881,0.80160034
1582685007021,-3.4260197,-0.37563974,0.43623242
1582685007071,-3.9088345,-0.6280031,0.22309048
1582685007121,-1.7328514,-0.5398302,0.34478706
1582685007171,-1.8821881,-0.2912781,0.16356887
1582685007222,-2.5729356,-0.1324477,0.07959715
1582685007271,-2.9406765,0.27144065,0.13347541
1582685007321,-0.87152296,0.55502385,-0.0240517
1582685007372,0.4806655,0.6291848,-0.48482436
1582685007422,-0.39939663,0.5575039,-0.9973507
1582685007471,-0.84500676,0.31008375,-1.0246569
1582685007521,-0.57302743,0.3034977,-0.5258919
1582685007572,-0.74109286,0.15640825,-0.21427627
1582685007621,-0.20243937,-0.06315825,0.051000178
1582685007672,0.3634762,-0.08536218,0.21026063
1582685007721,0.36943007,-0.012282905,0.094971366
1582685007772,-0.15843302,0.11223569,-0.023622569
1582685007821,-0.52472943,0.054581627,-0.06751002
1582685007871,-0.039394125,-0.04192119,-0.030680958
1582685007922,0.17213517,-0.037000697,0.009066008
1582685007971,0.030393377,-0.020112012,-0.03655292
1582685008021,-0.413246,0.10711947,-0.0011076776
1582685008071,-0.34199396,0.048076365,-0.026645668
1582685008122,0.08619845,-0.022946097,-0.05594889
1582685008172,0.30536318,-0.013328384,-0.003037888
1582685008221,0.28877953,-0.019495104,0.062460605
1582685008271,-0.11164898,0.058777574,0.050007306
1582685008321,-0.15493585,0.0021733372,-0.024024818
1582685008371,0.03715179,-0.036093093,-0.030408196
1582685008422,0.08630228,-0.028881192,-0.02042522
1582685008472,0.012991338,0.0117083145,-0.0029361914
1582685008522,-0.38283917,0.10609121,0.056251768
1582685008571,-0.40216967,0.03863566,0.0050679636
1582685008621,-0.14550172,-0.027251665,0.0021189214
1582685008671,0.10587172,-0.028059244,0.0014556195
1582685008722,-0.030432478,-0.013724753,-0.0015134269
1582685008771,-0.18216038,0.07066675,0.012344196
1582685008822,-0.04742088,-0.0020479923,-0.018732667
1582685008872,0.4033809,-0.04555433,-0.035566032
1582685008922,0.3865323,-0.053031716,0.018454392
1582685008971,0.04947483,0.008905359,0.086107105
1582685009021,-0.12327021,0.07402596,-0.026103066
1582685009072,-0.15008852,0.0049299365,-0.045458738
1582685009121,0.06351765,-0.021333873,-3.9018225E-5
1582685009172,0.31213638,-0.08512097,-0.048628464
1582685009221,-0.012375393,0.03780255,0.010562293
1582685009272,-0.2021232,0.028879095,0.07524075
1582685009321,-0.039031237,-0.031627208,0.022347055
1582685009371,0.16426674,-0.020753983,-0.007319195
1582685009422,0.10408478,-0.03599842,-0.015432641
1582685009471,-0.16685428,0.019492287,0.017751552
1582685009522,-0.0114231715,0.024562858,-0.03333015
1582685009572,0.3437225,0.0073287725,-0.07121812
1582685009621,0.41070986,-0.04036877,-0.021637028
1582685009671,0.1687924,-0.009236139,0.0072549065
1582685009722,-0.18508661,0.0552029,0.065862514
1582685009772,0.009021819,-0.0014344291,0.022817284
1582685009821,0.10700457,-0.015215666,-0.0033474746
1582685009872,0.022776127,-0.01861392,-0.008546151
1582685009922,-0.09808077,-4.7173258E-4,0.044334404
1582685009972,-0.10413961,0.00773797,0.009001495
1582685010021,0.073978,-0.008438792,-0.025545536
1582685010071,0.1677479,-0.02101057,-0.014518594
1582685010121,0.0201568,-0.0075478414,0.034411877
1582685010172,-0.10420771,0.044220615,0.013861898
1582685010221,-0.038334996,0.007305325,-0.0318543
1582685010272,0.13926567,-0.02870125,-0.0070547867
1582685010321,0.07174012,-0.024003416,-3.709416E-4
1582685010372,-0.09507775,0.027047765,0.022467278
1582685010422,-0.15957874,0.022878513,-0.0046396167
1582685010471,-0.06151724,-0.01294273,-0.0123904385
1582685010521,0.09838876,-0.042987727,0.0166566
1582685010571,0.068365395,-0.0096016275,0.033400282
1582685010622,-0.08661814,0.026390772,0.027858246
1582685010671,-0.12715355,-0.01671454,0.016560169
1582685010722,0.49344003,-0.11244525,0.0014931173
1582685010771,1.6869143,-0.079591565,-0.17226991
1582685010821,-0.037454456,0.047958978,0.054534916
1582685010871,-0.5941562,0.042603195,0.07679433
1582685010921,-0.44347945,0.034149326,-9.2110364E-4
1582685010971,-0.08706906,-0.007494989,-0.01984219
1582685011021,-0.08462544,-0.014619148,0.02690129
1582685011072,0.015900562,0.012911781,0.026323868
1582685011121,-0.12320037,-0.009171576,0.008550571
1582685011171,-0.018234162,-0.024844069,-0.013870116
1582685011221,0.07526598,-0.0341446,0.013427861
1582685011271,-0.08085801,0.015994933,0.042383082
1582685011321,-0.14418449,0.020933427,0.017151907
1582685011372,0.012020476,-0.020012721,-0.0076964903
1582685011422,0.089731954,-0.022646394,-0.011629465
1582685011471,0.009014427,0.0027816696,0.006415444
1582685011521,-0.120446615,0.026587274,0.026497725
1582685011572,-0.09041849,-0.007162112,-0.0075407852
