Time,accX,accY,accZ
1582683300084,2.381623,-11.814426,5.3590846
1582683300134,-0.74472165,-10.10601,5.6827793
1582683300184,-2.6214604,-7.7302656,5.6588974
1582683300234,-3.6808226,-5.4379215,4.931566
1582683300284,-5.085557,-3.4832501,4.2022886
1582683300334,-5.153978,-3.0137007,4.0641217
1582683300384,-5.156171,-3.4581628,3.1493912
1582683300434,-3.9181814,-4.823105,3.284039
1582683300484,-3.2579956,-4.8389444,3.7188506
1582683300534,-1.5799394,-5.545112,5.3976145
1582683300584,-1.4131565,-6.446789,5.6767883
1582683300634,-1.5028285,-6.4112616,7.823816
1582683300684,-1.496599,-6.5000086,7.931638
1582683300734,-2.0651054,-6.8184977,7.8224316
1582683300783,-2.5550284,-7.062245,8.4967375
1582683300834,-2.0363295,-7.1444597,8.123648
1582683300884,-2.3890715,-8.089697,8.301922
1582683300934,-1.8698609,-9.073047,7.392844
1582683300984,-0.9560189,-12.113756,7.2013187
1582683301034,-1.7851675,-13.189562,6.099999
1582683301084,-2.6274924,-6.9691477,5.583886
1582683301134,-3.358034,-2.7975779,5.4734907
1582683301184,-4.5442386,-1.5985112,5.174834
1582683301234,-6.010809,-2.744954,3.9445472
1582683301284,-6.8373938,-3.796305,3.9681854
1582683301333,-7.1064177,-2.0756485,7.5341396
1582683301384,-5.9452353,-1.1322559,8.794171
1582683301434,-5.4392247,-1.8750353,6.9794884
1582683301484,-5.3274555,-1.9447794,5.9811087
1582683301534,-5.620924,-1.1268742,6.3725233
1582683301584,-5.5218997,-0.4291038,6.2875614
1582683301634,-5.746442,-1.3725812,6.0209618
1582683301683,-5.6816206,-0.07419914,5.483143
1582683301734,-4.3816223,-0.36451888,7.0278974
1582683301783,-1.9366298,-2.1490147,8.459137
1582683301834,0.115124315,-7.750971,9.999958
1582683301884,-0.7974516,-9.27681,9.993394
1582683301934,-2.0882666,-9.305403,9.726301
1582683301984,-3.2499013,-7.960758,9.110286
1582683302033,-3.2749405,-5.8837147,8.623342
1582683302084,-2.628597,-6.092369,7.8590546
1582683302134,-2.361071,-5.8226466,7.3891544
