Time,accX,accY,accZ
1582684482272,13.151536,-0.738372,-0.21512729
1582684482321,11.698711,-1.189408,-0.22235036
1582684482371,11.329076,-1.6806709,-0.85911894
1582684482421,10.458605,-1.5122573,-1.3018819
1582684482472,7.598238,-0.5535716,-0.8020114
1582684482521,6.424382,-0.44225538,-0.2521843
1582684482572,6.7210703,-0.59661543,0.18925345
1582684482621,7.9502378,-1.1062187,0.7695987
1582684482671,10.3818865,-1.0102003,1.5345592
1582684482722,13.23195,-0.5294211,1.8025832
1582684482771,15.074998,-1.5966426,2.1653767
1582684482821,13.563735,-2.4807425,4.289535
1582684482871,10.615281,-2.0700617,5.824108
1582684482921,10.238691,-0.96381915,4.7786007
1582684482971,10.950123,-1.5746603,3.752322
1582684483021,10.7059,-1.6426946,4.339866
1582684483072,10.301242,-1.5508534,4.566872
1582684483122,11.200231,-2.1422987,3.7951128
1582684483171,12.458461,-3.5566447,2.8492389
1582684483222,13.559252,-3.9115686,2.3720918
1582684483272,12.935423,-2.764021,1.1471452
1582684483321,13.031461,-1.7311229,0.08682327
1582684483372,14.365746,-1.1395065,-0.39130613
1582684483421,13.864612,-1.035095,0.06854385
1582684483472,12.073507,-0.90227085,0.12293577
1582684483521,10.05272,-0.81238705,-0.5234455
1582684483571,8.271274,-0.92661655,-0.41546994
1582684483622,7.947692,-1.08234,-0.13238667
1582684483671,8.997894,-0.78947943,1.0221412
1582684483721,9.637835,0.45672926,1.419892
1582684483771,10.18664,1.0244224,1.990048
1582684483821,11.582734,0.049942493,1.7707117
1582684483871,11.165722,-1.7996435,3.387793
1582684483921,11.882708,-1.8617852,3.5759633
1582684483971,13.883685,-2.226194,2.7038724
1582684484022,13.884499,-3.0484478,3.0860572
1582684484072,12.785032,-3.131209,3.7282825
1582684484121,10.13949,-3.3522322,4.1553693
1582684484171,7.8112392,-3.2278824,3.366275
1582684484221,8.777794,-3.4588857,2.4809508
1582684484271,11.46953,-4.8232822,1.23186
1582684484321,15.145353,-4.896071,-0.6305818
1582684484372,15.137783,-3.1555672,-1.8695959
1582684484421,12.4748125,-2.1219103,-3.3247445
1582684484471,13.437253,-2.5745797,-3.2533278
1582684484521,11.437217,-2.2736301,-3.2557523
1582684484572,10.899051,-2.6134346,-2.549706
1582684484622,11.0017185,-2.3097095,-2.543589
1582684484671,9.621186,-1.4144561,-2.268627
1582684484721,8.789385,-1.2189428,-1.226723
1582684484771,7.9498906,-1.3730977,-1.0797315
1582684484822,8.378605,-1.2076261,-1.2146055
1582684484871,10.158434,-1.8120533,-0.13410234
1582684484921,11.125515,-1.9163235,1.2996595
1582684484971,12.19062,-1.7413509,1.0586401
1582684485021,10.82807,-2.5204616,2.4029212
1582684485072,11.399428,-3.3791928,1.5793762
1582684485122,11.311826,-4.4676433,1.7140745
1582684485171,10.528021,-4.0391326,1.3450997
1582684485222,9.420361,-4.5576253,1.172568
1582684485271,8.296669,-3.5970151,1.4142684
1582684485322,8.6166935,-2.516209,2.0966988
1582684485372,9.99372,-2.6006694,2.5760713
1582684485421,12.242922,-3.4617047,1.80479
1582684485471,14.727547,-3.6488822,0.31140444
1582684485521,13.162917,-3.3140924,-0.1468933
1582684485571,9.3869505,-1.1200196,-2.0532029
1582684485622,10.920447,-0.55738616,-3.4236467
1582684485671,9.018815,-1.7107706,-3.1047623
1582684485721,9.895223,-2.9467049,-3.1829212
1582684485772,9.910484,-2.2697062,-2.5138931
1582684485821,9.198393,-1.4718707,-1.3176905
1582684485872,9.04733,-2.5734398,-0.71789557
1582684485921,9.344785,-4.005722,-0.086063586
1582684485971,9.073504,-3.99936,0.1242404
1582684486022,9.400615,-3.4309838,0.30556327
1582684486071,9.755041,-3.1141143,0.84967077
1582684486121,10.014682,-2.5630984,0.71003604
1582684486171,9.247867,-1.6449885,0.8067116
1582684486221,12.140131,-1.8591914,0.78076816
1582684486271,11.795216,-1.1623156,0.19444391
1582684486322,10.728171,0.9206499,-0.3097193
1582684486371,10.053031,0.8528054,0.36244228
1582684486421,9.566077,-1.3821632,1.1199707
1582684486472,9.596134,-2.4421008,1.4139775
1582684486521,11.628063,-3.1669044,2.9615471
1582684486571,11.408306,-4.683667,3.529881
1582684486622,8.442831,-5.6075377,2.772545
1582684486671,5.1292076,-5.595079,0.19830248
1582684486721,4.1789155,-6.0720444,-1.823601
1582684486771,10.236259,-8.02063,-3.8902106
1582684486821,24.688671,-8.5160675,-9.631651
1582684486871,24.54596,0.4546317,-9.3609495
