Time,accX,accY,accZ
1582684492272,1.6455746,0.69077003,-5.932085
1582684492321,4.611162,2.59803,-1.7552583
1582684492372,8.316912,0.66363895,2.5938296
1582684492421,10.846727,-1.9851258,9.1547365
1582684492472,14.967182,-7.3991685,12.433879
1582684492521,18.696451,-14.649121,12.194777
1582684492572,20.873915,-20.28901,7.237329
1582684492621,18.130964,-21.418644,-2.0538933
1582684492672,12.94547,-19.034473,-9.900372
1582684492722,7.6137877,-14.838258,-14.459037
1582684492771,7.1786056,-10.507587,-16.273655
1582684492821,9.014883,-5.9319673,-13.1201515
1582684492871,10.784222,-2.8399336,-7.684584
1582684492922,8.982453,0.98509383,-2.7623918
1582684492971,4.15789,4.5861425,0.20624465
1582684493021,3.3078613,6.352787,2.9084342
1582684493071,7.022459,4.9491386,6.4292727
1582684493121,11.454593,2.1656654,10.207309
1582684493172,13.246711,-2.929181,12.055024
1582684493221,16.820782,-9.530267,16.025335
1582684493271,19.017029,-16.416492,18.468029
1582684493322,18.63993,-23.344193,13.706563
1582684493371,17.437866,-25.280313,4.7817407
1582684493422,12.983758,-23.51779,-4.498802
1582684493471,9.300074,-19.241276,-9.496382
1582684493521,8.064745,-14.25342,-12.567459
1582684493572,8.791192,-9.433232,-11.447088
1582684493621,10.732709,-5.384779,-7.5500693
1582684493671,10.329132,-1.2274027,-3.3663921
1582684493721,5.1854396,3.2127273,-1.0823886
1582684493771,1.0709535,5.9434485,1.1621737
1582684493822,1.1034032,5.2610846,4.42461
1582684493871,4.5240817,3.8724868,7.275776
1582684493921,7.997553,0.84125423,9.397604
1582684493971,11.527744,-2.5336323,9.620161
1582684494021,16.219368,-7.576613,10.929359
1582684494072,19.497221,-12.89938,12.3955145
1582684494121,18.662315,-20.179817,11.617711
1582684494172,17.356873,-23.605637,8.0168
1582684494222,15.101916,-23.398277,1.7531798
1582684494272,12.86457,-20.037443,-5.080575
1582684494322,9.780006,-15.550463,-9.085299
1582684494371,8.998203,-11.549666,-10.640732
1582684494421,10.37301,-7.44664,-9.024884
1582684494472,11.064378,-4.527521,-5.592817
1582684494522,10.504778,-2.2207978,-1.8201163
1582684494572,5.212491,1.1478758,-0.4013103
1582684494621,0.9468822,3.1936264,2.0036283
1582684494671,-0.57163143,4.2241554,4.403716
1582684494721,0.6612834,3.2768307,5.28138
1582684494772,3.5588315,-0.1117918,6.796755
1582684494821,5.256152,-1.5079566,9.540122
1582684494871,7.369601,-2.5608401,9.04562
1582684494921,12.409522,-4.281227,5.893796
1582684494971,17.169737,-8.425859,6.214597
1582684495021,20.823725,-11.551839,5.7707014
1582684495072,17.624174,-9.338491,5.926141
1582684495122,16.096498,-18.463507,8.910363
1582684495172,11.561349,-21.16999,4.9328237
1582684495221,8.219259,-10.045208,2.3903677
1582684495272,9.013405,-5.3977776,1.8412784
1582684495321,9.407401,-4.1450725,0.647617
1582684495371,9.752074,-4.015949,0.37454155
1582684495421,10.249875,-4.864005,0.2138814
1582684495471,10.6676035,-5.456905,0.04381568
1582684495521,10.661782,-7.001857,0.11374949
1582684495572,10.508271,-7.421765,0.1295393
1582684495621,10.656023,-8.466717,-0.23708841
1582684495671,9.521716,-7.719137,0.6257306
1582684495721,7.2099385,-7.1590343,0.46844578
1582684495771,6.0709724,-4.0733113,3.4203448
1582684495821,5.415739,2.278789,10.382964
1582684495872,2.4876094,-3.1033616,6.3839564
1582684495921,3.964086,-2.8455477,6.8109307
1582684495972,2.0775142,-0.7919951,10.577122
1582684496021,1.7458117,-3.4835503,9.98056
1582684496072,2.0897622,-4.723672,7.656493
1582684496121,1.8277608,-6.1290317,7.498558
1582684496171,1.4811077,-6.754856,7.2196717
1582684496221,1.1095339,-7.0153403,7.151459
1582684496272,1.1096215,-6.8553224,7.0980616
1582684496321,1.3913082,-6.7074533,6.8621507
1582684496371,1.6611799,-6.8114667,6.7975593
1582684496421,1.7796955,-6.8321085,6.8004055
1582684496471,1.7909323,-6.9534597,6.6766243
1582684496521,1.968545,-7.2609415,6.7342153
1582684496572,1.9553174,-7.294929,7.326968
1582684496621,2.2393162,-8.187322,7.89652
1582684496671,3.3638537,-7.3541613,9.204644
1582684496722,2.9882638,-10.245172,10.889863
1582684496771,1.4993935,-6.3539095,13.331161
1582684496821,-0.5034188,-2.1402843,13.512418
1582684496872,-4.5104365,-2.4131954,13.323576
1582684496921,-8.047259,-5.3296113,8.113459
1582684496971,-8.890869,-2.2691932,3.1711776
1582684497021,-9.084834,2.6653996,1.7002606
1582684497072,-7.0692015,0.78097665,1.3524387
1582684497122,-2.5095923,-0.42619497,1.4762195
1582684497172,2.6143465,-3.5220869,3.0206196
1582684497221,6.7254076,-4.2383738,7.8432484
1582684497272,7.794134,-2.5384088,10.007038
1582684497321,6.7735558,-3.3343859,11.419632
1582684497372,4.451275,-1.7796227,11.390802
1582684497421,3.4527433,-0.4109848,10.806498
1582684497471,2.7888486,-1.0414971,10.163379
1582684497521,2.408474,-3.4398816,8.942727
1582684497572,2.8784459,-2.460722,10.332437
1582684497621,2.819362,-4.091763,10.117964
1582684497671,2.2980602,-4.378428,8.794556
1582684497722,2.284974,-3.2703857,8.748091
1582684497771,2.5691924,-4.2577715,8.363717
1582684497821,2.6729968,-4.3996835,8.126424
1582684497871,2.4968748,-3.5470595,8.535705
1582684497921,2.51063,-3.3602073,8.487984
1582684497971,2.6103754,-4.013411,8.5993805
1582684498021,2.4969344,-3.8907154,8.623098
1582684498071,2.59928,-3.8677866,8.971924
1582684498121,3.506153,-4.6114697,9.769276
1582684498172,4.812665,-5.040422,11.263085
1582684498221,5.510918,-5.2658105,11.006914
1582684498271,4.9539294,-5.68211,9.647185
1582684498322,3.962977,-5.639477,7.2381334
1582684498372,1.6462896,-3.7105122,6.5915265
1582684498421,-0.06834519,-2.757473,5.7372875
1582684498472,-1.4091648,-2.1216629,5.6164036
1582684498522,-2.6683097,-1.7507094,5.330174
1582684498571,-3.822482,-1.4902334,4.3990664
1582684498621,-4.453223,-1.6518772,5.393767
1582684498671,-6.7327833,-2.536059,4.0223126
1582684498721,-8.706025,-3.7628133,6.2004185
1582684498772,-10.527103,-5.6350536,6.565211
1582684498822,-9.748645,-6.927479,8.485898
1582684498872,-7.292259,-6.5776253,6.9505796
1582684498921,-5.7653394,-6.479178,4.5363016
1582684498971,-6.0107164,-6.7348347,4.2199383
1582684499021,-6.736995,-6.6377053,4.4878616
1582684499072,-6.0624948,-7.5150347,5.297829
1582684499122,-4.829382,-7.272356,5.0651636
1582684499171,-4.390507,-7.034661,4.5171213
1582684499222,-4.344112,-6.414674,4.933861
1582684499272,-4.7341633,-6.09994,6.2101216
1582684499321,-4.9756045,-5.88575,6.292287
1582684499372,-4.834941,-6.0095205,6.2821364
1582684499422,-4.7398396,-5.4318347,6.08888
1582684499471,-4.7004266,-5.0709057,6.08932
1582684499521,-4.835873,-6.2184443,5.4898543
1582684499572,-4.629174,-6.765611,5.4031434
1582684499621,-4.3737044,-7.0858026,4.8858676
1582684499671,-4.4123874,-6.8202085,4.8994217
1582684499722,-4.6038356,-6.6536856,4.776759
1582684499772,-4.3637,-7.3763447,4.214185
1582684499822,-4.1904964,-7.9647326,3.6665406
1582684499871,-4.4932966,-7.7330027,3.8269446
1582684499921,-4.097814,-7.9053593,3.3436801
1582684499972,-4.0355973,-7.5413117,3.3524475
1582684500021,-4.972298,-7.799848,2.8589048
1582684500071,-4.4270673,-8.490463,2.845111
1582684500121,-3.9931455,-8.523064,2.383642
1582684500171,-4.4999495,-7.984807,2.2636573
1582684500221,-4.4136286,-8.149416,2.4162035
1582684500271,-4.34282,-8.7164345,1.2517152
1582684500322,-4.3553967,-8.196909,1.281222
1582684500372,-4.011318,-8.2538595,1.3367296
1582684500421,-4.095379,-8.559659,1.6198454
1582684500471,-4.3511443,-8.874137,1.4529442
1582684500521,-4.1204658,-8.511051,1.048874
1582684500572,-4.143155,-8.636813,1.1541628
1582684500622,-4.193885,-8.326046,1.07564
1582684500672,-4.195765,-8.85396,1.0722083
1582684500722,-4.172696,-8.504202,1.2573745
1582684500771,-4.1465645,-8.453827,1.110279
1582684500821,-4.193691,-8.36034,1.0826817
1582684500871,-4.1040015,-8.82713,1.3878808
1582684500922,-4.121171,-8.433095,1.3640844
1582684500971,-3.9563637,-8.42083,2.0018277
1582684501021,-3.9352295,-8.480593,1.7813694
1582684501072,-3.9993668,-8.6354,1.1011826
1582684501121,-4.2867107,-8.582686,0.7075349
1582684501172,-4.3441057,-8.442829,0.6575544
1582684501222,-4.310395,-8.310394,0.66197425
1582684501271,-4.2238083,-8.249575,0.74799377
1582684501321,-4.219497,-8.370429,0.8944377
1582684501372,-4.171234,-8.645574,1.0196853
1582684501421,-4.1168656,-8.735182,1.1249467
1582684501471,-4.0895624,-8.635846,1.2363131
1582684501522,-4.139898,-8.542966,1.1681532
1582684501571,-4.1029687,-8.426486,1.1406132
1582684501621,-4.112052,-8.343125,1.0366901
1582684501671,-4.130628,-8.481895,0.95647794
1582684501721,-4.061378,-8.653884,0.91962045
1582684501772,-4.0694075,-8.66817,1.0177053
1582684501821,-4.077595,-8.571624,1.119351
1582684501872,-3.9885912,-8.58315,1.0798156
1582684501922,-3.9811285,-8.61309,1.0388081
1582684501972,-4.077014,-8.596125,1.0436618
1582684502021,-4.111706,-8.633018,1.0111835
1582684502071,-3.9683714,-8.637734,1.082786
1582684502121,-3.9975598,-8.580695,1.1693728
1582684502172,-3.995134,-8.493401,1.2510499
1582684502222,-4.0209737,-8.500765,1.2080843
