Time,accX,accY,accZ
1582683721159,-3.3144913,-0.28197667,-3.1389093
1582683721208,-4.4415474,0.85219824,-5.6256347
1582683721259,-5.636512,2.078612,-10.660387
1582683721309,-6.5656652,3.9101996,-10.449219
1582683721359,-5.9013968,3.505808,-5.2270813
1582683721409,-5.5114136,0.17868781,-0.33211005
1582683721459,-4.4558773,-2.8175778,3.520518
1582683721509,-2.2020085,-3.555687,5.6770153
1582683721559,3.779757,-5.8149986,9.260218
1582683721609,4.2715,-5.2568316,14.72801
1582683721659,4.6691213,-4.782902,20.225077
1582683721709,5.397134,-8.501727,18.232065
1582683721759,4.8354383,-9.004251,15.378418
1582683721809,2.402329,-6.1089153,10.245942
1582683721859,-1.118425,-1.1116896,5.975113
1582683721909,-3.9764147,-1.750758,3.1760883
1582683721959,-5.4689045,-2.2597253,-0.3421458
1582683722009,-7.626166,-1.3440118,-1.1676611
1582683722059,-7.9615936,-1.4671252,1.3183932
1582683722109,-8.637459,-0.5651331,2.6342525
1582683722159,-9.373383,0.6147249,2.935892
1582683722209,-9.404169,2.6440454,1.8548055
1582683722259,-8.5597725,1.7069948,1.5622802
1582683722309,-6.167515,-2.7352152,2.7900324
1582683722359,-3.3748288,-7.848019,5.158436
1582683722409,-0.5897065,-9.567664,5.091366
1582683722459,3.5063653,-6.3444715,5.9081326
1582683722508,6.848851,-7.631987,16.566763
1582683722559,9.141193,-13.233206,18.552761
1582683722609,6.9195137,-9.7561655,15.563565
1582683722659,2.576635,-0.03344655,13.531118
1582683722709,-2.5037394,1.721515,5.7702913
1582683722759,-5.4101014,-1.3371317,0.8762853
1582683722808,-1.0965654,-9.762836,-0.2535071
1582683722859,1.992384,-12.737263,-2.4828596
1582683722909,6.4477963,-6.8498454,8.757117
1582683722959,10.96243,-10.773968,16.55141
1582683723009,12.400398,-11.361092,20.354042
1582683723059,9.59036,-4.0161104,17.077532
1582683723109,2.5734134,3.1508744,9.821276
1582683723159,-2.2495532,2.4319167,3.8891194
1582683723208,-2.5089965,-2.1991565,-0.6203699
1582683723258,0.00835751,-9.87072,-1.5951294
1582683723309,2.9038486,-11.88753,0.048330307
1582683723359,3.5059476,-9.238773,6.6344557
1582683723408,8.288908,-8.780466,11.702486
1582683723459,11.793036,-9.530811,17.392387
1582683723509,11.470103,-8.625927,16.606873
1582683723559,6.467598,-4.0858116,15.41489
1582683723609,1.6869934,-2.7352302,10.28215
1582683723659,-2.61401,0.752725,6.817106
1582683723709,-3.9899433,0.6292825,4.152459
1582683723759,-4.472373,-0.94276583,2.615664
1582683723808,-4.76235,-3.268322,2.0517614
1582683723859,-5.885273,-3.6502676,2.9331627
1582683723909,-6.693556,-7.1048026,4.737818
1582683723959,-7.385871,-7.326147,5.969043
1582683724009,-7.3103056,-6.6096487,6.5924635
1582683724059,-6.698819,-5.71855,5.8445444
1582683724109,-6.0963745,-5.096772,5.703581
1582683724159,-5.646023,-4.7668924,5.430086
1582683724209,-5.5378532,-4.7371635,5.9424543
1582683724259,-5.503522,-4.8245544,6.0743327
1582683724309,-5.677317,-5.2672043,6.125745
1582683724359,-5.872825,-5.0459795,5.946106
1582683724409,-6.064742,-5.2671623,5.715262
1582683724459,-5.99835,-4.950817,5.834017
