Time,rotX,rotY,rotZosboxe
1582683281984,0.040443588,-0.027252493,0.012372364
1582683282034,-0.022755206,0.012157178,0.022124283
1582683282084,-0.03232735,0.014624088,0.040784046
1582683282134,0.0060813697,0.009543514,0.013171618
1582683282184,0.04833979,-0.01833863,0.0042274697
1582683282234,0.095117696,-0.02611178,-0.011713361
1582683282283,0.023146544,0.013674018,0.013794146
1582683282334,0.086631574,0.015900483,0.049322296
1582683282384,-0.008794448,0.029522076,0.027400035
1582683282434,-0.070098855,0.009892195,-0.022599056
1582683282484,-0.15124376,0.026255189,-0.16707337
1582683282534,-0.8445874,0.2371683,-0.77495325
1582683282583,-2.3599062,0.65359277,-2.0239942
1582683282634,-3.5645156,0.9370008,-3.1508167
1582683282684,-4.1585197,0.6876671,-3.7064397
1582683282734,-1.5407916,0.17161453,-3.8919072
1582683282784,3.0966585,-0.93790287,-3.2701688
1582683282834,2.2317843,-2.114148,-2.6679108
1582683282884,-4.532612,-1.1821381,-2.2188768
1582683282934,-6.706648,-0.42464828,-2.057892
1582683282983,-2.917952,-0.35312206,-1.5121629
1582683283034,-2.0768304,-0.6903594,-0.7426925
1582683283084,-2.206317,-0.4759559,-0.40586978
1582683283134,-0.80772454,-0.08404618,-0.46776325
1582683283184,-0.12296685,-0.10653266,-0.47303203
1582683283234,-0.014889334,-0.45144284,-0.17623432
1582683283284,0.04281955,-0.42484063,-0.010413467
1582683283334,-0.022302102,-0.26384977,0.058094162
1582683283384,0.060507264,-0.1694912,0.013566925
1582683283433,-0.3630475,-0.05675008,-0.07059449
1582683283484,-0.4619379,0.048375413,-0.14932856
1582683283534,-0.2884263,0.16844085,-0.17444918
1582683283584,-0.46859848,0.14659148,0.10649397
1582683283633,-0.69860363,-0.0013323557,0.94345653
1582683283684,-0.7804259,-0.3235587,2.181548
1582683283734,-1.4615015,-0.7031206,3.5443687
1582683283784,-0.95452726,-0.93471587,4.343613
1582683283834,-0.5811941,-1.2571917,4.515604
1582683283883,-0.63864964,-1.5754211,4.5542026
1582683283934,-0.4356494,-1.8358171,4.119673
1582683283984,-0.054014537,-1.6889616,3.219785
1582683284034,0.31511742,-1.286024,2.0380623
1582683284084,-0.18272974,-0.76241034,0.8646994
1582683284133,-0.17737098,-0.3357222,0.16575894
1582683284184,-0.070388176,0.032743536,-0.2160355
1582683284234,0.04788177,0.4206928,-0.47206938
1582683284284,0.14158593,0.9704507,-1.14332
1582683284334,-0.02031828,1.7853192,-2.48046
1582683284384,0.16379869,2.2646792,-3.800729
1582683284434,0.5245659,2.2277205,-4.896028
1582683284484,0.21166174,1.9384913,-5.4743237
1582683284534,0.22749,1.357426,-5.3452373
1582683284584,0.06873804,0.87455213,-4.2173414
1582683284634,-0.73131746,0.55915946,-2.4585476
1582683284684,-0.5346628,0.32805848,-1.0002422
1582683284733,-0.71270216,0.11899914,0.10057079
1582683284783,-0.33745727,0.059694387,0.106739424
1582683284834,0.1624663,-0.22496234,0.19257542
1582683284884,0.061999794,-0.26195258,0.47523952
1582683284934,-0.5947791,-0.7964602,1.4273604
1582683284984,-0.19099753,-1.7127647,2.9442246
1582683285034,0.3445859,-2.5178945,4.365374
1582683285084,0.86157805,-2.7561836,5.2739315
1582683285134,0.7224615,-2.442345,5.4550977
1582683285184,0.9747305,-2.203509,4.953119
1582683285234,2.162899,-1.2789296,3.6025875
1582683285284,0.9227576,-0.16507167,1.5612003
1582683285334,0.60316545,0.5705817,-0.9564508
1582683285383,1.0065846,1.0784074,-2.9600453
1582683285434,1.4717168,1.1676346,-4.648133
1582683285484,2.1338627,0.8846213,-5.478759
1582683285534,1.947453,-0.134823,-5.5003333
