Time,rotX,rotY,rotZosboxe
1582683692521,0.20400602,0.07857854,-0.7865913
1582683692572,-0.24807869,-0.02320207,-0.909703
1582683692621,-0.73819494,-0.102527305,-0.88151276
1582683692671,-0.5965384,-0.08423898,-0.7831568
1582683692722,-1.04732,0.11751498,-0.35368788
1582683692771,-0.5377209,0.33325586,-0.041220628
1582683692822,-0.31711355,0.26982057,-0.0076103206
1582683692872,-0.22223149,0.09050844,-0.11399158
1582683692921,-0.21988243,0.043733723,-0.12025342
1582683692971,-0.22131193,0.12938899,-0.10935102
1582683693021,-0.003153418,0.18416174,-0.13996531
1582683693071,0.13159649,0.12817131,-0.1623186
1582683693121,-0.25799024,0.025994707,0.01846048
1582683693171,-0.050838325,0.06717676,0.007010645
1582683693221,-0.087341554,0.040704984,-0.01701178
1582683693272,-0.061751667,0.025112871,0.0067478674
1582683693321,0.087881126,-0.0106846,0.007000917
1582683693371,0.020713557,-0.0029119928,0.007936345
1582683693421,-0.106694445,0.027773902,0.0027717897
1582683693471,-0.033570036,0.01521858,-0.011545934
1582683693521,5.491383E-4,-1.7417595E-4,-0.029998621
1582683693572,-0.040568966,0.012241245,-0.029319122
1582683693621,-0.08148002,0.025879664,0.0034481012
1582683693672,-0.14803842,0.027180256,-0.0027596732
1582683693721,-0.24096249,0.018918993,-0.04906392
1582683693771,-0.23361254,0.07611747,-0.12397997
1582683693822,-1.1955459,0.6106962,-0.067844294
1582683693872,-2.4990175,1.7979324,-0.056162767
1582683693922,-2.3731427,2.9447446,-0.34832993
1582683693972,-2.5671325,3.7513857,-0.43328547
1582683694021,-1.8654515,4.407542,-0.72079563
1582683694072,-1.8138916,4.4594393,-0.6463596
1582683694122,-2.2849815,4.685851,-0.6305768
1582683694172,-2.6983356,4.3866467,-0.5689525
1582683694222,-1.9717151,3.2807035,-0.6251064
1582683694271,-1.2511867,1.9741573,-0.7057134
1582683694321,-1.2704312,0.9222219,-0.53965026
1582683694372,-2.1063094,0.41921094,-0.21547991
1582683694421,-0.8090086,0.15646484,-0.14762048
1582683694471,0.72532296,-0.18056518,-0.14715934
1582683694521,1.6826665,-0.5671431,-0.07362393
1582683694571,1.2152143,-0.75882506,0.073809065
1582683694621,1.2500653,-0.75697863,0.17069899
1582683694671,2.2868974,-0.8217856,0.105423026
1582683694721,4.1155906,-0.8747094,-0.09690452
1582683694772,4.7614493,-0.7885176,-0.06363618
1582683694821,3.3415403,-0.5988517,-0.031875756
1582683694871,2.6172252,-0.35731846,-0.1582302
1582683694922,1.6231536,-0.1607418,-0.2301717
1582683694972,0.18017347,-0.04936651,-0.2136381
1582683695021,0.04396184,-0.003594399,-0.14228682
1582683695071,-0.018604387,-0.0062722177,-0.045614716
1582683695121,-0.32024223,0.047126785,-0.0050555975
1582683695171,-0.11466379,0.041601423,-0.0486624
1582683695222,-0.14167908,0.019334476,-0.06806208
1582683695272,-0.50573695,0.09955436,0.025795324
1582683695321,-0.94723356,0.19788022,0.20364587
1582683695372,-1.1457562,0.10158036,0.3716374
1582683695421,-1.2210643,-0.11736605,0.4442685
1582683695471,-1.3937614,-0.23463443,0.35582852
1582683695522,-0.5593027,-0.21754342,0.14355354
1582683695572,-0.028067138,-0.24359523,-0.06657184
1582683695621,-0.0449213,-0.2560776,-0.19134651
1582683695671,-0.054315366,-0.20097505,-0.19335787
1582683695722,-0.034038983,-0.16420314,-0.11154429
1582683695771,0.0026482309,-0.10161372,-0.02849193
1582683695821,0.008479951,-0.004422464,-0.022228789
1582683695871,-0.06105171,0.073994204,-0.045139678
1582683695921,-0.08820342,0.10192497,-0.037856758
1582683695972,-0.021459926,0.048397288,-0.011886821
1582683696021,-0.09103264,0.017115802,0.0047092303
1582683696071,-0.052810438,0.006265449,-0.009776293
1582683696121,0.05274249,-0.021785982,-0.022316298
1582683696171,0.09006874,-0.039700903,-0.021444032
1582683696221,0.105191916,-0.0357072,-0.016613705
1582683696271,0.12038019,-0.020643897,-0.021859882
1582683696321,0.0597473,-0.0025842967,-0.010105858
1582683696372,-0.01993017,0.018954985,-0.0011898279
1582683696422,-0.047782864,0.035192218,-0.007227363
1582683696472,-0.055652905,0.0361083,-0.012101371
1582683696521,-0.012648453,0.015404196,-0.02045633
1582683696571,-0.003907323,-0.010435598,-0.00861639
1582683696621,0.023878481,-0.015028557,-0.014997659
1582683696671,0.0020778973,-0.0020801923,-0.013008378
1582683696722,0.0033908,0.0017004414,-0.009115503
1582683696771,0.012470252,-0.0072364644,-0.003924419
1582683696821,-0.025074877,-0.0053831222,-0.005940072
1582683696871,-0.028574072,-0.015691806,-0.0153025165
1582683696921,-0.011417418,-0.020608284,-0.03402533
1582683696971,0.014359727,-0.029244717,-0.04029883
1582683697022,0.07117572,-0.023799878,-0.040224243
1582683697072,0.1360569,-0.019066337,-0.02067999
1582683697122,0.1498719,-0.05093285,-0.03217271
1582683697172,0.10633806,-0.050099026,-0.023290554
1582683697222,0.21464112,-0.05772863,-0.014977608
1582683697271,0.39178208,-0.09137842,0.0107263345
1582683697321,0.4204052,-0.11226379,0.044109486
1582683697371,0.40574938,-0.09176579,0.036976192
1582683697421,0.3647276,-0.06434356,0.013737973
1582683697472,0.27258,-0.05608424,-0.012683835
1582683697522,0.24572924,-0.055872105,-0.027145103
1582683697571,0.23675606,-0.05494399,-0.022494761
1582683697621,0.1932927,-0.041728187,-0.015455812
1582683697671,0.116580404,-0.023868786,-0.010521752
1582683697722,0.025175584,-0.0024411767,0.012346236
1582683697771,-0.024632176,0.0031851053,0.016494187
1582683697822,-0.058909606,0.0027861688,0.014223348
1582683697872,-0.08403528,0.0096431635,-0.002003102
1582683697922,-0.06822732,0.017928401,-0.024526397
1582683697972,-0.024739837,-1.6685808E-4,-0.033759717
1582683698021,0.014271121,-0.004073695,-0.02281095
1582683698072,0.021879565,-0.01304907,-0.020140871
1582683698121,-0.009359705,3.3664936E-4,-0.019233597
1582683698171,-0.03492752,0.013775654,-0.031593647
1582683698221,-0.012295459,0.009312813,-0.03077994
1582683698271,0.0068862196,-8.595544E-4,-0.022623455
1582683698322,0.010223001,0.0033321222,-0.01590444
1582683698372,0.0030521487,0.012621068,-0.0066154934
1582683698422,-0.011428948,0.01734627,-0.0037408122
1582683698472,-0.013231361,0.01691766,-0.012606256
1582683698521,-0.016737489,0.009288643,-0.018285029
1582683698572,-0.054993648,0.016662186,-0.016923148
1582683698622,-0.33350196,0.06701766,-0.012367975
1582683698671,-1.0400422,0.27642155,0.12575743
1582683698722,-1.2062536,0.4658975,0.42290807
1582683698771,-1.0966626,0.6641057,0.52847326
1582683698821,-1.4637125,0.7745335,0.67935693
1582683698872,-1.5281432,0.6917969,0.85901827
1582683698922,-1.3952595,0.5643915,0.87135166
1582683698972,-1.0441613,0.4039177,0.7553063
1582683699021,-0.7027717,0.27082774,0.53990597
1582683699071,-0.38966337,0.19082135,0.31229782
1582683699121,-0.36982697,0.13914329,0.14955948
1582683699171,-0.39124888,0.028206266,0.039222684
1582683699222,-0.1861163,-0.07421286,-0.058197316
1582683699272,-0.07859791,-0.12000505,-0.1274152
1582683699321,-0.10295183,-0.11627251,-0.16753136
1582683699371,-0.01033092,-0.12316839,-0.20344402
1582683699421,0.0111707365,-0.1306257,-0.18733542
1582683699472,-0.008985825,-0.104270495,-0.14652611
1582683699522,0.0016850287,-0.050768517,-0.12064199
1582683699571,0.035788868,-0.019972693,-0.08066329
1582683699621,0.011829752,4.8237434E-4,-0.03527371
1582683699672,0.06927414,0.0038746046,-0.019026231
1582683699722,0.030691002,0.030389968,-0.044179246
1582683699771,0.02466183,0.036147285,-0.07532774
1582683699822,0.05873654,0.034354586,-0.08464324
1582683699872,0.0029537037,0.04468617,-0.0786056
1582683699921,0.112068325,0.05173828,-0.068207555
1582683699971,0.091070876,0.08035316,-0.004920596
1582683700022,0.08179635,0.08212866,0.080614306
1582683700071,0.08680292,0.089473866,0.120658346
1582683700122,0.12633204,0.11000922,0.10969224
1582683700171,0.12396411,0.122501105,0.0904269
1582683700221,0.06250834,0.12838575,0.09915754
1582683700271,0.039470796,0.10805345,0.12725471
1582683700321,0.05536905,0.09532709,0.11536455
1582683700371,0.072793946,0.09111074,0.10095955
1582683700421,0.040763777,0.09796974,0.11068319
1582683700472,0.12154288,0.09553105,0.10927743
1582683700522,0.100394815,0.09655199,0.09553198
1582683700572,0.07399835,0.09070267,0.07333733
1582683700622,0.09865468,0.07158852,0.08696631
1582683700672,0.075695984,-0.006713309,0.13614908
1582683700722,0.11853398,0.005088029,0.051440317
1582683700772,0.0430313,0.056447748,-0.053894
1582683700821,0.0940615,0.05043972,-0.08356838
1582683700871,0.13387144,0.012384441,-0.06662146
1582683700921,0.16774462,-0.03351427,-0.05915084
1582683700972,0.18619281,-0.060250286,-0.076678194
1582683701022,0.32005432,-0.12968722,-0.07509581
1582683701072,0.7751303,-0.24841723,-0.08156151
1582683701121,0.8660919,-0.34174386,-0.093246296
1582683701172,0.8688203,-0.44233105,-0.11529586
1582683701221,0.9215229,-0.492893,-0.15980162
1582683701271,0.94219846,-0.5009737,-0.1737788
1582683701321,0.6899474,-0.48966703,-0.27570423
1582683701372,0.73045397,-0.527927,-0.27299705
1582683701421,1.1743017,-0.71298325,-0.33129358
1582683701472,1.6367962,-0.88498205,-0.3373838
1582683701521,1.3228343,-1.0555438,-0.05293273
1582683701571,0.6144933,-1.141252,0.5204567
1582683701622,0.17001133,-1.2470052,1.090617
1582683701671,0.0049428707,-1.2799098,1.4825987
1582683701722,0.088590086,-1.2653098,1.8589242
1582683701771,0.11678589,-1.265115,2.2378662
1582683701821,0.51121736,-1.3725226,2.5022907
1582683701871,1.3279985,-1.4655122,2.4713335
1582683701922,3.4976475,-1.0328103,1.7363346
1582683701971,3.0014324,-0.5427586,0.8557373
1582683702021,2.4875088,-0.25731182,0.75879264
1582683702071,2.0187705,-0.35724014,0.9843331
1582683702121,2.2954957,-0.48867193,0.8600538
1582683702171,2.346575,-0.4110058,0.6128323
1582683702221,1.8455201,-0.3341472,0.24574833
1582683702271,0.8672041,-0.28415918,-0.057752457
1582683702321,0.0047248853,-0.2226877,-0.10737388
1582683702371,-0.008896966,-0.22075129,-0.10134924
1582683702422,-0.077704184,-0.18850079,-0.13593768
1582683702471,-0.3442432,-0.1679591,-0.21710081
Time,rotX,rotY,rotZosboxe
1582683692521,0.20400602,0.07857854,-0.7865913
1582683692572,-0.24807869,-0.02320207,-0.909703
1582683692621,-0.73819494,-0.102527305,-0.88151276
1582683692671,-0.5965384,-0.08423898,-0.7831568
1582683692722,-1.04732,0.11751498,-0.35368788
1582683692771,-0.5377209,0.33325586,-0.041220628
1582683692822,-0.31711355,0.26982057,-0.0076103206
1582683692872,-0.22223149,0.09050844,-0.11399158
1582683692921,-0.21988243,0.043733723,-0.12025342
1582683692971,-0.22131193,0.12938899,-0.10935102
1582683693021,-0.003153418,0.18416174,-0.13996531
1582683693071,0.13159649,0.12817131,-0.1623186
1582683693121,-0.25799024,0.025994707,0.01846048
1582683693171,-0.050838325,0.06717676,0.007010645
1582683693221,-0.087341554,0.040704984,-0.01701178
1582683693272,-0.061751667,0.025112871,0.0067478674
1582683693321,0.087881126,-0.0106846,0.007000917
1582683693371,0.020713557,-0.0029119928,0.007936345
1582683693421,-0.106694445,0.027773902,0.0027717897
1582683693471,-0.033570036,0.01521858,-0.011545934
1582683693521,5.491383E-4,-1.7417595E-4,-0.029998621
1582683693572,-0.040568966,0.012241245,-0.029319122
1582683693621,-0.08148002,0.025879664,0.0034481012
1582683693672,-0.14803842,0.027180256,-0.0027596732
1582683693721,-0.24096249,0.018918993,-0.04906392
1582683693771,-0.23361254,0.07611747,-0.12397997
1582683693822,-1.1955459,0.6106962,-0.067844294
1582683693872,-2.4990175,1.7979324,-0.056162767
1582683693922,-2.3731427,2.9447446,-0.34832993
1582683693972,-2.5671325,3.7513857,-0.43328547
1582683694021,-1.8654515,4.407542,-0.72079563
1582683694072,-1.8138916,4.4594393,-0.6463596
1582683694122,-2.2849815,4.685851,-0.6305768
1582683694172,-2.6983356,4.3866467,-0.5689525
1582683694222,-1.9717151,3.2807035,-0.6251064
1582683694271,-1.2511867,1.9741573,-0.7057134
1582683694321,-1.2704312,0.9222219,-0.53965026
1582683694372,-2.1063094,0.41921094,-0.21547991
1582683694421,-0.8090086,0.15646484,-0.14762048
1582683694471,0.72532296,-0.18056518,-0.14715934
1582683694521,1.6826665,-0.5671431,-0.07362393
1582683694571,1.2152143,-0.75882506,0.073809065
1582683694621,1.2500653,-0.75697863,0.17069899
1582683694671,2.2868974,-0.8217856,0.105423026
1582683694721,4.1155906,-0.8747094,-0.09690452
