Time,rotX,rotY,rotZosboxe
1582684022921,0.19022599,-0.06476323,0.13172753
1582684022972,-0.057776783,-0.04352972,0.168905
1582684023022,-0.107507646,0.006923721,0.21937995
1582684023071,-0.0679809,0.020323068,0.26552328
1582684023121,0.28557,-0.0904431,0.22709553
1582684023171,0.6671593,-0.14979753,0.22938839
1582684023221,0.69832414,-0.16723855,0.17277291
1582684023272,0.3256865,-0.06701878,0.07631294
1582684023321,-0.38143736,0.047125496,-0.014802281
1582684023371,-0.8152063,0.05067202,-0.061856765
1582684023422,-0.550345,-0.047561336,-0.07022566
1582684023471,-0.11728734,-0.121283665,0.015425767
1582684023521,0.69519013,-0.14828536,0.05813747
1582684023571,0.88658386,-0.041842483,0.08849536
1582684023622,0.22796981,0.09725407,0.04846065
1582684023671,-0.106262416,0.11607612,-0.026451
1582684023721,-0.20945251,-0.036704086,0.0065033743
1582684023771,-0.26161152,-0.11599454,-0.041847646
1582684023821,-0.54898894,-0.08118012,-0.07892392
1582684023871,-0.59136003,-0.020291965,-0.12920149
1582684023921,-0.33834234,0.06995481,-0.14249799
1582684023971,0.07234055,0.09606756,-0.09993665
1582684024021,0.2739025,0.093725316,-0.023927275
1582684024072,0.09370822,0.10343898,-0.020420304
1582684024122,0.02923595,0.06786041,-0.04726729
1582684024172,0.04706372,0.013674189,-0.06751985
1582684024221,0.06393181,-0.017726649,-0.035249896
1582684024271,-0.0121940505,-0.01809273,-0.0154894395
1582684024321,-0.107758224,-0.00728992,-0.046309277
1582684024372,-0.05312137,-0.0131706605,-0.061737295
1582684024422,0.08273904,-0.0024482384,-0.044074014
1582684024472,0.24090248,-0.011496617,-0.024313588
1582684024521,0.4687781,-0.02802886,-0.01989565
1582684024571,0.2993375,-0.0131872585,-0.0124759525
1582684024621,0.42000878,0.030154113,-0.016264576
1582684024672,0.8445615,-0.21360713,-0.0063540703
1582684024721,1.3737298,-0.4090608,0.15211317
1582684024771,-0.3609945,-0.50319535,0.2929456
1582684024822,-2.3714309,-0.9701743,-0.4424863
1582684024872,-2.716008,-1.1773665,-1.7728448
1582684024922,-1.8011637,-0.91308427,-2.8899333
1582684024971,-0.28944114,-0.13875493,-3.2422857
1582684025021,0.52645665,0.68724555,-2.718493
1582684025071,0.032749895,0.5506394,-2.1742272
1582684025122,-0.972043,-0.14728233,-2.087671
1582684025171,-0.75385076,-0.1778538,-2.1555765
1582684025222,3.9953554,0.07981738,-2.626864
1582684025271,1.4475199,-0.18880254,-2.614439
1582684025321,-5.105443,0.5827725,-1.8980521
1582684025372,-4.594447,0.6619543,-0.5885894
1582684025420,0.07126255,-0.41042033,0.42692608
1582684025471,1.5279479,-0.22438459,0.46850225
1582684025521,0.0011545308,0.1436525,0.08966098
1582684025572,-0.5709692,0.41326982,-0.10378404
1582684025622,-0.34800336,0.37137014,-0.2758421
1582684025671,-0.060554262,0.21550857,-0.28277773
1582684025722,-0.015726853,0.04195731,-0.12678944
1582684025772,0.021933373,-0.015481447,-0.10117524
1582684025821,0.17366533,-0.0073138084,-0.18541107
1582684025872,0.18235,-0.02646818,-0.1449907
1582684025922,0.26256263,0.004689882,-0.046288066
1582684025971,0.16207398,0.019088298,0.027351018
1582684026021,0.067397565,0.10292531,0.013924078
1582684026071,-0.12581767,0.12347696,-0.006352294
1582684026121,-0.04969656,0.10242602,-0.051127672
1582684026171,-0.0746986,0.13126726,-0.07055174
1582684026221,-0.15459345,0.13528317,-0.082699515
1582684026272,-0.15925314,0.17453554,-0.038460664
1582684026322,-0.2985933,0.23565437,0.0475756
1582684026371,-0.3282087,0.2703499,0.103077844
1582684026422,-0.3659428,0.30192992,0.17164983
1582684026471,-0.34913033,0.3392245,0.21494077
1582684026522,-0.30390587,0.34542745,0.20419252
1582684026571,-0.30530465,0.36572665,0.17887889
1582684026621,-0.3186536,0.38001576,0.16835842
1582684026671,-0.28896996,0.33909354,0.15105382
1582684026721,-0.190219,0.29266092,0.11127291
1582684026771,-0.11723633,0.23577815,0.06195171
1582684026822,-0.096611604,0.17525546,0.018958386
1582684026871,-0.16540435,0.14125893,-0.020273354
1582684026922,-0.2036492,0.12276535,-0.03862894
1582684026971,-0.17395769,0.07858454,-1.9739848E-4
1582684027021,-0.10995342,0.0767153,0.009816308
1582684027072,-0.07248084,0.09471663,0.009190764
1582684027122,-0.09098731,0.12018948,-0.047128122
1582684027171,0.09533179,0.07186544,-0.13290192
1582684027221,0.34757715,-0.030349255,-0.18621726
1582684027272,0.30988362,-0.11423645,-0.23073329
1582684027321,0.28221914,-0.17390707,-0.30531186
1582684027371,0.35374138,-0.1564774,-0.32521805
1582684027421,0.15387629,-0.11824735,-0.28105596
1582684027471,-0.029090703,-0.08852775,-0.22182244
1582684027521,0.090755716,-0.10263954,-0.15707573
1582684027571,0.23906575,-0.18936646,-0.113930464
1582684027621,0.16867054,-0.22187436,-0.09268072
1582684027672,0.3118548,-0.17081009,-0.060306877
1582684027721,0.38492516,-0.17048909,-0.06319861
1582684027771,0.34292072,-0.1586084,-0.031037815
1582684027822,0.24052955,-0.08223861,0.026433468
1582684027871,0.27552465,-0.07452231,0.035149824
1582684027921,0.2393332,-0.015246614,-0.014192333
1582684027972,0.07910438,0.03161233,-0.023189384
1582684028022,0.075556755,0.0011426071,-0.014286979
1582684028072,0.20645525,0.0061632963,-0.036257695
1582684028121,0.009215925,0.0587527,-0.044269495
1582684028172,-0.12978536,0.1062775,-0.03171638
1582684028221,0.1489427,-0.04233386,-0.048180975
1582684028271,0.100700736,-0.014332282,-0.047287554
1582684028321,0.065088615,0.055114157,-0.06173537
1582684028371,0.0025454648,-0.09407299,-0.04348809
1582684028421,0.15415812,-0.04183572,0.0069867875
1582684028471,0.091784224,-0.08135443,-0.0050590215
1582684028521,0.09673442,-0.028892241,-0.03461756
1582684028571,0.2587749,0.02477055,-0.07285129
1582684028622,0.33100832,-0.019481488,-0.13429306
1582684028671,0.2981983,-0.116343334,-0.10195021
1582684028721,0.34118378,-0.14455503,-0.02759524
1582684028772,0.62358475,-0.23423624,-0.011573239
1582684028822,0.88590467,-0.18341246,-0.028037611
1582684028871,1.1355026,-0.25120255,-0.06703951
1582684028921,0.94763464,-0.3277139,-0.12314074
1582684028971,0.6758434,-0.4127085,-0.12479313
1582684029021,0.89062446,-0.1561593,-0.062352147
1582684029071,0.7595929,-0.118250504,-0.06898245
1582684029121,0.33692148,-0.060348324,-0.0769257
1582684029172,0.14093809,-0.009614403,-0.07097728
1582684029221,0.012300128,0.035480205,-0.048416372
1582684029271,0.016717028,0.06750008,-0.02350258
1582684029321,0.028029684,0.079369836,0.0019088937
1582684029371,0.05727327,0.04424549,0.021235172
1582684029421,0.117654264,-0.040710792,0.0074466607
1582684029471,0.1596289,-0.09408893,0.0031136451
1582684029522,0.17155266,-0.09318577,-0.0051616477
1582684029572,0.18757024,-0.064526856,-0.019502688
1582684029622,0.10018353,-0.028512664,0.004723546
1582684029671,0.010465013,-0.008702784,-0.0010705218
1582684029721,0.0018116501,-0.0070522353,-0.0150277205
1582684029772,0.032317698,-0.010694739,-0.010917997
1582684029822,0.05081716,-0.009526077,0.0034809923
1582684029871,0.0087484885,-0.0033533787,0.006165185
1582684029921,-0.09545869,0.0211462,2.4155248E-4
1582684029971,-0.50487673,0.10129923,0.15771003
1582684030022,-2.0014582,0.32366702,0.8059825
1582684030071,-3.2282917,0.342043,1.5588621
1582684030121,-2.6190958,0.13432786,2.124436
1582684030171,-0.51464015,-0.113207884,2.475041
1582684030222,1.0398648,-0.49589732,2.8517473
1582684030271,1.7676284,-0.72420835,2.9706943
1582684030321,2.3460362,-0.94740224,2.863701
1582684030372,3.724389,-1.3026199,2.5200589
1582684030421,4.286775,-1.2594845,1.4368297
1582684030471,3.1367428,-0.16839814,1.1738259
