Time,rotX,rotY,rotZosboxe
1582685302921,0.1988213,0.012129264,-0.026962623
1582685302972,0.10272613,0.002334726,-0.01625696
1582685303021,0.10433952,-0.010912046,-0.013930283
1582685303071,0.04837509,0.021451464,-0.024644472
1582685303121,-0.018788021,0.04179555,-0.021986816
1582685303171,-0.020725606,0.019448016,4.0533626E-4
1582685303221,-0.036885742,0.02158259,0.016879551
1582685303272,-0.05329358,0.028534994,0.01818556
1582685303321,-0.13832007,0.017203603,0.019629389
1582685303372,-0.17806344,0.007054181,0.028786175
1582685303421,-0.24889663,0.010825338,0.01991253
1582685303472,-0.2607816,-0.001283153,0.002979271
1582685303521,-0.068359904,-0.017530689,-0.0099369995
1582685303571,0.015681809,0.0014370861,-0.044526912
1582685303621,-0.043271106,-0.020586047,-0.069635406
1582685303672,0.4535958,-0.11687782,-0.1534345
1582685303721,0.7869818,-0.11055081,-0.17887112
1582685303772,0.1843641,-0.08120335,0.032008916
1582685303821,-0.5055735,-0.06576281,0.3600361
1582685303872,-0.11318022,-0.100375295,0.2831095
1582685303921,0.0601541,-0.02728746,0.1306458
1582685303972,-0.100512035,0.074977264,0.050798856
1582685304021,0.020294327,0.06944156,0.030528802
1582685304072,0.07519022,0.06271325,0.0014352137
1582685304122,0.007246322,0.04807531,-0.016899046
1582685304171,0.04237372,0.02029869,4.7120964E-4
1582685304221,0.073100135,-0.0017008292,0.010254813
1582685304271,0.04594997,0.013262883,-0.011312637
1582685304321,0.0066335686,0.012642235,-0.04273489
1582685304371,0.04645721,0.0045518307,-0.046505164
1582685304422,0.0317601,0.005012554,-0.05596503
1582685304471,-0.0035403536,0.015227539,-0.09695901
1582685304521,0.08287356,-0.009182464,-0.09233929
1582685304572,-0.011974638,0.013113824,-0.07685511
1582685304622,-0.13469341,0.034571424,-0.060971983
1582685304671,-0.22195025,0.06088185,-0.08619118
1582685304721,-0.16834931,0.07692155,-0.17008221
1582685304771,-0.17676404,0.081250474,-0.21015409
1582685304821,-0.17184497,0.07049121,-0.19675107
1582685304872,-0.09245343,0.033310834,-0.16758277
1582685304922,0.119171456,-0.03205379,-0.17062916
1582685304972,0.4955896,-0.11248103,-0.30556113
1582685305021,-0.021435495,-0.09565922,-0.1487424
1582685305071,-0.32443956,-0.08310432,0.19747637
1582685305121,0.106733225,-0.16675739,0.27357134
1582685305172,0.06600795,-0.11146491,0.2212905
1582685305221,0.13639385,-0.11469477,0.18703222
1582685305272,0.45491815,-0.13967294,0.045838706
1582685305321,0.72975063,-0.06821078,-0.11611556
1582685305371,0.47374475,0.07319614,-0.19263184
1582685305421,0.13429128,0.13438296,-0.19427046
1582685305472,0.16915198,0.10867268,-0.18707596
1582685305522,0.3301317,0.07534439,-0.11894308
1582685305571,0.22340626,0.11964336,-0.06512233
1582685305621,0.12598649,0.08669973,-0.026053473
1582685305671,-0.081856415,0.10404638,0.057514284
1582685305721,-0.3020927,0.15762514,0.1250565
1582685305771,-0.40292394,0.041416097,0.1374816
1582685305821,-0.52264535,0.0015014289,0.24226251
1582685305871,-0.5303217,-0.009610712,0.37198657
1582685305921,-0.47698143,0.051729776,0.54539454
1582685305972,-0.4452891,0.019419163,0.41082993
1582685306021,1.3073622,-0.311579,-0.10097234
1582685306071,2.2265747,-0.3636449,-0.16761893
1582685306122,1.6546339,-0.6383736,0.0049244678
1582685306171,-0.17618114,-0.17222714,0.29504687
1582685306221,-1.4408143,-0.20383552,0.52776563
1582685306271,-6.75258E-4,-0.88110167,0.47884193
1582685306321,-0.7763984,-0.23771997,0.32196236
1582685306372,-1.603637,0.46348003,0.2153481
1582685306421,-0.59346086,0.16109037,-0.009465321
1582685306472,-0.07893331,0.08078725,-0.10110511
1582685306522,-0.4086595,0.16632348,-0.19078645
1582685306571,-0.36862198,0.26914105,-0.16838478
1582685306621,-0.016832333,0.16263682,-0.04743942
1582685306671,-0.38878572,0.1630218,0.29445556
1582685306721,-0.27791578,0.17715748,0.14270394
1582685306772,-0.5081613,0.10783726,-1.7426815E-4
1582685306821,-0.07308072,-0.10594255,-0.0973068
1582685306871,0.5486969,-0.29329532,-0.17142624
1582685306922,0.8283567,-0.25975806,-0.40912753
1582685306972,1.7721076,-0.45108753,-0.5270464
1582685307021,1.9290245,-0.4094792,-0.2577389
1582685307071,0.98748016,-0.09122857,0.032219604
1582685307122,0.6298861,-0.32505983,0.045673043
1582685307171,0.11832914,-0.31452763,0.12239322
1582685307221,-0.4141539,-0.14162569,0.28952384
1582685307272,-0.2415334,-0.06151802,0.4376053
1582685307322,-0.22644964,-0.056635443,0.27715832
1582685307371,-0.14221527,-0.007856149,0.04141386
1582685307421,-0.06994751,0.037464954,-0.119690284
1582685307471,0.11204293,0.022919273,-0.14122161
1582685307521,-0.040160272,-0.037779912,-0.03233003
1582685307571,-0.0029067367,-0.056350093,0.031440143
1582685307621,-0.046864744,-0.015080048,-0.02557851
1582685307672,-0.20334716,0.03638661,-0.074225366
1582685307721,-0.32575387,0.0792258,-0.017740954
1582685307771,-0.40790215,0.09638373,-0.03742308
1582685307821,-0.39601764,-0.14088692,-0.0086961305
1582685307871,1.2733917,-1.0889835,0.0039756102
1582685307921,1.4797659,0.84715134,0.6158812
1582685307971,-1.1652917,2.7498977,0.6429913
1582685308022,-0.9636231,4.8322325,-0.3206244
1582685308072,2.2126775,2.1491034,-0.60388976
1582685308122,1.473832,-0.5649523,-0.52693856
1582685308171,-0.9323694,0.4744751,-0.53242874
1582685308221,-1.6872625,3.589445,-0.9370845
1582685308272,-1.9356133,6.224079,-1.0940759
1582685308321,-3.24761,7.441075,-0.36758837
1582685308371,-4.5772524,7.098366,0.3473063
1582685308422,-3.3107524,6.277715,0.12607339
1582685308471,-1.0556899,5.245056,-0.36795014
1582685308522,-0.99726856,2.89983,0.901588
1582685308572,-0.48352775,0.24045688,1.4428252
1582685308621,-0.05241471,-2.1236596,1.2725543
1582685308671,-0.54064,-4.701166,0.9816712
1582685308722,-0.55549103,-6.6365104,1.0266292
1582685308772,-0.33309135,-7.3334055,1.432424
1582685308821,-0.44443426,-7.4206104,1.5485538
1582685308871,-0.7260971,-6.1550894,1.3689766
1582685308921,-1.233203,-4.5980816,0.7702556
1582685308971,-1.5900749,-2.6628296,0.501039
1582685309021,0.26691228,0.42211813,-0.049401015
1582685309071,1.0930132,3.2657652,-0.5619535
1582685309121,1.613577,4.982894,-0.9711722
1582685309172,2.3938801,5.9686995,-1.7004502
1582685309222,1.8922443,6.638236,-2.5314012
1582685309271,0.26889348,6.911643,-2.1755633
1582685309321,0.11802637,6.5317254,-1.4973638
1582685309371,-0.26555943,5.153586,-0.804135
1582685309422,-0.3195383,2.6514826,-0.27342337
1582685309471,-0.32612324,-0.43072742,0.12444876
1582685309521,-0.43947196,-3.4133155,0.8053737
1582685309571,-0.17960572,-5.4410415,1.2778889
1582685309622,-0.80101126,-6.0749807,1.5137823
1582685309672,-0.90121037,-6.0596304,1.5617502
1582685309721,-0.38931656,-5.8577027,1.4956253
1582685309771,-0.9948273,-5.208891,1.3880563
1582685309821,-1.9364288,-4.158303,0.8543009
1582685309872,-1.9913988,-3.4815595,0.18757673
1582685309921,-0.69643867,-2.4493258,0.033315737
1582685309971,0.7495073,0.031839192,0.005262972
1582685310021,0.9743903,2.6230047,-0.4917342
1582685310071,0.948328,4.3039947,-0.9149546
1582685310121,0.958143,5.194427,-1.2430575
1582685310171,1.5098931,5.476201,-1.9324546
1582685310221,0.113223255,6.146379,-2.067053
1582685310272,-0.6163775,6.289421,-1.5144699
1582685310321,-0.0747641,5.460441,-1.0041393
1582685310372,-0.14564791,3.9744537,-0.5627166
1582685310421,-0.4706145,1.9174116,-0.29499474
1582685310471,-0.49330038,-0.6969926,-0.19591714
1582685310522,-0.41097942,-3.3669693,0.14239702
1582685310572,0.38841796,-5.046957,0.60194105
1582685310622,0.060413525,-5.214169,1.0141859
1582685310671,-0.255591,-5.219624,1.1991004
1582685310721,-0.018904684,-5.0215244,1.365301
1582685310772,-0.43871778,-4.692699,1.3577493
1582685310821,-1.0341144,-4.201655,1.1030432
1582685310871,-0.89865255,-3.516494,0.7950844
1582685310922,-0.79503506,-2.9005203,0.49931717
1582685310972,0.16836852,-1.6387854,0.12938027
1582685311021,-0.3920853,0.84607035,-0.12558115
1582685311072,0.6120453,1.93467,-0.3345225
1582685311122,0.44300914,3.0021262,-0.48289248
1582685311171,0.53955674,3.4256966,-0.8879164
1582685311222,0.5186819,3.4571786,-1.4895927
1582685311271,1.0045596,3.6429877,-2.6082509
1582685311321,0.78893465,3.9051433,-4.19315
1582685311371,0.13894242,4.481968,-5.2436743
1582685311422,0.50031406,4.175115,-5.331458
1582685311472,2.9494333,1.725348,-4.663966
1582685311521,3.6804783,-0.5645755,-3.4260888
1582685311571,3.8799322,-2.4033906,-2.4953582
1582685311621,7.4496202,-2.9759138,-1.276369
1582685311672,8.786384,-2.4851713,0.123247325
1582685311721,2.7753954,1.2400634,0.35126722
1582685311771,3.8493853,1.3686302,0.02699539
1582685311821,4.377145,0.7537452,-0.09626947
1582685311872,3.5858796,-0.08323361,-0.22473913
1582685311922,2.1969228,-0.3092105,0.10998808
1582685311971,1.4036186,0.03650406,0.21236461
1582685312022,0.9637421,0.34014046,0.31264746
1582685312071,-1.5556891,0.7273437,1.1412917
1582685312122,-5.584255,0.63508993,2.5560994
1582685312171,-8.21636,-0.5411807,2.9652743
1582685312222,-7.165342,-1.005177,2.4137793
1582685312271,-2.9004245,-0.5789223,0.45135224
1582685312321,-2.387988,0.36169595,-0.62381357
1582685312371,0.26693815,0.1984541,-0.5829556
1582685312422,1.969907,-0.26207158,-0.33546412
1582685312471,0.5571322,-0.29472882,-0.101556994
1582685312521,0.41304284,-0.092854366,0.06727633
1582685312572,0.33415055,0.032902703,0.05817747
1582685312622,-0.3839389,0.2239681,0.13564321
1582685312672,-0.47245836,0.12997572,0.14948311
1582685312721,-0.34612277,-0.011678707,0.120112255
1582685312772,-0.5763522,0.010058612,0.19784856
1582685312821,-0.33226416,0.0451465,0.1390084
1582685312871,-0.06891613,0.04536932,0.07704405
