Time,accX,accY,accZ
1582686121421,-7.4450784,-3.7079484,5.336867
1582686121472,-7.3362117,-3.8052697,5.233575
1582686121521,-7.426792,-3.6852376,5.1004777
1582686121571,-7.396146,-3.4739912,5.224683
1582686121622,-7.399399,-3.5481029,5.403356
1582686121671,-7.375273,-3.909653,5.027526
1582686121721,-7.4688344,-3.65233,5.0725284
1582686121771,-7.4479065,-3.356865,5.218254
1582686121821,-7.3355856,-2.4694133,5.205766
1582686121872,-7.4772396,-2.0845559,6.187266
1582686121921,-7.424877,-3.2670157,5.6882606
1582686121972,-7.497876,-2.5612423,5.0580044
1582686122021,-7.4335723,-2.6095476,5.4053597
1582686122071,-7.231844,-2.7884238,6.0076694
1582686122121,-7.1143184,-2.304105,6.2945485
1582686122171,-7.0177,-2.8641984,6.561726
1582686122222,-6.907579,-2.4050333,6.772365
1582686122271,-6.923773,-2.4933107,6.663395
1582686122322,-6.968711,-2.571535,6.538574
1582686122371,-7.0265408,-2.241802,6.2005944
1582686122422,-7.016109,-2.7834566,6.176648
1582686122472,-6.990893,-2.5563636,6.4640684
1582686122522,-7.0556493,-2.3052967,6.455726
1582686122572,-7.1591086,-2.1030707,6.234346
1582686122622,-7.2001925,-2.2559433,6.2078295
1582686122672,-7.176902,-2.119097,6.212648
1582686122721,-7.185871,-2.0916543,6.2714176
1582686122772,-7.1422753,-2.2254508,6.3449683
1582686122821,-7.1353383,-2.164797,6.316308
1582686122871,-7.129753,-2.304673,6.205894
1582686122922,-7.1505456,-2.2721748,6.335325
1582686122971,-7.1392694,-2.2964563,6.3506336
1582686123022,-7.108813,-2.2477758,6.2908607
1582686123071,-7.183095,-2.1964896,6.242063
1582686123122,-7.139661,-2.1990478,6.2410684
1582686123171,-7.159492,-2.2163725,6.3189116
1582686123222,-7.102456,-2.2374742,6.2724
1582686123271,-7.063539,-2.279826,6.412166
1582686123321,-7.0961046,-2.2206953,6.4350624
1582686123371,-7.118771,-2.235708,6.3812604
1582686123421,-7.1339087,-2.279527,6.2894163
1582686123471,-7.1278195,-2.206565,6.234634
1582686123522,-7.072161,-2.2618933,6.3207335
1582686123572,-7.0695367,-2.348145,6.5674806
1582686123622,-7.140671,-2.1930997,6.4250627
1582686123672,-7.1726727,-2.0326862,6.2415333
1582686123721,-7.2574534,-2.1202676,6.6692333
1582686123772,-7.183869,-2.1353762,6.4099216
1582686123821,-7.4587398,-2.2541728,5.8209577
1582686123872,-7.5435815,-2.5207398,5.6160455
1582686123922,-7.444742,-3.4598618,5.029827
1582686123972,-7.5517535,-3.6380324,4.8215685
1582686124021,-7.4960175,-2.5489876,5.054539
1582686124072,-7.461066,-2.7322385,5.742343
1582686124122,-7.3765554,-2.9480796,5.6303163
1582686124172,-7.4225574,-3.2076857,5.6125817
1582686124221,-7.4384184,-3.0232446,5.5142107
1582686124272,-7.3653283,-2.7505498,5.625907
1582686124321,-7.3974566,-2.829505,5.8256984
1582686124371,-7.302505,-2.9605079,5.650732
1582686124422,-7.3699603,-3.0518427,5.564582
1582686124471,-7.4224133,-2.9792726,5.7397223
1582686124521,-7.393941,-3.0933778,5.655808
1582686124571,-7.4088187,-2.8355412,5.395006
1582686124621,-7.4582324,-2.616798,5.382078
1582686124672,-7.2887626,-2.192643,6.0457644
1582686124721,-7.204555,-2.0511324,6.5028214
1582686124772,-7.212933,-2.3280778,6.4552956
1582686124821,-7.35398,-2.2943354,6.2859154
1582686124871,-7.3626456,-1.9735187,6.166582
1582686124921,-7.3950434,-1.7222202,6.0698075
1582686124971,-7.439981,-1.4309317,5.9578757
1582686125022,-7.441477,-1.6694795,6.222712
1582686125071,-7.33399,-1.6963158,6.3023086
1582686125121,-7.3996825,-1.839846,6.228438
1582686125172,-7.4074993,-1.6735969,6.2188334
1582686125222,-7.36855,-1.5784863,6.152365
1582686125271,-7.345041,-1.5634179,6.283194
1582686125322,-7.331088,-1.4353269,6.4822803
1582686125372,-7.3412743,-1.3984836,6.5216
1582686125422,-7.38662,-1.3593745,6.326451
1582686125472,-7.364184,-1.0538994,6.3714666
1582686125521,-7.3936424,-1.2240119,6.413359
1582686125572,-7.4288654,-1.3943443,6.1664276
1582686125622,-7.4382806,-1.3792187,6.1623344
1582686125671,-7.475395,-1.2162596,6.23847
1582686125721,-7.4941826,-1.1692073,6.093959
1582686125771,-7.4925957,-1.128901,6.261223
1582686125821,-7.4382687,-0.8563817,6.629034
1582686125871,-7.32325,-0.88348633,6.5008106
1582686125922,-7.4188995,-1.635529,6.1163955
1582686125971,-7.5451984,-2.9501734,5.8383436
1582686126021,-7.5091095,-2.7265868,5.1652827
1582686126071,-7.695284,-1.912848,5.310877
1582686126122,-7.6358075,-2.7399888,5.639223
1582686126171,-7.4914446,-2.5746815,5.697089
1582686126221,-7.447205,-2.6259007,5.871891
1582686126271,-7.4579897,-2.4020786,5.90488
1582686126322,-7.4965982,-2.3843355,5.8144293
1582686126371,-7.5938272,-2.5639927,5.689664
1582686126421,-7.6325507,-2.5327053,5.3135643
1582686126472,-7.718384,-2.1322606,5.118618
1582686126522,-7.626075,-2.2858727,5.248198
1582686126572,-7.5688,-2.70014,5.626453
1582686126622,-7.2291737,-1.8143097,6.5588274
1582686126672,-7.1957736,-0.607903,7.113063
1582686126722,-7.229256,-1.0226039,6.413538
1582686126772,-7.0892324,-3.73221,6.164978
1582686126821,-7.1174035,-2.9093375,6.0172634
