Time,rotX,rotY,rotZosboxe
1582687007446,-0.20902652,1.2189109,-2.2267914
1582687007496,-0.111279935,0.593816,-3.6303165
1582687007546,-0.28689703,-0.017418323,-4.066675
1582687007596,-0.5781247,-1.143927,-3.5510483
1582687007646,0.34737548,-2.3548722,-2.132512
1582687007696,0.7937123,-2.1542547,-1.0318122
1582687007747,3.9095943,-1.3330444,-1.6687703
1582687007796,1.7001059,-0.96669894,-0.5945986
1582687007847,-0.15329355,-0.7330501,-0.102491
1582687007896,0.7656123,-0.26462892,0.11017755
1582687007947,1.102544,-0.061455473,0.18820421
1582687007996,0.516573,-0.20790347,-0.15066724
1582687008046,-0.26664472,-0.22707325,-0.28222772
1582687008096,0.24308205,0.05323363,0.08459101
1582687008147,0.5032599,0.18703851,-0.12656069
1582687008196,-0.18190107,0.25836185,0.03924219
1582687008247,-0.39608818,0.17822435,0.19383146
1582687008296,-0.91905373,-0.06996138,0.36459288
1582687008346,-0.97525334,-0.17087212,0.39351997
1582687008396,-0.8487692,-0.5471217,-0.24775268
1582687008446,-0.06053021,-0.7554924,-0.51801825
1582687008497,0.42727208,-0.47652867,-0.31702092
1582687008546,0.22151858,-0.1322561,-0.067650996
1582687008597,-0.21576515,0.0805781,0.058276247
1582687008647,-0.20221604,0.10141107,-0.04380351
1582687008696,-0.1714413,0.14607015,0.044204
1582687008746,-0.13510644,0.13070795,0.11161962
1582687008797,-0.05348233,0.077698454,0.092966266
1582687008846,0.020133903,0.023502268,0.07770623
1582687008896,0.0501632,0.03828016,0.07258389
1582687008946,0.022618352,0.05398301,0.011227312
1582687008997,0.0152851455,0.013641426,-0.057710744
1582687009046,-0.07003349,0.02077884,-0.006442394
1582687009096,-0.07677582,0.019452753,0.024376087
1582687009147,-0.016482312,0.0111709405,0.0127107
1582687009197,0.021742858,0.017824676,0.0055334824
1582687009247,0.010897102,0.018529087,-0.0016662048
1582687009297,8.2370173E-4,0.0048009153,-0.0020145348
1582687009346,-0.007290776,0.009993358,0.007568207
1582687009396,-0.031286657,0.024358096,0.019583562
1582687009446,-0.019409034,0.029188477,0.020453379
1582687009497,-0.02435816,0.04112286,0.016057225
