Time,accX,accY,accZ
1582687002021,4.6422377,-8.169606,2.7738194
1582687002072,4.628781,-8.116691,2.7402563
1582687002122,4.6100383,-8.116307,2.7671394
1582687002171,4.6359525,-8.111366,2.7654145
1582687002222,4.607485,-8.120769,2.7867067
1582687002271,4.6310825,-8.128602,2.742946
1582687002322,4.632719,-8.109006,2.7490592
1582687002372,4.6467237,-8.125094,2.7489896
1582687002422,4.606721,-8.1637745,2.8118567
1582687002471,4.636208,-8.0662155,2.7924857
1582687002522,4.6336403,-8.111678,2.7531674
1582687002571,4.590624,-8.177121,2.7258055
1582687002622,4.599693,-8.11627,2.810869
1582687002671,4.722249,-8.047763,2.9016056
1582687002721,4.8350177,-7.612476,3.180802
1582687002772,4.7113085,-7.4186797,2.9635644
1582687002821,4.990197,-7.863556,2.9676778
1582687002872,5.623893,-5.551096,4.19359
1582687002921,7.679662,-4.770423,5.122467
1582687002971,9.792857,-3.6959417,5.480622
1582687003022,11.715979,-2.305654,7.2514243
1582687003071,14.610507,-5.430286,5.366855
1582687003121,17.306126,-6.280857,4.024299
1582687003172,19.634346,-7.737754,5.283596
1582687003221,20.975294,-10.223585,2.7018335
1582687003272,17.966019,-12.694847,-2.1630192
1582687003321,6.935957,-13.276098,-12.175049
1582687003371,1.593692,-11.611687,-16.809517
1582687003422,14.465674,-9.309913,-16.846392
1582687003471,20.625023,-2.717112,-9.801705
1582687003522,21.26014,-3.4360554,-9.179385
1582687003571,18.767414,-5.471322,-4.8649797
1582687003621,14.324857,-6.6213484,1.7379249
1582687003671,5.9969535,-19.24215,15.391342
1582687003722,1.7081258,-22.909727,21.763878
1582687003772,2.628597,-20.83442,24.441715
1582687003822,5.441271,-14.2333355,19.880562
1582687003872,10.341776,-10.0185795,12.152689
1582687003922,13.053609,-4.3676147,3.653973
1582687003972,14.043054,-1.9622941,-1.8097378
1582687004021,15.44189,-2.5214276,-5.4927454
1582687004071,15.432797,-8.997135,-8.9904375
1582687004121,8.882145,-15.564849,-19.280434
1582687004171,1.4053812,-12.804236,-23.726307
1582687004221,0.61560905,-20.366352,-26.225172
1582687004271,-0.4309814,-19.833424,-23.736473
1582687004321,4.005921,-16.784761,-16.5547
1582687004372,8.531448,-8.860352,-11.017082
1582687004422,12.085357,-5.1651626,-6.8391976
1582687004471,13.163807,-4.0710797,-3.3767092
1582687004522,14.024864,-3.0259805,-2.2486567
1582687004572,13.429509,-1.8151783,0.8357768
1582687004621,8.623369,-9.508396,8.040591
1582687004672,3.524775,-14.739101,15.513638
1582687004722,-1.9553964,-13.889897,19.397324
1582687004771,-0.89375675,-11.698103,23.246216
1582687004821,5.421696,-13.625556,17.147053
1582687004872,7.469633,-12.696614,10.570371
1582687004921,10.134193,-9.962065,3.3560743
1582687004971,12.204344,-6.0205917,-1.8516544
1582687005021,11.655738,-6.2356987,-4.5833163
1582687005072,8.85033,-6.2829456,-5.2159023
1582687005121,5.985363,-7.711911,-6.9263597
1582687005172,3.8616524,-10.30797,-8.821532
1582687005221,2.1486778,-12.200379,-13.5449295
1582687005272,-0.23303223,-11.707635,-18.043941
1582687005321,-1.41568,-17.066938,-20.847376
1582687005372,1.5751177,-15.252217,-19.09152
1582687005421,4.0493774,-12.682578,-14.5886545
1582687005472,6.3791003,-9.441099,-9.186253
1582687005521,8.796201,-8.303726,-4.1738715
1582687005571,9.782655,-4.004857,-3.1427412
1582687005621,12.039679,-2.7615573,-1.2409548
1582687005671,10.792908,-4.6597943,0.6217489
1582687005722,8.775824,-7.3516383,3.8976934
