Time,rotX,rotY,rotZosboxe
1582687167646,0.2528107,0.108859725,-0.123443425
1582687167696,-0.077659,-0.028699633,-0.13347259
1582687167746,-0.061842762,-0.12641811,-0.11605049
1582687167796,-0.011804369,-0.1419107,-0.077636294
1582687167847,0.23424955,-0.080123246,-0.06758091
1582687167896,0.29547194,0.053638566,-0.07014103
1582687167947,0.090987384,0.116655685,-0.06649765
1582687167997,-0.12394233,0.0823538,-0.046545334
1582687168046,-0.17632797,0.023694523,-0.013287403
1582687168096,-0.07909564,0.017872477,0.03706415
1582687168147,-0.0030951253,0.02672405,0.056285415
1582687168196,-0.053139117,0.022669736,0.024457235
1582687168247,-0.086879365,0.016739398,-0.025093848
1582687168296,0.026313305,-0.0012106416,-0.05152085
1582687168346,0.121259704,-0.01362397,-0.050683867
1582687168396,0.097570926,-0.025794001,-0.042356666
1582687168446,0.08319957,-0.008053765,-0.023019163
1582687168496,0.055561848,0.024354322,0.004505641
1582687168546,-0.01205252,0.012434853,0.0107081905
1582687168596,-0.049184304,-0.0060023568,0.011234971
1582687168647,-0.061564963,-0.005736334,0.019733317
1582687168697,-0.040370125,-0.012535879,0.016554091
1582687168747,-0.053458203,-0.031414185,0.014918081
1582687168796,-0.086314514,-0.016226435,0.005205339
1582687168846,-0.08240708,0.020781493,0.001585247
1582687168897,0.027596127,0.014218729,-0.0027127205
1582687168946,0.078910515,0.008399747,-0.005810908
1582687168996,0.024833772,-0.0052038203,-0.0066348175
1582687169047,-0.018854037,0.015319509,0.011661267
1582687169096,-0.0016386232,0.044973932,0.026783843
1582687169147,0.019131519,0.025822788,0.016706116
1582687169197,0.013791362,-0.010223279,0.0062063225
1582687169247,-0.004792641,-0.03218215,0.0036475882
1582687169296,-0.02294283,-0.009060817,0.010874011
1582687169347,-0.030302001,0.064804226,0.05259849
1582687169396,-0.029080557,0.050493687,0.041040573
1582687169446,-0.00888775,-0.029376071,-0.010930756
1582687169497,0.016082417,-0.07036371,-0.024737459
1582687169546,-0.016794799,-0.050520446,-0.017606607
1582687169596,-0.06540555,0.0034890068,0.0030179033
1582687169646,-0.075130545,0.032982513,0.031441912
1582687169696,-0.053910054,-0.021824177,0.008333652
1582687169746,-0.038768984,-0.05516826,-0.012068693
1582687169796,-0.017363781,-0.04147688,-0.014330908
1582687169847,-0.04239912,-0.0019307411,-0.0023530014
1582687169897,-0.03741244,0.014493134,-0.0015669563
1582687169947,0.023840116,0.0033443351,-0.0070663346
1582687169997,0.042136617,-0.0041590757,-0.011531919
1582687170046,9.987481E-5,0.008998901,-0.0073850644
1582687170096,9.987481E-5,0.0056034615,-0.0022762683
1582687170146,-0.0036964389,0.0021614633,-0.004946346
1582687170197,-8.7771914E-4,8.2711456E-4,-0.008517111
1582687170247,0.005856064,-0.0013580206,-0.010394299
1582687170297,0.010440546,0.0026218677,-0.013265908
1582687170347,0.005983998,0.017189436,-0.013265908
1582687170396,0.013244838,0.01476796,-0.020609215
1582687170447,0.029428065,0.0037362294,-0.018222049
1582687170496,0.0119051365,0.0020081974,-0.016574886
1582687170547,-0.020234533,-0.0026509739,-0.017927878
1582687170596,-0.0030664376,9.3760435E-4,-0.012860557
1582687170647,9.987481E-5,0.0030805087,-0.014044582
1582687170697,0.004620813,-0.0021198234,-0.017600937
1582687170746,0.026593234,0.0059233615,-0.006941729
1582687170797,0.014387842,0.01404137,2.282327E-4
1582687170846,-0.03505298,0.009789387,0.0087925615
1582687170897,-0.03000591,-0.0014119041,0.0031593526
1582687170946,0.014360256,-0.017712533,-0.0033092513
1582687170996,0.031745024,-0.011863757,-7.907604E-4
1582687171046,0.0063653933,-0.0022818535,0.003898574
1582687171097,0.0067096143,0.014655674,0.0084014945
1582687171147,0.023892453,0.01592436,0.0016399585
1582687171197,0.040539328,-0.0022474523,-0.008331725
1582687171246,0.028334543,-0.0071993195,-0.006776709
1582687171297,0.007559236,0.0078124045,0.0046857027
1582687171346,0.0069213216,0.010974472,0.007354671
1582687171396,6.5932306E-4,0.020269804,0.009029161
1582687171446,0.018786758,-0.0020685839,-0.0070164404
1582687171496,0.058526494,5.1579904E-4,-0.009847901
1582687171547,0.051001355,0.010014923,-0.008356279
1582687171596,0.013488933,0.012325181,-0.0069839116
1582687171646,0.004575139,0.008957598,-0.001766172
1582687171696,0.008336692,-0.0048762704,-0.006498331
1582687171746,0.019368293,-0.013800135,-0.008114541
1582687171796,0.020414112,0.0032252823,0.003377905
1582687171847,-0.007254162,0.008209471,-0.0036809081
1582687171897,-0.027770175,0.011378264,-6.781537E-4
1582687171946,-0.019340672,0.0033147037,0.0011680964
1582687171996,-2.1814671E-4,0.015231697,0.009943924
1582687172046,-0.011491081,-0.012384469,0.0032881927
1582687172097,-2.3639924E-4,-0.029444054,-0.0027600257
1582687172147,0.0044407956,-1.8873764E-4,0.0036931718
1582687172196,-0.019773405,0.0102162985,-0.0014522574
1582687172247,-0.0020001063,-0.0029799421,0.007110278
1582687172297,0.0029130399,-0.006284906,0.014947729
1582687172346,-0.02057629,-0.011803899,0.010727037
1582687172396,-0.025460126,-0.008927243,0.010162807
1582687172447,-0.022772584,0.0059791654,0.009616567
1582687172496,2.7607265E-4,-0.002593746,0.0032227132
1582687172546,0.015818708,-0.016752973,8.3525945E-4
1582687172597,-0.0107997935,-0.0236505,-0.0047042966
1582687172647,-0.024893655,-0.0065788976,-4.152679E-4
1582687172696,-0.0010900965,-0.0016374085,0.0021551433
1582687172747,-0.003739943,-0.011493733,-8.2787126E-4
1582687172796,-0.03400915,-0.004689845,-0.0015218807
1582687172847,-0.026970355,-0.008716473,-7.849736E-4
1582687172896,-0.008566545,-0.010684766,1.5640724E-4
1582687172947,-0.03656361,0.0018264847,-3.41977E-5
1582687172996,-0.03048507,-0.012694808,-0.0067433594
1582687173046,0.02730873,-4.7650514E-4,-0.003351137
1582687173097,0.015757468,-1.7424393E-4,-0.0038848587
1582687173146,-0.0027157546,0.004865783,-0.002032365
1582687173196,0.0034044287,0.0011814134,0.0016440921
1582687173246,-1.9523012E-4,-0.004734594,0.0027828682
1582687173296,-0.0123179145,-0.010038976,0.0067879874
