Time,rotX,rotY,rotZosboxe
1582687277922,7.356836E-4,-0.014685031,0.0028369636
1582687277971,-0.0065349303,-0.011371467,0.004162389
1582687278022,-0.0033698974,-0.00936003,0.002168708
1582687278072,-8.131494E-5,-0.0064075426,0.0021832078
1582687278121,-0.0058733425,-0.001247861,0.0033356417
1582687278172,-0.001888926,1.28577E-4,2.9094052E-5
1582687278221,7.8581367E-4,0.006991403,-3.5803672E-4
1582687278271,0.0049642185,0.007524411,-0.0012674779
1582687278322,0.0018685411,0.0061893715,6.75614E-5
1582687278372,-4.9664406E-5,0.004158696,1.1326745E-5
1582687278421,9.1601163E-4,0.0043856455,0.0035046665
1582687278472,-0.0017082277,0.008785678,0.0018126722
1582687278521,0.004577321,0.002979216,-0.002230776
1582687278572,0.0013695427,0.0016441764,0.0010635499
1582687278622,0.005919493,0.0012899698,0.002752795
1582687278671,0.0010153358,0.0064290985,0.0014002221
1582687278722,1.03514874E-4,0.0055499696,9.787362E-5
1582687278771,-0.0018406133,0.0055499696,0.004336708
1582687278821,0.0028002763,0.0045539816,0.0010520224
1582687278871,0.0019606107,0.008082025,-0.0046180366
1582687278921,0.0044764793,0.010281036,-0.002262707
1582687278971,-0.0039857696,0.007910548,0.0029302798
1582687279022,-0.013409958,0.001559251,0.00592425
1582687279071,-0.016209016,6.4142E-4,0.009026697
1582687279122,-0.01197322,0.0019847467,0.012908186
1582687279171,-0.003924488,0.008127492,0.0036555706
1582687279221,0.0010153358,0.009771271,-0.0024106377
1582687279272,-0.0058337348,0.0063854344,0.005655568
1582687279321,-0.00700509,0.006049544,0.006163665
1582687279372,-0.0033612077,0.0066149696,0.0015931204
1582687279421,-0.004257379,0.008692685,-3.3189403E-4
1582687279471,-0.010051821,0.007766202,0.0023475797
1582687279521,-0.0017360104,0.003970239,1.9223243E-4
1582687279571,-0.005262821,0.004989509,0.0012115026
1582687279622,-0.0022265797,0.0034387358,7.163463E-4
1582687279671,0.0010153358,0.001004512,-3.5803672E-4
1582687279721,0.0020751094,0.0050096307,-8.879234E-4
1582687279772,0.0055451114,0.00821482,-0.0038228128
1582687279821,-9.946991E-6,0.008730076,-0.0025178248
1582687279871,0.009846408,0.0036234683,-0.008878036
1582687279921,0.011066048,-0.0024508876,-0.006694607
1582687279971,0.01254982,-0.005417721,-0.0029862428
1582687280022,0.002122206,-0.0039931596,-0.0025089718
1582687280071,0.009153123,-0.0024865349,-0.0050067976
1582687280122,0.016148426,-0.00403503,-0.0071961517
1582687280171,0.00561402,-0.001541872,-0.004851984
1582687280221,0.008686887,0.0013260618,-0.007921312
1582687280271,0.013950056,0.0026583958,-0.009794332
1582687280322,0.008831957,0.002853294,-0.0050480096
1582687280371,0.008013765,-1.5517604E-4,-0.0043897517
1582687280422,0.005066569,-0.001863277,-0.0023627765
1582687280472,2.6212865E-4,-5.282373E-4,3.951704E-4
1582687280521,4.3350388E-4,0.0031341282,-3.5803672E-4
1582687280572,0.0016540769,0.00640184,-0.0037655192
1582687280621,0.006731677,-5.572103E-5,-0.0043373457
1582687280671,-0.004066871,-0.006407824,0.0016878084
1582687280722,-0.0029056282,-0.00936003,0.005095939
1582687280771,-0.011240581,-0.010226395,0.006031963
1582687280822,-0.010913581,-0.013691336,0.0062458795
1582687280872,-0.015263085,-0.01400082,0.0102532795
1582687280921,-0.013869656,-0.012555031,0.009361243
1582687280972,-0.011581847,-0.009026298,0.0053325966
1582687281021,-0.010699664,-0.005187252,0.004966963
1582687281072,-0.010342403,-0.005807769,0.004966963
1582687281122,-0.005243562,-0.0057273307,0.0043396624
1582687281171,-0.008461036,-0.007959709,0.0047993017
1582687281221,-0.01252253,-0.009913141,0.008161964
1582687281272,-0.008517413,-0.0036103618,0.005555044
1582687281322,-0.0019286133,-0.0034177736,-0.0012263441
1582687281371,-0.012721179,-0.0041842624,0.0048381044
1582687281422,-0.004188857,-0.0039142226,0.005790349
1582687281471,-0.0063714273,-0.0010158033,0.0042928085
1582687281522,-0.0044949306,0.0016940848,0.0023234235
1582687281571,-0.0028402987,0.005941027,0.0016371752
1582687281621,-7.0891075E-4,0.008609719,5.717119E-4
1582687281671,0.0020803355,0.008491972,-0.0011700401
1582687281721,0.0034334522,0.009133412,-0.0031645948
1582687281772,0.0032641648,0.0077987984,-7.1452395E-4
1582687281822,0.0064986264,0.0063127335,-0.0021858003
1582687281872,1.7302041E-4,0.004906127,9.0543646E-4
1582687281921,-0.0011146644,0.009700323,0.003528689
1582687281972,0.0065758536,0.01001734,-0.0037885546
1582687282021,0.011467486,0.0026875194,-0.0066491114
1582687282071,0.0028121613,0.0044849697,7.82772E-5
1582687282121,0.0070576295,0.006604028,-7.057423E-4
1582687282171,-0.0024471951,0.009632754,-0.0014230364
1582687282221,0.006860627,0.0055499696,-0.0019433284
1582687282272,0.004210336,0.0055499696,-1.9691512E-4
1582687282321,0.004210336,0.006272031,-0.002867159
1582687282372,0.005192482,0.0085792625,-0.006499476
1582687282421,0.0045829834,0.009437322,-0.0044317124
1582687282472,0.006796697,0.006767245,-0.0035530366
1582687282521,0.0015941199,0.0040971655,-0.0021002325
1582687282571,0.0018746566,0.00441641,5.698437E-4
1582687282621,0.0015621732,0.0085434895,-5.019149E-4
1582687282672,0.010827929,0.004850858,-0.006154555
1582687282721,0.004155089,-0.0024178172,-0.0015571346
1582687282771,9.619328E-4,-0.008081419,0.004753351
1582687282822,-0.0051398464,-0.0012551215,0.003667145
1582687282871,0.005790433,3.1661987E-4,-0.0033697356
1582687282922,-1.3380754E-4,-8.331612E-5,3.7067756E-4
1582687282972,-0.0012676544,0.0012517222,0.0018102112
1582687283022,0.004905712,6.885538E-4,-0.0043862443
1582687283072,0.005899843,0.0023549695,-0.0025493745
1582687283121,0.0011228563,8.112299E-4,-0.0014230364
1582687283171,0.004117973,-0.003942668,-0.0014230364
1582687283222,0.0026514402,-0.0016580829,-6.821938E-4
1582687283271,-0.0010526127,7.109307E-4,7.379893E-4
1582687283322,0.0054126168,-0.0039412356,-0.007441267
1582687283372,1.3816403E-5,-0.016735679,-0.0014865175
1582687283422,-0.008050123,-0.020802302,0.007096963
1582687283471,-0.005381181,-0.019466126,0.0065628337
1582687283521,-0.011525504,-0.01172919,0.005227795
1582687283571,-0.0033183252,-0.014694238,7.530013E-4
1582687283621,-0.011485632,-0.014633901,0.0063109957
1582687283671,-0.005759651,-0.009294469,0.004352511
1582687283722,-0.002753312,-0.0014947634,1.3331557E-4
1582687283771,0.002974794,1.5188055E-4,-0.0024149474
1582687283822,-0.003132055,-0.0038532368,0.0012957677
1582687283872,-0.0034363093,-0.005600589,0.0028369636
1582687283922,-0.0072741443,-0.0034310692,0.0028369636
1582687283972,-0.0012332201,0.0014875624,0.0037438888
