Time,rotX,rotY,rotZosboxe
1582687157646,1.4946029,0.16492006,1.0423797
1582687157697,1.6185735,-0.16927359,1.1110929
1582687157746,1.7976911,0.053865198,0.97631234
1582687157797,1.5480698,0.31134155,0.91217995
1582687157847,0.88981444,0.12860315,1.1185042
1582687157896,0.45966402,-0.0727883,1.1632869
1582687157947,0.18888792,0.14248201,0.534519
1582687157997,0.71578074,-0.5376084,-0.9290388
1582687158047,2.402439,-2.1364617,-1.7628379
1582687158097,3.728954,-2.2602599,-1.8132246
1582687158147,4.3040447,-1.253475,-1.5103724
1582687158197,3.8447893,-0.46108812,-1.145176
1582687158246,3.035808,-0.4349142,-0.92455566
1582687158297,3.20849,-0.753799,-0.8369463
1582687158346,3.8755515,-0.5530844,-0.6728622
1582687158396,2.836122,0.7442164,-0.06510264
1582687158447,1.4577798,1.4056746,0.8849478
1582687158496,0.27296993,0.6858715,1.5652212
1582687158546,-0.78073794,-0.22937745,1.6723504
1582687158596,-0.8374909,-0.5785971,1.2433784
1582687158647,0.09423671,-0.6748289,0.6010384
1582687158697,0.116989784,-0.59657854,0.118338324
1582687158747,-0.8520134,-0.26465133,-0.24397498
1582687158797,-2.0842395,0.91267735,-0.52804506
1582687158846,-1.5483936,0.69395113,-0.8946175
1582687158896,-0.5640661,-0.5123465,-0.99184424
1582687158946,-0.44060862,-1.0853014,-0.76459277
1582687158997,-1.4874886,-0.30855995,-0.24837881
1582687159046,-2.0249386,0.591403,0.2555008
1582687159096,-1.9540168,1.0346478,0.3811241
1582687159147,-2.0608351,0.99408877,0.117348514
1582687159197,-2.0621254,0.61819357,-0.250146
1582687159247,-1.49814,-0.006260093,-0.4321872
1582687159296,-0.684533,-0.42767373,-0.38928512
1582687159346,-0.20547953,-0.26407322,0.08682793
1582687159396,0.22417253,-0.01599469,0.87616366
1582687159447,0.020469837,-0.3208297,1.4593354
1582687159496,-0.54995406,-0.71168286,1.6801547
1582687159547,-0.47425047,-0.7071425,1.3399737
1582687159596,-0.3066525,-0.10281734,0.7938744
1582687159646,-0.46126583,0.31410372,0.49767017
