Time,accX,accY,accZ
1582686221422,-7.8656654,5.444453,2.49716
1582686221472,-7.8783307,5.437489,2.524866
1582686221522,-7.876759,5.4263525,2.4858055
1582686221571,-7.875664,5.4668884,2.4973338
1582686221621,-7.8820405,5.4630938,2.5544653
1582686221671,-7.9012365,5.456281,2.5953755
1582686221721,-7.9250855,5.4925637,2.5787406
1582686221771,-7.9263444,5.375955,2.5535855
1582686221821,-7.914801,5.4228735,2.5933049
1582686221871,-7.8843107,5.4202933,2.5594392
1582686221921,-7.895433,5.3485947,2.540172
1582686221972,-7.833468,5.443589,2.5448225
1582686222021,-7.923787,5.4753165,2.4994216
1582686222071,-7.976769,5.414747,2.5183544
1582686222121,-7.847736,5.457882,2.4891396
1582686222172,-7.8937674,5.4369373,2.5097494
1582686222221,-7.873589,5.414014,2.496651
1582686222272,-7.817012,5.3887444,2.505266
1582686222321,-7.8741016,5.388235,2.5682247
1582686222371,-7.896978,5.3827367,2.535488
1582686222422,-7.885392,5.3411503,2.5683002
1582686222472,-7.8088746,5.3514977,2.5338812
1582686222521,-7.8668365,5.3196607,2.570936
1582686222572,-7.801539,5.2421317,2.6596978
1582686222621,-7.817393,5.111787,2.6670196
1582686222671,-7.777856,5.21222,2.6243322
1582686222722,-7.8170533,5.136942,2.780456
1582686222771,-7.8600097,5.005128,3.0325224
1582686222822,-7.8197336,4.9125633,3.0642233
1582686222872,-7.836914,4.8336377,3.1737535
1582686222922,-7.886631,4.878396,3.2999244
1582686222971,-7.8765182,5.0051446,3.57985
1582686223022,-7.562116,4.6603374,3.9607024
1582686223072,-7.469605,4.557238,4.1764393
1582686223122,-7.785704,4.6118255,4.461885
1582686223171,-8.05919,4.191435,4.784916
1582686223222,-8.263308,3.6614633,5.1180396
1582686223271,-8.20111,2.3039434,4.8036857
1582686223322,-7.9465313,1.2769098,5.02503
1582686223371,-7.774803,-0.18666786,4.830132
1582686223421,-7.5702806,-1.3970237,4.9465046
1582686223472,-7.1036825,-2.6181045,5.183312
1582686223521,-6.8216405,-4.1510286,5.06728
1582686223572,-6.3620067,-4.809342,5.517432
1582686223621,-5.6021485,-5.7525167,5.476047
1582686223671,-4.7341967,-6.0500135,5.5642986
1582686223721,-3.782384,-6.9451704,5.892147
1582686223771,-3.2668602,-6.795546,6.029543
1582686223822,-2.4691765,-7.4275727,6.3228416
1582686223871,-2.281538,-7.1313267,6.441077
1582686223921,-2.0128698,-7.0687494,6.6155977
1582686223971,-1.5943768,-7.208031,6.629751
1582686224022,-0.9706937,-7.4776483,6.671272
1582686224071,-0.7120945,-7.6695485,6.959869
1582686224121,-0.6710692,-7.7954364,7.112367
1582686224171,-0.78762335,-7.612449,6.9451494
1582686224221,-0.71023804,-7.3901973,6.8055987
1582686224271,-0.49284464,-7.356395,6.567573
1582686224322,-0.5868863,-7.178586,6.765176
1582686224371,-0.4841181,-7.0247645,6.8276453
1582686224422,-0.4234308,-7.0016766,6.8161902
1582686224471,-0.41238683,-6.941815,6.76164
1582686224521,-0.4401514,-6.9751034,6.656651
1582686224571,-0.5427751,-6.9100847,6.6852427
1582686224621,-0.41785637,-6.961179,6.5183187
1582686224671,-0.52262306,-6.9848895,6.7450275
1582686224722,-0.5183169,-7.0250497,6.8488803
1582686224771,-0.49631116,-7.1224895,6.728181
1582686224822,-0.3760944,-7.061192,6.9064665
