Time,accX,accY,accZ
1582686901796,3.2601864,4.0157413,-2.8047557
1582686901846,2.024684,8.475302,1.7602967
1582686901897,5.629917,11.612601,0.20769781
1582686901946,10.641053,12.301433,2.6241848
1582686901997,14.816595,12.599791,7.5643764
1582686902046,16.577625,16.471066,13.871667
1582686902097,18.03885,18.060751,15.461274
1582686902147,19.309902,14.225292,17.843
1582686902197,20.80744,9.784131,18.537058
1582686902246,20.878714,2.2458053,16.980373
1582686902296,18.654242,1.7071382,11.913906
1582686902346,15.470015,-2.357901,7.4864454
1582686902397,11.589583,-7.5222726,4.139907
1582686902446,8.83496,-6.249775,2.513676
1582686902496,7.0579963,-3.3515844,0.84343886
1582686902547,5.6361094,-2.2378983,-0.16394961
1582686902597,3.9774823,1.8557192,-2.6429482
1582686902647,2.399667,4.799874,-1.8534391
1582686902696,1.2111295,7.6968594,1.3241245
1582686902746,1.2947127,8.80344,2.678679
1582686902797,5.5172596,13.685337,0.9215225
1582686902846,6.6284146,8.168452,6.7662306
1582686902896,10.422294,5.4788313,7.9109936
1582686902946,14.622742,7.6277475,12.484765
1582686902997,18.446657,11.916682,15.068252
1582686903046,18.63705,15.027035,18.155396
1582686903097,17.47316,8.347086,20.771622
1582686903146,18.06565,3.112482,17.51937
1582686903197,16.296316,-4.179051,13.168595
1582686903246,13.67131,-5.169656,8.929809
1582686903296,11.316023,-3.655082,5.291917
1582686903346,9.892188,-4.3437333,3.312079
1582686903397,8.014759,-2.5473433,4.6710587
1582686903447,6.264395,-0.9804847,3.739862
1582686903497,3.6135957,0.7812905,1.753206
1582686903546,0.8483937,2.4527116,0.64096636
1582686903596,-0.15808946,5.9787397,-1.030609
1582686903646,-1.5523275,4.1282043,2.216353
1582686903696,2.5959525,4.079575,2.94654
1582686903747,6.8746014,1.9655815,3.865974
1582686903796,10.194043,1.3234912,12.504872
1582686903847,5.6738734,-9.716716,16.056824
1582686903896,-0.5684525,-15.298592,16.564947
1582686903946,-4.6956577,-13.409799,12.816127
1582686903996,-6.765668,-10.217778,12.222808
1582686904047,-5.311,-7.2479267,10.430712
