Time,accX,accY,accZ
1582687142471,9.988089,-1.2247043,-0.23382354
1582687142521,9.440682,-1.5534471,-0.012624243
1582687142572,9.297095,-2.4878905,0.2940326
1582687142621,9.509766,-2.9821432,0.37091497
1582687142671,10.220903,-2.8885868,0.13081771
1582687142721,11.428459,-2.6393347,-0.5067749
1582687142772,13.920164,-2.7610233,-0.9831965
1582687142821,14.515724,-2.9763656,-1.5114565
1582687142871,12.693383,-2.0661757,-2.7548022
1582687142921,11.469428,-0.24323307,-2.1367548
1582687142972,10.521731,-0.38169646,-0.92390007
1582687143022,9.5533085,-0.7180072,-0.8878901
1582687143072,9.293797,-0.33907068,-1.594259
1582687143121,8.9563055,-0.050285563,-1.4493204
1582687143171,8.774445,0.18474308,-1.8094932
1582687143221,8.800037,0.18617141,-1.4897479
1582687143271,11.196591,-0.7515365,-0.8279191
1582687143321,13.126375,-1.3191998,-1.3561406
1582687143371,11.666827,-2.8146434,0.7363525
1582687143422,10.790717,-3.415371,1.2072178
1582687143471,11.1341715,-2.626592,-1.2337482
1582687143522,10.2214775,-1.4341546,-0.4092257
1582687143571,9.382275,-0.51544213,1.178663
1582687143622,8.779087,-1.9159874,1.3049089
1582687143671,9.684067,-3.9826298,-0.5133743
1582687143722,11.227025,-3.0388432,-2.2402284
1582687143772,14.108765,-0.5941845,-1.9431463
1582687143821,15.481419,-1.0626369,-1.2986139
1582687143871,12.811595,-1.7886472,-2.9291353
1582687143922,12.0692625,-1.4969587,-3.0734744
1582687143971,9.74285,-1.0746211,-2.003
1582687144021,8.168807,-1.0339149,-1.2315763
1582687144071,9.149514,-0.864258,-1.9503458
1582687144122,9.7351885,0.39863706,-2.1854484
1582687144171,9.472336,0.9326518,-2.0015533
1582687144221,9.378563,1.127859,-1.5370911
1582687144272,11.935757,-0.17094517,-1.6889824
1582687144321,13.445586,-0.2408444,-2.972107
1582687144372,11.415243,-2.0709558,0.029381156
1582687144422,9.579419,-3.605803,2.3604798
1582687144471,10.844457,-1.9026086,-1.1581783
1582687144522,11.025092,-1.7924789,-0.19365042
1582687144571,10.178183,-2.2637932,2.3184988
1582687144621,9.349546,-2.98466,1.4203453
1582687144672,9.407713,-2.3140264,-0.75742704
1582687144721,11.043845,-1.0310466,-1.8027037
1582687144771,13.270016,-0.48670757,-2.1685991
1582687144822,15.797034,-2.070081,-0.52456164
1582687144872,12.851782,-2.5718465,-1.9648738
1582687144922,11.319301,-1.4878777,-3.1909263
1582687144971,9.5786085,-0.59855175,-2.1491075
1582687145021,8.868418,-0.2866692,-1.5759147
1582687145071,10.104169,0.004756324,-2.3604465
1582687145121,11.122043,2.1122856,-3.783785
1582687145171,9.582583,2.7374072,-2.4944031
1582687145221,9.133094,0.32967162,0.9367312
1582687145271,11.835454,-1.6693677,-0.66678125
1582687145321,10.146347,-1.4986199,-1.1339597
1582687145371,10.563083,-2.5361109,1.3397033
1582687145422,13.391361,-3.5804527,2.0906277
1582687145472,12.927853,-2.6016111,0.23092923
1582687145522,10.222974,-1.4466286,0.53015834
1582687145571,8.72385,-1.7423036,-0.10065079
1582687145621,8.270743,-2.791021,-1.1959805
1582687145671,8.829414,-2.3845263,-1.533394
1582687145721,11.492313,-1.8475958,-1.8272399
1582687145772,13.87534,-2.164172,-1.9720414
1582687145821,12.672372,-2.2522604,-2.7937791
