Time,rotX,rotY,rotZosboxe
1582686642922,-1.4332198,0.69793814,0.44536328
1582686642972,-0.288071,-0.056033544,0.777518
1582686643021,-0.5316342,-0.15964882,1.2570281
1582686643072,-1.0811572,-0.124055676,0.92226726
1582686643122,-0.86313903,-0.0550747,0.5841635
1582686643171,-0.51072526,-0.12525047,0.57353306
1582686643222,0.37628508,0.03606557,-0.4521813
1582686643272,0.49056497,0.07044342,-0.3213968
1582686643321,-0.1211019,-0.008586809,-0.40576616
1582686643372,-0.38977423,-0.12897366,-0.33921564
1582686643421,0.08562244,-0.36986864,-0.028189737
1582686643472,0.34497657,-0.26513305,-0.21716057
1582686643521,-0.3963864,-0.08254775,0.19645275
1582686643572,-0.652087,-0.21536349,0.009127569
1582686643621,0.05648247,-0.3062412,-0.0710049
1582686643671,0.062735185,-0.22313447,-0.012984595
1582686643722,-0.023455434,-0.1901669,0.13444075
1582686643772,0.0493016,-0.20913565,0.026948791
1582686643822,0.14710525,-0.17789082,-0.081487045
1582686643871,0.157189,-4.7031557E-5,-0.19026035
1582686643922,0.12922814,-0.0034597523,-0.05843875
1582686643971,0.13425183,-0.041380864,0.08498089
1582686644021,0.14074701,-0.020776201,-0.06914611
1582686644072,0.12622693,-0.030127982,-0.003764714
1582686644121,0.11512648,-0.052470993,0.013990394
1582686644171,0.099725656,-0.01595202,0.028873455
1582686644221,0.011514963,-0.011632807,0.13086799
1582686644272,0.080081284,-0.006429524,0.08156672
1582686644321,0.1391278,-0.020207273,0.004872442
1582686644372,0.10072588,-0.15609144,0.11088061
1582686644422,0.07467915,-0.2230711,0.13705504
1582686644471,0.0739295,-0.14024296,-0.0055944966
1582686644521,0.05763407,-0.07969941,-0.03687037
1582686644571,0.059033904,-0.041928027,-0.08696121
1582686644621,0.041789178,-0.011561435,-0.075394236
1582686644671,0.054925244,0.007699632,-0.08265427
1582686644722,0.101410896,0.04259742,-0.17400281
1582686644771,0.077288054,0.016716661,-0.16689609
1582686644821,0.15457521,0.019455485,-0.42982024
1582686644872,0.21189286,-0.10803863,-0.21143699
1582686644921,0.12305744,-0.22287077,0.008696613
1582686644971,0.12232054,-0.2048486,0.008827838
1582686645021,0.1500714,-0.17110106,-0.026328225
1582686645072,0.07464493,-0.13941082,0.021155328
1582686645121,0.1317131,-0.12062601,0.02822375
1582686645171,0.07041387,-0.1147946,0.08646527
1582686645222,0.14857799,-0.07149328,-0.021732379
1582686645271,0.13233341,-0.025672369,-0.076123096
1582686645321,0.0713113,-0.050747328,-0.006324741
1582686645371,0.17129442,-0.037161283,0.009346076
1582686645421,0.25289774,0.02659641,-0.054690182
1582686645471,0.24253279,0.022889916,-0.019936211
1582686645522,0.32237425,0.019551242,-0.06536333
1582686645572,0.49843708,0.11345873,-0.29316428
1582686645622,0.7771214,0.10620153,-0.32992023
1582686645672,0.60900253,0.29115537,-0.42685395
1582686645721,0.74462837,0.2759773,-0.28281125
1582686645771,0.45795795,-0.069665946,0.30857524
1582686645821,1.0643456,0.12357361,-0.21204628
1582686645871,1.1577793,0.13677637,-0.37513626
1582686645921,1.1089572,-0.11658711,-0.12977183
1582686645971,1.014578,-0.15139231,0.1872586
1582686646021,0.48002097,-0.15885393,-0.18835567
1582686646071,0.089885384,0.085429095,0.043723624
1582686646121,0.08581247,0.24308495,0.13420318
1582686646172,-0.13343196,0.22906928,0.26764613
1582686646221,-0.29309937,-0.12404253,0.33457398
1582686646271,-0.77480924,-0.47910786,0.21117696
1582686646321,-1.174744,-0.5982307,0.65002936
1582686646371,-0.34934184,-0.060952134,0.45298636
1582686646421,-0.8034789,0.28737408,-0.07689827
1582686646471,-1.8376112,0.61398584,0.38814086
1582686646521,-2.2417839,2.4120991,1.5246245
1582686646571,-1.6442235,4.4951177,1.9651716
1582686646622,-2.0970752,4.5028048,1.5748793
1582686646672,-1.5392263,2.1179168,1.2309359
1582686646721,-1.0980171,0.68260896,0.7539958
1582686646772,-1.7696872,-0.20853512,-0.07145138
1582686646821,-1.1868076,-0.096728325,-0.35751873
1582686646872,-0.406763,-0.59081084,-0.16123907
1582686646921,0.002270528,-0.8052532,-0.21224089
1582686646971,0.06294864,-1.319086,-0.111655846
1582686647021,-0.098926745,-1.3875264,0.04107344
1582686647072,0.2791361,-0.3548739,-0.099219166
1582686647121,0.4856305,-0.038896047,0.1279224
1582686647171,0.46557012,-0.37166405,0.4330459
1582686647221,0.21439947,-0.13461973,0.1484443
1582686647271,-0.16483861,0.7598235,-0.13813233
1582686647321,-0.7680294,1.5915216,-0.53533006
1582686647372,-2.2905376,1.9233651,-0.84399617
1582686647422,-0.58392197,2.3266225,-0.012195851
1582686647472,0.25207746,1.9681985,-0.24141413
1582686647522,0.26839468,0.989083,-0.13904878
1582686647572,-0.23024543,0.5126132,-0.15888739
1582686647622,-0.2875399,-0.1255608,0.026885308
1582686647672,0.08339027,-0.52850354,0.107016385
1582686647722,-0.2939897,-0.21212819,-0.24010888
1582686647771,-0.55026346,-0.54171735,-0.15335618
1582686647821,-0.5817822,-0.9539043,-0.1087362
1582686647872,-0.3438201,-0.71197045,-0.35017565
1582686647921,-0.4252362,-1.2508439,-0.07719068
1582686647971,-0.5587834,-1.4802603,0.24182676
1582686648022,-0.26191366,0.6237647,-0.92467284
1582686648072,0.13673525,0.88903695,-0.82506996
1582686648121,0.07594525,0.62614655,-0.5518004
1582686648171,0.1731791,0.61178094,-0.6034824
1582686648222,0.51666075,0.24709865,-0.32545966
1582686648272,0.66976744,-0.2560325,0.43124875
1582686648321,0.5206898,-0.66863936,1.0245416
1582686648371,0.9924916,-0.56688154,1.3947657
1582686648421,1.383646,-0.4753052,1.5350322
1582686648472,1.3465021,-0.07999695,1.3544085
1582686648522,1.1622121,0.41359448,0.838736
1582686648572,0.7333853,0.56634593,0.08128595
1582686648621,0.5049246,0.52549225,-0.49037588
1582686648671,-0.029825322,-0.2253989,0.055626076
1582686648722,-0.2645819,-0.99826294,0.97625756
1582686648771,-0.14971654,-0.21022967,0.17681915
1582686648822,-0.04765178,-0.59545183,-0.02791867
1582686648872,0.045401234,-0.6262773,0.058670353
1582686648922,-0.033570096,-0.17656921,-0.6625616
1582686648972,-0.17857103,-0.70887977,-0.055847865
1582686649022,0.40882713,-0.006335905,-0.65402263
1582686649071,0.08106855,-0.07453248,-0.7570346
1582686649121,-0.59851956,-0.588746,-0.24745826
1582686649171,-1.466767,-0.6649903,0.9326492
1582686649221,-1.0459471,0.67808115,1.1485951
1582686649271,-0.49221513,0.024345567,1.26649
1582686649321,-1.9084183,-0.38983402,1.180673
1582686649371,-2.8104289,-1.154183,2.582996
1582686649422,-0.751444,-1.1340222,0.65956664
1582686649471,-1.1394099,-1.120502,1.027108
1582686649521,-2.443281,0.2613244,1.6260307
1582686649571,-1.6406506,2.6234496,1.482965
1582686649622,0.36682823,4.5122976,2.3003159
1582686649671,0.26587176,2.899097,1.8769096
1582686649722,0.051716544,1.1588409,0.4234127
1582686649772,-0.001517876,1.3203166,0.19185778
1582686649822,0.039005563,-0.17281172,0.33695766
1582686649871,-0.0014901226,0.008319103,0.16996321
1582686649922,-0.016726352,0.08434508,0.11329027
1582686649971,-0.22820449,0.15871143,-0.06168105
1582686650022,-0.04376223,-0.011549134,-0.10898196
1582686650072,0.008957521,0.0015653337,0.008612578
1582686650121,-0.002941317,0.0010163237,-0.005449445
1582686650172,0.0041272882,-0.0029961828,-0.0024741972
1582686650221,0.0022970065,-0.0029116718,-0.0019743713
1582686650271,0.0016042648,-0.0035183004,-0.0026240563
1582686650321,0.002193341,-0.0031460419,-0.0016627219
1582686650371,0.0022970065,-0.004046792,-0.0017233063
1582686650422,0.0027292455,-0.0035782808,-0.0026240563
1582686650472,0.0033620065,-0.004211042,-0.0019171028
1582686650521,0.0033620065,-0.0022509152,-0.0025391197
1582686650572,0.0033620065,-0.0035149443,-0.0026240563
1582686650621,0.0029115586,-0.0043751467,-0.0021736082
1582686650671,0.0022970065,-0.0038681866,-0.0022812006
1582686650721,0.0022970065,-0.005207062,-0.0016280375
1582686650771,0.0024963934,-0.0031460419,-0.0017584432
1582686650821,0.0033620065,-0.003615501,-0.0026240563
1582686650872,0.0026239264,-0.002734882,-0.0026240563
1582686650922,0.0022970065,-0.0030960047,-0.0016090935
1582686650971,0.0022970065,-0.0037785226,-0.0024077967
1582686651022,0.0027826559,-0.0030523406,-0.0020447057
1582686651071,0.0033620065,-0.0049667303,-0.0026240563
1582686651122,0.002336279,-0.002198859,-0.0015983288
1582686651171,0.0022970065,-0.004211042,-0.0017842911
1582686651222,0.0017968819,-0.003210793,-0.0021239314
1582686651272,0.0027747618,-0.0028524196,-0.002330434
1582686651322,0.0033620065,-0.0031460419,-0.0026240563
1582686651371,0.0025361269,-0.0031460419,-0.0015590563
1582686651421,0.0033620065,-0.0036502376,-0.002063252
1582686651471,0.0025896668,-0.004211042,-0.0026240563
1582686651521,0.0022970065,-0.0031696835,-0.0026240563
1582686651571,0.0028825318,-0.0029063046,-0.0026240563
1582686651621,0.001737975,-0.002081042,-0.0026240563
1582686651672,0.0030821788,-0.002081042,-0.0026240563
1582686651721,0.0023055105,-0.002081042,-0.0026240563
1582686651771,0.0014896647,-0.0025963585,-0.0026240563
1582686651822,0.0028302174,-0.004211042,-0.0026240563
1582686651871,0.0033620065,-0.0034072145,-0.0026240563
1582686651922,0.0022970065,-0.0042036083,-0.0015664902
1582686651972,0.0022970065,-0.003418451,-0.0026240563
1582686652022,0.0022970065,-0.0047579044,-0.0026240563
1582686652071,0.0022970065,-0.0036389881,-0.0026240563
1582686652121,0.0033394864,-0.0031685617,-0.0026015365
1582686652172,0.0022970065,-0.003923489,-0.0015590563
1582686652221,0.0028596001,-0.0031460419,-0.0021216501
1582686652271,0.0033620065,-0.003979844,-0.0017902544
1582686652322,0.0022970065,-0.0031460419,-0.0026240563
1582686652371,0.0022970065,-0.0034481569,-0.0026240563
1582686652421,0.0022970065,-0.004211042,-0.0020481278
