Time,accX,accY,accZ
1582686191421,0.21105562,-5.110839,8.405685
1582686191472,-0.01127395,-5.03201,8.293247
1582686191521,0.05703242,-5.1522336,8.315589
1582686191572,0.24745415,-5.2458725,8.319577
1582686191622,0.016303018,-5.359526,8.333366
1582686191672,-0.20808838,-5.351885,8.060963
1582686191722,-0.1496264,-5.755711,7.9167433
1582686191771,0.110916965,-6.134975,7.7067785
1582686191821,-0.021273032,-6.3071394,7.3673906
1582686191871,-0.3560663,-6.3406763,7.1302094
1582686191921,-0.37779468,-6.066157,7.365144
1582686191971,0.25855365,-6.1638007,7.882096
1582686192022,0.44093984,-6.124723,8.093295
1582686192072,-0.3288415,-5.9910426,7.399646
1582686192122,-0.7295869,-5.802127,7.1555676
1582686192171,-0.3101883,-6.2459917,7.740318
1582686192221,0.4506692,-6.231176,7.8107114
1582686192272,0.03943548,-6.1130495,7.4661326
1582686192321,-0.54954785,-6.2177124,7.145971
1582686192372,-0.26863334,-6.4187284,7.426749
1582686192422,0.17222556,-6.3281345,7.608937
1582686192471,0.024721881,-6.1796336,7.496118
1582686192522,-0.18070076,-6.1828027,7.430424
1582686192572,-0.18238348,-6.265769,7.4223638
1582686192622,-0.17938058,-6.407955,7.364986
1582686192671,-0.029889397,-6.3348722,7.341431
1582686192722,0.002928121,-6.282078,7.4377193
1582686192771,-0.060922697,-6.1687584,7.5152154
1582686192821,-0.041454837,-6.309105,7.5721774
1582686192871,-0.18053275,-6.30437,7.2628536
1582686192921,-0.020198718,-6.5554233,7.2659507
1582686192972,0.10433704,-6.3961368,7.4774313
1582686193022,0.10634838,-6.064664,7.6220436
1582686193071,0.0041211937,-6.0993342,7.558856
1582686193121,0.07435742,-6.2704425,7.470083
1582686193172,0.05573833,-6.2452836,7.4910693
1582686193221,0.07808064,-6.1943293,7.5111914
1582686193272,0.040030066,-6.239454,7.461601
1582686193322,0.07220079,-6.288469,7.4824023
1582686193372,0.07937233,-6.233716,7.514307
1582686193421,0.021494288,-6.2087364,7.4649487
1582686193471,-0.06435162,-6.33804,7.398141
1582686193522,-0.051402304,-6.4131737,7.31005
1582686193571,0.040017832,-6.4414864,7.331005
1582686193621,-0.003921531,-6.34915,7.409312
1582686193672,-0.02751858,-6.312553,7.3678102
1582686193721,-0.0064983056,-6.432384,7.357777
1582686193771,-0.005187991,-6.408875,7.2936378
1582686193821,-0.008953,-6.461339,7.3123264
1582686193872,-0.015677707,-6.413464,7.366086
1582686193921,-0.01695157,-6.402338,7.327002
1582686193971,-0.03937296,-6.44443,7.3116374
1582686194022,-0.04944734,-6.4263806,7.287827
1582686194071,-0.022228638,-6.454627,7.315077
1582686194122,-0.023924991,-6.434803,7.302982
1582686194171,-5.306713E-4,-6.4548736,7.3001375
1582686194222,-0.0285501,-6.4381847,7.3198295
1582686194272,-0.06882539,-6.448902,7.2961426
1582686194321,-0.034025103,-6.444854,7.293196
1582686194371,-0.13603507,-6.43491,7.2646146
1582686194421,-0.09664337,-6.4874587,7.185219
1582686194472,0.14477962,-6.596406,7.3110223
1582686194521,0.10785461,-6.5009623,7.2960577
1582686194571,-0.09757987,-6.3750544,7.282186
1582686194621,-0.2611181,-6.428695,7.175352
1582686194671,-0.1398268,-6.5478745,7.2458935
1582686194721,0.08006895,-6.500275,7.3233123
1582686194771,0.088884816,-6.539969,7.220588
1582686194821,-0.053469837,-6.5314226,7.2655225
1582686194871,-0.1549221,-6.3689814,7.291716
1582686194921,-0.11818469,-6.5050893,7.226833
1582686194971,0.010056764,-6.5706725,7.2037215
1582686195021,0.0039715543,-6.5127583,7.276447
1582686195071,-0.033402845,-6.4758515,7.245331
1582686195121,-0.1026312,-6.5043545,7.243528
1582686195172,-0.04402303,-6.499247,7.2637653
1582686195221,-0.063439414,-6.4822736,7.236116
1582686195271,-0.030159678,-6.5657363,7.3295436
1582686195322,-0.034167923,-6.462305,7.3248696
1582686195372,-0.12519959,-6.5519166,7.264547
1582686195422,-0.09063128,-6.5087748,7.0614796
1582686195472,-0.23955713,-6.534839,7.1959977
1582686195521,-0.20054181,-6.464078,7.176887
1582686195571,-0.21577659,-6.4489737,7.278558
1582686195621,-0.08033179,-6.4677243,7.327363
1582686195671,-0.05747059,-6.4420924,7.3908153
1582686195721,-0.22785214,-6.409617,7.20843
1582686195772,-0.3118999,-6.5058265,7.1516166
1582686195822,-0.22928362,-6.491275,7.2059793
1582686195871,-0.21830405,-6.568555,7.258904
1582686195921,-0.19071412,-6.54305,7.184644
1582686195971,-0.16930568,-6.615222,7.158803
1582686196021,-0.24269637,-6.627231,7.168329
1582686196071,-0.16673812,-6.483915,7.1958613
1582686196122,-0.03774353,-6.542521,7.2648883
1582686196172,-0.14266275,-6.6197553,7.1555734
1582686196221,-0.28302333,-6.527053,7.1523466
1582686196271,-0.057070386,-6.4812093,7.285972
1582686196322,-0.10405469,-6.5686927,7.2154784
1582686196371,-0.16512482,-6.592696,7.166955
1582686196421,-0.1334224,-6.5300736,7.2210298
1582686196471,-0.08507649,-6.5257564,7.262672
1582686196521,-0.14807126,-6.557664,7.142447
1582686196572,-0.3003284,-6.590734,7.2133207
1582686196621,-0.052593358,-6.349417,7.289158
1582686196671,-0.078924045,-6.588732,7.170512
1582686196721,-0.27568093,-6.5806603,7.1490316
1582686196772,-0.021760449,-6.3308005,7.2818027
1582686196821,-0.19839197,-6.6653166,7.2589455
1582686196871,-0.14458026,-6.529063,7.137284
