Time,accX,accY,accZ
1582686381421,-0.9221369,-9.296155,1.9349312
1582686381471,-1.0539914,-9.350878,1.8943921
1582686381521,-0.9713127,-9.202666,1.9405131
1582686381572,-1.0266285,-9.341442,2.0353422
1582686381622,-0.9628608,-9.309228,1.978585
1582686381671,-1.0354147,-9.242843,1.891803
1582686381721,-1.0630482,-9.270476,1.9357481
1582686381772,-1.019103,-9.263367,1.9504251
1582686381821,-1.0262184,-9.380928,2.031316
1582686381871,-0.9707967,-9.24007,1.9500524
1582686381921,-1.0797653,-9.280016,1.9549586
1582686381971,-0.99083704,-9.242736,1.9883233
1582686382022,-1.0155445,-9.392482,1.9792525
1582686382072,-0.951564,-9.253172,1.9202223
1582686382122,-1.0483022,-9.306668,1.9148177
1582686382171,-0.9896182,-9.300603,2.0061586
1582686382222,-1.0131726,-9.288614,2.051248
1582686382271,-1.0392306,-9.264318,1.9686255
1582686382321,-0.99883974,-9.293454,1.9009647
1582686382372,-1.0058666,-9.359406,1.9614766
1582686382421,-1.0139934,-9.250534,1.9767065
1582686382471,-1.0795056,-9.172903,2.0120995
1582686382521,-1.0290853,-9.344708,1.979393
1582686382572,-0.9691991,-9.359414,1.9314727
1582686382621,-1.1000901,-9.229913,1.9460622
1582686382672,-1.0711045,-9.170008,1.9850447
1582686382721,-1.0198072,-9.315807,2.0640845
1582686382771,-0.9698829,-9.310903,2.0056934
1582686382821,-1.0227714,-9.331304,1.942711
1582686382871,-1.0615265,-9.225573,1.9607196
1582686382922,-1.0777047,-9.220178,1.9908688
1582686382971,-0.95045096,-9.36536,2.0315902
1582686383022,-0.9636769,-9.330711,2.058011
1582686383072,-1.0106694,-9.25682,2.038467
1582686383121,-1.0696985,-9.215588,2.0433888
1582686383171,-0.99647295,-9.380319,2.0322406
1582686383222,-1.0313646,-9.344949,1.9650207
1582686383271,-1.0474336,-8.986531,1.9544069
1582686383321,-1.0920179,-9.472855,2.0383236
1582686383371,-0.8898454,-9.097574,2.0249245
1582686383421,-1.2228365,-9.490343,2.1285682
1582686383471,-0.9744908,-9.185863,1.9897964
1582686383521,-1.0355107,-9.299114,2.0178661
1582686383572,-0.98002213,-9.271303,2.0644767
1582686383621,-1.1055232,-9.266064,2.1099403
1582686383671,-1.0378429,-9.234321,2.0262344
1582686383722,-1.0105022,-9.321187,1.9969381
1582686383772,-1.0132495,-9.2452,2.048197
1582686383822,-1.0482026,-9.302122,2.161972
1582686383871,-0.972522,-9.271641,2.0760598
1582686383922,-1.0265199,-9.298892,2.0335658
1582686383971,-1.0076079,-9.294943,2.0497148
1582686384021,-0.991108,-9.236909,2.0898695
1582686384071,-1.0743083,-9.228509,2.1407764
1582686384122,-1.059393,-9.285281,2.083523
1582686384172,-1.013297,-9.306648,2.0158918
1582686384221,-1.0962974,-9.214605,2.0358613
1582686384272,-1.098237,-9.21123,2.1271179
1582686384321,-1.1018944,-9.262196,2.1433022
1582686384371,-1.0730026,-9.288673,2.080629
1582686384421,-1.0722971,-9.25157,2.0363758
1582686384471,-1.0862745,-9.214925,2.1063013
1582686384521,-1.0655417,-9.293201,2.1121483
1582686384572,-1.0839438,-9.246929,2.0267246
1582686384621,-1.1408086,-9.224598,2.0245564
1582686384671,-1.0440629,-9.260089,2.0812235
1582686384721,-1.0352257,-9.278272,2.170743
