Time,accX,accY,accZ
1582687112471,5.9139447,-12.092414,12.565148
1582687112521,3.088333,-11.301729,3.355881
1582687112572,3.8538222,-6.6856112,-1.0867164
1582687112621,-0.62439406,-4.254016,-1.0116318
1582687112671,-3.2249713,-6.312517,2.0255847
1582687112722,-5.0321875,-6.3591185,3.9292
1582687112771,-6.624547,-6.6042776,1.495287
1582687112821,-4.5597277,-10.481638,1.3219467
1582687112871,-2.1497905,-11.567507,0.40148282
1582687112921,-0.091914915,-13.202488,-0.9406978
1582687112972,1.8149114,-11.5767,4.0691795
1582687113021,4.6939898,-12.63192,5.6826715
1582687113071,7.5297585,-12.2316475,7.4866447
1582687113121,6.3910623,-12.7197895,3.46431
1582687113172,5.4960694,-7.6669655,0.88681304
1582687113222,7.05446,-7.159334,1.7826023
1582687113272,7.1429706,-6.7397003,2.4054189
1582687113321,7.0759306,-6.4887934,2.3802733
1582687113372,7.002567,-5.35773,2.5655131
1582687113422,6.9771447,-4.2323837,3.38631
1582687113472,7.49623,-3.8187037,6.6453333
1582687113521,6.854385,-4.977663,8.334005
1582687113571,5.7842746,-5.200836,5.7057014
1582687113621,5.858927,-5.3054447,5.33486
1582687113672,6.057258,-4.9680634,5.6488485
1582687113721,6.3844323,-5.1096854,5.8024745
1582687113771,6.6752987,-4.2703404,6.1224246
1582687113821,6.5970488,-4.3836393,5.8158007
1582687113872,6.297486,-5.0138264,5.6573377
1582687113922,6.306929,-5.511344,5.857356
1582687113972,6.211552,-5.620017,5.401577
1582687114021,6.135227,-5.7368736,5.4020166
1582687114071,5.9941087,-5.6348395,5.4196496
1582687114121,5.9571085,-5.4404516,5.6039042
1582687114171,6.0283957,-5.4933863,5.5941005
1582687114222,6.144077,-5.5587916,5.366438
1582687114271,6.2611895,-5.527528,5.289654
1582687114322,6.2588277,-5.527849,5.3539453
1582687114371,6.1636567,-5.5417995,5.4190683
1582687114422,6.145901,-5.5493007,5.4091744
1582687114471,6.1939526,-5.5583105,5.329511
1582687114521,6.1521087,-5.6264853,5.3126283
1582687114572,6.1299553,-5.63317,5.336155
1582687114621,6.136038,-5.6333237,5.2973204
1582687114672,6.210303,-5.6529026,5.2942243
1582687114722,6.1410317,-5.601323,5.409442
1582687114772,6.145989,-5.5784483,5.3669376
1582687114822,6.2344003,-5.5621934,5.3549914
1582687114872,6.2438645,-5.5363793,5.3253136
1582687114922,6.1763296,-5.5860434,5.3412147
1582687114972,6.161576,-5.58646,5.293091
1582687115021,6.23369,-5.59639,5.3204007
1582687115072,6.2202888,-5.5539975,5.303311
1582687115121,6.1567826,-5.5482535,5.319059
1582687115171,6.1835365,-5.5735164,5.3326726
1582687115222,6.2171674,-5.5430064,5.3443213
1582687115271,6.160661,-5.6015964,5.359459
1582687115321,6.1396923,-5.5647554,5.369515
1582687115371,6.2017617,-5.5180545,5.3528295
1582687115421,6.2290115,-5.521898,5.3359103
1582687115471,6.155062,-5.6167645,5.33105
1582687115521,6.157898,-5.6129704,5.31303
1582687115571,6.179827,-5.6100836,5.3214517
1582687115621,6.152842,-5.5603004,5.337045
1582687115672,6.159732,-5.5694795,5.3645735
1582687115722,6.1924844,-5.570541,5.351388
1582687115772,6.1965528,-5.542065,5.343905
1582687115821,6.1751175,-5.6073275,5.368074
1582687115871,6.169152,-5.5756593,5.3398194
1582687115922,6.17582,-5.5362244,5.3798695
1582687115972,6.1848288,-5.533565,5.3312087
1582687116021,6.169433,-5.5583434,5.3619823
1582687116071,6.1644287,-5.5507245,5.3536654
1582687116121,6.165559,-5.566652,5.384128
1582687116172,6.157064,-5.5613174,5.3583255
1582687116221,6.1647096,-5.5372944,5.3310366
1582687116271,6.1698346,-5.5683136,5.3938665
1582687116321,6.1461406,-5.58308,5.343709
1582687116372,6.1715016,-5.575828,5.3351803
1582687116422,6.1382523,-5.5943494,5.359331
1582687116472,6.1619744,-5.5889893,5.3404613
1582687116521,6.197025,-5.5766387,5.3389854
1582687116572,6.1762123,-5.559107,5.3310285
1582687116621,6.151968,-5.659591,5.3218727
1582687116672,6.169799,-5.572317,5.3176756
1582687116721,6.17703,-5.5869026,5.3398595
1582687116771,6.1920857,-5.5888495,5.318727
1582687116822,6.1667557,-5.586982,5.3226066
1582687116871,6.1429763,-5.5763164,5.315385
1582687116921,6.1839957,-5.579129,5.338707
1582687116972,6.176206,-5.6100907,5.362178
1582687117021,6.142053,-5.561085,5.3131213
1582687117071,6.199415,-5.578168,5.3166404
1582687117121,6.186947,-5.55965,5.360131
1582687117171,6.165935,-5.574973,5.313391
1582687117222,6.180238,-5.6064105,5.362548
1582687117272,6.1914682,-5.5514693,5.319348
1582687117322,6.1861696,-5.584086,5.320561
1582687117371,6.160628,-5.5675716,5.335609
1582687117421,6.167624,-5.622152,5.3475213
1582687117472,6.1805086,-5.5645623,5.3375773
1582687117521,6.1655507,-5.5867376,5.3306603
1582687117572,6.1607175,-5.59449,5.3599353
1582687117622,6.156809,-5.5939183,5.327577
1582687117672,6.179961,-5.616055,5.325821
1582687117721,6.1719127,-5.540658,5.3277144
1582687117772,6.1706076,-5.626011,5.344029
1582687117821,6.156215,-5.5440288,5.3012567
1582687117872,6.149491,-5.638823,5.336753
1582687117922,6.147482,-5.6139736,5.3166633
1582687117971,6.1378736,-5.6045575,5.3599005
1582687118022,6.1574054,-5.60622,5.2996173
1582687118071,6.205266,-5.5831423,5.2803106
1582687118121,6.1624937,-5.6183114,5.3266544
1582687118171,6.135091,-5.6126556,5.3843822
1582687118221,6.1965194,-5.584795,5.2871423
1582687118272,6.191766,-5.565016,5.3117433
1582687118321,6.1741037,-5.6041336,5.311895
1582687118371,6.174776,-5.612401,5.3316164
1582687118422,6.176228,-5.543334,5.3158092
1582687118472,6.1638007,-5.6137857,5.3378463
1582687118521,6.16598,-5.5769653,5.3121877
1582687118572,6.1611586,-5.6057243,5.3430214
1582687118621,6.166467,-5.587373,5.335219
1582687118672,6.179659,-5.5878677,5.315628
1582687118721,6.1617002,-5.6257477,5.3210154
1582687118771,6.139642,-5.6403484,5.3345203
1582687118821,6.173033,-5.589659,5.310105
1582687118871,6.182508,-5.579292,5.3353095
1582687118921,6.163333,-5.6151447,5.302531
1582687118971,6.145843,-5.6065464,5.3003993
1582687119021,6.156926,-5.6075435,5.3355055
1582687119071,6.136731,-5.646178,5.344299
1582687119121,6.1545615,-5.5692587,5.328665
1582687119171,6.176228,-5.5975137,5.3292475
1582687119221,6.1713815,-5.5981665,5.2951264
1582687119272,6.1557484,-5.6124725,5.3085537
1582687119321,6.130376,-5.6320868,5.3432393
1582687119372,6.165839,-5.599468,5.3305964
1582687119421,6.16172,-5.599546,5.30559
1582687119471,6.1579313,-5.5723777,5.3486805
1582687119522,6.16917,-5.64047,5.314247
1582687119571,6.1471143,-5.58292,5.311418
1582687119622,6.140876,-5.628006,5.3179064
1582687119672,6.162586,-5.640364,5.33879
1582687119721,6.1541677,-5.585722,5.2981977
1582687119772,6.14122,-5.6137176,5.3365254
1582687119821,6.185108,-5.6154475,5.338925
1582687119872,6.155513,-5.5725074,5.3583865
1582687119921,6.1253858,-5.642829,5.345161
1582687119972,6.1597958,-5.5841913,5.316095
1582687120021,6.1708326,-5.589855,5.311743
1582687120072,6.1610966,-5.599932,5.331757
1582687120121,6.1498985,-5.6159816,5.3009243
1582687120171,6.1722903,-5.607828,5.309761
1582687120221,6.174573,-5.5997543,5.3219986
1582687120272,6.181037,-5.5901203,5.3078203
1582687120321,6.1608286,-5.5941176,5.3322496
1582687120371,6.1599145,-5.6201806,5.3141346
1582687120422,6.180329,-5.6053185,5.306188
1582687120471,6.1308713,-5.647423,5.3032355
1582687120521,6.178654,-5.586266,5.3243747
1582687120572,6.198348,-5.578247,5.3022904
1582687120622,6.1605463,-5.6026807,5.3147
1582687120672,6.150407,-5.6251054,5.316286
1582687120722,6.1382394,-5.5979233,5.32744
1582687120771,6.143856,-5.6615996,5.325753
1582687120822,6.171437,-5.6087527,5.3014565
1582687120872,6.165634,-5.587684,5.339324
1582687120921,6.1712346,-5.6013837,5.332262
1582687120971,6.1742597,-5.58719,5.3101177
1582687121022,6.1210666,-5.657756,5.346558
1582687121072,6.1540976,-5.5886955,5.338542
1582687121121,6.1618204,-5.582153,5.3038993
1582687121172,6.1439476,-5.565998,5.33571
1582687121222,6.155352,-5.6318884,5.309481
1582687121271,6.1433406,-5.5886993,5.3511147
1582687121321,6.142824,-5.6435266,5.326866
1582687121371,6.1585865,-5.583592,5.32835
1582687121422,6.157526,-5.5999475,5.317793
1582687121472,6.1519737,-5.601265,5.341902
1582687121521,6.153207,-5.610835,5.3251357
1582687121571,6.142737,-5.6745725,5.3334017
1582687121622,6.1373076,-5.5909166,5.328634
1582687121672,6.161949,-5.6041355,5.3251324
1582687121722,6.168389,-5.5919313,5.330384
1582687121771,6.1378202,-5.6433225,5.3146915
1582687121821,6.133249,-5.6140943,5.338017
1582687121871,6.151467,-5.6313524,5.3049474
1582687121921,6.150763,-5.6075263,5.3174186
1582687121971,6.142873,-5.5882416,5.333735
1582687122021,6.143866,-5.6566052,5.3320503
1582687122072,6.1487236,-5.6144023,5.310253
1582687122121,6.160998,-5.626509,5.3365164
1582687122172,6.1358833,-5.6176715,5.379544
1582687122222,6.1507025,-5.5855007,5.3245945
