Time,rotX,rotY,rotZosboxe
1582686222921,-0.4047169,-0.20478679,-0.29298577
1582686222972,-0.4289676,-0.2657152,-0.41586572
1582686223022,-0.49664658,-0.30181053,-0.5971158
1582686223071,-0.55183184,-0.34933743,-0.7633074
1582686223122,-0.49230367,-0.40743157,-0.94531
1582686223171,-0.41847432,-0.46609282,-1.1974462
1582686223221,-0.5809528,-0.521216,-1.4584533
1582686223271,-0.8138365,-0.5373213,-1.690644
1582686223322,-0.64401853,-0.5190661,-1.8497933
1582686223372,-0.6104706,-0.45446584,-1.9966476
1582686223422,-0.3267579,-0.444211,-2.0605948
1582686223472,-0.5598522,-0.44773996,-2.0448666
1582686223521,-0.48587367,-0.3812389,-2.0209975
1582686223572,-0.45921183,-0.39885277,-1.8673395
1582686223621,-0.4026135,-0.43491268,-1.753913
1582686223672,-0.3968398,-0.42307436,-1.6887137
1582686223721,0.08313353,-0.42260897,-1.5615537
1582686223771,0.15821083,-0.40943608,-1.4113553
1582686223822,0.22940032,-0.3741537,-1.2847135
1582686223871,0.14603852,-0.34005836,-1.1294948
1582686223921,0.24732125,-0.30831364,-1.0197297
1582686223972,0.050171882,-0.30297378,-0.95146596
1582686224022,-0.12381055,-0.27066502,-0.8441272
1582686224071,0.10878656,-0.22015394,-0.6398715
1582686224122,0.055597845,-0.14469072,-0.4216547
1582686224171,-0.022433888,-0.06491376,-0.2708878
1582686224222,-0.14560927,-0.056551877,-0.19436534
1582686224271,-0.089174695,-0.07719573,-0.13416085
1582686224321,0.033751793,-0.087585084,-0.060664523
1582686224371,0.023531795,-0.06254711,-0.037790593
1582686224422,-0.008691053,-0.030028697,-0.035910606
1582686224472,0.026967578,-0.028421115,-0.028200587
1582686224522,0.012667634,-0.025751036,-0.026865548
1582686224571,0.01452535,-0.03283241,-0.045033406
1582686224621,0.036112916,-0.025753539,-0.05811653
1582686224671,0.028173564,-0.015499826,-0.045341536
1582686224722,-0.069465846,0.03554742,-0.039680015
1582686224771,-0.044540934,0.032971837,-0.055070173
1582686224821,0.09369501,0.022794303,-0.09785009
1582686224871,0.038305003,0.029533114,-0.13437952
1582686224921,0.22513233,-0.020982333,-0.1280902
1582686224972,0.3008991,-0.026706334,-0.1563943
1582686225022,0.06202119,0.01847871,-0.12041279
1582686225071,-0.37192926,0.0076716365,0.11548178
1582686225122,-0.5531063,0.04322596,0.43313193
1582686225172,-0.447555,-0.027980793,0.5259476
1582686225222,0.32231092,-0.3838882,0.45475164
1582686225271,1.3475928,-0.41053274,0.3225765
1582686225322,1.633633,-0.35166118,0.075665995
1582686225372,1.6965275,-0.2591594,-0.10563853
1582686225421,1.7937298,-0.32958418,-0.18031436
1582686225471,1.0524406,-0.31836402,-0.25716695
1582686225522,0.41740638,-0.22148037,-0.054775152
1582686225572,0.29210216,-0.0878938,-0.0047693052
1582686225621,-0.16388465,0.11852914,-0.024344625
1582686225672,-0.18709858,0.14385442,0.017574683
1582686225722,-0.06730419,0.086301304,0.01693352
1582686225771,-0.18633786,0.042262144,-0.0148756765
1582686225822,-0.27726498,0.03999551,-0.020110862
1582686225872,-0.18855684,-0.0115936445,-0.026010575
1582686225921,-0.1580069,-0.042808283,-0.034385778
1582686225972,-0.008078046,-0.068546906,-0.050705258
1582686226021,-0.051449582,-0.004662941,-0.05177304
1582686226072,-0.08867835,0.14068317,-0.009325378
1582686226122,0.50119793,0.11785161,0.066414736
1582686226171,1.136672,0.12460697,0.12669125
1582686226222,0.7177016,0.18408741,0.07416056
1582686226271,0.5526216,0.045132846,0.10067407
1582686226322,0.41115662,-0.04785256,0.1426747
1582686226371,0.22072875,-0.06926202,0.15893038
1582686226421,0.28563863,-0.112017654,0.12905778
1582686226471,0.25888926,-0.13238925,0.059398856
1582686226521,0.1793617,-0.12773134,0.0329043
1582686226572,0.3654912,-0.07982271,0.07099566
1582686226621,0.2332269,-0.11352599,0.06509936
1582686226672,0.30112132,-0.09008874,0.06000639
1582686226721,0.26467925,-0.08592309,0.055594627
1582686226772,0.17572728,-0.036357563,0.022252358
1582686226822,-0.008127666,0.007833019,-0.01459741
1582686226871,-0.101491176,0.11677871,-0.03935624
1582686226922,-0.64769924,0.26538566,-0.02509005
1582686226971,-0.9905425,0.28923377,-0.002166417
1582686227022,-1.1034513,0.27100432,0.014836229
1582686227072,-0.91880655,0.23169166,-0.005762624
1582686227121,-0.67914003,0.18175684,-0.046749562
1582686227172,-0.77112406,0.14291185,-0.03822613
1582686227222,-0.55866885,0.06836377,0.03278904
1582686227271,-0.7743345,0.06646495,0.055384576
1582686227321,-1.0954435,0.2612805,0.10986225
1582686227372,-1.0984457,0.5453492,0.37009174
1582686227422,-0.93240833,0.7218643,0.7757107
1582686227472,-0.6695691,0.73034084,1.160169
1582686227522,-0.13242261,0.65184873,1.2972624
1582686227571,-0.14587063,0.3563701,1.1556889
1582686227621,-0.101764955,0.028765082,1.0503964
1582686227672,-0.14968118,-0.09070121,1.0701437
1582686227721,-0.41507816,-0.10680595,1.2622048
1582686227771,-0.36221436,-0.16588922,1.6232944
1582686227822,-0.089756355,-0.22170089,1.7884774
1582686227871,-0.20851624,-0.2129942,1.8155394
1582686227921,-0.09175032,-0.0658664,1.742171
1582686227972,0.18123655,0.25616762,1.5058846
1582686228021,-0.172857,0.68094236,1.1499603
1582686228071,-0.5470564,0.91227067,0.7684344
1582686228121,-0.4488979,0.8811167,0.5324757
1582686228171,0.18761761,0.19659233,0.35457838
1582686228221,-0.18042493,0.23212755,0.03925604
1582686228272,-0.28872728,0.19124794,-0.18450369
1582686228322,-0.021611564,0.146624,-0.1736394
1582686228371,-0.42064574,0.09269304,-0.111395724
1582686228422,-0.2634542,-0.059095968,-0.034428198
1582686228472,-0.08433855,-0.19896679,-0.006416416
1582686228521,-0.11816664,-0.2891123,0.033966422
1582686228572,-0.6225521,-0.30094215,0.012449546
1582686228622,-0.808622,-0.31794026,-0.0441013
1582686228671,-0.6546164,-0.26811105,-0.010626974
1582686228721,-0.5457332,-0.234362,-0.013125241
1582686228771,-0.21869285,-0.1331326,0.005468615
1582686228822,-0.023066334,-0.02661224,-0.0024050223
1582686228871,0.03102247,0.013202402,0.006462918
1582686228921,-0.06840159,0.14907773,0.038713783
1582686228972,-0.1672893,0.5162047,-0.03403982
1582686229021,-0.08114549,0.6488776,-0.06567247
1582686229072,0.048739236,0.7465256,-0.061413694
1582686229121,0.23068608,0.79502237,-0.068388574
1582686229171,0.24676453,0.80887747,-0.054690123
1582686229222,-0.021931253,0.7259373,-0.04450494
1582686229271,-0.594482,0.604425,0.012277728
1582686229321,-1.1384941,0.41584978,0.048114154
1582686229371,-1.0286031,0.11471421,0.12729013
1582686229422,-0.68733305,-0.16667658,0.18107434
1582686229471,-0.40700585,-0.3348289,0.1466156
1582686229521,0.051180832,-0.41700637,0.14264676
1582686229571,0.22011308,-0.3562307,0.09998731
1582686229622,0.23892996,-0.18753539,0.07850709
1582686229671,0.26326776,0.05804715,0.04659067
1582686229722,0.19784908,0.29639223,-0.056629147
1582686229772,-0.14193003,0.2741911,-0.059102464
1582686229822,0.10120819,0.044529628,0.0058884644
1582686229871,0.20465328,-0.17002393,0.0046112365
1582686229921,0.0807686,-0.29292563,0.011424229
1582686229971,-0.16803275,-0.3196259,0.026779193
1582686230021,-0.06093121,-0.30756846,0.0063902135
1582686230071,-0.02768505,-0.2020466,0.005709641
1582686230122,-0.32025033,-0.16353717,-0.027731434
1582686230171,-0.4217709,-0.26750463,-0.018066248
1582686230222,-0.3744185,-0.32123303,0.017451968
1582686230272,-0.4731031,-0.34813353,-0.009574691
1582686230321,-0.52953506,-0.31801873,-0.042940665
1582686230371,-0.62525564,-0.30068567,-0.11174413
1582686230422,-0.628041,-0.24600123,-0.12539624
