Time,rotX,rotY,rotZosboxe
1582686412922,0.0053801564,-0.005058212,-7.578032E-4
1582686412971,0.0038141222,-0.0027091606,-9.887989E-4
1582686413022,0.0011440428,-0.0018632128,0.0018883892
1582686413071,3.13253E-4,-0.0016051163,0.0011499301
1582686413121,0.0016486958,-2.696733E-4,-7.4224244E-4
1582686413171,-1.9200689E-4,0.003436339,5.866061E-4
1582686413221,-0.0073659094,0.0034674432,-0.0012594701
1582686413272,0.0053734845,-0.011454885,0.004054218
1582686413322,0.004828523,-7.599462E-4,8.4281806E-4
1582686413371,-0.0012956598,0.0074620596,-7.252372E-4
1582686413422,6.546859E-5,-8.1883604E-4,8.385945E-4
1582686413471,0.0016808567,-0.0029282128,-7.100818E-4
1582686413521,0.001048599,-0.0018274337,0.0014096079
1582686413571,-0.003471127,8.4264344E-4,0.0019242186
1582686413621,-9.334413E-4,-8.4914686E-4,8.592182E-4
1582686413671,0.0021851568,-0.0023371996,2.6820553E-4
1582686413721,0.0016196118,-2.3266766E-4,-0.0012707815
1582686413771,0.0011201567,-0.0022399663,-0.0012707815
1582686413822,0.0010389086,-0.004895716,8.592182E-4
1582686413872,-6.991808E-4,0.0010657613,8.592182E-4
1582686413921,-0.0028483525,0.0050110854,8.592182E-4
1582686413971,0.004088301,-0.0065328376,0.0034114388
1582686414021,0.01009158,-0.0065188566,0.002598761
1582686414071,-3.5820564E-4,0.0046143313,-0.0034883253
1582686414122,0.0035054113,1.1532567E-5,-6.74468E-4
1582686414171,0.0019350598,-0.0027244869,-0.0019283302
1582686414222,0.002993312,-0.0068029445,0.0019242186
1582686414271,-0.0023468463,5.387906E-4,0.0012557167
1582686414321,-4.3552677E-4,-7.6823914E-4,-2.0578178E-4
1582686414371,0.004124485,-0.0031188843,-2.0578178E-4
1582686414421,0.0011201567,0.0013317873,-0.0011120453
1582686414471,7.707496E-4,2.8356584E-4,8.592182E-4
1582686414521,6.7460263E-4,-0.0018632128,2.3977226E-4
1582686414571,-0.0015482994,0.0025842143,0.0015731896
1582686414622,-0.0029866307,0.0012722835,7.5343996E-5
1582686414671,0.009276408,-0.008200724,0.0026254705
1582686414721,0.0022372876,0.002978444,-0.0012447163
1582686414772,6.366346E-4,0.0022988317,-0.0015931297
1582686414822,0.001965796,-0.0029282128,7.495377E-4
1582686414872,4.3487543E-4,-0.0029282128,5.5365544E-4
1582686414921,-8.2911766E-4,-3.2918015E-4,0.0025739768
1582686414971,-0.002074843,0.0013317873,-6.8996754E-4
1582686415022,0.0023099927,-0.0029282128,-8.09459E-5
1582686415071,0.0024598022,-0.0017426806,4.640408E-4
1582686415121,0.0017858853,-0.0010646698,-2.0578178E-4
1582686415171,0.0021851568,-0.0037347488,7.2998647E-4
1582686415221,-5.375499E-4,5.6314096E-4,7.110415E-4
