Time,rotX,rotY,rotZosboxe
1582686532921,-0.35329804,-0.18409638,-0.63006985
1582686532971,-0.8493412,-0.7237032,-1.8602164
1582686533022,-0.75071514,-1.0152273,-2.6849542
1582686533071,-0.094449215,-1.4201224,-2.8178432
1582686533122,0.19508882,-1.3549045,-2.6784544
1582686533171,-0.6822314,-1.2200651,-2.8626761
1582686533222,-0.769354,-0.98233765,-3.1721349
1582686533271,-0.45871174,-0.7496231,-3.1215098
1582686533322,-0.7600044,-0.61783844,-2.7228491
1582686533371,-1.4559678,-0.48635107,-2.1463616
1582686533421,-1.932547,-0.4164436,-1.5503722
1582686533471,-1.1896125,-0.3218801,-0.83736473
1582686533521,0.18496715,-0.16615483,0.4943402
1582686533572,1.1437438,-0.03537521,2.3366797
1582686533621,1.1113294,0.07864408,3.8201642
1582686533672,0.925336,0.16645473,4.725427
1582686533722,1.382753,0.49572408,4.830015
1582686533771,1.0079881,0.9978161,4.0180483
1582686533821,-0.16948526,1.4708649,3.3059392
1582686533872,-0.5094756,1.5537742,2.8811593
1582686533922,-0.14430328,1.1715719,2.646205
1582686533971,0.62766314,0.57728577,1.8109554
1582686534021,0.6743421,0.13827124,0.5025233
1582686534071,-0.06066563,0.047788765,-1.1078336
1582686534121,-0.97146094,0.17721093,-2.9656339
1582686534171,-1.2932802,0.14029196,-4.3866124
1582686534221,-1.3987926,0.042207293,-4.5271554
1582686534271,-2.7439318,0.24905089,-3.854764
1582686534322,-4.280486,0.6781222,-3.1657016
1582686534371,-3.5443265,0.6437264,-2.9016025
1582686534421,-2.1663754,0.29675475,-2.8307345
1582686534471,-1.9748302,0.039903477,-2.6866572
1582686534522,-2.4694953,-0.16307023,-2.4582722
1582686534571,-2.7818046,-0.3347216,-2.256045
1582686534621,-2.0354533,-0.34264678,-1.79284
1582686534672,-0.9488158,-0.4928158,-0.43845913
1582686534721,-0.14290799,-1.0990144,1.5318468
1582686534772,0.4349469,-1.2477282,3.5395498
1582686534821,1.2231439,-1.2092657,4.929322
1582686534872,2.2679422,-0.41812575,5.278035
1582686534922,2.401295,0.8596151,4.8800597
1582686534971,1.284608,1.3396959,4.034959
1582686535021,0.54821926,1.4494338,2.969049
1582686535072,0.5179536,1.3159225,1.9644232
1582686535121,0.42987153,0.86029285,0.99730045
1582686535172,0.18321106,0.3427894,-0.1313408
1582686535221,-0.029756047,-0.10214446,-1.3119836
1582686535272,-0.7048772,-0.4261424,-2.2373571
1582686535322,-1.191211,-0.82914054,-2.95739
1582686535372,-0.8261906,-1.061457,-3.251302
1582686535422,-0.21808949,-1.3344102,-3.2043433
1582686535471,-0.34031072,-1.203743,-3.405723
1582686535521,-0.8459797,-1.0250123,-3.6137602
1582686535572,-0.944555,-0.84910697,-3.4139931
1582686535621,-1.102329,-0.7456854,-2.8905482
1582686535672,-1.0972227,-0.7239655,-2.1472461
1582686535721,-1.0228202,-0.73373604,-1.3774191
1582686535772,-0.6050808,-0.5487209,-0.6060727
1582686535821,-0.53731185,-0.22082554,0.48141834
1582686535872,-0.37481746,-0.11272361,1.8269488
1582686535921,0.24975933,0.79659617,3.2620616
1582686535971,0.73166996,1.488905,4.43063
1582686536021,1.2576944,2.46335,5.008021
1582686536072,1.1236974,3.4188101,4.755978
1582686536121,0.019835211,3.1596801,3.7270014
1582686536172,-0.8355538,2.2958128,2.549522
1582686536221,-0.8712462,1.5685794,1.4916309
1582686536271,-0.15266044,0.97992605,0.37123987
1582686536321,0.16162129,0.4261932,-0.8798409
1582686536372,-0.6089075,-0.23104581,-2.060031
1582686536421,-1.3134377,-0.73974913,-3.0404258
1582686536471,-1.3956782,-1.1200167,-3.5915563
1582686536521,-0.5958315,-1.4736652,-3.4809182
1582686536571,0.117869206,-1.7470059,-3.1559753
1582686536622,-0.27936462,-1.670176,-3.1366894
1582686536672,-1.5430164,-1.4377825,-3.299547
1582686536721,-2.9600255,-1.126258,-3.1390302
1582686536771,-3.3465652,-0.91339713,-2.6750238
1582686536822,-2.977389,-0.89874965,-2.069231
1582686536871,-2.1355267,-1.0039427,-1.4901183
1582686536921,-1.1172948,-0.98180854,-0.8722144
1582686536971,-0.51572394,-0.82050437,0.18925205
1582686537022,-0.10658284,-0.67522544,1.6711417
1582686537072,0.19973825,-0.276016,3.3041484
1582686537122,0.7374499,0.37754294,4.6097503
1582686537171,1.6824876,1.3612201,5.027201
1582686537221,1.7476333,2.430993,4.622171
1582686537271,0.17060338,2.4310653,3.578271
1582686537321,-1.2762975,1.7615421,2.4755712
1582686537371,-1.0572754,1.2876337,1.7076714
1582686537422,-0.14726646,0.8845446,0.98156816
1582686537472,0.2943646,0.36070997,-0.053073782
1582686537521,0.05922725,-0.15777145,-1.4166436
1582686537572,-0.55207944,-0.4457843,-2.618199
1582686537621,-1.273582,-0.63030005,-3.1783698
1582686537672,-1.3299305,-0.7347169,-3.0097613
1582686537721,-0.9234826,-0.8651521,-2.6713169
1582686537771,-1.2986571,-0.6660073,-2.8945801
1582686537821,-1.5445262,-0.5495126,-3.150728
1582686537871,-1.0748931,-0.53032106,-3.151823
1582686537921,-0.50452393,-0.5297226,-2.8547335
1582686537971,-0.7841729,-0.50496876,-2.3345003
1582686538022,-1.2344044,-0.46556896,-1.7193339
1582686538071,-1.0468534,-0.29599053,-0.9588362
1582686538122,-0.45952034,-0.10762045,0.30221248
1582686538171,0.41522837,0.016246723,1.9652848
1582686538221,0.99369574,0.27681732,3.4478846
1582686538271,1.521856,0.6062798,4.35948
1582686538321,2.1471486,1.1291296,4.5508175
1582686538371,1.965724,1.6331412,4.098728
1582686538422,0.46623155,1.5205655,3.3892975
1582686538471,-0.6086368,1.2423878,2.7131038
1582686538522,-0.40472525,0.9733596,2.1400626
1582686538572,0.1707788,0.6063939,1.4006891
1582686538621,0.34404436,0.28316128,0.5180164
1582686538671,0.06227056,-0.031105826,-0.17104106
1582686538722,-0.5875458,-0.18192258,-0.897809
1582686538771,-0.84064394,-0.30831116,-1.6449512
1582686538821,-0.57894135,-0.59515196,-2.0393822
1582686538872,-0.7560841,-0.59989053,-2.30109
1582686538921,-1.6252809,-0.3755844,-2.5820515
1582686538972,-2.62527,-0.50455433,-2.507279
1582686539021,-2.423329,-0.80297816,-2.286078
1582686539072,-2.1729145,-1.0449142,-1.8062291
1582686539121,-2.2333832,-0.95783764,-2.1814053
1582686539171,-1.6909535,-0.55831546,-2.8537571
1582686539221,-1.4905974,-0.32652548,-3.1603563
1582686539272,-1.6288244,-0.14282855,-2.6682951
1582686539321,-0.94695234,0.015080027,-0.7959135
1582686539371,-0.80153465,0.017535714,1.9563125
1582686539422,-2.2973194,-0.37595809,4.023748
1582686539471,-1.0093926,-0.42063057,4.2497425
1582686539522,1.8401362,0.0232364,3.8776708
1582686539572,2.6639214,0.84042615,3.169424
1582686539621,1.5593389,1.5897276,2.552114
1582686539671,-0.15301742,1.743008,2.2015276
1582686539721,-0.60404867,1.4482986,2.0259056
1582686539771,-0.36681184,0.95035434,1.3889343
1582686539822,-0.1029745,0.41170096,0.15273146
1582686539872,-0.16521649,-0.25820136,-1.3343437
1582686539922,-0.072784945,-0.7658588,-2.33573
1582686539972,0.09168194,-0.98566633,-2.6273382
1582686540021,-0.54842716,-1.0240259,-2.7514477
1582686540072,-1.5176821,-0.7439582,-3.136116
1582686540122,-1.6653757,-0.6410624,-3.363807
1582686540171,-0.52830863,-0.76917475,-3.0601573
1582686540222,-0.6191021,-0.52981436,-2.9592903
1582686540271,-1.1903999,-0.310142,-2.668242
1582686540322,-1.7133635,-0.19835418,-2.2056193
1582686540371,-1.3595071,-0.12799707,-1.4657258
1582686540421,-0.47134855,-0.2125039,-0.032780964
1582686540471,1.1270812,-0.117166154,1.8717637
1582686540522,1.6239216,0.2095548,3.6109283
1582686540571,1.4671445,0.7588073,4.7512717
1582686540621,1.2401595,1.5405424,5.2839684
1582686540672,1.1478119,2.2909942,5.138415
1582686540722,0.13828985,2.303355,4.382754
1582686540771,-0.7091896,1.9049677,3.4328077
1582686540821,-0.5937587,1.341192,2.3658977
1582686540871,0.4905012,0.7974445,1.0679686
1582686540921,0.78494734,0.3750015,-0.3318902
1582686540972,-0.20169722,-0.11054153,-1.6220006
1582686541021,-1.2127422,-0.562653,-3.0380783
1582686541072,-1.0685732,-0.78257334,-4.167947
1582686541122,-0.7313268,-1.0919001,-4.198236
1582686541171,-0.687056,-1.1861957,-3.7707448
1582686541221,-1.742535,-0.828075,-3.5008054
1582686541271,-3.4918,-0.29901248,-3.425159
1582686541321,-4.413559,0.024724083,-3.1510046
1582686541371,-3.8111303,0.14065684,-2.7029326
1582686541421,-2.3479621,-0.013169149,-2.2734687
1582686541471,-1.7471652,-0.32586414,-1.8260193
1582686541521,-1.7492107,-0.5839883,-1.4000193
1582686541571,-1.3432641,-0.8906108,-0.49487093
1582686541622,-0.21898158,-1.3142816,1.1489577
1582686541672,1.223982,-1.4606022,3.1625228
1582686541721,2.0113907,-1.1539634,4.9019284
1582686541771,2.522974,0.062691204,5.826048
1582686541821,2.7966895,1.8470914,5.8270836
1582686541871,1.5951384,2.6488547,4.8708816
1582686541922,-0.13809907,2.1875985,3.3862305
1582686541972,-0.66536,1.6892403,2.0936732
1582686542022,-0.27746436,1.2432916,1.0311726
1582686542072,0.21786545,0.657192,-0.17437604
1582686542122,0.13857545,0.009873366,-1.7536836
1582686542171,-0.5434342,-0.632052,-3.468982
1582686542221,-1.110308,-1.0188321,-4.4741645
1582686542272,-1.5855747,-1.1943988,-4.3572
1582686542322,-1.5769966,-1.0009882,-4.000461
1582686542372,-1.9815315,-0.6617359,-3.862449
1582686542422,-2.827933,-0.46623063,-3.6934521
1582686542472,-3.4555645,-0.31384525,-3.1771953
1582686542521,-3.064816,-0.25810093,-2.568341
1582686542572,-2.4609342,-0.34473747,-2.0745287
1582686542621,-2.054765,-0.6605552,-1.7884743
1582686542672,-1.1519486,-0.7893288,-1.5161736
1582686542721,0.26056996,-0.647786,-0.40986612
1582686542772,1.6009829,-0.51038116,1.5457122
1582686542822,2.1923568,-0.21389112,3.4174128
1582686542871,2.7069774,0.27280715,4.3119974
