Time,rotX,rotY,rotZosboxe
1582686887322,-0.09688724,0.0931182,0.019115986
1582686887372,-0.100821845,0.027911313,0.044642366
1582686887421,-0.08312374,-0.0017724084,0.053204034
1582686887472,-0.022139177,-0.046386708,0.027065635
1582686887521,0.02018605,-0.0842664,-3.0940166E-4
1582686887572,0.023461476,-0.082263246,-0.0013430116
1582686887622,0.046639632,-0.08363974,0.017869195
1582686887672,0.08069556,-0.10301596,-7.793419E-4
1582686887722,0.18520881,-0.09062581,-0.023481049
1582686887771,0.15786912,-0.04756139,-0.017830703
1582686887821,0.11710827,-0.017321732,-0.013746748
1582686887871,0.09550841,0.030224573,-0.021858126
1582686887922,0.07765403,0.07304203,-0.04137499
1582686887972,0.044780575,0.029722832,-0.055450592
1582686888021,0.039743055,0.014618747,-0.029107533
1582686888071,-0.0045799925,0.012215409,-0.0014276896
1582686888121,-0.029672302,0.03433727,0.0046370625
1582686888171,-0.019955091,0.06562493,-0.012821979
1582686888221,-0.0026732222,0.058761053,-0.0333626
1582686888272,-0.01346666,0.012577779,-0.019695442
1582686888321,-0.005225016,-0.043471914,0.0118447
1582686888371,-0.045595333,-0.05513851,0.034516387
1582686888421,-0.052978586,-0.04594999,0.028727151
1582686888472,-0.03856403,-0.01939167,0.015329264
1582686888522,-0.023576828,-1.7242273E-4,0.006984328
1582686888572,-0.012384133,-0.003952382,0.0033284836
1582686888621,-0.0036234953,-0.014010065,6.593531E-4
1582686888671,0.005730741,-0.013579042,6.555682E-4
1582686888722,-0.006062677,-0.010462458,8.320315E-4
1582686888772,-0.0031484063,-0.007911804,-2.5881547E-4
1582686888821,-0.0031484063,-0.007980019,-0.0023629684
1582686888871,-0.0076628006,-0.009353947,0.0012485473
1582686888921,-0.013305726,-0.0012997957,0.0021123877
1582686888971,-0.0027367594,-0.0034581292,-0.0013697336
1582686889021,0.0033700778,-0.0040548164,5.336604E-4
1582686889071,0.01689756,-4.3519726E-4,-2.3296848E-4
1582686889121,5.144414E-4,0.0018808623,-3.8891798E-4
1582686889171,0.004945547,0.0035277416,-0.0030019213
1582686889222,0.010285702,0.012930028,-0.0041659144
1582686889271,0.012726921,0.013951155,-0.008254608
1582686889322,0.013380724,0.008256522,-0.0064526787
1582686889372,0.009816607,0.0042818626,-0.004677983
1582686889422,0.0029588179,-9.318814E-5,-0.0020260243
1582686889472,4.6593486E-5,8.9684874E-4,6.821053E-4
1582686889522,-0.0010843914,0.0029353092,-7.324761E-4
1582686889572,0.0056677996,0.0038517527,-0.0016130274
1582686889621,0.0046027554,0.00992036,-0.004240935
1582686889672,0.015178583,0.0076428154,-0.008612467
1582686889721,0.004506228,-9.318814E-5,-0.0052255266
1582686889772,0.0025575222,0.0022518714,0.002239067
1582686889821,-0.0032355576,0.00301466,0.0032879813
1582686889872,-0.0021952274,0.0010277219,0.0019529425
1582686889921,-0.008062743,0.009042808,0.0048867
1582686889971,-0.0023965547,0.009867655,0.002272875
1582686890022,0.006784483,0.009487545,-9.4154617E-4
1582686890072,0.008566594,0.0095781945,-0.0042338204
1582686890122,0.005297727,0.0062968116,-0.001628346
1582686890171,-0.0016516211,0.0058434634,0.0023503802
1582686890222,0.0068561877,0.0030630552,-0.001375481
1582686890272,0.012538424,0.0010438538,-0.0034279684
1582686890322,0.006238596,0.008549795,-0.0032779407
1582686890372,0.012860164,0.010475562,-0.012884039
