Time,rotX,rotY,rotZosboxe
1582687488371,0.012634263,0.0050584953,0.0073784757
1582687488421,0.0017021385,0.0027456088,0.0059380513
1582687488471,-0.0049905786,0.0023581043,4.5165722E-4
1582687488522,0.017505324,0.007398615,-0.0016416395
1582687488571,0.009536186,0.005889453,0.0034515678
1582687488621,-0.011338602,0.0054377206,0.01456656
1582687488671,-0.003639723,0.0026577297,0.019581676
1582687488722,-0.013653296,-0.0013473853,0.016947597
1582687488772,-0.009367378,0.0034442772,0.008880097
1582687488821,-0.008499546,0.0043729553,0.016482437
1582687488872,-0.0018680512,0.0052392925,0.01886561
1582687488922,0.0010854539,6.228322E-4,0.0025199794
1582687488971,0.0074807107,0.0018471843,3.2948528E-4
1582687489021,-0.013048644,-0.006785875,0.002945909
1582687489071,-0.019448804,-0.002724165,0.0037253925
1582687489122,0.004393041,0.0056037297,-0.004284843
1582687489171,0.011384806,0.0094351005,0.0020889477
1582687489221,0.0058140056,0.0012170793,0.008129349
1582687489272,-0.011549533,0.0010244465,0.00774944
1582687489321,-0.019987298,-0.006630838,-0.006278538
1582687489371,-0.022667196,0.0062398314,0.0251234
1582687489421,0.0012944362,0.001221383,0.0057610124
1582687489472,0.014761674,0.0015450632,-0.016404133
1582687489521,0.011817983,-0.004645006,-0.018415565
1582687489571,-0.0048519988,-0.002124698,-0.006953491
1582687489621,0.0021147917,-0.0015477156,-0.009859904
1582687489671,-0.009211154,-0.001836923,-0.002502078
1582687489721,-0.0021242618,-0.0015655472,0.012454718
1582687489772,-0.008221038,-0.001287038,0.008717417
1582687489822,-0.00854947,-0.0016154721,-0.008942897
1582687489872,-0.008715648,0.003879807,-0.0062838746
1582687489921,0.008595729,0.0068162624,0.014309234
1582687489971,0.009110297,-0.0034116888,-0.006630133
1582687490021,0.0028327315,-0.0015227534,3.7171133E-4
1582687490071,0.0089288615,-0.0013400163,0.0064678406
1582687490122,-0.010970308,-0.0050039478,0.011063673
1582687490172,-0.019359425,-0.008810667,0.0058617527
1582687490222,-0.007036821,-0.0011154776,0.015049503
1582687490272,0.020803811,-7.4073765E-4,0.007695065
1582687490322,0.022214174,7.559643E-4,-0.003697077
1582687490371,0.0302207,0.0017562015,-0.0053650644
1582687490421,0.01041739,0.004616432,0.010241646
1582687490472,0.037706487,0.007525585,0.0050558504
1582687490522,0.05906534,0.008335665,-0.015574088
1582687490571,0.03661122,0.00948068,-0.0039017927
1582687490622,0.027456487,0.0074787647,0.016076798
1582687490671,0.013661281,0.017268851,0.02542451
1582687490722,0.013346063,0.019893656,0.011602391
1582687490772,0.03816837,0.019607948,0.004298324
1582687490822,0.032376304,0.01672741,0.004089542
1582687490871,0.01944926,0.020286892,0.0075909537
1582687490921,0.01728153,0.014188837,-0.013278434
1582687490972,0.050675787,0.021453569,-0.010422029
1582687491022,0.05219207,0.00906517,-0.017400986
1582687491072,0.006347561,-0.0020822217,-0.021277113
1582687491121,-0.010312814,-0.022071319,-0.01601462
1582687491172,-0.16987842,-0.08721135,0.051447783
1582687491221,-0.7700887,-0.22171773,0.4686313
1582687491271,-2.0531442,0.12681262,1.5380676
1582687491321,-0.6628896,1.9856906,0.969206
1582687491372,0.33099315,3.2376566,-0.31540075
1582687491421,0.98682845,3.7983165,-0.5324267
1582687491471,1.192707,4.3949323,-0.46148747
1582687491521,1.709074,4.62017,-0.5982639
1582687491571,2.2014632,4.4745817,-0.18604434
1582687491621,0.09028503,4.027026,1.3990113
1582687491672,-3.5091608,3.9463942,3.8050377
1582687491721,-2.254868,2.614979,4.9405384
1582687491771,-1.6062887,0.7175789,5.329955
1582687491821,-1.4602582,-0.094856106,4.830282
1582687491872,-1.4285002,-1.054262,3.4557045
1582687491922,-0.96024793,-3.170718,1.0969577
1582687491971,2.6433592,-4.0147176,-1.0995058
1582687492022,1.6740634,-3.2562618,-1.6778989
1582687492071,-1.8540303,-2.7099757,-2.0158722
1582687492122,-1.0725129,-3.1883605,-3.569305
1582687492171,-0.25046626,-3.4315886,-4.3087544
1582687492222,-1.1484057,-2.671383,-4.405853
1582687492271,-2.6614678,-1.6301159,-4.6162276
1582687492322,-3.3131487,-0.44340894,-3.6153247
1582687492371,-2.4270735,0.92123723,-1.8816388
1582687492421,-1.2893696,2.4213421,-1.0313835
1582687492471,-1.7177035,3.464279,0.26686803
1582687492521,-2.0688064,3.7267463,1.6950799
1582687492572,-1.4382539,3.8788302,2.7083743
1582687492622,-2.144491,3.0604906,4.262827
1582687492672,-2.3830054,1.057715,5.64878
1582687492722,-2.0235536,-0.48387066,5.9797735
1582687492771,-0.951881,-1.4835052,4.681807
1582687492822,0.34326404,-1.9691634,2.6373346
1582687492872,0.98108166,-2.3417556,0.9490529
1582687492922,2.224821,-2.283844,-0.79563504
1582687492972,1.4865396,-2.203566,-1.8981248
1582687493022,-0.35654107,-2.3829284,-2.1100483
1582687493071,-1.6891145,-2.4193513,-2.102058
1582687493122,-2.0140085,-2.603698,-2.3118317
1582687493172,-1.0038052,-2.6384284,-2.378773
1582687493222,0.3758605,-2.4561377,-2.3311288
1582687493271,2.1161666,-1.8738624,-2.4772465
1582687493321,0.9941095,-0.8018067,-1.8697778
1582687493371,-0.75263625,-0.582696,-1.7927567
1582687493422,-1.6869429,0.04540251,-1.9500104
1582687493472,-1.7782872,0.9631389,-1.0869217
1582687493521,-2.0291643,1.9333447,0.8390417
1582687493571,-2.3213668,2.350513,1.7754437
