Time,accX,accY,accZ
1582925945831,5.529443,-2.256377,7.043819
1582925945852,6.0157294,-2.074319,7.5301056
1582925945872,6.104363,-2.074319,7.388771
1582925945892,6.1594596,-2.1725345,7.513337
1582925945911,5.951051,-2.0958786,7.522919
1582925945931,6.0253115,-2.064737,7.561247
1582925945952,6.0540576,-1.978499,7.0893335
1582925945972,6.022916,-2.0383866,7.647485
1582925945991,6.181019,-2.040782,7.3576293
1582925946011,6.1642504,-1.968917,7.9133854
1582925946031,6.305585,-1.93538,6.5910697
1582925946052,6.0971766,-1.815605,7.882244
1582925946071,6.0061474,-1.8419555,7.5348964
1582925946091,6.2648616,-1.877888,7.5492697
1582925946111,6.200183,-1.8371645,7.3384657
1582925946131,6.296003,-1.8611195,7.4678226
1582925946150,6.2217426,-1.7940454,7.302533
1582925946172,6.262466,-1.7940454,7.5061507
1582925946191,6.1738324,-1.7940454,7.4007487
1582925946211,6.248093,-1.868306,7.475009
1582925946230,6.142691,-1.83956,7.4438677
1582925946251,6.2121606,-1.829978,7.451054
1582925946270,6.200183,-1.88747,7.460636
1582925946290,6.324749,-1.8659105,7.2378545
1582925946310,6.238511,-2.0000584,7.312115
1582925946330,6.588254,-2.275541,7.843916
1582925946350,5.8288803,-1.7844635,6.7875004
1582925946369,6.2600703,-2.0958786,7.733723
1582925946390,6.219347,-2.261168,7.254623
1582925946410,6.0492663,-2.146184,7.2618093
1582925946430,6.0923853,-2.179721,7.355234
1582925946450,5.112626,-1.6742705,8.193659
1582925946470,5.4120636,-1.3101546,8.521843
1582925946490,6.4996204,-2.457599,6.7347994
1582925946509,6.228929,-2.424062,7.4774046
1582925946529,6.2217426,-2.2971005,6.9120665
1582925946550,6.71282,-2.975027,6.8210373
1582925946569,6.1211314,-2.9199305,7.0174685
1582925946589,6.1738324,-2.6420524,7.1611986
1582925946609,6.1115494,-2.3210554,7.379189
1582925946630,6.032498,-2.3450105,7.446263
1582925946650,6.0923853,-2.347406,7.2138996
1582925946669,6.123527,-2.46239,7.3959575
1582925946689,6.219347,-2.481554,7.427099
1582925946709,5.975006,-2.1916986,7.1707807
1582925946729,6.382241,-2.610911,6.627002
1582925946750,5.9726105,-2.179721,8.303852
1582925946769,6.075617,-2.3114736,7.316906
1582925946789,6.2265334,-2.376152,7.053401
1582925946809,6.219347,-2.1916986,7.2857647
1582925946829,6.109154,-2.17493,7.451054
1582925946849,6.0780125,-2.265959,7.221086
1582925946869,6.1642504,-2.2875185,6.909671
1582925946889,6.104363,-2.2252355,7.6115527
1582925946909,5.94626,-1.959335,8.24636
1582925946929,5.9151187,-1.580846,8.023579
1582925946949,6.1259227,-2.0048494,7.230668
1582925946969,6.0588484,-2.203676,7.2378545
1582925946989,6.075617,-2.184512,7.6067615
1582925947008,6.1163406,-2.347406,7.1468253
1582925947028,6.1067586,-2.395316,7.297742
1582925947049,6.1163406,-2.380943,7.3336744
1582925947068,5.9342823,-2.361779,7.3336744
1582925947088,6.0348935,-2.3977115,7.2378545
1582925947108,6.0971766,-2.438435,7.3240924
1582925947128,6.1402955,-2.486345,7.393562
1582925947148,5.9582376,-2.452808,7.3863754
1582925947169,6.027707,-2.4072936,7.355234
1582925947188,6.027707,-2.328242,7.340861
1582925947208,6.0061474,-2.4456215,7.4007487
1582925947228,6.027707,-2.500718,7.3959575
1582925947248,6.099572,-2.4025025,7.331279
1582925947268,6.0157294,-2.3545926,7.3480477
