Time,accX,accY,accZ
1583283068487,5.195602,-8.110906,0.9208813
1583283068537,5.1570725,-8.170537,0.87903476
1583283068588,5.088012,-8.210419,0.83760154
1583283068638,5.079991,-8.159076,0.76272494
1583283068687,5.2474093,-8.167021,0.7951491
1583283068738,5.3388624,-8.079629,0.96997786
1583283068788,5.2519336,-8.147378,0.91254306
1583283068837,5.1953144,-8.160567,0.8136478
1583283068888,5.2275405,-8.15748,0.8110807
1583283068938,5.220672,-8.090351,0.80133235
1583283068987,5.2007756,-8.152301,0.84417284
1583283069038,5.1845865,-8.175976,0.84199685
1583283069087,5.216667,-8.155281,0.85196906
1583283069138,5.263519,-8.120573,0.85141087
1583283069188,5.206543,-8.157257,0.76643056
1583283069237,5.1844544,-8.173044,0.8198574
1583283069288,5.191212,-8.155242,0.8518101
1583283069338,5.1871457,-8.180041,0.87570274
1583283069387,5.203655,-8.15474,0.875292
1583283069437,5.192396,-8.164,0.80644286
1583283069487,5.1412234,-8.163435,0.8120001
1583283069537,5.1311274,-8.166977,0.8196862
1583283069588,5.184545,-8.193157,0.8001039
1583283069637,5.159847,-8.175244,0.8174748
1583283069688,5.1785703,-8.142211,0.81113464
1583283069737,5.1826124,-8.168885,0.7747783
1583283069787,5.197624,-8.160296,0.8331786
1583283069837,5.1783643,-8.152444,0.82820314
1583283069888,5.159597,-8.188152,0.8574204
1583283069937,5.172779,-8.156758,0.7859708
1583283069988,5.176564,-8.170907,0.80646193
1583283070037,5.1681714,-8.158737,0.7875213
1583283070087,5.1707573,-8.169711,0.7941598
1583283070137,5.171501,-8.183755,0.8792528
1583283070188,5.1589165,-8.148837,0.8050937
1583283070237,5.182672,-8.180077,0.84015286
1583283070287,5.2028456,-8.130271,0.8216203
1583283070337,5.2191987,-8.162911,0.8107102
1583283070387,5.171598,-8.175201,0.8054424
1583283070437,5.148657,-8.147397,0.821144
1583283070487,5.172117,-8.189091,0.864291
1583283070538,5.1753826,-8.138988,0.8442917
1583283070588,5.1788554,-8.16845,0.8235498
1583283070637,5.178756,-8.174498,0.820746
1583283070687,5.2002907,-8.128339,0.8570369
1583283070738,5.1523085,-8.192383,0.7741555
1583283070788,5.1682014,-8.167992,0.84250826
1583283070837,5.1624465,-8.173747,0.8186733
1583283070887,5.1533494,-8.168192,0.8205892
1583283070938,5.209963,-8.164958,0.7824213
1583283070988,5.2278056,-8.149563,0.7842424
1583283071037,5.1507473,-8.159848,0.83030283
1583283071088,5.0835204,-8.211462,0.81751233
1583283071137,5.0938206,-8.17997,0.833725
1583283071188,5.166523,-8.171594,0.8118833
1583283071237,5.201226,-8.163919,0.819556
1583283071288,5.1644907,-8.1662035,0.82840365
1583283071337,5.1677885,-8.191195,0.80453044
1583283071387,5.2051773,-8.160321,0.8561307
1583283071438,5.20434,-8.144856,0.8350294
1583283071487,5.2071877,-8.179787,0.7977347
1583283071537,5.197313,-8.124695,0.80208564
1583283071587,5.139819,-8.178829,0.80278426
1583283071638,5.1244307,-8.1858225,0.7932038
1583283071687,5.157536,-8.186865,0.8795408
1583283071738,5.133344,-8.170645,0.8237222
1583283071788,5.177588,-8.175936,0.7892613
1583283071837,5.2266536,-8.174226,0.81838536
1583283071888,5.1859946,-8.153451,0.86332387
1583283071937,5.1575327,-8.180096,0.8019122
1583283071987,5.1665154,-8.186078,0.82375634
1583283072038,5.1440306,-8.180718,0.84852296
1583283072087,5.1262226,-8.163098,0.82801545
1583283072138,5.1282897,-8.179344,0.82428
1583283072187,5.155745,-8.187197,0.8449373
1583283072238,5.1422596,-8.17058,0.82839364
1583283072287,5.172089,-8.188871,0.8759291
1583283072337,5.205731,-8.148347,0.8578432
1583283072387,5.1888537,-8.176962,0.82351315
1583283072437,5.145405,-8.169052,0.8437892
1583283072487,5.1620035,-8.174124,0.8330544
1583283072537,5.1879425,-8.162624,0.84151745
1583283072588,5.1815805,-8.171869,0.84043497
1583283072637,5.1394057,-8.177569,0.87951064
1583283072687,5.1487565,-8.166295,0.8275608
1583283072737,5.2000966,-8.148462,0.83091617
1583283072788,5.178152,-8.163459,0.8500877
1583283072837,5.14613,-8.160441,0.861925
1583283072888,5.1792,-8.169675,0.86205536
1583283072937,5.2200055,-8.16932,0.84369874
1583283072987,5.17106,-8.162455,0.8468984
1583283073038,5.1681147,-8.1858635,0.8431472
1583283073087,5.150182,-8.151373,0.8851709
1583283073137,5.1674285,-8.182023,0.8237225
1583283073188,5.1975346,-8.16314,0.8424379
1583283073237,5.180443,-8.176589,0.88138425
1583283073288,5.142847,-8.144162,0.8553219
1583283073337,5.1869607,-8.15805,0.8503894
