Time,rotX,rotY,rotZosboxe
1582926289935,3.0305982E-4,-7.366296E-6,6.2694494E-4
1582926289984,7.137498E-4,-9.310087E-4,1.1399202E-4
1582926290035,-3.5124994E-4,-7.366296E-6,-9.637922E-4
1582926290084,-3.5124994E-4,-7.366296E-6,-2.7365051E-5
1582926290135,-0.001019086,-7.366296E-6,-6.9520087E-4
1582926290185,-0.0014162501,-7.366296E-6,-1.5449012E-4
1582926290235,-3.5124994E-4,-7.366296E-6,0.0018184357
1582926290284,-3.5124994E-4,-7.366296E-6,-4.3918844E-4
1582926290335,3.301124E-4,6.739963E-4,2.7036015E-4
1582926290385,7.137498E-4,1.06231775E-4,0.0010376349
1582926290435,-1.9562477E-4,-9.1674086E-4,-7.811142E-4
1582926290485,7.137498E-4,4.1797291E-4,0.0010376349
1582926290535,1.8860446E-5,3.627441E-4,-3.5214378E-4
1582926290585,-3.5124994E-4,-7.366296E-6,-1.2743706E-4
1582926290635,7.137498E-4,-7.366296E-6,-2.7365051E-5
1582926290685,7.137498E-4,-4.4655707E-4,-2.7365051E-5
1582926290735,7.137498E-4,-0.0010723658,-0.0014447405
1582926290785,7.137498E-4,-0.0010723658,-0.0011833704
1582926290835,-0.015348371,0.009624545,-0.0141381025
1582926290885,-0.17152539,0.09575607,-0.17703402
1582926290934,-0.32197648,0.18376385,-0.3369339
1582926290985,-0.19957061,0.11478917,-0.2083063
1582926291034,-0.15637912,0.08497836,-0.17165165
1582926291084,0.05853014,-0.06445275,-0.011938426
1582926291135,0.6035812,-0.33922747,0.58943653
1582926291185,1.3460629,-0.743484,1.3753456
1582926291235,1.973104,-1.0961511,2.0159912
1582926291285,2.302721,-1.2767805,2.3560889
1582926291335,2.760749,-1.5340834,2.8329642
1582926291384,2.788823,-1.5528969,2.8587215
1582926291434,2.5584908,-1.41838,2.649778
1582926291484,1.8362423,-1.1911299,2.0397036
1582926291534,0.41190606,-0.2784193,0.525622
1582926291584,0.0033118455,0.059340615,-0.05929159
1582926291635,0.24433528,-0.15979373,0.2406145
1582926291685,0.3487952,-0.1530819,0.17628363
1582926291734,0.07928641,0.044368606,-0.14444639
1582926291785,-0.07199263,0.06184279,-0.0691609
1582926291834,-0.030091573,0.06358409,0.0031577926
1582926291885,-0.01865055,0.091757044,-0.02732313
1582926291935,0.060333986,0.07364631,0.002616818
1582926291985,-0.087128796,0.02916246,0.09685075
1582926292035,-0.17290439,-0.032514915,0.07309803
1582926292085,-0.31421688,0.017345224,0.16011256
1582926292135,-0.17450184,0.25878808,0.051293727
1582926292185,0.04551604,-0.05699225,-0.011549141
1582926292235,0.010524844,-0.01301346,0.019032571
1582926292285,0.012680284,-0.011535054,0.016825322
1582926292335,0.031456914,-0.018798728,0.0328458
1582926292385,0.017361782,-0.013695577,0.021945667
1582926292435,0.008232645,-0.008924961,0.01421523
1582926292485,-9.7041694E-4,-0.009394035,0.01963764
1582926292535,-0.008524458,-0.03961962,0.057872515
1582926292585,-0.03566421,-0.047128756,0.063368216
1582926292635,-0.06069495,-0.045507375,0.046299048
1582926292685,-0.16927604,-0.25966117,-0.017521106
1582926292735,-0.2593608,-0.7623929,-0.049869757
1582926292785,-0.38578373,-0.5799188,-0.09065453
1582926292834,-0.21349747,-0.36371842,-0.0945639
