Time,rotX,rotY,rotZosboxe
1583283586037,-0.5775348,1.0276672,2.8093266
1583283586088,0.43258506,0.6247018,3.4752786
1583283586137,1.0920651,0.16523165,4.114787
1583283586188,1.2802742,-0.38809714,4.6274266
1583283586238,2.0389624,-1.0175529,4.5983944
1583283586287,1.569651,-1.3660845,4.5055046
1583283586337,0.58730096,-1.7913783,4.06577
1583283586387,1.1794602,-1.8360261,2.6609974
1583283586437,7.408325,0.110036634,0.28478944
1583283586487,4.6811166,0.12705311,-0.2901214
1583283586538,-2.3446085,-0.2692085,0.18383667
1583283586588,-3.7628353,-1.2465173,-0.010855565
1583283586638,0.49568415,-0.81999665,-0.5725545
1583283586688,0.089896485,1.0371096,0.10655615
1583283586738,-2.337974,1.1472907,1.365839
1583283586787,-4.1220484,-0.4655245,1.9168712
1583283586838,-3.511213,-1.5109996,0.70709807
1583283586887,-2.319837,-2.5308692,-1.4459403
1583283586938,-2.2096674,-2.560561,-4.104787
1583283586988,2.212975,0.91353905,-0.5979738
1583283587038,0.37099975,-0.3412991,0.9767791
1583283587088,-0.96184236,0.38887647,0.13386413
1583283587138,-1.0848117,0.01855215,0.25867146
1583283587187,-0.29972386,0.3718034,0.10545046
1583283587237,0.21403034,0.3515952,-0.5588272
1583283587288,-0.87757283,0.33740786,-0.23328412
1583283587337,0.23205177,0.7756911,0.52341163
1583283587388,0.5431685,0.704135,0.04117831
1583283587437,-0.9653918,0.11557109,-0.18910156
1583283587488,0.42806447,0.016438939,-0.058177657
1583283587537,-0.05759819,2.4098111E-4,-0.12439483
1583283587588,-0.80104285,0.13055453,0.12001953
1583283587637,-0.20738201,0.16993791,0.3254629
1583283587688,0.17800954,0.03741124,0.14715219
1583283587738,0.24667378,-0.09947917,0.2089698
1583283587787,0.041724835,-0.1149491,0.54676425
1583283587837,0.109067276,-0.1700539,0.7155869
1583283587888,0.7613637,-0.43025702,0.8548264
1583283587938,1.4307892,-0.47726774,1.108087
1583283587988,1.2036135,-0.14583005,1.7921424
1583283588038,0.39252174,-0.23389918,1.693536
1583283588088,0.20004296,-0.42396054,0.9938866
1583283588138,-0.0828588,-0.6385116,0.16529274
1583283588188,0.24516305,-0.51271534,-0.25300708
1583283588238,0.034379482,-0.3528482,-0.36196226
1583283588288,-0.120289326,0.025652435,-0.16702591
1583283588338,0.030601954,0.6842164,0.109726794
1583283588387,-0.12446179,1.2337023,0.36415726
1583283588438,0.09536647,1.4533902,0.4094473
1583283588487,0.3666637,1.7611206,0.29213345
1583283588538,-0.3949759,1.5303133,-0.36060923
1583283588588,-0.5892644,0.5757904,-1.5269116
1583283588637,-1.0993168,-0.20942874,-1.9031681
1583283588687,-0.34608275,0.16645378,0.376886
1583283588737,0.4008392,0.4468231,0.38310027
1583283588787,0.99271643,0.14588532,-0.1542276
1583283588837,1.4601593,0.08254791,0.1763452
1583283588887,0.5118127,-0.13311744,7.337611E-4
1583283588937,0.014357293,-0.33541432,-0.07210635
1583283588988,-0.051651374,-0.20330094,0.24552947
1583283589037,-0.2733259,9.110896E-5,0.3529792
1583283589087,-0.5520308,0.17566577,0.27631575
1583283589138,-0.6334568,0.26599446,0.05344283
1583283589188,-0.72839004,0.025019309,-0.20019023
1583283589238,-0.081691906,-0.017104454,-0.33941388
1583283589287,0.24000925,0.0270811,-0.3195162
1583283589338,0.11161061,0.13646033,-0.25501075
1583283589387,-0.10749255,0.15318699,-0.26576164
1583283589437,0.25712907,0.23107636,-0.33957377
1583283589487,0.48044342,0.21849176,-0.30894598
1583283589538,0.94352806,0.15708329,-0.3424483
1583283589587,1.0928807,0.11230351,-0.30804503
1583283589637,1.1096518,0.12077031,-0.24337108
1583283589688,1.1585535,0.04599123,-0.26830488
1583283589737,1.11729,-0.009769453,-0.3215471
1583283589788,1.0297018,-0.007225594,-0.32003245
1583283589838,0.8996805,0.031466644,-0.25926396
1583283589888,0.69867057,0.09522579,-0.22977142
1583283589937,0.31631735,0.1498756,-0.18878584
1583283589987,-0.009825183,0.14376487,-0.17468336
1583283590037,-0.18555038,0.13412456,-0.13277891
1583283590087,-0.13856162,0.07330322,-0.08730921
1583283590138,0.053001292,0.0014186166,-0.032495946
1583283590188,0.32265216,-0.06171671,0.008332179
1583283590237,0.49645007,-0.122506045,0.031956747
1583283590287,0.5127778,-0.144628,0.021105139
1583283590338,0.36967462,-0.10228748,0.0113418875
