Time,accX,accY,accZ
1583283508487,5.475381,-7.9885902,0.77201897
1583283508537,5.483626,-7.9900284,0.770993
1583283508587,5.477535,-7.9624543,0.8043175
1583283508638,5.472713,-8.004543,0.81810504
1583283508687,5.472146,-7.993379,0.7959395
1583283508738,5.4672227,-7.992622,0.8175207
1583283508788,5.4418964,-8.022881,0.8082298
1583283508837,5.4793463,-7.9771943,0.70631385
1583283508887,5.457438,-8.019748,0.7567666
1583283508937,5.461868,-7.9619565,0.87919515
1583283508988,5.4968295,-7.993587,0.8966623
1583283509038,5.492337,-7.9148903,0.89408165
1583283509087,5.4748926,-8.010459,0.8339849
1583283509137,5.4915357,-7.9910407,0.76739866
1583283509188,5.4642243,-7.9881115,0.79040426
1583283509237,5.4897933,-7.9988313,0.79413575
1583283509288,5.46869,-7.972855,0.8666903
1583283509337,5.4841514,-7.988139,0.80828744
1583283509387,5.4802804,-8.033369,0.7682352
1583283509438,5.486287,-7.925027,0.8389249
1583283509487,5.5303063,-7.987237,0.7982788
1583283509537,5.476747,-7.9720125,0.7508657
1583283509588,5.486382,-7.9893713,0.79723716
1583283509637,5.457983,-8.003234,0.836568
1583283509687,5.4970946,-7.9873104,0.79814494
1583283509737,5.442942,-7.9967995,0.84068763
1583283509787,5.483248,-7.9925027,0.7913986
1583283509838,5.4824805,-7.908008,0.859037
1583283509888,5.5362496,-8.014284,0.86334205
1583283509937,5.5340266,-7.918208,0.8503944
1583283509987,5.4934306,-7.9586525,0.88798755
1583283510038,5.5178022,-8.009424,0.9095372
1583283510087,5.4630623,-7.968074,0.8409308
1583283510138,5.5102854,-7.986147,0.8032693
1583283510187,5.535251,-7.998071,0.7692397
1583283510238,5.4421306,-7.8624554,0.8877481
1583283510288,5.499029,-8.024283,0.9382004
1583283510337,5.4684644,-7.938742,0.79488975
1583283510387,5.515471,-8.009273,0.90344137
1583283510437,5.5089197,-7.94549,0.82154566
1583283510487,5.4927,-7.9372516,0.8676559
1583283510537,5.5434566,-8.048551,0.8406193
1583283510587,5.3848696,-7.9701223,0.72854704
1583283510637,5.482422,-7.9724555,0.9477737
1583283510688,5.5208015,-8.050902,0.84193164
