Time,rotX,rotY,rotZosboxe
1582925969897,1.5160135,-1.5772477,2.6894941
1582925969947,1.9596759,-0.57364774,2.5713253
1582925969997,-0.6017102,0.6886816,1.0597018
1582925970047,-0.8353797,0.9235786,1.3208343
1582925970097,0.6193541,0.609509,1.0786079
1582925970147,-0.40741852,-0.2078441,0.28936526
1582925970198,-0.083526306,-0.27922112,0.023367325
1582925970248,0.0047331788,-0.5382816,-0.30698326
1582925970298,0.07561051,-1.1716882,0.07382686
1582925970347,-0.003775306,-1.1112319,0.5427439
1582925970398,-0.26650852,-0.45828223,1.1191522
1582925970447,0.06885302,-0.064168476,0.1826867
1582925970498,-0.07493277,0.11433993,-0.1532566
1582925970547,0.10187101,0.41930464,-0.28353557
1582925970597,-0.070604935,0.12658079,0.015650796
1582925970647,-0.6843029,0.08354202,0.501765
1582925970697,-1.1756599,0.70293677,1.5223056
1582925970747,-0.1720857,1.6135825,0.9943094
1582925970797,0.58509326,0.8392422,0.06381092
1582925970847,0.4274613,-0.11537063,-0.37021306
1582925970897,0.13436896,0.045800995,0.021441063
1582925970947,-0.29500186,-0.18671456,0.3116037
1582925970997,-0.09662414,0.016124658,0.07507872
1582925971047,0.26005974,0.2957485,-0.39777517
1582925971097,0.089278296,-0.024103895,-0.101697475
1582925971147,0.05705674,-0.026981387,0.05741845
1582925971198,0.05803197,-0.1199163,0.13555667
1582925971248,0.17518497,-0.1097095,-0.28327617
1582925971298,0.13550788,-0.017128179,-0.22699434
1582925971347,-0.06546986,-0.034812216,-0.10131074
1582925971397,-0.03268875,0.079549246,-0.16071175
1582925971447,0.50280595,-0.02071083,-0.5014867
1582925971497,0.026105221,-0.30882785,0.18590036
1582925971548,-0.020471213,-0.10459584,0.24558927
1582925971598,0.05196508,-0.112024166,0.14121875
1582925971648,-0.10746075,0.023619648,0.23895667
1582925971698,-0.19926375,0.026631068,0.33283675
1582925971747,-0.31658667,0.04573637,0.43637124
1582925971798,-0.35376674,0.11508866,0.35417625
1582925971847,-0.21545036,0.007070351,0.11462065
1582925971897,-1.0212344,-0.760859,0.5159207
1582925971947,-0.28941604,-0.11122956,-0.13981116
1582925971997,0.46500352,0.81449443,-0.72066784
1582925972047,0.88108855,0.3587539,-1.6815394
1582925972098,0.031078046,-0.13263191,0.132019
1582925972148,-0.13018832,0.035070535,0.2533027
1582925972198,0.38603857,-0.6400452,-0.33716878
1582925972247,-0.02579833,-0.4763766,-0.28007698
1582925972297,0.1670002,-0.012391787,-0.22523285
1582925972348,0.38525322,0.41150984,-0.637226
1582925972397,0.56585765,1.660437,-0.858179
1582925972447,-0.43827146,-0.81561625,0.8395226
1582925972497,-0.007733779,-0.043619003,1.0975133
1582925972548,0.16080812,-0.05577565,-0.1371921
1582925972598,0.019963274,-0.06822044,0.026674697
1582925972647,-0.27487615,0.025593774,0.3483625
1582925972697,-0.30818424,0.041981865,0.3832989
1582925972747,-0.358305,0.06354286,0.39643958
1582925972798,-0.31495234,0.065378636,0.35916504
1582925972847,-0.3806217,0.14777878,0.42465857
1582925972897,-0.38762048,0.3676458,0.4033942
1582925972947,-0.16631764,0.32582548,0.18823266
1582925972997,-0.25108984,0.018585097,0.30734846
1582925973048,-0.01127283,2.6818458E-4,0.0363487
1582925973097,0.10480338,-0.06571155,-0.09934745
1582925973148,0.1744678,-0.08375626,-0.17690311
1582925973198,0.1303809,-0.08015658,-0.16437627
1582925973247,0.17705733,-0.09188695,-0.20882319
1582925973297,0.13426878,-0.03109207,-0.15307635
1582925973347,0.18031698,-0.056855224,-0.24021913
1582925973397,0.23435962,-0.14150302,-0.21005996
1582925973447,0.33892217,-0.10936208,-0.24424753
1582925973498,0.35085195,-0.090582564,-0.07341227
1582925973547,0.3401461,-0.1727621,-0.0919546
1582925973597,0.66139543,-0.4480801,-0.5842395
1582925973647,0.25895065,-0.33137167,-0.44223955
1582925973698,0.13024443,0.013163608,-0.44103703
1582925973748,0.2305687,-0.0071455105,-0.37808093
1582925973798,0.38616773,0.041656233,-0.1415555
1582925973847,0.4909837,-0.12018345,-0.31272313
1582925973898,0.29086804,-0.11718491,-0.35164133
1582925973948,0.20372826,-0.107910715,-0.3104339
1582925973997,0.13374674,-0.02912543,-0.15955883
1582925974047,0.083775125,-0.0011951285,-0.072638206
1582925974098,-0.056590624,0.030974194,0.10162901
1582925974148,-0.16982506,0.069525406,0.19759913
1582925974198,-0.25550532,0.057987466,0.2704943
1582925974248,-0.24999663,0.061712544,0.32325867
1582925974297,-0.2587425,0.035261836,0.27362534
1582925974347,-0.30839148,0.060219813,0.24989633
1582925974398,-0.16762495,0.03314851,0.09907336
1582925974447,-0.05122436,0.0019537949,0.026572676
1582925974498,-0.024700586,-0.032494914,-0.01279827
1582925974548,-0.004119653,-0.03791344,-0.043573827
1582925974598,-0.029689306,0.0015523988,-0.026276581
1582925974647,0.00902967,0.0028335555,0.016710376
1582925974697,0.054089405,0.0478936,0.026847782
1582925974747,0.13051061,0.09457652,-0.024981951
1582925974797,0.12930669,0.0054534725,-0.08190835
1582925974847,-0.023886476,-0.11649989,-0.088709615
1582925974897,-0.12332867,-0.1197655,-0.059082504
1582925974947,-0.01738197,0.013252007,-0.04434602
1582925974997,-0.002538172,-0.0063390783,-0.017396865
1582925975048,-0.011751328,0.0034863027,0.04006904
1582925975098,-0.04491794,0.0257563,0.16226263
1582925975148,-0.025636086,0.028219672,0.15732922
1582925975197,0.07540528,0.07610714,0.0045390786
1582925975247,0.39452744,0.028929595,-0.19593124
1582925975297,0.26858816,-0.08254214,-0.2185823
1582925975347,-0.05339693,-0.25271675,-0.11832369
1582925975397,-0.00638319,-0.07537222,-0.123385794
1582925975447,0.07163161,-0.01182404,-0.1504492
1582925975497,0.039284684,0.00560095,-0.059554465
1582925975547,0.022218237,0.015992973,-0.028042132
1582925975597,0.034401678,0.044232637,0.0258022
1582925975647,0.10165091,0.019510612,-0.008104153
1582925975698,-0.09212783,0.0044821883,0.10965415
1582925975748,0.020111633,0.09606697,0.16842328
1582925975797,0.055727333,-0.051728223,0.16680814
1582925975848,0.0038900655,-0.0046061263,0.12403076
1582925975897,0.037820116,-0.01610063,0.018369775
1582925975947,0.016044205,-0.03383224,-0.035779063
1582925975997,0.05209914,-0.017986968,-0.044420365
1582925976047,0.040961493,-0.059431273,-0.084143244
1582925976097,-0.03842099,-0.12622929,-0.0714703
1582925976148,-0.20759803,-0.0044335728,0.039340694
1582925976197,-0.24669933,0.08489601,0.20317055
1582925976248,-0.090383455,0.060007375,0.13294058
1582925976297,-0.15342766,0.0861834,0.21482651
1582925976348,-0.039279092,-0.030044366,0.15253866
