Time,rotX,rotY,rotZosboxe
1583283356037,-1.7427788,-3.7131915,1.66606
1583283356088,-2.063915,-3.5641897,0.25573665
1583283356138,-2.0999193,-3.5452626,-0.88926965
1583283356188,-1.4737659,-2.9708786,-1.5331049
1583283356238,-1.6559463,0.50428474,-0.6192665
1583283356288,0.52596104,1.7132651,-0.8796029
1583283356337,-0.24867807,2.4740582,0.5002514
1583283356387,1.1363702,2.7060997,1.5228499
1583283356437,0.85103667,1.9047693,2.008346
1583283356487,0.82699794,1.4671459,2.1555152
1583283356538,0.5745995,0.8493935,1.8915498
1583283356588,0.68270403,0.079210356,1.4856004
1583283356638,0.7868339,-0.2903697,0.8279478
1583283356688,0.3444791,-0.4430345,0.32933366
1583283356737,0.40866742,-0.41473866,0.13888276
1583283356788,0.63335717,-0.100405045,-0.058384616
1583283356838,0.6954965,0.2601856,-0.02025941
1583283356888,1.0267155,0.5524887,0.0191607
1583283356938,1.0750434,0.5242033,-0.04464382
1583283356987,0.7147403,-0.013021981,-0.4262845
1583283357037,0.5866456,-0.49122396,-0.942932
1583283357087,0.3440602,-0.9921808,-1.3203292
1583283357138,0.38062668,-1.1712023,-1.3632126
1583283357188,0.12546556,-1.0782825,-1.1277866
1583283357237,0.16254608,-0.7189071,-0.82627404
1583283357287,-0.023774166,-0.41975492,-0.3695225
1583283357337,-0.024245683,-0.22946806,0.01893051
1583283357387,0.33649933,0.101099275,0.12937985
1583283357437,0.019897792,0.12434304,0.1760053
1583283357487,0.16655059,0.007619068,0.2047364
1583283357538,0.44199988,0.040982224,0.29297137
1583283357588,0.41181841,0.067791164,0.26571745
1583283357638,0.32451507,0.24458402,0.26140293
1583283357688,-0.8022432,0.28340274,0.34887582
1583283357737,-1.8951399,0.24754116,0.40358615
1583283357788,-1.5416284,0.056632265,0.23521692
1583283357838,-0.10791344,0.19867861,-0.033461276
1583283357887,-0.026037555,0.24775285,-0.0041729966
1583283357937,-0.65560526,0.24162757,0.085071
1583283357987,-0.7616969,0.20692447,-0.05786592
1583283358037,-1.0506636,0.08386016,-0.16888072
1583283358088,-0.86384284,0.13897718,-0.17266244
1583283358138,-0.647891,0.41891858,-0.075393714
1583283358188,-1.3512886,0.5236999,0.22638264
1583283358237,-0.5273284,0.2574694,0.12673843
1583283358288,0.2682484,0.0152582005,-0.08595717
1583283358337,-0.64873064,0.08848382,0.0035463264
1583283358387,-1.1342493,0.13643363,0.08129884
1583283358438,-1.1867886,0.18247336,0.20593394
1583283358488,-0.83162045,0.06115807,0.061374962
1583283358538,-0.27738053,-0.04467259,-0.2556483
1583283358588,-0.16707698,0.0021634027,-0.31363124
1583283358638,-0.37622657,-0.040391363,-0.116349794
1583283358687,-0.32198897,-0.16620028,0.064386055
1583283358738,-0.3766427,-0.1515348,0.010895328
1583283358787,0.36890623,0.10450643,-0.18359947
1583283358837,0.27381346,0.17196971,0.011126309
1583283358887,-0.06622102,0.038454533,0.113142855
1583283358938,0.28906566,-0.08386633,0.10071391
1583283358987,-0.041836374,0.023497751,0.11468033
1583283359037,-0.25810117,0.17557847,0.2277436
1583283359087,-0.21265492,0.40735042,0.34555966
1583283359138,-0.30858546,0.495122,0.68887633
1583283359187,-0.48481348,0.5307156,1.2706552
1583283359238,-1.3054192,0.24818438,2.035627
1583283359287,-1.8511653,-0.4181299,2.6778853
1583283359338,-2.999197,-1.1940038,3.0422144
1583283359387,-3.2066934,-1.8941165,3.0115895
1583283359437,-2.9861588,-2.396728,2.6208434
1583283359488,-2.7700043,-2.6337702,2.1885889
1583283359538,-3.0085325,-2.665283,1.7320917
1583283359588,-2.1262364,-2.3572078,1.257288
1583283359637,-1.2518479,-1.8964516,0.9294167
1583283359687,-0.92923576,-1.3820335,0.7413644
