Time,rotX,rotY,rotZosboxe
1583284726288,0.019190881,-0.0025260244,0.006228285
1583284726338,0.013173157,-4.6650693E-4,0.0048798444
1583284726388,-4.8253685E-4,0.0025338847,-0.0019480025
1583284726437,0.0038504342,0.0036641085,0.0035515067
1583284726488,0.019145414,-0.003930142,0.0013844923
1583284726538,-0.008184579,-0.0037450772,-0.0026206237
1583284726587,-0.051844634,-0.011410855,-0.005669676
1583284726637,-0.02165426,-0.0106331445,-2.4172175E-4
1583284726688,0.0136813605,-0.0043843146,0.003293345
1583284726737,0.02291039,-0.001148209,0.007231448
1583284726787,0.008821916,-0.004673347,0.005041348
1583284726838,0.008321676,-0.0029126555,0.004762454
1583284726888,0.0056137824,-0.0028748391,0.0016326567
1583284726937,-0.01307676,0.0059740995,-0.0034096986
1583284726987,-0.008074701,0.0027210256,0.0071015684
1583284727037,0.013341926,0.0070666648,0.0052960673
1583284727087,-0.08436725,0.0057634693,-0.008661432
1583284727137,-0.57326025,-0.0016763201,-0.089910485
1583284727187,-1.6280315,-0.12742615,-0.2650196
1583284727238,-1.9941719,-0.46995306,-0.15008417
1583284727287,-2.3945198,-0.853928,0.0807895
1583284727338,-2.1181407,-1.615028,0.4682528
1583284727387,-1.0470135,-1.7838912,0.80984145
1583284727438,-1.0455358,-1.3149829,0.7286759
1583284727488,-1.42622,-1.2215309,0.5144701
1583284727537,-1.7380068,-1.3790118,0.045537356
1583284727588,-1.7446394,-1.1863014,-0.20116733
1583284727637,-0.95860904,-1.0324626,0.0067471545
1583284727687,0.1272019,-0.91247845,0.03074035
1583284727738,-1.5607593,-1.5466273,-0.410913
1583284727787,-3.1289222,-1.161089,-1.6970284
1583284727837,0.43341348,-0.32786056,-2.760443
1583284727888,1.0651795,-0.15198882,-3.1236315
1583284727938,-0.21436945,-0.19391274,-2.4361749
1583284727987,0.079002224,-0.13325928,-1.5352992
1583284728038,-0.82116336,-0.058560498,-2.220717
1583284728088,-0.5325132,0.28584364,-2.3086078
1583284728137,3.181104,0.6636171,-0.24122259
1583284728187,5.7880735,1.5562528,5.126333
1583284728238,-0.16175564,1.0832902,6.7924933
1583284728287,-2.6275594,-1.6891314,4.3628607
1583284728338,-2.9628785,-3.2701607,2.776727
1583284728387,-2.3645582,-4.387007,0.8829528
1583284728437,-2.604742,-3.3102021,-2.5162866
1583284728488,-1.4652061,-1.4228575,-4.7732286
1583284728537,0.17316417,-0.633833,-5.064533
1583284728588,0.36621422,0.15482625,-4.5803976
1583284728638,-0.460593,2.545788,-3.227149
1583284728687,1.0803046,4.0567417,-1.1955853
1583284728737,1.7103114,3.3880115,1.5191008
1583284728787,-0.925055,2.7886295,2.7128043
1583284728838,2.80327,1.9468491,3.714946
1583284728887,3.425482,1.5365492,4.376286
1583284728938,-1.4250746,0.9953163,4.4992704
1583284728988,-2.9286427,-1.3445196,2.0886548
1583284729037,-1.6729354,-2.8214877,-0.6000867
1583284729088,-3.1362383,-2.993598,-2.3211694
1583284729137,-3.5435226,-2.2524066,-3.7105322
1583284729187,-3.545784,-0.66953826,-4.3549056
1583284729237,-3.2834578,1.4562778,-3.8069327
1583284729287,1.2592647,3.197557,-2.1406066
1583284729337,4.0456357,2.7702155,0.31818035
1583284729387,-1.4374042,2.3261113,2.2532322
1583284729438,0.10928356,1.5008881,3.5767336
1583284729487,0.26390725,0.48946732,4.2988925
1583284729537,-1.2838488,-0.9844359,3.8344562
1583284729587,-0.5543452,-2.1009958,2.0693057
1583284729637,-0.751995,-2.149695,-0.97391945
1583284729687,-1.2132756,-1.7957077,-2.8296363
1583284729738,-1.2920411,-1.1151509,-3.6963706
1583284729787,-1.336338,0.0482731,-3.8052828
1583284729837,-0.50263935,1.4851128,-3.0371025
1583284729888,1.5852742,2.2442992,-1.7314583
1583284729937,2.6747239,2.2382545,0.060101423
1583284729987,0.1528755,2.216428,2.3159835
1583284730038,-0.41820195,1.7244161,3.6826842
1583284730088,-0.72737885,0.82136995,4.15236
1583284730137,-2.340517,-0.67172545,3.5831387
1583284730187,-1.0800014,-2.0123434,1.005869
1583284730237,-1.1823021,-2.1404955,-1.8273462
1583284730287,-2.028643,-1.7045515,-3.3233583
1583284730337,-2.0209324,-0.45889837,-4.1633086
1583284730388,-1.2004097,0.8314099,-3.8829136
1583284730438,0.59651,2.235409,-2.8401911
1583284730487,3.4809713,2.219243,-1.0660117
1583284730537,1.5588202,1.8106848,1.2953187
1583284730588,-0.5211692,2.3310156,3.4931102
1583284730637,-1.2051744,1.3556588,4.3623567
1583284730688,-1.9477458,0.012787988,4.2627635
1583284730738,-0.7994757,-1.3704307,2.4742825
