Time,accX,accY,accZ
1583282066174,-2.3827634,-8.96816,1.8435419
1583282066225,-2.3897066,-9.077511,1.8223758
1583282066275,-2.3449411,-9.148231,1.7049621
1583282066324,-2.4021642,-9.105752,1.7799097
1583282066374,-2.3500786,-8.996588,1.9317672
1583282066424,-2.3477104,-9.071128,1.9067429
1583282066474,-2.3707619,-9.112201,1.831337
1583282066524,-2.3912349,-9.026136,1.8219728
1583282066574,-2.4331455,-9.000268,1.6720612
1583282066624,-2.3938365,-9.125717,1.9028301
1583282066675,-2.3332129,-9.055744,2.1468987
1583282066724,-2.3677332,-9.049036,1.896928
1583282066774,-2.3965766,-9.129547,1.8046821
1583282066824,-2.3660774,-9.0409775,1.9214344
1583282066874,-2.4130003,-8.995599,1.8598875
1583282066925,-2.370664,-8.978723,1.9966884
1583282066975,-2.3067505,-9.065668,2.0869093
1583282067025,-2.3307605,-9.144236,1.9982233
1583282067075,-2.3813784,-8.980289,1.9343404
1583282067124,-2.3634498,-9.019425,1.9380188
1583282067175,-2.3270464,-9.060471,2.0004075
1583282067224,-2.3378294,-9.042829,2.0028477
1583282067274,-2.3649724,-8.975922,1.9582542
1583282067324,-2.3062823,-8.968744,2.0150416
1583282067374,-2.241315,-9.020778,2.139031
1583282067424,-2.389543,-9.171499,1.9588808
1583282067474,-2.3555443,-9.059796,1.9157723
1583282067524,-2.28812,-9.07932,1.9499395
1583282067574,-2.2878277,-9.090826,2.0487175
1583282067625,-2.2848132,-9.001909,2.1286213
1583282067674,-2.2706037,-9.092362,2.0496166
1583282067725,-2.3139825,-9.009237,2.1096654
1583282067774,-2.2385535,-8.928923,2.18232
1583282067825,-2.2060266,-9.021059,2.2388408
1583282067874,-2.2062874,-9.075596,2.2651699
1583282067925,-2.230165,-8.994708,2.2676265
1583282067974,-2.2083921,-8.942653,2.2550848
1583282068024,-2.256972,-9.026219,2.2595987
1583282068075,-2.2225008,-9.030654,2.2387888
1583282068124,-2.2103472,-8.988575,2.2065942
1583282068174,-2.1783998,-9.035912,2.245126
1583282068224,-2.2048812,-9.068894,2.2976592
1583282068274,-2.2013314,-9.0330305,2.194647
1583282068324,-2.238132,-9.054695,2.2178073
1583282068374,-2.1914525,-8.9923115,2.250344
1583282068424,-2.215187,-9.009268,2.2504263
1583282068475,-2.219215,-9.017895,2.261863
1583282068525,-2.2167234,-9.021648,2.2301242
1583282068574,-2.1882067,-9.034119,2.2711105
1583282068624,-2.2210622,-9.094151,2.3123848
1583282068674,-2.1534493,-9.012249,2.1931932
1583282068725,-2.1487844,-8.950365,2.3636158
1583282068775,-2.135371,-8.998807,2.384513
1583282068824,-2.1693583,-9.0428505,2.3529377
1583282068875,-2.1285937,-9.016515,2.32829
1583282068925,-2.1326206,-9.027542,2.3844845
1583282068975,-2.1059046,-8.993429,2.3208773
1583282069024,-2.1314461,-8.992984,2.3918781
1583282069075,-2.1415427,-9.04524,2.3978047
1583282069124,-2.1063964,-9.012175,2.363973
1583282069174,-2.0917423,-8.960099,2.4074059
1583282069224,-2.192517,-9.076681,2.354167
1583282069274,-2.0401664,-9.095359,2.4193091
1583282069325,-2.119489,-8.9326,2.4536488
1583282069374,-2.2692685,-8.835048,2.3579059
1583282069425,-2.140134,-8.942597,2.3397841
1583282069474,-2.0866401,-9.03036,2.4076285
1583282069524,-2.126162,-9.073428,2.3056302
1583282069574,-2.0741374,-9.081157,2.197502
1583282069624,-2.1620927,-8.882882,2.167451
1583282069675,-2.1685314,-9.235107,1.8486751
1583282069724,-2.2543464,-9.174455,1.4392513
1583282069775,-2.3115773,-8.907085,1.4343783
1583282069824,-2.2574286,-9.261091,1.3692687
1583282069874,-2.3001254,-9.374153,0.9689941
1583282069924,-2.3546226,-9.407481,0.80074614
1583282069974,-2.5774174,-9.050805,0.6564106
1583282070025,-2.4875715,-9.159625,0.8365852
1583282070074,-2.399959,-9.186604,1.0041716
1583282070125,-2.4715552,-9.093476,1.0545703
1583282070174,-2.5456498,-9.045293,0.88378227
1583282070224,-2.4026647,-9.173771,1.1265959
1583282070275,-2.4667397,-9.074302,1.090625
1583282070325,-2.5056303,-9.17589,1.0433391
1583282070374,-2.3718138,-9.202727,1.2115294
1583282070425,-2.4119523,-9.074126,1.1328593
1583282070475,-2.5062542,-9.078456,1.0744363
1583282070524,-2.3406599,-9.294833,1.1478512
1583282070574,-2.4412446,-9.047953,1.1363196
1583282070624,-2.4441264,-9.161817,1.0965062
1583282070675,-2.4151876,-9.197253,1.1024152
1583282070725,-2.4260447,-9.076507,1.1503432
1583282070774,-2.464113,-9.114239,1.0978262
1583282070825,-2.3402734,-9.362198,1.1486175
1583282070874,-2.407834,-9.149838,1.1827278
1583282070924,-2.418801,-9.108976,1.2609085
1583282070974,-2.3950136,-9.292276,1.1229981
1583282071024,-2.4378877,-9.128601,1.1347651
1583282071074,-2.5038958,-9.021517,1.1489986
1583282071124,-2.4680116,-9.035136,1.2409064
1583282071174,-2.4268274,-9.082249,1.2681546
1583282071224,-2.4696736,-9.0833025,1.2080561
1583282071274,-2.4457908,-9.096949,1.3317457
1583282071324,-2.3703725,-9.128287,1.288238
1583282071374,-2.3727887,-9.368438,1.3142602
1583282071425,-2.3641903,-9.048031,1.3166629
1583282071474,-2.2197776,-9.131617,1.549872
1583282071525,-2.0409522,-8.994237,1.7867734
1583282071574,-2.457605,-9.137936,1.1478263
1583282071624,-2.321944,-9.548031,1.0673524
1583282071675,-2.1894057,-9.113316,1.5006374
1583282071724,-2.2937522,-9.140274,1.6114198
1583282071774,-2.2961602,-9.4301605,1.6460267
1583282071824,-2.3906002,-9.099413,1.4297651
1583282071874,-2.6235967,-9.059341,0.96508384
1583282071924,-2.416151,-8.671994,1.3653404
1583282071974,-2.3178787,-9.239064,1.7194211
1583282072024,-2.132317,-9.662708,2.2907298
1583282072075,-2.2727716,-9.313259,1.6676401
