Time,accX,accY,accZ
1583282968487,-0.4382395,-9.356727,1.3636471
1583282968538,-0.42946666,-9.426552,1.4091593
1583282968588,-0.38389683,-9.460649,1.3535999
1583282968637,-0.41793755,-9.380256,1.3716794
1583282968688,-0.42799202,-9.451468,1.4145676
1583282968737,-0.38113868,-9.443254,1.3451767
1583282968788,-0.40814188,-9.426108,1.3619332
1583282968838,-0.446215,-9.386499,1.3821754
1583282968888,-0.42772216,-9.400844,1.4012798
1583282968937,-0.38058764,-9.401329,1.4095169
1583282968987,-0.41310874,-9.460643,1.3125422
1583282969038,-0.37631473,-9.420939,1.3520299
1583282969088,-0.42066395,-9.413609,1.3707887
1583282969137,-0.36562034,-9.495636,1.3198228
1583282969188,-0.42753455,-9.369972,1.379007
1583282969238,-0.3969539,-9.440392,1.3948934
1583282969287,-0.38316667,-9.472459,1.3211913
1583282969337,-0.43495348,-9.382583,1.3904347
1583282969388,-0.42490909,-9.394489,1.4014106
1583282969438,-0.4137925,-9.425767,1.3725945
1583282969488,-0.38714385,-9.45433,1.363739
1583282969538,-0.42972797,-9.4034195,1.4102681
1583282969588,-0.40109044,-9.41842,1.4055365
1583282969637,-0.4316197,-9.370852,1.4112505
1583282969688,-0.36841112,-9.428793,1.4255273
1583282969738,-0.39108482,-9.45725,1.403226
1583282969788,-0.42757073,-9.406767,1.4467795
1583282969837,-0.34096,-9.381655,1.4046258
1583282969888,-0.44711047,-9.502652,1.4126885
1583282969937,-0.41012815,-9.352165,1.4907328
1583282969988,-0.36685658,-9.409315,1.4698061
1583282970038,-0.42091212,-9.446789,1.4266257
1583282970088,-0.41097674,-9.383612,1.475433
1583282970138,-0.37436187,-9.447536,1.493393
1583282970188,-0.37651893,-9.325553,1.4489821
1583282970237,-0.36139077,-9.388307,1.4709945
1583282970288,-0.4876705,-9.686987,1.4743198
1583282970338,-0.4735045,-9.215885,1.4084501
1583282970388,-0.2605929,-9.307568,1.4827291
1583282970438,-0.4742282,-9.710674,1.4247794
1583282970488,-0.41445076,-9.073018,1.3385679
1583282970537,-0.2959469,-9.396239,1.6007128
1583282970587,-0.4473295,-9.587828,1.3857185
1583282970637,-0.37748662,-9.290609,1.4384217
1583282970687,-0.3827212,-9.525961,1.529142
1583282970737,-0.4580463,-9.374578,1.4470576
1583282970788,-0.35846356,-9.388419,1.4795104
1583282970837,-0.41829062,-9.491857,1.3973694
1583282970888,-0.36775577,-9.289558,1.4929022
1583282970937,-0.38262224,-9.453654,1.5697414
1583282970987,-0.43674082,-9.41027,1.4165854
1583282971038,-0.37286064,-9.410521,1.4581641
1583282971087,-0.43363678,-9.387689,1.5860584
1583282971137,-0.40807536,-9.358878,1.3931432
1583282971187,-0.37017244,-9.4712925,1.4880233
1583282971238,-0.41543227,-9.378911,1.5378052
1583282971287,-0.37570795,-9.409293,1.4409382
1583282971338,-0.41156116,-9.409832,1.4514096
1583282971387,-0.43613362,-9.356092,1.5182834
1583282971437,-0.42983937,-9.36117,1.544733
1583282971487,-0.3529982,-9.503097,1.4112095
1583282971537,-0.32072654,-9.471604,1.4814388
1583282971587,-0.4157291,-9.384614,1.5103517
1583282971637,-0.4134271,-9.444177,1.4807777
1583282971687,-0.416188,-9.364471,1.476837
1583282971737,-0.3769089,-9.381408,1.5372868
1583282971788,-0.42728326,-9.3610525,1.5312711
1583282971838,-0.37917,-9.435248,1.5004137
1583282971888,-0.34939036,-9.471578,1.5312207
1583282971937,-0.41574273,-9.353056,1.5167542
1583282971988,-0.37780994,-9.470398,1.500717
1583282972037,-0.37452495,-9.411348,1.6175246
1583282972088,-0.4482063,-9.280197,1.5461465
1583282972137,-0.39071712,-9.385639,1.569135
1583282972187,-0.3626727,-9.476045,1.5973986
1583282972238,-0.37677455,-9.3348675,1.5663959
1583282972287,-0.38523573,-9.383053,1.6020628
1583282972338,-0.35437876,-9.420963,1.5811315
1583282972388,-0.36297405,-9.445216,1.6184868
1583282972437,-0.39455524,-9.3820915,1.5734222
1583282972488,-0.38280264,-9.351539,1.6287154
1583282972538,-0.40593472,-9.3852005,1.6292189
1583282972587,-0.37667227,-9.376065,1.6711956
1583282972637,-0.35422358,-9.384901,1.6435473
1583282972687,-0.382651,-9.389802,1.6143757
1583282972737,-0.382651,-9.389314,1.6299721
1583282972787,-0.375133,-9.359315,1.6374557
1583282972837,-0.35167453,-9.352417,1.630558
1583282972887,-0.4321755,-9.331309,1.6496636
1583282972938,-0.39044198,-9.37885,1.6720382
1583282972988,-0.32260063,-9.495859,1.5940592
1583282973037,-0.3732618,-9.3741045,1.5326676
1583282973087,-0.38024658,-9.376302,1.668317
1583282973138,-0.34441543,-9.422427,1.6468216
1583282973187,-0.37528434,-9.389953,1.5929924
1583282973237,-0.38000765,-9.3657255,1.6423796
1583282973288,-0.39637223,-9.342986,1.6414462
1583282973338,-0.3395517,-9.433187,1.6076277
1583282973388,-0.3899802,-9.37073,1.637036
1583282973438,-0.36211932,-9.398108,1.6284863
1583282973488,-0.3726117,-9.395642,1.6323951
1583282973537,-0.37497452,-9.328178,1.6703655
1583282973588,-0.42785358,-9.420962,1.6130413
1583282973638,-0.34993196,-9.453567,1.5926771
1583282973687,-0.2935929,-9.3424635,1.695225
1583282973737,-0.37613246,-9.396909,1.643756
1583282973787,-0.35777786,-9.384383,1.6121855
1583282973837,-0.4254083,-9.359345,1.6970121
1583282973887,-0.36170706,-9.374275,1.649813
1583282973938,-0.36357886,-9.404595,1.6190075
1583282973987,-0.41139135,-9.379106,1.6787891
1583282974038,-0.36500174,-9.369211,1.674313
1583282974088,-0.33677515,-9.376237,1.6586717
1583282974137,-0.39758998,-9.37972,1.6721532
1583282974188,-0.4037614,-9.372036,1.6875306
1583282974237,-0.36002186,-9.418657,1.5703577
1583282974288,-0.36793655,-9.3854065,1.6614559
1583282974337,-0.37442207,-9.36395,1.6895659
1583282974387,-0.40457374,-9.392446,1.6837726
1583282974437,-0.34022275,-9.393345,1.6860123
1583282974487,-0.37921986,-9.401687,1.6231267
1583282974538,-0.3669827,-9.405845,1.6822017
1583282974588,-0.33309063,-9.364991,1.6994985
1583282974638,-0.45381385,-9.305323,1.6726902
1583282974688,-0.40800172,-9.425337,1.5821394
1583282974737,-0.36421412,-9.364039,1.642823
1583282974787,-0.33108085,-9.443946,1.718787
1583282974838,-0.3853394,-9.357249,1.6762567
1583282974887,-0.39553896,-9.363423,1.6244138
1583282974937,-0.3439571,-9.405723,1.6671932
1583282974988,-0.3951821,-9.3966255,1.6795564
1583282975037,-0.36206868,-9.360996,1.6536183
1583282975088,-0.37476206,-9.354716,1.6603838
1583282975137,-0.36027038,-9.386573,1.7068281
1583282975187,-0.38665524,-9.414667,1.6549098
1583282975238,-0.4037259,-9.334252,1.6660925
1583282975287,-0.33838132,-9.365039,1.6938856
1583282975338,-0.40909797,-9.405362,1.678145
1583282975387,-0.37990755,-9.398602,1.6894459
1583282975437,-0.3617982,-9.294039,1.6819625
1583282975488,-0.36361685,-9.422447,1.7314273
1583282975537,-0.38810498,-9.311581,1.7644104
1583282975587,-0.3781747,-9.338451,1.780484
1583282975638,-0.320368,-9.459349,1.7182962
1583282975687,-0.34578782,-9.312009,1.7715169
1583282975738,-0.37892717,-9.365415,1.7542938
1583282975788,-0.33368656,-9.320041,1.7716565
1583282975837,-0.35281432,-9.361715,1.7934803
