Time,accX,accY,accZ
1583281594049,-3.435016,-6.1233873,-6.8801856
1583281594099,-2.8622046,-6.603184,-7.742263
1583281594149,-3.9571204,-5.042545,-8.375577
1583281594199,-5.073808,-5.5697575,-6.7965145
1583281594250,-4.136722,-5.8395963,-5.7674994
1583281594299,-6.0253916,-4.8663034,-4.452472
1583281594349,-5.600797,-5.8222218,-4.0302544
1583281594400,-5.5007215,-6.862715,-5.1202617
1583281594450,-4.692425,-6.741995,-5.687732
1583281594499,-3.8928833,-6.0380464,-5.4846272
1583281594549,-4.1351757,-6.1653786,-4.801231
1583281594599,-3.910892,-6.1484985,-5.386148
1583281594649,-3.334825,-6.338021,-6.1789193
1583281594699,-3.8951042,-7.0463495,-5.8518147
1583281594749,-3.9684067,-6.987859,-6.1780567
1583281594800,-3.4634502,-7.768492,-6.433047
1583281594849,-3.9604394,-7.321468,-7.208927
1583281594899,-5.5754013,-7.095288,-5.933862
1583281594949,-4.272776,-4.6891437,-5.758035
1583281594999,-5.806936,-3.4227319,-5.5679135
1583281595049,-6.2983065,-3.334369,-6.0856104
1583281595099,-4.5958414,-4.828008,-7.3558793
1583281595149,-4.8146515,-5.9631295,-6.925451
1583281595199,-3.9561398,-5.7887464,-6.028446
1583281595249,-3.706842,-5.5270734,-5.7016487
1583281595299,-4.0730805,-5.0897126,-6.3389454
1583281595349,-3.8647141,-5.0379486,-7.085967
1583281595399,-3.8973098,-5.217956,-7.257528
1583281595450,-3.6479633,-5.383485,-7.1170177
1583281595499,-3.9905295,-5.269032,-6.864141
1583281595549,-3.1688805,-5.919142,-7.1025786
1583281595599,-1.9521703,-6.951134,-7.9552474
1583281595649,-3.6734242,-5.921871,-8.426752
1583281595699,-6.173726,-4.9206185,-6.629318
1583281595750,-4.80944,-5.6123157,-5.253606
1583281595800,-6.031219,-5.118546,-5.127242
1583281595850,-5.777795,-5.711357,-4.2579656
1583281595900,-4.8744345,-7.0168514,-4.559227
1583281595950,-4.615113,-7.0524607,-5.894894
1583281595999,-4.0296783,-6.494235,-5.3367662
1583281596049,-5.0646544,-5.71047,-4.643057
1583281596099,-4.8956466,-5.6967216,-5.1365776
1583281596150,-3.8570395,-6.303636,-5.6775675
1583281596200,-4.264697,-6.818455,-5.2227373
1583281596249,-4.5662885,-6.9548874,-5.3538027
1583281596299,-3.77245,-6.936883,-6.6142683
1583281596349,-3.606502,-7.7858014,-5.5403895
1583281596399,-4.308497,-8.113487,-5.661543
1583281596449,-4.6584125,-7.0122223,-6.0517592
1583281596499,-5.5816174,-6.0175977,-5.1579437
1583281596550,-4.773122,-5.432774,-5.6309595
1583281596599,-4.402058,-5.3158674,-5.343799
1583281596649,-3.837795,-4.911053,-5.45895
1583281596699,-4.620165,-5.0513697,-5.953074
1583281596750,-4.993345,-5.8062463,-6.8292155
1583281596800,-3.566927,-7.0694456,-6.1936607
1583281596849,-1.8856788,-7.114438,-5.782194
1583281596899,-3.1226575,-5.7071266,-6.0466557
1583281596949,-4.3529816,-3.9871616,-6.8183365
1583281596999,-3.2214215,-4.5503664,-7.330847
1583281597049,-3.1139915,-4.646419,-7.334877
1583281597099,-2.9360714,-6.0138407,-6.7860274
1583281597149,-0.62187564,-8.2320385,-7.0606303
1583281597200,-0.4983617,-8.788272,-7.337505
1583281597250,-2.9439077,-6.205799,-8.132758
1583281597299,-5.6009336,-4.4976163,-8.942012
1583281597350,-4.697014,-5.3373,-7.0452957
1583281597399,-6.081036,-4.128576,-4.734478
1583281597450,-4.883114,-5.875283,-3.0583706
1583281597499,-4.2341123,-8.314613,-3.9229043
1583281597550,-5.5337634,-7.4510784,-5.837469
1583281597599,-5.123133,-5.2998652,-6.169673
1583281597650,-4.0956955,-5.1655273,-5.652557
1583281597700,-3.4816918,-6.237108,-5.2047396
1583281597749,-3.2534802,-6.31181,-5.6212378
1583281597799,-2.9759202,-6.810632,-6.4408245
1583281597849,-3.2889168,-8.21165,-5.981383
1583281597899,-5.505268,-8.477954,-4.608394
1583281597950,-3.5505917,-6.838379,-6.7277107
1583281597999,-5.0293827,-6.5048146,-6.79307
1583281598049,-5.070465,-5.278686,-7.2028265
1583281598100,-5.515207,-4.505664,-5.1249595
1583281598149,-4.2702637,-4.4234715,-6.2174253
1583281598199,-4.1617155,-5.6163235,-7.2982407
1583281598249,-3.8945158,-6.267402,-6.222818
1583281598299,-3.4467463,-5.922625,-5.602368
1583281598349,-3.6985543,-4.9022837,-6.497148
1583281598400,-3.1569965,-4.733061,-7.272126
1583281598450,-3.1055472,-5.535971,-6.987605
1583281598499,-3.4832287,-5.8712173,-6.581649
1583281598550,-3.1717443,-5.79722,-7.0549
1583281598599,-2.74114,-5.9809523,-6.8711777
1583281598649,-2.0989814,-6.622221,-6.590011
1583281598699,-1.7874438,-6.807223,-6.7253537
1583281598749,-2.264129,-5.9099274,-7.1878085
1583281598799,-2.7776175,-5.600026,-8.007243
1583281598850,-2.6203003,-6.2555747,-8.005429
1583281598899,-2.8764975,-6.0549774,-6.6331615
1583281598950,-4.241807,-6.1968937,-5.5750055
1583281598999,-4.1185164,-5.6328373,-6.242503
1583281599050,-3.1786609,-6.234211,-6.038949
1583281599099,-4.466256,-6.160727,-5.1768713
1583281599149,-4.937888,-5.670968,-5.0530853
1583281599199,-4.681304,-6.571829,-5.945317
1583281599249,-3.867115,-7.5994163,-6.8678055
1583281599300,-3.904805,-6.410706,-6.3204093
1583281599349,-3.5876708,-6.1924267,-5.730781
1583281599400,-3.353881,-6.6396294,-5.555071
1583281599449,-3.580195,-6.670681,-5.759498
1583281599500,-4.874744,-6.6377425,-6.0254455
1583281599550,-4.0644183,-5.997934,-6.366783
1583281599600,-4.5935216,-6.273558,-5.375852
1583281599649,-4.1471467,-5.974262,-5.449963
