Time,accX,accY,accZ
1583282249464,-2.2295816,-3.7535646,8.423627
1583282249485,-2.6895175,-3.679304,8.243964
1583282249504,-2.72545,-3.75596,8.488305
1583282249524,-2.2439544,-2.7330816,8.416441
1583282249545,-2.2822826,-3.8062656,8.19845
1583282249564,-2.653585,-4.584803,8.56017
1583282249584,-2.270305,-2.8289015,8.89554
1583282249604,-1.882234,-3.7296095,8.679946
1583282249624,-2.43799,-3.8493845,8.878772
1583282249644,-2.4451766,-3.262487,8.423627
1583282249664,-2.600884,-4.2182913,8.459559
1583282249684,-2.5314145,-5.04953,8.414045
1583282249704,-2.289469,-5.2579384,8.778161
1583282249724,-2.212813,-5.940656,6.13832
1583282249744,-2.8811574,-8.269082,7.470218
1583282249764,-2.8524115,-6.491621,8.164913
1583282249784,-1.867861,-4.896218,7.71935
1583282249804,-2.356543,-5.4208326,7.5588517
1583282249824,-2.8572025,-6.4796433,7.2426453
1583282249843,-2.260723,-5.159723,7.987646
1583282249864,-2.375707,-4.642295,8.231987
1583282249884,-2.6990995,-5.279498,8.138562
1583282249903,-1.997218,-5.164514,8.327807
1583282249924,-1.7840185,-4.924964,8.414045
1583282249943,-2.912299,-5.087858,8.255942
1583282249963,-3.6237626,-4.5105424,8.275106
1583282249983,-2.9961414,-4.599176,8.378113
1583282250003,-1.9900315,-5.00162,8.081071
1583282250023,-1.954099,-5.212424,7.3528385
1583282250043,-2.576929,-5.514257,6.7683363
1583282250063,-2.6655624,-5.7226653,6.468899
1583282250083,-2.5889065,-6.2113476,6.143111
1583282250103,-2.519437,-6.6521196,5.745458
1583282250122,-2.5936975,-7.1551747,5.41967
1583282250143,-3.5518975,-8.206799,6.162275
1583282250163,-4.8790045,-8.578101,6.5958605
1583282250183,-4.138795,-6.8054314,6.1694617
1583282250203,-2.591302,-6.2927947,6.358706
1583282250222,-3.056029,-6.894065,6.727613
1583282250242,-3.8585215,-6.587441,6.8402014
1583282250263,-3.822589,-5.9861703,6.8066645
1583282250283,-3.7531195,-6.079595,6.8689475
1583282250302,-3.319534,-5.8663955,6.924044
1583282250442,-3.602203,-6.3981967,6.842597
1583282250462,-4.0645347,-5.6843376,7.307324
1583282250482,-3.817798,-4.752488,6.128738
1583282250501,-1.5684235,-5.4974885,2.602562
1583282250522,2.4943445,-10.343585,1.3640885
1583282250542,4.9473367,-10.458569,2.856485
1583282250563,1.092977,-8.85598,3.795521
1583282250582,-0.7587445,-9.55307,3.996743
1583282250602,1.049858,-9.876463,3.1415496
1583282250622,1.092977,-10.504084,2.2456324
1583282250641,0.474938,-10.10643,2.645681
1583282250661,-0.8258185,-9.493182,2.3797805
1583282250681,-1.676221,-9.038037,2.262401
1583282250702,-0.430561,-7.4809623,1.7377865
1583282250721,0.7312565,-5.250752,1.6659214
1583282250741,-0.5958505,-7.813937,2.6528676
1583282250761,-2.8045015,-13.266095,9.099158
1583282250781,-2.754196,-8.827233,6.2461176
1583282250801,-1.110883,-3.066056,4.2578526
1583282250821,-1.360015,-3.650558,4.485425
1583282250841,-1.101301,-5.2100286,6.9024844
1583282250861,0.9755975,-5.078276,7.24025
1583282250881,2.980631,-5.935865,6.6868896
1583282250901,2.4512255,-7.6390653,7.0270505
1583282250921,1.0953726,-8.961382,6.2317443
1583282250941,0.192269,-10.089662,5.80295
1583282250961,0.1898735,-8.697877,5.3022904
1583282250980,-0.095191,-8.45114,6.1982074
1583282251001,-0.229339,-8.633198,6.66533
1583282251021,1.4259515,-9.090738,7.264205
1583282251025,1.8819588,-9.147631,6.623179
1583282251075,1.1216778,-9.18622,6.09216
1583282251125,0.8792404,-8.304855,5.5221233
1583282251175,0.9140995,-7.4976735,4.5713882
1583282251223,0.7285061,-8.910178,2.8654141
1583282251275,1.1793668,-9.61738,2.9367433
1583282251325,0.8157215,-9.082207,2.9704778
1583282251375,0.40665555,-9.50396,3.4432607
1583282251424,-0.13724901,-8.719793,2.9345667
1583282251475,0.4633316,-8.511063,3.863636
1583282251524,0.7420385,-7.1652155,4.3972282
1583282251575,-0.310652,-6.7678843,6.240034
1583282251625,0.76835144,-5.974594,6.7076287
1583282251675,0.032640964,-7.9990544,7.3723907
1583282251725,0.529536,-7.005333,8.006975
1583282251775,0.41690558,-6.660549,8.280534
1583282251825,0.35676056,-5.539153,8.185261
1583282251875,-0.47873652,-4.7505703,8.616991
1583282251925,0.84406507,-5.535857,8.845283
1583282251975,-0.5821208,-3.8531225,8.5107765
1583282252025,-0.35810304,-3.9580455,8.809286
1583282252075,-0.52737373,-3.7976584,9.176653
1583282252125,-0.0915604,-2.876174,9.382555
1583282252175,0.39728194,-2.37849,9.417822
1583282252225,0.32306916,-2.386406,9.633842
1583282252275,0.5548259,-2.61171,9.559511
1583282252325,0.58627236,-2.3051279,9.492945
1583282252375,0.9976857,-2.3111558,9.725916
1583282252425,0.98278034,-1.9095179,9.731104
1583282252475,1.0572596,-1.9286621,9.721684
1583282252525,1.1042825,-2.199317,9.860874
1583282252575,0.673411,-2.1852736,9.512693
1583282252624,0.20140432,-3.3667622,7.520538
1583282252675,1.3286655,-7.8229656,7.418582
1583282252725,-0.6497432,-6.5710635,6.636946
1583282252774,0.53985333,-8.260086,6.622652
1583282252825,-0.3477538,-7.0250835,6.680149
1583282252874,-0.27469262,-8.10487,6.9583488
1583282252925,-0.06501683,-9.991388,4.9868326
1583282252975,-1.7281553,-12.467369,3.9716094
