Time,rotX,rotY,rotZosboxe
1583283376038,0.035463784,-0.0043128575,-0.04536444
1583283376087,0.028197102,-0.009908253,-0.052027408
1583283376137,0.05364156,-0.06163954,-0.057818286
1583283376188,0.096308835,0.002822861,0.101029456
1583283376238,-0.06353001,0.20870042,0.20562871
1583283376288,-0.5264327,0.2685664,0.035468653
1583283376338,0.8556378,0.51176894,0.0773938
1583283376387,2.306344,0.14127174,0.8136031
1583283376437,2.0577583,-0.38999417,0.3407755
1583283376488,-0.25939676,0.3418679,-1.3773974
1583283376538,-3.3706317,2.804488,-1.3346568
1583283376588,-1.8282298,4.778987,-2.023511
1583283376638,0.809859,5.160088,-3.890158
1583283376688,1.273054,4.511644,-5.363091
1583283376737,1.8102171,3.6778576,-5.737849
1583283376787,3.2242422,2.6256847,-5.319923
1583283376838,3.3901763,2.5821805,-3.433786
1583283376887,-0.39940512,2.3740723,1.4868236
1583283376937,-0.857266,-0.64630485,5.3184056
1583283376987,-1.2519871,-0.19179401,6.7268186
1583283377038,-1.1982231,0.8780683,6.994303
1583283377087,-1.7520008,0.4379668,6.3067923
1583283377138,-1.593613,-0.7292211,5.0260315
1583283377187,-0.7116834,-0.85746396,3.2335596
1583283377238,0.058133412,0.2942039,0.688186
1583283377287,-0.114553735,0.65168715,-3.1145806
1583283377337,0.05414738,0.31785998,-5.86516
1583283377387,0.16576721,0.11796534,-7.393254
1583283377438,-0.26499143,0.36131203,-7.9607368
1583283377487,-0.43322098,0.63573134,-7.283719
1583283377538,0.7118615,1.0617058,-4.719642
1583283377587,1.2360972,1.647382,-0.17001289
1583283377637,0.59356475,-0.0057806075,4.6036053
1583283377687,-0.077359915,-0.46898055,7.1396847
1583283377737,-0.69543695,0.4425426,7.938177
1583283377787,-1.432024,0.06879425,7.109786
1583283377837,-1.1016443,-0.5670357,5.7261705
1583283377887,0.0026734518,-0.8973646,4.0408006
1583283377937,0.5624893,-0.11370014,1.4295932
1583283377988,-0.18719967,0.60319746,-2.2669215
1583283378037,-0.3791755,0.8485631,-4.9540095
1583283378087,0.1707576,0.550488,-6.4391785
1583283378137,0.006954168,0.29471484,-7.3196445
1583283378188,0.32621762,0.1670745,-7.653373
1583283378238,0.63979584,-0.0076386333,-6.824854
1583283378288,0.7139075,0.94989026,-4.2691264
