Time,accX,accY,accZ
1583285334712,2.2415385,-0.13331369,9.916262
1583285334762,1.838339,-0.3094954,9.742705
1583285334812,2.1322966,0.24775225,9.547589
1583285334863,2.2238111,-0.2703936,10.000584
1583285334912,2.0072684,-0.04091543,9.716062
1583285334963,2.1984298,-0.055631846,9.623726
1583285335012,2.2383177,-0.33027536,9.807671
1583285335063,1.9346323,-0.7550515,9.8446665
1583285335112,1.77815,-1.1162456,9.508803
1583285335163,1.975845,-0.97969824,9.165675
1583285335213,2.7305045,-0.35372066,9.879604
1583285335263,1.8060522,-1.3710597,9.649277
1583285335313,2.1281197,-1.2105505,9.795446
1583285335362,2.0035985,-1.2786963,9.697988
1583285335412,2.01685,-1.2757564,9.734492
1583285335463,2.115503,-1.134622,9.5996065
1583285335512,2.01607,-1.5254468,9.927936
1583285335562,1.8568989,-1.1024883,9.39717
1583285335613,1.8226029,-1.3833828,9.579867
1583285335663,2.3909206,-1.2648948,10.02696
1583285335713,2.3891683,-1.0914018,9.301944
1583285335763,2.419575,-1.2905092,9.526156
1583285335813,2.2859435,-1.1564187,9.542672
1583285335863,2.2574153,-1.1496341,9.521818
1583285335912,2.3773696,-1.1547681,9.534818
1583285335963,2.2506561,-1.2611543,9.4003315
1583285336013,2.1217003,-1.4546134,9.452408
1583285336063,1.7402407,-1.8317479,9.659943
1583285336113,1.5923859,-2.3140502,9.622944
1583285336162,1.7666867,-1.7036122,9.640362
1583285336212,1.4897455,-1.3538502,9.426474
1583285336262,1.4412282,-1.7655894,9.687786
1583285336312,1.8566799,-1.6668735,10.483087
1583285336362,1.3933944,-1.3957961,9.712717
1583285336413,1.6088147,-1.2251999,9.685184
1583285336462,1.5872209,-1.1568425,9.736209
1583285336513,1.4100935,-1.1857696,9.781042
1583285336563,1.3082141,-1.1711777,9.726779
1583285336613,1.2466605,-1.058067,9.786827
1583285336663,1.3221993,-0.8380353,9.772949
1583285336713,1.324974,-0.6270302,9.966068
1583285336762,1.5710499,-0.30156794,9.789224
1583285336812,1.6602288,-0.048061304,9.982629
1583285336862,1.4221201,-0.1761739,9.95749
1583285336912,0.17097308,-1.3333071,9.845431
1583285336962,0.27581996,-1.4376452,9.860344
1583285337013,0.447265,-1.3766438,9.918886
1583285337062,1.1083386,-1.07934,9.589361
1583285337112,0.6797557,-1.4653734,9.599966
1583285337162,-0.35530227,-2.1232762,9.846805
1583285337213,-0.18327624,-2.0553207,9.931685
1583285337262,0.23112103,-1.9188255,9.665088
1583285337313,1.5349033,-1.1311058,9.419831
1583285337363,1.5607716,-1.0029302,9.697786
1583285337412,0.26690447,-1.826376,9.767975
1583285337463,-0.6077126,-2.4658978,9.694156
1583285337513,0.73770106,-1.3519908,9.943349
1583285337563,0.2665084,-1.7587315,9.826336
1583285337612,0.117198914,-1.9559569,9.663073
1583285337662,0.255193,-1.8950558,9.331798
1583285337713,0.14685223,-1.7326736,10.390596
1583285337763,0.6751552,-1.2733192,9.536835
1583285337813,0.4558755,-1.677972,9.45267
1583285337863,1.064877,-0.9367193,9.714424
1583285337912,1.6513467,-0.93221945,10.162676
1583285337963,1.1874065,-0.80646867,9.958012
1583285338012,0.90894824,-0.27135706,9.594173
1583285338062,1.2978005,-0.31259316,10.005186
1583285338112,1.641403,0.23294142,10.157101
1583285338163,1.0509082,0.8052988,9.699791
1583285338212,1.292232,-0.4944322,10.143846
1583285338263,1.2866191,0.09784901,9.883033
1583285338312,1.1781195,0.9794446,9.554576
1583285338362,1.3055401,0.4570494,9.962619
1583285338412,1.4394078,0.14053975,10.013869
1583285338462,1.6542794,0.30518633,9.876182
1583285338512,1.2266442,0.4169996,9.804285
1583285338562,1.3395927,0.4268044,9.872757
1583285338612,1.2673863,0.37486282,9.871371
1583285338663,0.77127564,0.36992514,10.089589
1583285338713,0.90156907,0.91979575,10.184882
1583285338762,1.942869,0.14847301,10.212034
1583285338812,0.9618399,0.15454972,9.962067
1583285338863,1.03795,0.17997342,9.616787
1583285338912,1.5300608,0.038209207,9.529863
1583285338963,1.8509656,-0.023771,9.59228
1583285339012,1.3281049,-0.1034479,9.218938
1583285339062,1.8211477,0.11636308,9.803125
1583285339113,1.4316666,0.40336227,9.9836855
1583285339162,1.0183755,0.1967611,10.047668
1583285339212,1.0492316,0.40147328,9.817214
1583285339262,1.5205088,0.91587204,9.994689
1583285339312,0.7194036,0.33936027,10.154008
1583285339362,0.47899282,0.4092791,9.917589
1583285339413,0.8129084,0.3221921,10.095715
1583285339462,0.89109236,0.112389416,10.140714
1583285339513,0.62910134,0.02475675,9.860584
1583285339563,0.41735196,-0.06167618,9.630642
1583285339613,0.87117517,0.053805888,10.056159
1583285339662,0.70793253,4.594908E-4,10.2513
1583285339712,0.9387031,0.18374057,10.068797
1583285339762,0.907117,-0.24819094,9.772869
1583285339812,1.5017732,-0.29725793,10.057795
1583285339863,0.3667966,0.08161642,10.071215
1583285339913,0.9636217,-0.3255922,9.357654
1583285339963,0.68963075,-0.49999633,9.537133
1583285340012,0.9190449,0.58497655,10.275195
1583285340062,1.4298738,1.2572408,9.938381
1583285340112,0.3147875,1.1007353,10.067661
1583285340162,-0.42812112,-0.35054868,10.210556
1583285340212,1.1077617,0.8475522,10.359815
1583285340263,0.5024352,1.5845113,9.174792
1583285340313,1.0617596,0.46496034,9.98306
1583285340363,1.0407902,1.6790656,9.964913
1583285340413,0.9854444,1.4505324,9.93773
1583285340463,1.0607884,1.5610822,9.804419
1583285340513,1.074722,1.7838513,9.784761
1583285340563,0.8723164,1.7980335,9.775531
1583285340612,1.2138058,1.6557204,9.759817
1583285340663,1.1205649,1.8551016,9.792922
1583285340712,1.0102882,1.681489,10.001912
1583285340763,1.0783421,2.0235806,9.61249
1583285340813,1.0633204,1.840485,9.693781
1583285340863,1.1097448,2.09144,9.7363615
1583285340913,0.9407176,2.2865963,9.812753
1583285340962,0.70970345,2.4519567,9.633206
1583285341013,0.9032843,2.6248877,9.700878
1583285341063,0.76755804,2.9538388,9.614543
1583285341112,0.58541065,3.5449097,9.332533
1583285341162,0.5626849,3.0782387,9.514793
1583285341212,1.0661812,2.9309714,9.746832
1583285341263,0.69517785,2.9437728,9.515753
1583285341313,0.34452915,3.704434,9.242976
1583285341363,0.32878822,3.8934746,9.23091
1583285341413,0.4592002,3.6576152,9.319582
1583285341463,0.67128927,3.5383961,9.48854
1583285341512,0.46599373,3.4734056,9.381946
1583285341562,0.55529195,3.7416804,9.2048645
1583285341613,0.5150144,3.6701126,9.368748
1583285341662,0.48541388,3.5833044,9.402732
1583285341712,0.64124244,3.6238968,9.381765
1583285341762,0.55488956,3.59448,9.447254
1583285341813,0.51016456,3.6289124,9.306256
1583285341862,0.43648183,3.5907488,9.375264
1583285341913,0.5007748,3.5903518,9.354541
1583285341963,0.57668436,3.5488732,9.233386
1583285342013,0.4749514,3.4984653,9.337155
1583285342063,2.114349,2.8959897,9.603551
1583285342113,2.2273335,2.0367165,9.974941
1583285342162,-0.40259808,3.9781673,9.3692255
1583285342212,1.2829702,4.1141987,9.03843
1583285342263,2.5325284,1.9686874,9.85476
1583285342313,1.8218061,2.4061246,9.537915
1583285342362,1.4177052,2.7319553,9.381316
1583285342413,1.701702,2.0529852,9.81929
1583285342463,1.6475149,1.8581735,9.975996
1583285342512,1.7012497,1.9408481,9.648895
1583285342563,1.3428177,2.4345958,9.555658
1583285342613,1.7703078,1.7420298,9.732447
1583285342662,1.7108668,1.7430978,9.846911
1583285342712,1.4895995,2.1760418,9.680844
1583285342762,1.5479934,2.146307,9.69574
1583285342812,1.5785096,2.1424923,9.826391
1583285342862,1.6941099,2.3228028,9.577051
1583285342913,2.2529454,1.8853705,9.596569
1583285342962,1.5442761,2.865066,9.5140295
1583285343012,0.776006,4.133275,8.869156
1583285343062,2.351526,1.883889,9.678611
1583285343112,1.8833091,2.4304647,9.706615
1583285343162,0.8125825,3.5860715,8.979841
1583285343213,0.91477215,2.6604307,9.754838
1583285343262,0.8205507,1.0924398,10.560903
1583285343312,1.2868903,1.7032251,9.727215
1583285343362,0.82773745,3.5753536,8.999599
1583285343413,0.82093066,2.979814,9.671663
1583285343462,0.17075604,1.8387626,10.031951
1583285343512,0.56903994,1.833181,9.656162
1583285343562,0.8951198,2.3547974,9.802559
1583285343613,0.3174395,2.1129453,9.927617
1583285343663,0.13186589,2.1625645,9.724911
1583285343712,0.13145164,1.8814626,9.779519
1583285343762,0.37191066,1.4223822,9.988407
1583285343812,0.08363358,1.5482105,9.981168
1583285343863,0.16454056,1.4423386,9.975381
1583285343913,0.03144723,1.725693,9.6854925
1583285343963,-0.18397775,1.8405794,9.73065
1583285344012,0.22596389,1.2540085,9.851912
1583285344062,0.2321775,1.0535547,10.006692
1583285344112,-0.0051896274,1.0532576,9.938899
1583285344162,0.11550726,0.9004652,10.012163
1583285344213,0.008612331,0.94176173,9.934134
1583285344262,-0.0014359914,0.9427769,9.9173155
1583285344312,-0.013408229,0.9403298,9.932447
1583285344363,0.0076598004,0.92628545,9.962495
1583285344412,-0.018663006,0.9884869,9.961082
1583285344463,-0.095629424,1.0860379,9.984808
1583285344512,0.07968649,1.170828,9.871248
1583285344563,-0.13579008,1.3895671,9.876611
1583285344612,0.1037946,1.4330298,9.894874
1583285344662,-0.05805575,1.6145706,9.83765
Time,accX,accY,accZ
1583285334712,2.2415385,-0.13331369,9.916262
1583285334762,1.838339,-0.3094954,9.742705
1583285334812,2.1322966,0.24775225,9.547589
1583285334863,2.2238111,-0.2703936,10.000584
1583285334912,2.0072684,-0.04091543,9.716062
1583285334963,2.1984298,-0.055631846,9.623726
1583285335012,2.2383177,-0.33027536,9.807671
1583285335063,1.9346323,-0.7550515,9.8446665
1583285335112,1.77815,-1.1162456,9.508803
1583285335163,1.975845,-0.97969824,9.165675
1583285335213,2.7305045,-0.35372066,9.879604
