Time,rotX,rotY,rotZosboxe
1583284816350,-0.048849635,-0.0035615675,0.0058281897
1583284816400,0.004171002,0.010528622,0.014144112
1583284816450,0.0050213737,0.008773903,0.0051807193
1583284816500,0.03458674,0.02088143,-0.00889243
1583284816550,0.00814559,0.033042174,0.004892353
1583284816600,0.006118297,0.019792242,0.01619571
1583284816650,-0.0017773812,-0.014009068,0.0039244657
1583284816700,-0.021253869,-0.008971397,0.015343525
1583284816750,0.0051713944,0.015593035,0.03389186
1583284816800,-0.002902444,0.022620557,-0.00421872
1583284816850,0.028368134,0.0024833626,-0.03591038
1583284816900,-0.011096879,-0.02059076,-6.8396167E-4
1583284816950,-0.023383502,-9.553726E-4,0.029400479
1583284817000,-0.046141796,0.0045397943,-0.02086034
1583284817050,-0.03647418,7.7159796E-4,-0.05888324
1583284817100,-0.02347925,0.01407361,-0.03843575
1583284817150,-0.033468135,0.01889018,-0.027032554
1583284817200,-0.01688433,0.017352995,-0.037870746
1583284817250,0.012984927,0.027629407,-0.022965157
1583284817300,0.0022510216,0.029606799,-0.047253676
1583284817350,0.0442179,0.032311037,-0.08721981
1583284817400,0.1645126,0.07733054,-0.11813246
1583284817450,0.1208601,0.18472682,-0.15318367
1583284817500,0.22325784,0.27803916,-0.22720063
1583284817550,0.36389446,0.32946798,-0.28118262
1583284817600,0.38562334,0.33809394,-0.29934558
1583284817650,0.36221236,0.22638603,-0.23009564
1583284817700,0.14864562,0.13374339,-0.09411698
1583284817750,-0.024873186,0.13280423,-0.06738579
1583284817800,-0.007697125,0.14979084,-0.14083864
1583284817850,0.0044172704,0.14432462,-0.14790305
1583284817900,-0.071760245,0.08522803,-0.12030136
1583284817950,-0.09113885,0.0085993195,-0.07602881
1583284818000,-0.010745191,-0.011427678,-0.03040689
1583284818050,0.01702547,-0.021873573,0.051356103
1583284818100,0.03350886,-0.013374897,0.055012733
1583284818150,0.040317558,-0.020043848,0.048294265
1583284818200,0.014731539,-0.00993781,0.022402937
1583284818250,0.018345494,0.003205781,0.014827319
1583284818300,0.020639628,-0.010299865,0.011853085
1583284818350,-0.0030705403,-0.04788086,0.022859821
1583284818400,-0.011039284,-0.03978177,0.05191831
1583284818450,-0.03151612,-0.056559615,0.043948036
1583284818500,-0.044834502,-0.045337856,0.038977485
1583284818550,-0.044055633,-0.003477497,0.025955856
1583284818600,-0.0341852,0.006075262,-0.0019427289
1583284818650,0.009534191,-0.013874002,-0.0116454
1583284818700,0.0040595783,-0.02646383,0.0039562117
1583284818750,-0.02067405,-0.028465236,0.035535388
1583284818800,-0.02399002,-0.0130325,0.048656877
1583284818850,-0.048678964,0.01374491,0.019514296
1583284818900,-0.013035805,0.03297232,-0.0150731215
1583284818950,-0.004625429,0.012088126,-0.024792317
1583284819000,-0.009350871,-0.019005826,-0.0011341306
1583284819050,-0.010511625,-0.004047809,-0.0014550582
1583284819100,9.745359E-6,0.020206636,0.011856028
1583284819150,-0.0138018215,-0.011102509,0.004554008
1583284819200,0.0036087716,-0.025036328,0.009736431
1583284819250,0.002461772,-0.0018496239,0.0013885682
1583284819300,0.0020875004,-0.005014984,-0.0075057903
1583284819350,-0.012157162,0.006233667,0.013817797
1583284819400,-0.02912853,-0.018695889,0.010962894
1583284819450,0.0023903996,-0.015620574,0.02665702
1583284819500,-0.0031440975,-0.01886707,0.0017365192
1583284819550,-0.0043730354,-0.012224598,0.0064117173
1583284819600,8.5656054E-4,0.01920567,0.03187262
1583284819650,-0.020422902,0.025825175,0.003278585
1583284819700,0.0057066614,-7.063779E-4,-0.012721724
1583284819750,0.00172409,-0.0014103036,-0.015685376
1583284819800,0.0041845283,0.014457415,-0.002426769
1583284819850,-0.027825125,0.03225492,-0.01745019
1583284819900,-0.013868254,0.0397536,-0.019307151
1583284819950,-0.013701416,0.034473047,-0.01435138
1583284819999,-0.040700406,0.016673544,-0.0071352916
1583284820050,-0.04398524,0.023764828,-0.026927415
1583284820100,-0.051611282,0.03754969,-0.038748864
1583284820150,-0.05158457,0.023428423,-0.044046644
1583284820200,0.02263603,-0.022498028,-0.02219858
1583284820250,-0.01976426,-0.057779364,0.023704011
1583284820300,-0.0016747736,-0.041576385,0.051691495
1583284820350,0.025125045,-0.018060314,0.012833739
1583284820400,0.03342023,-0.013642786,-0.018169986
1583284820450,0.032399748,-0.006168768,0.003982261
1583284820500,-0.0074576586,0.01683458,0.025163526
1583284820550,0.0012648259,0.025864666,0.031871606
1583284820600,-0.006939697,0.036084205,0.00652554
1583284820650,0.015424983,-0.016797038,-0.025086764
1583284820700,-0.017994102,-0.03140291,0.0147675825
1583284820750,-0.009320614,-0.007415738,0.024057362
1583284820800,0.016533878,0.015254831,-0.003949577
1583284820850,0.019443333,-0.0042422367,0.017808855
1583284820900,0.018088046,-0.020584239,0.02851424
1583284820950,0.00810797,-0.016174262,-0.0026891725
1583284821000,-7.631795E-4,0.0036984438,-0.022391964
1583284821050,-0.005006375,0.025380017,0.003271152
1583284821100,0.012539447,0.022720804,0.014300426
1583284821150,0.027396232,-0.009945674,0.014140942
1583284821200,0.013574562,-0.02690824,0.019342355
1583284821250,-0.027550958,-0.007244237,0.027728211
1583284821300,-0.00447897,0.018695187,0.013908477
1583284821350,-3.2071E-4,0.0101114195,0.005479458
1583284821400,-0.020474173,-0.005498576,0.017519766
1583284821450,-0.009153395,0.00380794,-0.01151476
1583284821500,-0.005538392,0.011616584,-0.04137639
1583284821550,-0.0029434352,0.0013497323,-0.026723452
1583284821600,0.01292123,-0.036710605,-0.0045737717
1583284821650,-0.004177471,-0.05246801,0.024478188
1583284821700,-0.01767939,-0.014233267,0.034517895
1583284821750,0.0066467347,0.011445169,0.013550573
1583284821799,-0.0048426203,0.004876064,-0.0092356475
1583284821850,-0.04178665,-0.017425237,0.016902072
1583284821900,-0.008360746,-0.010816872,0.015828207
1583284821950,-1.3838499E-4,-0.018782316,0.0034471431
1583284822000,0.0053211697,-0.03626389,0.01060813
1583284822050,-0.021007355,-0.024367182,0.024793772
1583284822100,0.014399004,-0.010862678,0.0016599668
1583284822150,0.018029839,0.02808722,0.011876249
1583284822200,-6.9081783E-4,0.0096285995,0.013061372
1583284822250,-0.013848574,-0.032932736,0.034884475
1583284822300,-0.022730757,-0.016402662,0.04404277
1583284822350,0.0066505326,-0.035263024,0.03695453
1583284822400,-0.013460858,-0.09443457,0.08032092
1583284822450,0.0609789,-0.21761355,0.16627723
1583284822500,0.05813092,-0.3115558,0.25042102
1583284822550,0.02212571,-0.38466272,0.27180082
1583284822600,0.013238299,-0.3568231,0.25798216
1583284822650,-0.17972852,-0.22343035,0.18582636
1583284822700,-0.18244983,-0.12595458,0.12667811
1583284822750,-0.039952345,-0.052472264,0.07766899
1583284822800,-0.043393716,0.015104589,0.047769714
1583284822850,-0.10078859,0.06922516,-0.04719128
1583284822900,-0.10693191,0.10284902,-0.09911265
1583284822950,-0.05076942,0.116347454,-0.0991724
1583284823000,-0.035871305,0.06490886,-0.07381974
1583284823050,-0.009148339,0.026688414,-0.031435426
1583284823100,-0.025358837,0.039523125,0.013765181
1583284823150,-0.0037074015,0.07636338,0.019003708
1583284823200,-0.016482994,0.083188735,0.0017839947
1583284823250,0.019140884,0.06517553,-0.002841323
1583284823300,0.02588369,0.025050323,-0.0026441142
1583284823350,-1.4471891E-4,-5.4427423E-5,0.0069704233
1583284823400,-0.0077063506,-0.008637615,-0.01596447
1583284823450,-0.03334934,-0.014470562,-0.036446337
1583284823500,-0.04403941,-0.010744775,-0.040398937
1583284823550,-0.06484805,0.0059256917,-0.05548014
1583284823600,-0.0551415,0.035638094,-0.051915135
1583284823650,-0.021119267,0.06307245,-0.05397315
1583284823700,-0.012339542,0.06505306,-0.0651673
1583284823749,0.028111257,0.047033057,-0.04955929
1583284823800,0.045405068,0.02420799,-0.03832439
1583284823850,0.07648862,0.01081809,-0.03301431
1583284823900,0.16587712,0.057157263,-0.0395088
1583284823949,0.094712235,0.13050522,-0.11817642
1583284824000,0.11721178,0.27291864,-0.23186359
1583284824050,0.21604224,0.40195447,-0.30699804
1583284824100,0.23980637,0.36343056,-0.32502636
1583284824150,0.14890882,0.2799862,-0.22200964
1583284824200,0.09883148,0.28596812,-0.17327628
1583284824250,0.004425073,0.24208476,-0.18686584
1583284824300,0.020228956,0.17537276,-0.17312238
1583284824350,0.043887936,0.111237384,-0.0724267
1583284824400,-0.05830692,0.011908421,0.024374444
1583284824450,-0.038106028,-0.11817344,0.012342498
1583284824500,0.020230696,-0.117689006,-0.0067041274
1583284824550,0.04479491,-0.09287686,-0.004274993
1583284824600,0.01226258,-0.08061516,0.031201415
1583284824650,-0.020945597,-0.11000323,0.058763057
1583284824700,-0.07345525,-0.07928794,0.06174429
1583284824750,-0.082579754,-0.050010696,0.04484119
1583284824800,-0.034301214,-0.02466262,0.011309433
1583284824850,0.018934123,-0.024398578,0.020785723
1583284824900,-0.03563978,-0.052817658,0.0311477
1583284824950,-0.027062707,-0.056918956,0.047757242
1583284824999,-0.048378095,-0.04531765,0.054527998
1583284825050,0.010975985,-0.037864305,0.046680935
1583284825100,0.014858876,-0.058791645,0.034695182
1583284825150,0.023135342,-0.06877684,0.0838638
1583284825200,0.016502334,-0.13947389,0.15636611
1583284825250,0.05385389,-0.23438592,0.23020297
1583284825300,0.060427263,-0.2961542,0.30470106
1583284825350,0.012089831,-0.30916274,0.31459132
1583284825400,-0.015429144,-0.38930398,0.24582762
1583284825450,-0.14722094,-0.30682805,0.29245275
1583284825500,-0.16835581,-0.21898656,0.27851686
1583284825550,-0.15257178,-0.16027407,0.18211704
1583284825600,-0.16147141,-0.123653196,0.08937784
1583284825650,-0.04489062,-0.07719945,0.082964875
1583284825699,-0.115970604,-0.056355007,0.045566063
1583284825750,-0.070388675,-0.014415426,0.01512028
1583284825800,-0.042980768,0.037068307,-1.195916E-4
1583284825850,-0.05382634,0.054886572,0.01591346
1583284825900,0.0083945505,0.054520465,-0.0050470373
1583284825950,0.010557016,0.044842407,-0.022358764
1583284826013,0.004971605,0.027043466,-0.026205458
1583284826112,-1.7550483E-4,-0.013064383,-0.028858459
1583284826162,-0.00648771,0.007647401,-0.01135617
1583284826213,-8.080597E-4,0.034369394,0.0031156724
1583284826262,-0.011776244,0.029455118,-0.010154638
1583284826313,-0.002768274,0.02196195,-0.020000895
1583284826362,-0.013604491,0.013141926,0.005910131
Time,rotX,rotY,rotZosboxe
1583284816350,-0.048849635,-0.0035615675,0.0058281897
1583284816400,0.004171002,0.010528622,0.014144112
1583284816450,0.0050213737,0.008773903,0.0051807193
1583284816500,0.03458674,0.02088143,-0.00889243
1583284816550,0.00814559,0.033042174,0.004892353
1583284816600,0.006118297,0.019792242,0.01619571
1583284816650,-0.0017773812,-0.014009068,0.0039244657
1583284816700,-0.021253869,-0.008971397,0.015343525
1583284816750,0.0051713944,0.015593035,0.03389186
1583284816800,-0.002902444,0.022620557,-0.00421872
