Time,accX,accY,accZ
1583283835637,-1.0509281,-9.152806,-4.4080997
1583283835687,-1.2416574,-10.2411375,-2.6300817
1583283835737,-0.9408025,-10.15554,-0.8499459
1583283835788,-1.1084802,-7.864019,2.100721
1583283835838,-1.1081555,-8.539616,4.2802
1583283835888,-1.1401026,-8.3045,4.2727084
1583283835937,-1.3146392,-7.176923,4.9797883
1583283835988,-1.5169249,-7.878362,4.8770576
1583283836038,-1.5750878,-8.0742855,4.8988366
1583283836088,-1.3752149,-8.394552,5.4108424
1583283836138,-1.4636309,-7.6387625,5.6043153
1583283836188,-1.5870075,-6.9789677,6.043044
1583283836237,-1.7565252,-6.894244,6.283007
1583283836288,-1.8650093,-7.0652866,6.030628
1583283836337,-1.9237179,-7.285286,6.218633
1583283836388,-2.0040035,-7.3089805,6.207193
1583283836437,-1.7147626,-7.124474,6.271423
1583283836487,-1.6957104,-6.497707,6.46708
1583283836537,-1.6965109,-7.2843914,6.3796487
1583283836587,-1.5172576,-7.982526,5.6569414
1583283836637,-1.5501125,-7.8007555,5.478981
1583283836688,-1.4394109,-6.835203,5.7622776
1583283836737,-1.5742767,-6.999794,5.1629624
1583283836787,-1.6681393,-8.060144,3.0456872
1583283836837,-1.0604718,-9.498761,0.111317635
1583283836887,-1.0341985,-9.755633,-1.9119356
1583283836937,-1.1896049,-9.167323,-2.969355
1583283836987,-1.5019319,-8.079786,-4.086552
1583283837037,-2.02501,-8.206325,-5.4619994
1583283837087,-2.422766,-7.2980065,-5.7908926
1583283837137,-2.333276,-6.339323,-6.244843
1583283837187,-2.177991,-5.9699492,-6.7288537
1583283837237,-1.8851901,-6.549325,-6.8016005
1583283837288,-2.0882218,-7.3937697,-7.295789
1583283837338,-2.3903184,-5.8511906,-7.1964407
1583283837387,-2.1001327,-6.076217,-7.6962147
1583283837438,-2.1614165,-5.2083454,-7.3991227
1583283837488,-2.3678782,-5.3458185,-7.4946475
1583283837537,-2.58812,-5.892766,-7.3830056
1583283837587,-2.7334976,-5.2304325,-5.840603
1583283837637,-2.8957388,-6.6215653,-6.639872
1583283837688,-2.092809,-7.7648897,-6.8287697
1583283837738,-2.6932397,-6.607889,-5.7522826
1583283837787,-2.6281576,-7.0741887,-4.964097
1583283837837,-2.871646,-7.869307,-5.872199
1583283837887,-1.7327951,-8.369484,-6.9186206
1583283837937,-2.1863687,-6.73915,-6.842535
1583283837987,-2.0218065,-6.92358,-6.4767113
1583283838038,-1.4413999,-7.816366,-3.3169646
1583283838088,-2.0874062,-8.178533,-2.621387
1583283838137,-1.9102225,-8.010627,-4.5561223
1583283838188,-1.9818344,-7.9586716,-4.1429114
1583283838237,-1.9613669,-7.677052,-3.9803238
1583283838287,-1.5661733,-7.6755366,-4.0286956
1583283838337,-1.5136249,-7.900056,-5.1049347
1583283838387,-1.5046554,-7.51173,-4.3599243
1583283838438,-1.9193137,-8.518463,-4.062611
1583283838487,-1.8623049,-8.112994,-5.330729
1583283838538,-1.7311994,-7.7988133,-5.0787597
1583283838587,-1.7290305,-7.9739475,-5.553014
1583283838637,-1.4670161,-7.726184,-5.929144
1583283838688,-1.4234457,-7.048949,-6.0351853
1583283838737,-0.86268544,-7.812097,-5.524667
1583283838787,-1.1791528,-8.928612,-5.454103
1583283838837,-1.0458534,-6.117037,-6.761292
1583283838887,-0.9533754,-3.8762345,-6.229811
1583283838937,-0.88354397,-6.4755893,-8.089075
1583283838987,-1.1141117,-5.775028,-9.242528
1583283839038,-1.1628506,-3.6120827,-9.216787
1583283839087,-0.5140165,-5.29014,-7.612442
1583283839137,-0.2945217,-6.3075824,-6.6781545
1583283839187,-0.42935258,-5.9508624,-7.276184
1583283839238,-0.4805908,-6.642748,-6.4997816
1583283839287,-0.7086601,-6.9759088,-5.9564223
1583283839337,-1.0001038,-8.460672,-5.317844
1583283839387,-1.6745822,-10.017826,-3.5003712
1583283839437,-1.9924538,-9.8519125,-1.8797613
1583283839488,-1.7238189,-9.561237,1.2448804
1583283839537,-1.2780721,-8.630411,4.154878
1583283839588,-1.914072,-5.810583,6.4857206
1583283839637,-4.1940775,-0.2669878,7.458002
1583283839688,-5.373258,5.989089,8.458758
1583283839737,-5.846771,6.780307,7.4278684
1583283839788,-4.654001,4.9583464,7.404353
1583283839837,-3.7813845,4.9335313,7.389533
1583283839887,-3.2595212,4.9887476,7.000197
1583283839937,-3.723063,5.202612,7.0812297
1583283839987,-4.2074895,3.7968907,7.486055
1583283840037,-1.8436469,5.058503,6.7794805
1583283840087,-2.7206516,3.258721,7.6425395
1583283840138,-2.6569867,4.182517,8.193808
1583283840187,-2.1361594,4.8503184,8.478167
1583283840238,-2.0923407,3.992761,8.660338
1583283840287,-3.3626745,3.4363277,8.4403105
1583283840337,-6.615476,2.7229245,8.628703
1583283840388,-5.2365127,3.0011775,8.45328
1583283840437,-5.124609,4.11379,8.548753
1583283840487,-5.1538806,3.2107973,7.3604045
1583283840538,-4.4245462,-0.60060775,7.3100023
1583283840588,-4.4246645,-1.2447059,8.558034
1583283840637,-4.5432777,-0.49079475,9.264242
1583283840688,-4.6182194,0.4769813,9.921535
1583283840738,-4.3929605,-1.2064815,10.420845
1583283840787,-4.07987,-1.9545044,10.409914
1583283840838,-3.778505,-1.678616,9.943874
1583283840888,-3.9917877,-1.2398243,10.172953
1583283840938,-4.130521,-1.404527,10.675676
1583283840987,-4.6551228,-1.8853704,12.223711
1583283841038,-5.7692447,-5.0180774,13.828442
1583283841087,-3.8331742,-10.08322,10.700773
1583283841138,2.670862,-8.971066,1.6679678
1583283841188,2.7942574,-6.673187,0.76192605
1583283841238,-1.2460048,-2.7414196,5.591452
1583283841287,1.0687107,-0.5227294,8.62976
1583283841337,3.928697,-5.8663073,6.034409
