Time,rotX,rotY,rotZosboxe
1583285276725,0.81170744,-0.10652924,0.27738094
1583285276775,0.69691855,-0.28917277,0.46659848
1583285276824,0.44034874,-0.26363015,0.11902541
1583285276875,0.028644959,-0.01258718,-0.25405324
1583285276925,0.04145126,0.050122537,-0.48374423
1583285276975,-0.12587494,0.44095495,-0.81312174
1583285277025,-0.16394892,0.45174366,-0.6807937
1583285277075,-0.055296227,0.036433533,-0.24078809
1583285277125,0.26587743,0.22393918,-0.2572405
1583285277175,0.6924124,1.0950011,-0.88391185
1583285277225,0.34526974,0.44746274,-0.34670255
1583285277275,0.5722141,-0.2349648,0.29023647
1583285277325,0.6276589,-0.08932538,0.18854158
1583285277375,0.72463924,-0.1935263,0.3959224
1583285277425,0.49103862,0.18887088,0.16707546
1583285277475,0.5844194,-0.010243291,0.49115965
1583285277525,0.85513085,0.094335966,0.6221996
1583285277575,0.45970044,0.120694876,0.6621156
1583285277625,0.73848933,0.077110894,0.78027636
1583285277675,1.3264327,-0.44281965,1.7251307
1583285277725,1.8230278,-0.778402,1.7510054
1583285277775,2.8532438,-0.8796159,0.96848726
1583285277825,4.381985,-1.6295903,1.4703592
1583285277875,5.1240473,-2.6649702,3.0550861
1583285277925,6.481382,1.4224675,-5.1637163
1583285277975,9.681343,4.3306136,-1.2552837
1583285278025,8.4109745,2.228727,1.0610255
1583285278075,-0.09205432,-0.68907315,2.3093715
1583285278125,-1.9330503,0.32478875,-6.084025
1583285278175,-1.8732762,0.20157756,-7.063762
1583285278225,1.7404356,-0.21946564,-2.4028971
1583285278275,3.6688273,0.09945311,1.0142678
1583285278325,3.7754905,1.8026557,2.108422
1583285278375,4.103649,3.722772,4.038607
1583285278425,1.7245717,0.6696729,0.40927643
1583285278475,2.3685913,-2.8733494,-3.2585933
1583285278525,1.5830369,-2.522361,-3.6164994
1583285278575,1.0048792,0.33237654,-1.2989906
1583285278625,0.5045646,2.997523,1.3078864
1583285278675,-0.11153227,2.9852493,1.8074625
1583285278725,-0.578099,0.3263083,0.13252424
1583285278775,-1.6686783,-2.648558,-1.5977343
1583285278825,-2.2036994,-3.0542424,-1.2454444
1583285278875,-1.0990945,3.3166285,1.6075414
1583285278925,0.19877145,0.16779618,0.08475517
1583285278975,1.8211776,-0.29996008,1.1989211
1583285279025,-1.0560291,-2.7000487,-1.2749475
1583285279075,-1.2025714,0.6786289,0.7074128
1583285279125,-1.528954,-0.14329208,0.0107265
1583285279175,-1.3058696,-0.54253924,-0.2710319
1583285279225,-1.0371394,-0.19018169,-0.10730904
1583285279275,-1.1076962,0.61962706,0.56183964
1583285279324,-0.99268776,0.9627648,0.87371963
1583285279375,-0.47150895,0.32768452,0.45775405
1583285279425,-0.35527742,0.38869348,0.33291456
1583285279475,-0.8037736,0.19580446,0.13525374
1583285279525,-1.0328178,-0.18802787,-0.049270373
1583285279575,-1.2737256,-0.13956027,-0.31760964
1583285279625,-1.2299595,-0.18329178,-0.2771837
1583285279675,-0.3514155,-0.094387904,-0.3857439
1583285279725,-0.6793394,-0.23663272,-0.37659797
1583285279775,-0.6367973,-0.36572707,-0.34071353
1583285279825,-0.35797366,-0.27486742,-0.15532352
1583285279875,0.034042697,-0.33652145,-0.003187202
1583285279925,0.09676373,-0.11478564,0.2949642
1583285279975,-0.6343426,0.04072109,0.45459184
1583285280025,-0.98266333,0.13200611,0.48843816
1583285280075,-0.5918497,0.0861257,0.24647197
1583285280125,0.12700519,-0.04668849,0.25328735
1583285280175,0.45455304,-0.08816077,0.6760586
1583285280225,-0.218339,-0.2311389,-0.31792083
1583285280275,-0.12373547,-0.08786792,-0.7866079
1583285280325,0.16136342,0.11270764,0.460394
1583285280375,0.08004616,0.1966203,0.33197063
1583285280425,0.20914601,-0.056104954,0.16787952
1583285280475,0.4383983,-0.32785293,0.31554562
