Time,accX,accY,accZ
1583283945637,-7.176682,-6.246351,-0.10724669
1583283945687,-7.1795444,-6.2679205,-0.15681085
1583283945737,-7.1679688,-6.287246,-0.1628545
1583283945787,-7.20326,-6.2404523,-0.14649658
1583283945837,-7.170922,-6.293736,-0.14310946
1583283945888,-7.1630974,-6.2722936,-0.14005166
1583283945937,-7.178467,-6.2901773,-0.14311723
1583283945987,-7.144263,-6.273682,-0.10024005
1583283946037,-7.177266,-6.2686286,-0.15322071
1583283946088,-7.1874275,-6.2768164,-0.170539
1583283946137,-7.170197,-6.2627473,-0.1197954
1583283946187,-7.1465774,-6.304463,-0.12749703
1583283946237,-7.1570845,-6.2859793,-0.1477621
1583283946288,-7.1852593,-6.2960744,-0.14697331
1583283946338,-7.175652,-6.2413616,-0.1432672
1583283946387,-7.179343,-6.2742496,-0.113635406
1583283946438,-7.1395187,-6.3178325,-0.15547928
1583283946487,-7.1568065,-6.2691875,-0.19151407
1583283946538,-7.2241964,-6.249333,-0.15682796
1583283946588,-7.181865,-6.2654667,-0.14307366
1583283946637,-7.16805,-6.2843184,-0.1367057
1583283946687,-7.182939,-6.283289,-0.12794387
1583283946738,-7.164914,-6.229924,-0.13020122
1583283946787,-7.175047,-6.2838078,-0.16179366
1583283946838,-7.190495,-6.255914,-0.14374316
1583283946888,-7.198223,-6.2296877,-0.15735324
1583283946937,-7.2258654,-6.2302465,-0.13136639
1583283946988,-7.203953,-6.241869,-0.14978851
1583283947038,-7.202541,-6.241701,-0.15606911
1583283947087,-7.1962557,-6.2370706,-0.14764681
1583283947138,-7.174151,-6.2328424,-0.10004495
1583283947187,-7.188081,-6.2516813,-0.14594895
1583283947237,-7.2203927,-6.2234674,-0.17024347
1583283947287,-7.206352,-6.2722073,-0.15471154
1583283947338,-7.1739106,-6.2496696,-0.142681
1583283947388,-7.194842,-6.252267,-0.14573662
1583283947437,-7.1857467,-6.2698503,-0.15831406
1583283947488,-7.18964,-6.248302,-0.12715253
1583283947537,-7.200093,-6.266293,-0.14530338
1583283947588,-7.190662,-6.25495,-0.16072407
1583283947637,-7.196776,-6.253344,-0.14956681
1583283947687,-7.197149,-6.266013,-0.13000388
1583283947738,-7.16965,-6.2734203,-0.16634129
1583283947787,-7.1956973,-6.2636013,-0.14012502
1583283947838,-7.1834755,-6.261298,-0.12273328
1583283947888,-7.174154,-6.2675166,-0.16426083
1583283947938,-7.1867094,-6.2724113,-0.16910769
1583283947988,-7.2067485,-6.250353,-0.1618494
1583283948037,-7.1710796,-6.2815394,-0.14564693
1583283948087,-7.158035,-6.2627244,-0.13706125
1583283948138,-7.189204,-6.2796545,-0.15425107
1583283948187,-7.1616807,-6.301892,-0.105087206
1583283948237,-7.1733456,-6.2739463,-0.13281111
1583283948287,-7.188356,-6.262665,-0.14415412
1583283948338,-7.189931,-6.2628226,-0.15109335
1583283948387,-7.181699,-6.275542,-0.12857738
1583283948438,-7.170573,-6.273576,-0.125531
1583283948487,-7.172872,-6.257196,-0.1405455
1583283948537,-7.181132,-6.302248,-0.14206311
1583283948588,-7.1625743,-6.2657213,-0.08348395
1583283948638,-7.1760907,-6.2588973,-0.13943923
1583283948688,-7.1586866,-6.2915463,-0.14075293
1583283948738,-7.198542,-6.235368,-0.1307035
1583283948787,-7.185465,-6.2650027,-0.12879518
1583283948837,-7.1595206,-6.2851806,-0.11342154
1583283948888,-7.1595206,-6.306036,-0.13928579
1583283948938,-7.1523905,-6.266171,-0.107619114
1583283948987,-7.1896734,-6.270855,-0.1143913
1583283949037,-7.17071,-6.284817,-0.14826263
1583283949087,-7.172933,-6.2585907,-0.12601411
1583283949138,-7.187851,-6.2525826,-0.12955394
1583283949187,-7.183824,-6.2684913,-0.13344751
1583283949237,-7.177819,-6.267974,-0.12255003
1583283949287,-7.2098775,-6.2619658,-0.15231426
1583283949337,-7.1742053,-6.2785277,-0.13601851
1583283949387,-7.189047,-6.246167,-0.09778399
1583283949438,-7.1947236,-6.2468657,-0.14455411
1583283949487,-7.2022734,-6.226575,-0.17475314
1583283949537,-7.2389016,-6.217327,-0.16457015
1583283949588,-7.183223,-6.2705197,-0.10998421
1583283949637,-7.1995993,-6.226533,-0.1408875
1583283949688,-7.183111,-6.2788377,-0.16616727
1583283949738,-7.1821585,-6.246239,-0.09855855
1583283949788,-7.20849,-6.2404156,-0.14185196
1583283949838,-7.2048283,-6.2440457,-0.13987179
1583283949887,-7.1958146,-6.252071,-0.14914505
1583283949937,-7.2007313,-6.248294,-0.12404398
1583283949987,-7.1916947,-6.255086,-0.13111658
1583283950037,-7.1957035,-6.250684,-0.146335
1583283950087,-7.179547,-6.2820916,-0.11771013
1583283950138,-7.190351,-6.24291,-0.076759234
1583283950187,-7.191077,-6.2582674,-0.1383484
1583283950238,-7.1886835,-6.2562027,-0.14604704
1583283950288,-7.221126,-6.233428,-0.13315114
1583283950337,-7.185839,-6.2730436,-0.12903771
1583283950387,-7.171224,-6.255425,-0.1258441
1583283950438,-7.193483,-6.2658205,-0.13893934
1583283950487,-7.176451,-6.259311,-0.09988657
1583283950538,-7.183414,-6.2467504,-0.10174219
1583283950588,-7.1954513,-6.243696,-0.1582559
1583283950638,-7.1913285,-6.2672367,-0.13484566
1583283950688,-7.192969,-6.268928,-0.111982614
1583283950737,-7.178166,-6.25674,-0.13537247
1583283950787,-7.176289,-6.277009,-0.15789387
1583283950837,-7.190158,-6.292952,-0.15557265
1583283950888,-7.162679,-6.255448,-0.0913978
1583283950938,-7.1788683,-6.262758,-0.14083911
1583283950988,-7.1703377,-6.270335,-0.14923204
1583283951037,-7.181476,-6.2716985,-0.14661247
1583283951087,-7.2072463,-6.264028,-0.14513782
1583283951137,-7.167457,-6.283882,-0.14103565
1583283951188,-7.1666727,-6.278412,-0.117523566
1583283951237,-7.158789,-6.3108582,-0.1337466
1583283951288,-7.147775,-6.271359,-0.09512712
1583283951338,-7.1784925,-6.292268,-0.14550735
1583283951387,-7.1655416,-6.2926645,-0.13063845
1583283951438,-7.17222,-6.2843285,-0.128308
1583283951487,-7.174042,-6.2455783,-0.14767028
1583283951537,-7.182394,-6.2790785,-0.15311217
1583283951587,-7.169434,-6.2757597,-0.13509479
1583283951638,-7.1865497,-6.269363,-0.1395386
1583283951688,-7.1979637,-6.2574396,-0.13205993
1583283951738,-7.1937385,-6.2695622,-0.123105116
1583283951788,-7.1680346,-6.2765603,-0.15918638
1583283951838,-7.202189,-6.220693,-0.20348608
1583283951887,-7.2329974,-6.2493725,-0.1585147
1583283951938,-7.1820774,-6.248678,-0.119766854
1583283951987,-7.191613,-6.2650404,-0.15631144
1583283952038,-7.175446,-6.2810984,-0.1331018
1583283952088,-7.1899357,-6.211363,-0.09719763
1583283952137,-7.2018976,-6.2464366,-0.15069418
1583283952187,-7.1998734,-6.2536564,-0.12867838
1583283952238,-7.215849,-6.227591,-0.13679494
1583283952288,-7.2168126,-6.237937,-0.14312012
1583283952338,-7.544545,-6.181353,0.0997874
1583283952388,-8.67283,-5.670213,3.5809247
1583283952438,-11.3867,-2.3140466,9.757005
1583283952488,-18.808249,-5.0834427,9.8600645
1583283952537,-20.74214,-9.674652,1.9449022
