Time,accX,accY,accZ
1583281716820,1.289408,0.7212295,9.618981
1583281716839,0.8462405,0.4146055,9.659705
1583281716860,0.403073,0.2565025,9.678869
1583281716879,0.364745,0.1798465,9.662101
1583281716899,1.380437,0.65176,9.508788
1583281716919,2.865647,1.4829985,9.470461
1583281716940,3.9987185,1.950121,9.575863
1583281716959,4.906613,2.4220345,9.975911
1583281716979,5.5749574,2.7574046,10.426265
1583281716998,5.7618065,2.6951215,10.740075
1583281717019,5.553398,2.726263,10.809545
1583281717039,4.9952464,2.956231,10.426265
1583281717059,4.2622237,3.018514,9.781876
1583281717078,3.708863,2.7813594,9.269238
1583281717098,3.1938305,2.553787,9.024898
1583281717118,2.9207435,2.548996,8.979383
1583281717139,2.9542806,2.7621956,8.86919
1583281717159,3.0405185,3.0400734,8.818885
1583281717178,3.31121,3.2125494,8.931473
1583281717198,3.617834,3.488032,9.10874
1583281717218,3.6633484,3.617389,9.144672
1583281717239,3.5052454,3.7347684,9.077599
1583281717259,3.402239,3.890476,8.926682
1583281717278,3.4573355,4.015042,8.845235
1583281717299,3.4669175,3.8737075,8.75181
1583281717318,3.320792,3.665299,8.517052
1583281717338,2.9686534,3.397003,8.231987
1583281717358,2.578187,3.0784016,7.968482
1583281717378,2.185325,2.61607,7.915781
1583281717397,1.672688,1.811182,7.982855
1583281717417,1.548122,1.169188,7.86308
1583281717437,1.998476,1.437484,7.8798485
1583281717458,2.846483,1.5500726,8.507469
1583281717478,3.397448,1.4973716,9.197373
1583281717498,3.5339916,1.4686255,9.781876
1583281717518,3.11957,1.193143,10.1316185
1583281717537,2.908766,1.173979,10.435847
1583281717558,3.3183966,1.427902,9.932792
1583281717577,3.248927,1.7656676,8.962614
1583281717597,2.5710006,1.8950245,8.133772
1583281717617,1.888283,1.902211,8.073884
1583281717637,1.572077,1.7081755,8.222405
1583281717657,1.58645,1.8183686,8.023579
1583281717677,1.998476,2.247163,7.76726
1583281717697,2.1062734,2.113015,7.580411
1583281717717,1.5361445,1.8710696,7.594784
1583281717737,0.637832,1.8423235,7.724141
1583281717757,-0.095191,2.3070505,7.685813
1583281717776,-0.1407055,3.1742215,8.351762
1583281717796,-0.037699,3.099961,10.004657
1583281717817,0.6546005,2.678353,11.511427
1583281717836,1.246289,2.841247,12.395366
1583281717857,1.5073985,3.04726,12.793019
1583281717876,1.4499065,3.38263,12.697199
1583281717897,1.409183,3.5479195,13.320029
1583281717916,1.557704,2.8484335,13.770383
1583281717936,1.672688,2.5466006,12.77146
1583281717957,1.270244,2.860411,11.041908
1583281717975,0.4677515,3.042469,9.717197
1583281717997,0.230597,3.0736105,9.01292
1583281718016,0.53243,2.812501,8.82128
1583281718035,1.064231,2.826874,8.701505
1583281718056,1.3349226,3.0304916,8.665572
1583281718076,1.327736,3.2317135,8.416441
1583281718096,1.184006,3.689254,8.097839
1583281718115,1.548122,4.34083,7.839125
1583281718135,2.2068844,4.8271165,7.882244
1583281718156,2.4608076,5.073853,7.9804597
1583281718175,2.2404215,5.4643197,7.5971794
1583281718196,2.0439906,5.8907185,7.019864
1583281718215,2.0296175,6.1925516,6.7347994
1583281718235,2.290727,6.166201,7.082147
1583281718255,2.616515,6.233275,7.216295
1583281718275,2.5470455,6.151828,6.8162465
1583281718295,2.0679455,6.35305,6.5958605
1583281718315,1.4067875,6.357841,7.0318413
1583281718335,0.5300345,5.936233,8.071488
1583281718355,0.6689735,5.6128407,8.955428
1583281718374,1.102559,5.4259915,10.241812
1583281718394,1.481048,4.216264,12.87207
1583281718415,3.090824,4.427068,12.476813
1583281718434,3.593879,5.859577,10.965253
1583281718455,1.6990385,1.5692365,12.323501
1583281718475,-0.3275545,-3.7727284,15.495143
1583281718494,-0.789886,-1.4011835,13.56437
1583281718515,0.4725425,-3.272069,11.846796
1583281718534,2.4320614,0.3235765,9.446506
1583281718554,3.8933165,3.0304916,7.968482
1583281718574,4.7125773,3.2269225,5.505908
1583281718594,2.7338946,2.8771794,4.2051516
